"","AKAM.Open","AKAM.High","AKAM.Low","AKAM.Close","AKAM.Volume","AKAM.Adjusted"
"2021-09-03",112.669998,114.779999,112.639999,113.800003,910700,113.800003
"2021-09-07",113.620003,113.940002,112.589996,112.709999,634700,112.709999
"2021-09-08",113.300003,113.639999,111.860001,113.389999,1142000,113.389999
"2021-09-09",113.519997,113.870003,113.029999,113.379997,796900,113.379997
"2021-09-10",113.769997,113.769997,111.760002,111.93,820300,111.93
"2021-09-13",112.559998,112.669998,111.150002,111.769997,1436300,111.769997
"2021-09-14",112.269997,112.360001,110.889999,111.919998,707000,111.919998
"2021-09-15",112.389999,112.550003,111.339996,111.940002,1035800,111.940002
"2021-09-16",112,112.529999,111,112.400002,1752100,112.400002
"2021-09-17",112.050003,112.169998,108.779999,109.489998,2528600,109.489998
"2021-09-20",108,109.25,107.660004,108.559998,1017900,108.559998
"2021-09-21",108.769997,109.07,106.5,106.949997,1307600,106.949997
"2021-09-22",107.029999,108.779999,107.029999,108.660004,971300,108.660004
"2021-09-23",108.690002,109.790001,108.559998,108.769997,1545600,108.769997
"2021-09-24",108.739998,110.309998,108.400002,110.129997,711100,110.129997
"2021-09-27",109.760002,110.230003,108.970001,109.019997,1108100,109.019997
"2021-09-28",107.769997,107.910004,105.730003,106.120003,1743100,106.120003
"2021-09-29",105.510002,106.690002,104.68,105.709999,2053500,105.709999
"2021-09-30",106.220001,107.309998,104.379997,104.589996,1587700,104.589996
"2021-10-01",104.559998,105.980003,103.730003,105.480003,1161800,105.480003
"2021-10-04",103.129997,104.550003,102.25,102.559998,1613400,102.559998
"2021-10-05",102.480003,104.209999,102.370003,103.18,1295900,103.18
"2021-10-06",102.480003,103.720001,102.18,103.559998,1222300,103.559998
"2021-10-07",104.32,104.690002,103.599998,103.75,1109100,103.75
"2021-10-08",104.18,104.18,101.919998,102.190002,1082200,102.190002
"2021-10-11",101.879997,103.25,101.800003,102.199997,849700,102.199997
"2021-10-12",102.400002,102.669998,101.330002,101.57,1026000,101.57
"2021-10-13",102.029999,102.93,101.730003,102.120003,1158200,102.120003
"2021-10-14",103.25,105.839996,103.25,105.269997,1690200,105.269997
"2021-10-15",105.540001,106.82,105.32,106.32,1089700,106.32
"2021-10-18",106.07,107.360001,105.940002,106.870003,1546800,106.870003
"2021-10-19",107,108.239998,106.449997,107.919998,1391300,107.919998
"2021-10-20",107.959999,108.919998,107.690002,108.080002,1096400,108.080002
"2021-10-21",108.440002,109.059998,107.879997,108.550003,771500,108.550003
"2021-10-22",108.580002,109.940002,107.839996,107.93,1201000,107.93
"2021-10-25",107.93,108.589996,107.379997,107.57,557300,107.57
"2021-10-26",108.230003,108.559998,106.800003,106.809998,727200,106.809998
"2021-10-27",107.110001,107.389999,104.160004,104.300003,1450200,104.300003
"2021-10-28",104.959999,105.690002,104.400002,104.709999,840000,104.709999
"2021-10-29",104.43,105.93,104.150002,105.459999,963800,105.459999
"2021-11-01",105.440002,105.550003,103.379997,105.389999,1714000,105.389999
"2021-11-02",105.860001,106.459999,104.779999,105.129997,1673900,105.129997
"2021-11-03",107,112.849998,106.809998,110.870003,4090500,110.870003
"2021-11-04",110.739998,111.169998,108.809998,109.660004,2097600,109.660004
"2021-11-05",110.589996,111.800003,107.099998,107.290001,2129300,107.290001
"2021-11-08",107.459999,109.050003,107.410004,108.620003,1830300,108.620003
"2021-11-09",109.589996,109.660004,108.599998,109.32,1420000,109.32
"2021-11-10",109.769997,111,109.150002,109.790001,1467300,109.790001
"2021-11-11",110.029999,110.510002,109.160004,109.330002,757900,109.330002
"2021-11-12",109.790001,111.540001,109.339996,111.510002,1375700,111.510002
"2021-11-15",109.260002,109.769997,107.769997,108.480003,2106500,108.480003
"2021-11-16",108.809998,110.900002,108.699997,110.860001,1356200,110.860001
"2021-11-17",110.860001,110.949997,109.290001,109.82,971100,109.82
"2021-11-18",110.309998,110.849998,109.209999,110.540001,1149000,110.540001
"2021-11-19",110.889999,112.32,110.230003,110.980003,1829800,110.980003
"2021-11-22",111.599998,112.129997,110.290001,110.57,972800,110.57
"2021-11-23",110.029999,111.93,109.279999,111.800003,1242800,111.800003
"2021-11-24",112.080002,113.209999,111.610001,112.769997,1097600,112.769997
"2021-11-26",112.599998,114.360001,111.620003,111.940002,1013800,111.940002
"2021-11-29",112.75,115.220001,111.75,114.260002,1444100,114.260002
"2021-11-30",114.260002,115.480003,112.410004,112.699997,3014100,112.699997
"2021-12-01",113.080002,113.949997,108.980003,109.080002,1710700,109.080002
"2021-12-02",109,111.629997,108.68,110.949997,1127200,110.949997
"2021-12-03",111.5,111.889999,109.389999,111.139999,1049200,111.139999
"2021-12-06",110.790001,111.379997,109.25,111.050003,1362700,111.050003
"2021-12-07",111.599998,113.5,111.269997,112.269997,1308000,112.269997
"2021-12-08",112.470001,112.480003,111.089996,112.029999,1036300,112.029999
"2021-12-09",112.050003,113.25,111.809998,111.919998,907500,111.919998
"2021-12-10",112.419998,113.980003,112.419998,113.010002,863900,113.010002
"2021-12-13",112.900002,115.910004,112.650002,115.410004,1275700,115.410004
"2021-12-14",112.660004,115.07,112.209999,114.239998,1566800,114.239998
"2021-12-15",114.989998,116.260002,113.940002,116.239998,1122300,116.239998
"2021-12-16",116.279999,117.300003,115.370003,116.830002,1373900,116.830002
"2021-12-17",116.5,117.629997,114.860001,115.349998,2354400,115.349998
"2021-12-20",114.580002,114.830002,113.150002,114.07,1203300,114.07
"2021-12-21",114.040001,116,114,115.800003,1317900,115.800003
"2021-12-22",116.379997,116.93,115.660004,116.059998,706400,116.059998
"2021-12-23",116.059998,116.980003,115.589996,116.199997,701400,116.199997
"2021-12-27",116.959999,117.970001,116.129997,117.919998,834800,117.919998
"2021-12-28",118.089996,119.230003,117.410004,118.449997,1007600,118.449997
"2021-12-29",118.629997,119.68,118.010002,118.330002,899400,118.330002
"2021-12-30",118.18,118.620003,117.029999,117.150002,718200,117.150002
"2021-12-31",117.040001,117.459999,116.410004,117.040001,717400,117.040001
"2022-01-03",117.169998,117.68,115.599998,117.510002,951900,117.510002
