"","WRB.Open","WRB.High","WRB.Low","WRB.Close","WRB.Volume","WRB.Adjusted"
"2021-01-26",44.133331,44.286667,43.299999,43.299999,1172700,41.716934
"2021-01-27",42.900002,43.553333,40.993332,41.093334,2986950,39.590942
"2021-01-28",41.380001,42.466667,41.346668,42.173332,1306650,40.631454
"2021-01-29",41.846668,42.099998,41.146667,41.426666,1239000,39.91209
"2021-02-01",41.673332,42.34,41.626667,41.933334,1396500,40.400238
"2021-02-02",42.266666,43,42.220001,42.633331,665550,41.074638
"2021-02-03",42.66,42.986668,42.060001,42.400002,1038300,40.849838
"2021-02-04",42.533333,43.433334,42.533333,43.326668,721350,41.742626
"2021-02-05",43.573334,43.973331,43.433334,43.833332,1542300,42.23077
"2021-02-08",43.959999,44.200001,43.799999,44.073334,1130850,42.461994
"2021-02-09",44.106667,45.040001,44.106667,44.833332,733950,43.194206
"2021-02-10",44.833332,45.313332,44.586666,45.033333,1286850,43.386894
"2021-02-11",45.046665,45.766666,45.046665,45.706669,1116150,44.035614
"2021-02-12",45.666668,46.066666,44.799999,45.253334,946950,43.598846
"2021-02-16",45.493332,45.586666,44.833332,45.34,902400,43.68235
"2021-02-17",45.133331,45.573334,45.066666,45.253334,889350,43.598846
"2021-02-18",45.006668,45.200001,44.34,44.746666,1364250,43.11071
"2021-02-19",44.900002,45.553333,44.759998,45.253334,1085100,43.598846
"2021-02-22",45.253334,45.506668,44.919998,45.459999,1305600,43.797962
"2021-02-23",45.853333,46.393333,45.593334,46.086666,969900,44.401718
"2021-02-24",47.013332,48.166668,46.779999,47.506668,1627050,45.769802
"2021-02-25",47.740002,47.959999,46.513332,46.52,858450,44.81921
"2021-02-26",46.48,46.900002,46.119999,46.220001,1812750,44.530174
"2021-03-01",46.886665,47.253334,46.686668,46.753334,1172850,45.04401
"2021-03-02",46.606667,47.5,46.606667,46.986668,982200,45.268826
"2021-03-03",47.013332,48.266666,46.860001,47.66,1070100,45.91753
"2021-03-04",47.546665,48.060001,46.726665,47.119999,892950,45.39727
"2021-03-05",47.733334,48.773335,47.086666,48.639999,1000650,46.861698
"2021-03-08",48.973331,50.486668,48.713333,49.786667,727500,47.966446
"2021-03-09",49.213333,50.053333,48.313332,49.426666,1491750,47.696255
"2021-03-10",49.246666,50.900002,49.246666,50.666668,1310850,48.892838
"2021-03-11",50.246666,51.119999,49.873333,50.666668,2019900,48.892838
"2021-03-12",51.380001,51.540001,50.693333,51.066666,1213200,49.278831
"2021-03-15",51.026669,51.5,50.720001,51.386665,1521450,49.587631
"2021-03-16",50.826668,51.093334,50.353333,50.806667,894750,49.027935
"2021-03-17",51.16,51.253334,50.386665,50.686668,2101800,48.912144
"2021-03-18",51.006668,51.580002,50.52,50.913334,2102700,49.130871
"2021-03-19",50.506668,50.873333,49.34,49.413334,3242100,47.683388
"2021-03-22",49.133331,49.526669,48.646667,48.846668,1117200,47.136559
"2021-03-23",48.566666,49.080002,48.466667,48.773335,1060500,47.065788
"2021-03-24",49.133331,50.286667,49.133331,49.693333,932400,47.953583
"2021-03-25",49.713333,50.419998,49.233334,50.18,850050,48.42321
"2021-03-26",50.626667,50.626667,50.053333,50.546665,757500,48.777039
"2021-03-29",50.279999,50.759998,50.073334,50.593334,582750,48.822071
"2021-03-30",50.720001,51.033333,50.419998,50.880001,609750,49.098705
"2021-03-31",50.553333,50.733334,50.060001,50.233334,1151100,48.474678
"2021-04-01",49.966667,51.026669,49.84,50.993332,1185000,49.208069
"2021-04-05",51.18,51.706669,51.133331,51.473331,779250,49.671261
"2021-04-06",51.526669,51.98,51.346668,51.953335,746400,50.13446
"2021-04-07",52.433334,52.886665,51.906666,52.386665,1408200,50.55262
"2021-04-08",52.146667,52.786667,52.119999,52.52,878700,50.681286
"2021-04-09",53.02,53.233334,52.613335,53.080002,781200,51.221684
"2021-04-12",53.080002,53.18,52.66,53.033333,1183200,51.176647
"2021-04-13",52.860001,52.860001,52.173332,52.48,927600,50.642685
"2021-04-14",52.459999,53.053333,52.246666,52.993332,942600,51.138046
"2021-04-15",53.053333,53.306667,52.793331,52.939999,9e+05,51.086582
"2021-04-16",53.333332,53.526669,52.866669,53.273335,1306950,51.408249
"2021-04-19",53.413334,53.846668,53.033333,53.84,798300,51.955074
"2021-04-20",53.413334,54.033333,53.266666,53.779999,917550,51.897175
"2021-04-21",54.366669,54.513332,53,53.706669,1579500,51.826412
"2021-04-22",53.560001,53.793331,53.16,53.639999,969900,51.762074
"2021-04-23",53.733334,54.52,53.566666,54.240002,606000,52.341076
"2021-04-26",54.360001,54.826668,53.486668,53.626667,781950,51.749207
"2021-04-27",53.566666,53.873333,53.16,53.713333,877050,51.83284
"2021-04-28",53.726665,53.740002,52.259998,52.593334,1221750,50.752052
"2021-04-29",52.886665,53.306667,52.633331,53.073334,1073100,51.215244
"2021-04-30",53.073334,53.353333,52.759998,53.146667,1026000,51.286018
"2021-05-03",53.533333,54.233334,53.253334,53.673332,1091550,51.794243
"2021-05-04",53.580002,53.913334,53.200001,53.826668,713250,51.942211
"2021-05-05",53.753334,53.900002,52.646667,53.593334,1205400,51.717045
"2021-05-06",53.846668,54.040001,53.226665,53.913334,994800,52.025837
"2021-05-07",53.326668,54.333332,53.200001,54.299999,1138950,52.398968
"2021-05-10",54.599998,54.953335,53.873333,53.919998,851850,52.032265
"2021-05-11",53.886665,53.939999,52.540001,52.726665,725100,50.880718
"2021-05-12",52.966667,52.966667,51.66,51.860001,1016400,50.044392
"2021-05-13",51.580002,53.166668,51.52,52.946667,657750,51.093018
"2021-05-14",53.113335,53.806667,53.046665,53.66,753900,51.781368
"2021-05-17",53.533333,53.533333,52.82,52.939999,627750,51.086582
"2021-05-18",52.693333,53.093334,52.286667,52.433334,825150,50.597656
"2021-05-19",52.113335,52.566666,51.380001,52.506668,933000,50.668423
"2021-05-20",52.619999,52.706669,52.113335,52.333332,661500,50.501152
"2021-05-21",52.493332,52.846668,52.006668,52.240002,795300,50.411091
"2021-05-24",52.373333,52.453335,52.133331,52.16,831300,50.333889
"2021-05-25",52.086666,52.313332,51.060001,51.206669,921300,49.413929
"2021-05-26",51.533333,51.533333,50.946667,51.053333,798150,49.265968
"2021-05-27",51.173332,51.633331,51,51.599998,1845900,49.793495
"2021-05-28",51.880001,52.18,51.599998,51.993332,835800,50.173058
"2021-06-01",52.360001,52.553333,51.740002,51.799999,731700,49.986492
"2021-06-02",51.813332,51.813332,51.279999,51.299999,966900,49.503998
"2021-06-03",51.053333,51.619999,50.720001,51.5,968850,49.696999
"2021-06-04",51.453335,51.606667,51.060001,51.533333,612150,49.729164
"2021-06-07",51.5,51.5,50.446667,50.459999,766050,48.693405
"2021-06-08",50.360001,50.700001,50.133331,50.593334,878250,48.822071
"2021-06-09",50.380001,50.386665,50.080002,50.299999,705450,48.539009
"2021-06-10",50.593334,50.813332,50.18,50.233334,1227900,48.474678
"2021-06-11",50.313332,50.633331,50.313332,50.633331,940950,48.860668
"2021-06-14",50.513332,50.653332,50.086666,50.293331,534750,48.532574
"2021-06-15",50.353333,51.093334,49.973331,50.700001,854850,48.925007
