"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2021-06-14",202.289993,203.589996,200.419998,201.360001,1745900,194.359451
"2021-06-15",201.800003,201.860001,199.529999,200.610001,1709900,193.635529
"2021-06-16",200.570007,200.990005,196.809998,196.910004,2219700,190.064194
"2021-06-17",196.800003,197.5,193,195.139999,2584900,188.355713
"2021-06-18",193.039993,193.570007,191.529999,191.600006,5054600,184.938797
"2021-06-21",193.589996,196.630005,193.589996,195.210007,2528400,188.423279
"2021-06-22",194.75,196.050003,194.100006,195.139999,1772600,188.355713
"2021-06-23",194.800003,195.419998,192.279999,192.360001,2976500,185.672363
"2021-06-24",193.300003,193.740005,191.639999,193.259995,2191800,186.541077
"2021-06-25",193.419998,195.330002,193.300003,194.75,6175500,187.979263
"2021-06-28",195.759995,196.919998,194.389999,196.5,2100500,189.668442
"2021-06-29",196.199997,197.830002,195.720001,196.029999,1858000,189.214767
"2021-06-30",195.899994,198.979996,195.539993,198.630005,2592000,191.72438
"2021-07-01",199.449997,199.669998,197.75,199.089996,1857900,192.168381
"2021-07-02",198.729996,200.289993,197.940002,199.889999,1612900,192.940582
"2021-07-06",196.410004,197.779999,194.759995,196.889999,2546400,190.044861
"2021-07-07",196.130005,200.059998,196.130005,199.860001,1695000,192.911606
"2021-07-08",198.5,199.550003,197.320007,198.270004,2167100,191.376892
"2021-07-09",199.699997,201.899994,199.25,201,2446100,194.011993
"2021-07-12",198.100006,201.460007,197.899994,199.979996,2164000,193.027435
"2021-07-13",200.089996,201.130005,199.149994,199.600006,1688300,192.660675
"2021-07-14",200.580002,203.179993,200.009995,202.830002,2457700,195.778351
"2021-07-15",201.429993,202.770004,200.529999,202.589996,2138700,195.546707
"2021-07-16",203.119995,203.210007,198.910004,199.369995,2474100,192.438644
"2021-07-19",197.789993,198.539993,195.110001,197.559998,3146300,190.691574
"2021-07-20",198.339996,202.220001,198.070007,200.820007,2783300,193.838257
"2021-07-21",201.130005,202.880005,199.960007,200.770004,1999100,193.789993
"2021-07-22",201.509995,201.649994,198.679993,199.070007,1700500,192.149094
"2021-07-23",200.509995,201.039993,198.940002,200.490005,1570700,193.519714
"2021-07-26",200.449997,202.740005,199.929993,201.669998,2409200,194.658676
"2021-07-27",197.210007,201.059998,194.910004,200.470001,2999900,193.500397
"2021-07-28",199.320007,200.369995,198.100006,198.279999,2139100,191.386551
"2021-07-29",200,200,197.940002,198.169998,2120200,191.280365
"2021-07-30",198,199.240005,197.199997,197.940002,1910300,191.058365
"2021-08-02",199.070007,200.699997,197.440002,197.520004,1332500,190.652969
"2021-08-03",198.539993,202.210007,197.399994,201.029999,2208200,194.040924
"2021-08-04",200.399994,200.809998,197.199997,197.529999,2057000,190.662613
"2021-08-05",198.550003,199.119995,197.289993,197.800003,1575200,190.923248
"2021-08-06",198.179993,199.25,197.550003,198.130005,1116200,191.24176
"2021-08-09",197.649994,198.149994,196.779999,197.429993,1193300,190.566101
"2021-08-10",198.240005,199.490005,197.699997,199.25,1598400,192.32283
"2021-08-11",200,201.770004,199.309998,201.570007,2217400,194.56218
"2021-08-12",201.479996,202.369995,200.360001,201.429993,1231800,194.427017
"2021-08-13",201.229996,201.710007,200.289993,200.580002,1910700,193.606598
"2021-08-16",201.089996,202.770004,200.380005,202.320007,1607000,195.286102
"2021-08-17",202,202,197.600006,199.550003,2287900,192.612396
"2021-08-18",198.570007,198.809998,196.309998,196.509995,2116100,189.67807
"2021-08-19",195,196.229996,194.309998,195.360001,2312800,188.568069
"2021-08-20",194.339996,195.130005,193.369995,194.160004,2397400,188.840393
"2021-08-23",195,196.240005,193.679993,194.679993,1974300,189.34613
"2021-08-24",194.820007,196.100006,194.339996,194.75,1392400,189.414215
"2021-08-25",194.520004,195.050003,192.720001,194.339996,1612600,189.015442
"2021-08-26",194.190002,195.389999,193.660004,195.320007,1457300,189.968628
"2021-08-27",196,196.660004,194.119995,195.050003,2146500,189.706009
"2021-08-30",195.179993,197.289993,194.770004,196.169998,1263900,190.795319
"2021-08-31",195.850006,195.990005,194.149994,194.740005,2813900,189.40451
"2021-09-01",194.550003,194.75,192.940002,193.440002,1925400,188.140106
"2021-09-02",194.070007,194.919998,193.470001,194.889999,2094500,189.550385
"2021-09-03",194.460007,195.610001,193.630005,194.389999,1464500,189.064102
"2021-09-07",192.919998,194.570007,185.559998,185.580002,5882300,180.495468
"2021-09-08",185.639999,188.399994,185.020004,187.889999,3657300,182.742188
"2021-09-09",187.539993,188.509995,185.059998,185.75,3038500,180.660812
"2021-09-10",186.860001,187.229996,184.5,184.550003,2231500,179.493698
"2021-09-13",185.300003,187.919998,183.600006,185.229996,5046500,180.15506
"2021-09-14",185.649994,186,181.679993,182.419998,3324100,177.422043
"2021-09-15",182.820007,185.110001,182.330002,184.190002,2554500,179.143539
"2021-09-16",184.149994,184.600006,181.820007,182.660004,2553600,177.655457
"2021-09-17",181.089996,182.660004,179.410004,181.490005,10719300,176.517517
"2021-09-20",178.639999,181.740005,178.289993,180.529999,4152100,175.583817
"2021-09-21",180.970001,181.080002,177.699997,178.419998,2980100,173.531647
"2021-09-22",179.309998,180.949997,178.940002,179.839996,2220800,174.912735
"2021-09-23",180.149994,182.850006,180,181.529999,2186500,176.556412
"2021-09-24",181.5,182.070007,180.619995,181.039993,2076900,176.079834
"2021-09-27",180.830002,183.160004,180.809998,181.789993,2052100,176.809296
"2021-09-28",181.820007,182.850006,179.770004,180.050003,2290400,175.116974
"2021-09-29",179.919998,181.389999,179.169998,180.880005,1674800,175.92424
"2021-09-30",181.720001,182.059998,175.369995,175.419998,3235600,170.613831
"2021-10-01",176.25,177.410004,174.220001,176.679993,2419300,171.83931
"2021-10-04",174.149994,177.100006,173.779999,176.039993,3010100,171.216843
"2021-10-05",176.179993,178.610001,175.570007,177.880005,1888300,173.006424
"2021-10-06",176.630005,178.550003,175.520004,178.399994,2057600,173.512177
"2021-10-07",180,180.779999,177.699997,177.800003,2878100,172.928635
"2021-10-08",177.570007,178.100006,176.779999,176.949997,2469500,172.101898
"2021-10-11",178.020004,178.600006,176.199997,176.279999,2691100,171.450272
"2021-10-12",176.300003,176.889999,175.130005,175.529999,2155900,170.72081
"2021-10-13",175.610001,178.399994,175.039993,177.169998,2030500,172.315887
"2021-10-14",178,180.399994,177.949997,180.320007,2279200,175.379578
"2021-10-15",180.690002,183,180.679993,181.940002,2160800,176.9552
"2021-10-18",180.789993,181.919998,179.339996,181.720001,1753300,176.741226
"2021-10-19",182.440002,182.850006,181.639999,182.309998,1394100,177.315063
"2021-10-20",182.589996,183.179993,182.039993,182.419998,1788500,177.422043
"2021-10-21",182.850006,183.029999,180.520004,182.119995,1661000,177.130264
