"","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2021-05-12",1231.189941,1257.560059,1225.910034,1241.449951,121000,1241.449951
"2021-05-13",1249.349976,1261.77002,1238.540039,1253.640015,97300,1253.640015
"2021-05-14",1255.109985,1277.650024,1250.550049,1274.650024,67400,1274.650024
"2021-05-17",1274.650024,1274.650024,1258.109985,1259.01001,59600,1259.01001
"2021-05-18",1261.25,1261.640015,1244.150024,1245.430054,61900,1245.430054
"2021-05-19",1234.310059,1253.859985,1227.640015,1251.459961,112900,1251.459961
"2021-05-20",1254.300049,1284.52002,1246.449951,1275.880005,92000,1275.880005
"2021-05-21",1278.900024,1291.310059,1272.410034,1276.290039,208400,1276.290039
"2021-05-24",1287.130005,1289.719971,1275.719971,1280.109985,83000,1280.109985
"2021-05-25",1281.300049,1291.01001,1268.599976,1287.099976,113000,1287.099976
"2021-05-26",1295.150024,1296.689941,1269.619995,1281.709961,96800,1281.709961
"2021-05-27",1280.959961,1305.189941,1280.290039,1297.119995,231700,1297.119995
"2021-05-28",1307.829956,1310.97998,1295.119995,1300.949951,64700,1300.949951
"2021-06-01",1315.569946,1317.22998,1285.709961,1296.300049,83300,1296.300049
"2021-06-02",1294.109985,1298.609985,1273.72998,1274.869995,78900,1274.869995
"2021-06-03",1268.800049,1268.800049,1244.410034,1255.280029,129900,1255.280029
"2021-06-04",1261.430054,1263.699951,1248.689941,1256.819946,96700,1256.819946
"2021-06-07",1259.900024,1262.650024,1243.089966,1248.77002,92100,1248.77002
"2021-06-08",1256.939941,1267.72998,1243.670044,1266.040039,94000,1266.040039
"2021-06-09",1273.079956,1285.869995,1264.079956,1269.089966,77600,1269.089966
"2021-06-10",1267.069946,1300.420044,1267.069946,1300.390015,141400,1300.390015
"2021-06-11",1297.98999,1326.150024,1296.380005,1325.47998,111400,1325.47998
"2021-06-14",1329.329956,1352.5,1322.170044,1351.839966,122600,1351.839966
"2021-06-15",1352.01001,1362.26001,1348.949951,1358.420044,138000,1358.420044
"2021-06-16",1358.75,1367.890015,1344.609985,1349.920044,105000,1349.920044
"2021-06-17",1345.400024,1372.560059,1344.790039,1368.050049,121900,1368.050049
"2021-06-18",1363.150024,1384.640015,1351.329956,1352.869995,464100,1352.869995
"2021-06-21",1359.400024,1375.52002,1348.469971,1364.550049,151500,1364.550049
"2021-06-22",1361.150024,1385.670044,1359.369995,1376.98999,94800,1376.98999
"2021-06-23",1372.829956,1377.189941,1354.680054,1356.599976,118600,1356.599976
"2021-06-24",1360,1362.880005,1350,1355.410034,114900,1355.410034
"2021-06-25",1359,1362.189941,1346.280029,1352.02002,175000,1352.02002
"2021-06-28",1362.189941,1387.319946,1352,1381.670044,72100,1381.670044
"2021-06-29",1376.219971,1403.170044,1375.189941,1397.650024,82600,1397.650024
"2021-06-30",1390.650024,1392.52002,1375.199951,1385.339966,150800,1385.339966
"2021-07-01",1384.390015,1387.98999,1376.119995,1381.130005,105300,1381.130005
"2021-07-02",1385.699951,1403.76001,1380.699951,1401.150024,99500,1401.150024
"2021-07-06",1402,1427.420044,1402,1419.650024,124000,1419.650024
"2021-07-07",1424.030029,1436.810059,1410.27002,1435.969971,103200,1435.969971
"2021-07-08",1420.469971,1425.660034,1406.900024,1422.430054,77600,1422.430054
"2021-07-09",1431.079956,1437.150024,1413.569946,1435.410034,89700,1435.410034
"2021-07-12",1438.859985,1447.420044,1428.160034,1436.040039,81400,1436.040039
"2021-07-13",1435.02002,1445.680054,1428.390015,1442.189941,55300,1442.189941
"2021-07-14",1443.22998,1454.780029,1433.23999,1435.560059,62600,1435.560059
"2021-07-15",1427.26001,1445.560059,1426.550049,1436.030029,65300,1436.030029
"2021-07-16",1444.76001,1459.189941,1437.709961,1448.98999,79100,1448.98999
"2021-07-19",1436.23999,1450.22998,1431.209961,1438.660034,98500,1438.660034
"2021-07-20",1445.01001,1463.079956,1430.310059,1443.410034,127400,1443.410034
"2021-07-21",1451.300049,1451.300049,1406,1432.790039,83700,1432.790039
"2021-07-22",1437.48999,1460,1437.48999,1459.589966,55700,1459.589966
"2021-07-23",1462.98999,1482.209961,1462.98999,1477.140015,51100,1477.140015
"2021-07-26",1469.569946,1477.449951,1456.550049,1471.560059,65700,1471.560059
"2021-07-27",1472.890015,1487.189941,1458.839966,1479.880005,62400,1479.880005
"2021-07-28",1487.339966,1501.27002,1483.939941,1487.640015,78400,1487.640015
"2021-07-29",1488.130005,1519.98999,1487.599976,1511.699951,110400,1511.699951
"2021-07-30",1496.76001,1503.719971,1451.079956,1473.709961,140000,1473.709961
"2021-08-02",1485.27002,1490.369995,1467.530029,1480.150024,134300,1480.150024
"2021-08-03",1485.329956,1498.890015,1479.910034,1496.719971,96400,1496.719971
"2021-08-04",1500,1525.069946,1498.689941,1515.26001,96400,1515.26001
"2021-08-05",1519.98999,1528.660034,1506.969971,1527.560059,90500,1527.560059
"2021-08-06",1522.819946,1535.310059,1510.469971,1521.689941,110700,1521.689941
"2021-08-09",1523.23999,1528.109985,1513.589966,1523.939941,94700,1523.939941
"2021-08-10",1526.26001,1530,1509.709961,1515.27002,95800,1515.27002
"2021-08-11",1515.079956,1515.079956,1489.849976,1498.780029,78000,1498.780029
"2021-08-12",1497.319946,1519.670044,1497.319946,1518.150024,60900,1518.150024
"2021-08-13",1516.380005,1537.660034,1516.380005,1537.48999,61700,1537.48999
"2021-08-16",1539.98999,1562.550049,1531.77002,1558.910034,65600,1558.910034
"2021-08-17",1556.369995,1560,1534.72998,1546.25,93700,1546.25
"2021-08-18",1540.449951,1543.719971,1517.859985,1519.930054,76300,1519.930054
"2021-08-19",1507.119995,1544.300049,1504.01001,1541.599976,70900,1541.599976
"2021-08-20",1545.290039,1563.380005,1524.599976,1530.51001,91100,1530.51001
"2021-08-23",1539.430054,1560.599976,1529.880005,1531.920044,133500,1531.920044
"2021-08-24",1531.310059,1539.819946,1516.25,1525.560059,77300,1525.560059
"2021-08-25",1526.530029,1561.76001,1519.849976,1560.619995,103400,1560.619995
"2021-08-26",1559,1569.619995,1540.319946,1556.890015,61800,1556.890015
"2021-08-27",1556.98999,1577.959961,1554.22998,1565.609985,54500,1565.609985
"2021-08-30",1572.380005,1593.569946,1571.359985,1588.72998,53500,1588.72998
"2021-08-31",1593.97998,1594.119995,1543.51001,1552.829956,158400,1552.829956
"2021-09-01",1550.709961,1557.540039,1539.02002,1552.670044,81700,1552.670044
"2021-09-02",1563.109985,1583.810059,1563.109985,1569.189941,93200,1569.189941
"2021-09-03",1567.5,1575.920044,1552.589966,1575.310059,66300,1575.310059
"2021-09-07",1575.310059,1583.01001,1558.180054,1579.449951,71300,1579.449951
"2021-09-08",1582.22998,1613.790039,1581.140015,1604.050049,69700,1604.050049
"2021-09-09",1615.160034,1616.089966,1580.069946,1584.800049,52600,1584.800049
"2021-09-10",1596.689941,1626.619995,1578.030029,1593.98999,101800,1593.98999
"2021-09-13",1606.140015,1606.140015,1534.150024,1555.47998,106600,1555.47998
"2021-09-14",1567.339966,1580.199951,1555,1559.439941,73900,1559.439941
