"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"2021-07-15",112.790001,114.029999,112.790001,113.160004,757100,111.627808
"2021-07-16",113.379997,113.769997,112.599998,112.879997,416700,111.351585
"2021-07-19",112.089996,113.309998,111.339996,112.599998,823700,111.075386
"2021-07-20",118.5,119.800003,116.349998,116.489998,2124400,114.912704
"2021-07-21",116.809998,118.419998,116.690002,118.220001,1620500,116.619293
"2021-07-22",118.220001,120.050003,117.610001,119.839996,959100,118.217346
"2021-07-23",120.050003,122.559998,119.910004,121.309998,956700,119.667435
"2021-07-26",121.480003,122.489998,120.309998,120.790001,624800,119.15448
"2021-07-27",120.419998,121.760002,119.730003,121.410004,552100,119.766098
"2021-07-28",121.400002,121.660004,120.330002,121.339996,553700,119.697037
"2021-07-29",122,122.980003,121.089996,122.709999,590300,121.048492
"2021-07-30",122.809998,123.239998,122.010002,122.169998,780800,120.515808
"2021-08-02",122.279999,123.309998,121.230003,122.730003,816300,121.06823
"2021-08-03",122.839996,124.330002,122.419998,123.709999,875200,122.034943
"2021-08-04",123.760002,128.869995,123.580002,125.550003,1708400,123.850037
"2021-08-05",125.699997,126.089996,119.5,121.889999,1988900,120.239594
"2021-08-06",121.949997,122.050003,119.629997,120.639999,1116600,119.006523
"2021-08-09",120.639999,121.889999,119.199997,120.230003,627200,118.602074
"2021-08-10",119.870003,120.019997,117.32,118.970001,989700,117.359131
"2021-08-11",119.410004,120.029999,118.080002,119.239998,955500,117.625481
"2021-08-12",119.550003,120.519997,118.230003,120.040001,790000,118.41465
"2021-08-13",119.75,120.220001,118.279999,119.57,854900,118.384941
"2021-08-16",119.699997,120.919998,119.25,120.07,573600,118.87999
"2021-08-17",119.989998,121.18,119.419998,120.940002,779700,119.741371
"2021-08-18",120.93,121.07,118.550003,118.580002,550100,117.404747
"2021-08-19",117.940002,120.650002,117.760002,119.260002,712900,118.078018
"2021-08-20",118.970001,119.959999,118.629997,119.540001,458300,118.355232
"2021-08-23",120.160004,120.239998,118.989998,119.68,445900,118.493851
"2021-08-24",119.5,119.5,117.849998,118,878600,116.830505
"2021-08-25",117.830002,118.860001,116.519997,118.089996,898600,116.919609
"2021-08-26",118.059998,118.07,115.809998,116.809998,856500,115.65229
"2021-08-27",117.690002,120.290001,117.190002,119.889999,819900,118.701767
"2021-08-30",119.57,120.489998,119.349998,119.519997,383000,118.335434
"2021-08-31",119.300003,122.849998,119.300003,122.209999,818100,120.998772
"2021-09-01",122.150002,122.82,119.839996,122.68,681900,121.464119
"2021-09-02",122.980003,125,122.980003,124.980003,668000,123.741325
"2021-09-03",125.010002,125.559998,124.910004,125.139999,549600,123.899734
"2021-09-07",125.139999,125.449997,123.25,124.209999,510100,122.978951
"2021-09-08",124.18,125.269997,123.519997,124.309998,422200,123.077957
"2021-09-09",123.910004,124.989998,123.559998,123.599998,489900,122.375
"2021-09-10",123.5,123.989998,121.889999,122.809998,687900,121.592819
"2021-09-13",123.309998,123.809998,122.580002,123.639999,626500,122.414597
"2021-09-14",124,124.470001,122.709999,123.089996,470900,121.870049
"2021-09-15",122.660004,125.879997,121.900002,125.800003,699300,124.553192
"2021-09-16",126.25,126.970001,124.199997,124.230003,682100,122.998756
"2021-09-17",123.779999,124.93,122.980003,123.470001,1696500,122.246292
"2021-09-20",122.739998,123.089996,120.510002,121.970001,871000,120.761154
"2021-09-21",122.720001,123.57,120.989998,121.5,800600,120.295815
"2021-09-22",122.160004,123.330002,121.730003,122.089996,830800,120.879959
"2021-09-23",122.449997,123.650002,122.099998,122.550003,801300,121.335403
"2021-09-24",122.629997,123.040001,121.93,122.300003,416200,121.087883
"2021-09-27",122.120003,123.330002,122.080002,122.629997,614100,121.414612
"2021-09-28",122.889999,122.959999,121.150002,121.290001,834700,120.087891
"2021-09-29",121.400002,123.07,121.400002,122.5,725500,121.285904
"2021-09-30",123.230003,123.839996,119.440002,119.449997,1038800,118.266121
"2021-10-01",119.860001,120.870003,118.589996,119.809998,1011900,118.622559
"2021-10-04",120,121.480003,117.489998,118.330002,926000,117.157234
"2021-10-05",118.480003,120.199997,117.779999,118.610001,730000,117.434456
"2021-10-06",117.790001,118.489998,114.739998,116.900002,919900,115.741402
"2021-10-07",117.25,119.349998,117.029999,118.57,679900,117.394844
"2021-10-08",118.529999,119.879997,118.139999,119.370003,665100,118.186928
"2021-10-11",119.720001,123.75,119.529999,122.400002,1414500,121.18689
"2021-10-12",121.839996,122.040001,118.690002,119.730003,1062100,118.543358
"2021-10-13",119.019997,119.169998,115.959999,118.839996,1011000,117.66217
"2021-10-14",119.669998,120.709999,118.529999,120.110001,711100,118.919594
"2021-10-15",120.629997,121.669998,119.809998,119.860001,986000,118.672066
"2021-10-18",119.099998,119.93,117.800003,118.379997,587700,117.206734
"2021-10-19",119.099998,120.379997,118.739998,119.839996,505300,118.65226
"2021-10-20",119.730003,123.279999,119.730003,122.25,623300,121.038376
"2021-10-21",122.690002,123.120003,121.949997,122.709999,449300,121.49382
"2021-10-22",122.940002,123.669998,122.699997,123.32,364100,122.097771
"2021-10-25",123.349998,123.959999,122.410004,122.599998,407000,121.384911
"2021-10-26",123.040001,123.68,122,122.959999,374200,121.741341
"2021-10-27",122.559998,122.559998,119.540001,119.550003,582500,118.365135
"2021-10-28",119.989998,121.050003,119.68,120.699997,515900,119.503731
"2021-10-29",120.050003,122.18,119.620003,122.019997,633400,120.810654
"2021-11-01",122.419998,123.75,122.199997,122.809998,691600,121.592819
"2021-11-02",124.489998,126.480003,122.739998,125.199997,1210600,123.959137
"2021-11-03",124.82,128.619995,124.580002,128.289993,1138000,127.018517
"2021-11-04",126,128.089996,123.199997,126.779999,974200,125.523483
"2021-11-05",126.540001,129.539993,126.169998,127.57,762800,126.305649
"2021-11-08",127.379997,128,125.760002,125.980003,974200,124.731407
"2021-11-09",125.629997,126.379997,124.529999,124.669998,940300,123.434387
"2021-11-10",125.029999,126.139999,124.93,125.68,601900,124.434387
"2021-11-11",125.099998,125.889999,123.870003,125.690002,529700,124.44429
"2021-11-12",126.230003,127.139999,124.809998,125.339996,737300,124.553589
"2021-11-15",125.339996,125.68,124.019997,124.419998,663500,123.639366
"2021-11-16",124.349998,125.330002,123.809998,123.860001,849700,123.082878
"2021-11-17",123.809998,125.089996,123.07,124.669998,1298100,123.887794
"2021-11-18",125.029999,125.029999,123.730003,124.489998,592700,123.708923
"2021-11-19",125.489998,126.150002,120.389999,120.519997,1533800,119.763832
"2021-11-22",120.339996,122.589996,119.790001,121.120003,1033000,120.360069
"2021-11-23",121.269997,124.239998,120.989998,123.660004,1288800,122.88414
"2021-11-24",123.230003,124.959999,122.790001,123.440002,577000,122.665512
"2021-11-26",121.919998,123.639999,119.93,120.230003,613700,119.475655
"2021-11-29",120.75,121.629997,119.639999,120.230003,896300,119.475655
"2021-11-30",119.650002,120.019997,115.410004,115.75,3201300,115.023766
"2021-12-01",116.419998,117.139999,114.029999,114.080002,1198300,113.364243
"2021-12-02",114.510002,116.529999,113.68,115.800003,1349000,115.073456
"2021-12-03",116.879997,118.809998,115.790001,116.760002,1251200,116.027428
"2021-12-06",118.449997,120.580002,117.769997,118.900002,1116200,118.153999
"2021-12-07",119.339996,120.639999,118.459999,119.519997,846700,118.770103
"2021-12-08",120.410004,121.489998,119.440002,120.849998,868000,120.091759
"2021-12-09",120.32,122.360001,119.839996,121.690002,1025200,120.926491
"2021-12-10",122.300003,123.5,121.75,123.129997,1229100,122.35746
"2021-12-13",123.129997,123.510002,121,122.519997,541700,121.751282
"2021-12-14",122.230003,125.150002,122.230003,123.300003,999300,122.52639
"2021-12-15",123.169998,124.050003,122.470001,123.769997,776700,122.993439
"2021-12-16",124.330002,125.989998,123.519997,123.980003,840300,123.202133
"2021-12-17",124.660004,126.360001,123.610001,125.18,1434700,124.394592
"2021-12-20",124.709999,126.290001,123.209999,126.010002,766200,125.219391
"2021-12-21",126.839996,129.5,126.75,127.610001,1325000,126.809349
"2021-12-22",127.349998,128.660004,126.610001,127.809998,602700,127.008095
"2021-12-23",128.300003,129.919998,127.75,129.529999,717800,128.7173
"2021-12-27",129.919998,132.149994,129.600006,131.899994,497700,131.072433
"2021-12-28",131.759995,132.850006,131.5,132.360001,602200,131.529541
"2021-12-29",132.360001,133.669998,132.190002,133.339996,787700,132.503387
"2021-12-30",134,135.259995,133.350006,133.770004,540100,132.93071
"2021-12-31",133.830002,134.169998,132.839996,132.889999,581000,132.056229
"2022-01-03",132.580002,132.919998,130.869995,132.619995,977800,131.787903
"2022-01-04",132.779999,133.279999,130.539993,131.360001,1111400,130.535828
"2022-01-05",131.690002,135.100006,131.690002,132.5,913700,131.668671
"2022-01-06",132.669998,133,130.160004,130.449997,668300,129.631531
"2022-01-07",131.110001,133.479996,128.899994,133.119995,1106600,132.284775
