"","JKHY.Open","JKHY.High","JKHY.Low","JKHY.Close","JKHY.Volume","JKHY.Adjusted"
"2021-10-05",163.009995,165.389999,161.869995,162.809998,405800,161.443436
"2021-10-06",162,163.410004,160.949997,163.190002,441200,161.820267
"2021-10-07",164.270004,166.139999,163.800003,164.690002,439000,163.307678
"2021-10-08",165.5,167.270004,165.059998,166.059998,259200,164.666153
"2021-10-11",165.919998,166.919998,164.490005,164.820007,229100,163.436584
"2021-10-12",165.199997,165.910004,163.320007,163.789993,338900,162.415222
"2021-10-13",164.259995,165.339996,162.929993,164.839996,235300,163.456421
"2021-10-14",165.710007,168.059998,164.660004,167.979996,256800,166.570053
"2021-10-15",169.199997,171.210007,168.740005,170.059998,370700,168.632599
"2021-10-18",169.440002,171.449997,168.919998,171.050003,253900,169.614288
"2021-10-19",171.210007,171.960007,170.309998,170.949997,330700,169.515121
"2021-10-20",171.839996,172.119995,168.850006,171.080002,330200,169.644028
"2021-10-21",171.440002,172.789993,169.240005,172.240005,294700,170.794296
"2021-10-22",172.720001,174.880005,172.720001,174.240005,218300,172.777512
"2021-10-25",174.130005,175,173.279999,174.050003,218500,172.589111
"2021-10-26",174.440002,174.889999,172.779999,174.050003,209500,172.589111
"2021-10-27",174.119995,174.119995,163.820007,164.699997,603100,163.317581
"2021-10-28",164.580002,166.440002,162.919998,163.850006,417800,162.474716
"2021-10-29",163.199997,167.729996,163.199997,166.479996,461600,165.082626
"2021-11-01",166.600006,167.419998,164.679993,166.029999,270500,164.636414
"2021-11-02",166.669998,166.669998,159.050003,159.300003,621400,157.962921
"2021-11-03",158.479996,160.970001,153.179993,159.130005,1068500,157.794342
"2021-11-04",159.130005,162.309998,158.009995,158.649994,454500,157.318359
"2021-11-05",159.580002,160.740005,157.580002,158.350006,566200,157.020889
"2021-11-08",158.419998,163.509995,158.029999,161.100006,971200,159.747818
"2021-11-09",153.910004,159.759995,153.740005,159.039993,920800,157.705093
"2021-11-10",159.419998,162.5,158.229996,161.759995,615800,160.402252
"2021-11-11",162.429993,162.720001,158.850006,159.210007,408100,157.873672
"2021-11-12",159.210007,159.589996,157.039993,157.740005,1114800,156.416
"2021-11-15",158.160004,158.919998,156.839996,157,430800,155.682205
"2021-11-16",157.690002,159.389999,157.610001,157.639999,424300,156.316849
"2021-11-17",157.179993,158.350006,152.869995,153.800003,1131500,152.509079
"2021-11-18",153.490005,153.610001,150.809998,151.800003,847800,150.525864
"2021-11-19",152.410004,154.339996,151.729996,153.210007,849900,151.924042
"2021-11-22",152.940002,154.289993,151.610001,153.179993,584200,151.894272
"2021-11-23",153.050003,154.149994,152.110001,153.039993,498000,151.755447
"2021-11-24",152.520004,154.029999,152.199997,152.809998,496700,151.52739
"2021-11-26",152.550003,153.289993,149.520004,151.139999,372800,149.871384
"2021-11-29",152.509995,153.179993,150.770004,152.309998,748900,151.031586
"2021-11-30",152.360001,153.350006,150.289993,151.630005,1354400,150.3573
"2021-12-01",152.970001,154.360001,147.860001,147.960007,946100,146.718094
"2021-12-02",147.5,153.5,147.5,152.149994,673900,151.34343
"2021-12-03",152.080002,155.369995,151.100006,154.020004,819900,153.203522
"2021-12-06",154.470001,159.190002,153.169998,158.889999,627000,158.047714
"2021-12-07",159.589996,160.059998,156.309998,157.369995,1012500,156.535767
"2021-12-08",157.880005,157.880005,156.080002,156.320007,434300,155.491333
"2021-12-09",155.940002,157.339996,155.330002,156.559998,429200,155.730057
"2021-12-10",156.929993,158.820007,155.970001,158.25,402300,157.411087
"2021-12-13",157.960007,163.850006,157.960007,162.520004,863500,161.658478
"2021-12-14",161.410004,163.589996,161.360001,162.350006,473800,161.489365
"2021-12-15",159.360001,160.800003,158.449997,159.919998,616100,159.07225
"2021-12-16",160.729996,165.399994,159.630005,165.100006,791200,164.224792
"2021-12-17",164.830002,165.130005,162.690002,164.240005,1024300,163.369354
"2021-12-20",163.089996,163.600006,161.220001,162.990005,406400,162.125977
"2021-12-21",162.820007,165.279999,162.029999,165.020004,308100,164.145203
"2021-12-22",165.270004,166.770004,163.759995,165.830002,358900,164.950912
"2021-12-23",166.740005,167.279999,165.410004,165.429993,313800,164.553024
"2021-12-27",165.960007,165.960007,163.460007,165.550003,233800,164.672409
"2021-12-28",166.059998,167.419998,164.339996,167.380005,150600,166.492691
"2021-12-29",167.229996,168.399994,166.410004,167.839996,193100,166.950256
"2021-12-30",168.529999,169.009995,167.559998,167.720001,211800,166.830902
"2021-12-31",167.309998,168.110001,166.729996,166.990005,228000,166.104767
"2022-01-03",167.070007,171.600006,166.119995,171.5,507700,170.590866
"2022-01-04",171.110001,175.779999,169.149994,174.660004,771500,173.734116
"2022-01-05",174.789993,177.539993,172.770004,172.919998,870800,172.003342
"2022-01-06",173.039993,174.339996,168.399994,169.600006,530800,168.700943
"2022-01-07",169.179993,171.130005,167.399994,169.75,416700,168.850143
