"","NXPI.Open","NXPI.High","NXPI.Low","NXPI.Close","NXPI.Volume","NXPI.Adjusted"
"2021-06-11",201.009995,202.410004,199.429993,201.130005,1810900,197.593414
"2021-06-14",201.550003,204.470001,199.080002,203.570007,2099600,200.551895
"2021-06-15",202.789993,204.960007,201.860001,202.990005,2071400,199.980499
"2021-06-16",204,204.440002,197.410004,200.259995,2017600,197.290955
"2021-06-17",199.770004,201.179993,195.289993,198.429993,1781300,195.488083
"2021-06-18",195.619995,197.020004,192.710007,193.100006,4796600,190.237137
"2021-06-21",194.350006,198.679993,193.490005,198.460007,2312300,195.51767
"2021-06-22",197.710007,198.710007,195.720001,197.399994,1646000,194.473358
"2021-06-23",196.089996,199.869995,195.940002,199.149994,1672000,196.197418
"2021-06-24",200.990005,205.110001,200.389999,203.830002,2570300,200.808044
"2021-06-25",204.470001,206.399994,202.440002,204.169998,13139800,201.14299
"2021-06-28",205.850006,206.770004,203.460007,206.179993,1931300,203.123199
"2021-06-29",205.679993,207.949997,204.910004,207.699997,1802300,204.620651
"2021-06-30",207.580002,207.669998,203.630005,205.720001,2167900,202.670013
"2021-07-01",205.539993,205.710007,201.270004,201.860001,1551600,198.867233
"2021-07-02",203.190002,203.940002,200.940002,202.729996,1197200,199.72435
"2021-07-06",202.729996,203.919998,199.850006,201.740005,2135900,198.749023
"2021-07-07",203,203.470001,197.789993,198.350006,2079100,195.409286
"2021-07-08",194.220001,197.130005,191.75,195.990005,1930500,193.08429
"2021-07-09",196.100006,201.25,194.809998,200.350006,1384600,197.379639
"2021-07-12",202.399994,204.490005,200.720001,204.410004,2090400,201.37944
"2021-07-13",203.710007,204.830002,202.889999,204,1708500,200.97551
"2021-07-14",206.559998,208.75,202.559998,203.550003,1612600,200.532181
"2021-07-15",197.25,199.570007,192.809998,194.410004,3957600,191.527695
"2021-07-16",195.389999,197.270004,189.539993,190.110001,2342300,187.291443
"2021-07-19",187.559998,189.369995,184.919998,188.619995,2592700,185.823532
"2021-07-20",189.089996,195.020004,187.839996,193.309998,1797100,190.444
"2021-07-21",193,198.679993,193,198.619995,1890900,195.675262
"2021-07-22",196.839996,196.839996,192.25,194.309998,1926400,191.429169
"2021-07-23",195.690002,196.940002,193.789993,196.350006,1933400,193.438934
"2021-07-26",196,198.720001,195.729996,198.160004,1535800,195.222092
"2021-07-27",196.529999,197,190.649994,194.25,2024800,191.370056
"2021-07-28",195.160004,200.100006,195.160004,198.580002,1752900,195.635864
"2021-07-29",201.770004,204.830002,201.020004,204.270004,1671300,201.241501
"2021-07-30",202.339996,206.669998,202.020004,206.389999,1635500,203.330078
"2021-08-02",210.199997,215.889999,208.559998,208.979996,3383900,205.881683
"2021-08-03",210.100006,210.990005,203.039993,210.529999,2082400,207.408691
"2021-08-04",211.130005,214.339996,209.639999,212.429993,1817900,209.280518
"2021-08-05",213.320007,214.880005,211.110001,212.899994,1777900,209.743546
"2021-08-06",211.690002,214.320007,211.690002,213.75,1259700,210.580963
"2021-08-09",215.119995,218.160004,212.919998,217.110001,2147300,213.891144
"2021-08-10",216.710007,218.029999,214.190002,217.259995,1564700,214.03891
"2021-08-11",217.669998,218.839996,214.009995,218.419998,1475400,215.181732
"2021-08-12",216.449997,217.229996,213.380005,214.529999,2398900,211.349396
"2021-08-13",214.139999,216.820007,213.520004,215.259995,1421500,212.068558
"2021-08-16",212.979996,214.600006,211.979996,213.179993,1543300,210.019394
"2021-08-17",211.279999,211.770004,204.600006,206.5,2280900,203.438461
"2021-08-18",206.5,208.070007,203.600006,203.820007,1536700,200.798203
"2021-08-19",200.75,203.419998,199.610001,203.020004,2372200,200.010056
"2021-08-20",202.699997,205.229996,202.350006,205,1325100,201.960709
