"","PFG.Open","PFG.High","PFG.Low","PFG.Close","PFG.Volume","PFG.Adjusted"
"2021-08-11",66.25,67.059998,65.379997,66.959999,882500,64.513817
"2021-08-12",67.139999,67.379997,66.709999,67.18,550100,64.725777
"2021-08-13",67.440002,67.510002,66.839996,66.940002,596800,64.494545
"2021-08-16",66.419998,67.010002,65.870003,66.650002,1210600,64.215126
"2021-08-17",65.959999,66.589996,65.349998,66.080002,790100,63.665958
"2021-08-18",65.889999,66.739998,65.459999,65.510002,787300,63.116783
"2021-08-19",64.480003,65.349998,64.110001,64.589996,657300,62.230389
"2021-08-20",64.529999,65.32,64.220001,65.029999,1142300,62.654316
"2021-08-23",65.43,66.459999,65.330002,65.949997,790300,63.540703
"2021-08-24",65.970001,67.010002,65.860001,66.870003,837500,64.427094
"2021-08-25",67.209999,68.400002,66.879997,67.75,1002100,65.274948
"2021-08-26",67.940002,67.940002,66.629997,66.660004,786400,64.224777
"2021-08-27",66.949997,68.190002,66.860001,68.120003,558900,65.631439
"2021-08-30",67.43,68.269997,67.010002,67.160004,549300,64.706505
"2021-08-31",66.650002,67.25,66.309998,66.809998,1012500,64.978821
"2021-09-01",66.949997,66.989998,65.809998,65.910004,1028000,64.1035
"2021-09-02",66.209999,66.68,65.940002,66.379997,928500,64.560608
"2021-09-03",66.419998,66.43,65.519997,66,846600,64.191025
"2021-09-07",66.040001,66.400002,65.25,65.309998,804800,63.519936
"2021-09-08",65.150002,65.540001,64.580002,64.949997,676500,63.169807
"2021-09-09",64.849998,66.220001,64.760002,65.260002,1045800,63.47131
"2021-09-10",65.660004,65.790001,64.580002,64.870003,1194200,63.092007
"2021-09-13",65.709999,66.410004,64.940002,65.940002,1250900,64.132675
"2021-09-14",66.330002,66.330002,64.879997,65.139999,976000,63.354595
"2021-09-15",65.269997,66.489998,65.150002,66.080002,948200,64.268837
"2021-09-16",66.360001,66.629997,65.410004,65.739998,1096000,63.938148
"2021-09-17",65.300003,66.370003,64.660004,65.160004,2344200,63.37405
"2021-09-20",63.48,63.889999,60.970001,61.98,1395700,60.281208
"2021-09-21",62.599998,62.599998,61.040001,61.709999,1508400,60.018608
"2021-09-22",62.630001,63.200001,62.27,62.57,1072700,60.855042
"2021-09-23",63.080002,64.699997,63.080002,64.220001,843400,62.45982
"2021-09-24",64.330002,65.410004,64.18,64.449997,975800,62.683506
"2021-09-27",65.110001,67.089996,65.110001,66.529999,1009400,64.706497
"2021-09-28",66.480003,66.980003,65.449997,65.620003,1135200,63.821445
"2021-09-29",65.68,65.879997,64.910004,65.349998,861200,63.558849
