"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2021-06-10",107.849998,108.93,107.379997,108.660004,719300,104.780617
"2021-06-11",108.139999,109,107.75,108.940002,639300,105.050629
"2021-06-14",109.139999,109.139999,108.199997,108.900002,943400,105.012047
"2021-06-15",109.019997,109.730003,108.690002,109.230003,917700,105.330269
"2021-06-16",109.839996,110.230003,107.209999,107.400002,1175500,103.565598
"2021-06-17",107.169998,108.370003,106.699997,107.650002,920300,103.806679
"2021-06-18",107.349998,107.349998,102.93,103.389999,2564400,99.698761
"2021-06-21",103.75,105.010002,103.410004,104.489998,1141500,100.759491
"2021-06-22",104.199997,104.489998,103.220001,103.220001,952700,99.534843
"2021-06-23",103,103.019997,101.260002,101.379997,1056200,97.760529
"2021-06-24",101.639999,101.779999,100.529999,100.959999,1012600,97.35553
"2021-06-25",100.809998,101.610001,100.459999,101.580002,1311700,97.9534
"2021-06-28",101.790001,102.589996,101.459999,102.330002,892500,98.676613
"2021-06-29",102,102.510002,100.160004,100.459999,1056500,96.873375
"2021-06-30",100.599998,100.82,99.269997,99.699997,1195100,96.140503
"2021-07-01",99.699997,102.080002,99.489998,101.559998,771300,97.934097
"2021-07-02",101.709999,102.080002,101.059998,101.809998,776100,98.175171
"2021-07-06",101.5,102.370003,100.489998,102.309998,774200,98.657326
"2021-07-07",102.160004,102.839996,101.599998,102.790001,775900,99.120193
"2021-07-08",102.260002,102.839996,101.959999,102.269997,794100,98.618752
"2021-07-09",102.720001,103.190002,101.949997,102.919998,673500,99.245544
"2021-07-12",102.519997,103.25,102.129997,103.040001,595100,99.361267
"2021-07-13",103.080002,103.190002,101.269997,101.660004,570200,98.030533
"2021-07-14",101.730003,103.080002,101.220001,102.529999,641900,98.869469
"2021-07-15",102.18,103.720001,102.089996,103.620003,977400,99.920563
"2021-07-16",103.790001,105.339996,103.389999,104.720001,749200,100.981293
"2021-07-19",104.050003,104.459999,100.199997,101.610001,1157000,97.982315
"2021-07-20",101.669998,103.339996,101.669998,102.349998,767300,98.695892
"2021-07-21",102.959999,102.959999,101.07,101.150002,538500,97.538734
"2021-07-22",101.120003,101.610001,100.449997,100.889999,578300,97.288025
"2021-07-23",101.139999,102.760002,101.050003,102.739998,798700,99.071976
"2021-07-26",102.769997,104.010002,102.480003,103.779999,1051500,100.074837
"2021-07-27",103.660004,105.93,103.199997,105.339996,716300,101.57914
"2021-07-28",105.260002,105.5,103.580002,104.309998,640000,100.585915
"2021-07-29",104.730003,104.959999,103.82,104.379997,558200,100.653419
"2021-07-30",104.459999,105.510002,102.660004,102.919998,1161400,99.245544
"2021-08-02",103.349998,104.199997,103.010002,103.580002,1678400,99.881981
"2021-08-03",103.75,104.699997,103.160004,103.970001,944300,100.258064
"2021-08-04",102.690002,104.089996,102.150002,103.709999,1264100,100.007339
"2021-08-05",104.059998,106.599998,103.599998,106.459999,1109600,102.659164
"2021-08-06",106.769997,106.889999,105.599998,106.089996,1259600,102.302368
"2021-08-09",106.190002,106.93,105.800003,106.830002,1111300,103.015961
"2021-08-10",106.800003,108.919998,106.449997,108.669998,1270400,104.79026
"2021-08-11",108.010002,109.309998,107.519997,109.010002,1037800,106.045174
"2021-08-12",108.860001,109.489998,108.410004,108.690002,953900,105.733887
"2021-08-13",108.449997,110.040001,108.410004,109.879997,941800,106.891502
"2021-08-16",109.959999,111.75,109.010002,110.279999,1723800,107.280624
