"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2021-08-02",79.489998,79.82,78.650002,79.540001,5339300,77.701813
"2021-08-03",79.339996,79.879997,79.089996,79.419998,3635700,77.584595
"2021-08-04",79.260002,79.470001,77.82,78.25,4194400,76.44162
"2021-08-05",78.769997,79.379997,78.400002,78.900002,4135100,77.076599
"2021-08-06",78.970001,79.25,78.300003,78.629997,2877400,76.812836
"2021-08-09",78.769997,78.93,78.029999,78.339996,2563700,76.529549
"2021-08-10",78.550003,78.769997,77.989998,78.730003,2740600,76.910538
"2021-08-11",78.580002,79.339996,78.580002,79.099998,4239100,77.27198
"2021-08-12",79.599998,79.639999,78.779999,78.790001,3595500,76.969147
"2021-08-13",78.739998,79.580002,78.68,79.440002,3521600,77.604134
"2021-08-16",79.489998,80.150002,79.489998,79.779999,6098900,77.936272
"2021-08-17",79.540001,80.720001,79.519997,80.029999,3356600,78.180489
"2021-08-18",79.839996,79.889999,78.120003,78.160004,3654100,76.353714
"2021-08-19",78.190002,79.279999,78.190002,78.970001,3527800,77.144989
"2021-08-20",79.120003,79.43,78.559998,78.800003,3026100,76.97892
"2021-08-23",78.730003,78.980003,78.330002,78.379997,3163400,76.568619
"2021-08-24",78,78.290001,77.660004,77.669998,2923000,75.875031
"2021-08-25",77.5,77.830002,76.989998,77.650002,3636600,75.855492
"2021-08-26",77.669998,77.790001,77.050003,77.309998,2317300,75.523346
"2021-08-27",77.309998,77.809998,77.209999,77.440002,2294200,75.650352
"2021-08-30",77.629997,77.940002,77.449997,77.650002,1960800,75.855492
"2021-08-31",77.650002,78.279999,77.519997,77.949997,3786900,76.14856
"2021-09-01",77.839996,78.470001,77.830002,78.330002,2658000,76.519783
"2021-09-02",78.330002,78.559998,78.089996,78.519997,2549700,76.705383
"2021-09-03",78.400002,78.449997,77.769997,77.910004,3030200,76.109489
"2021-09-07",77.900002,77.949997,76.830002,76.900002,3246400,75.122818
"2021-09-08",76.610001,77.860001,76.599998,77.779999,3863900,75.982491
"2021-09-09",78.07,78.220001,77.230003,77.300003,3956900,75.51358
"2021-09-10",77.470001,77.470001,76.790001,77.040001,3360100,75.259598
"2021-09-13",77.339996,78.18,77.160004,77.379997,3371400,75.591728
"2021-09-14",77.379997,77.589996,77.089996,77.300003,2950600,75.51358
"2021-09-15",77.480003,77.839996,77.080002,77.209999,3662100,75.425659
"2021-09-16",77.129997,77.25,75.860001,76.470001,4170600,74.702766
"2021-09-17",76.260002,76.949997,76.169998,76.230003,7334200,74.468307
"2021-09-20",77.019997,77.230003,75.690002,76.169998,4942500,74.409698
"2021-09-21",76.279999,77.110001,76.260002,76.389999,4247500,74.624603
"2021-09-22",76.760002,77.040001,76.25,76.43,2811500,74.663681
"2021-09-23",76.730003,76.910004,76.309998,76.669998,2393100,74.89814
"2021-09-24",76.599998,76.949997,76.5,76.629997,2214000,74.859055
"2021-09-27",76.5,76.660004,75.919998,76.010002,2899700,74.253387
"2021-09-28",75.620003,76.160004,75.410004,75.82,4949500,74.067787
"2021-09-29",75.82,77.360001,75.690002,77.080002,4094300,75.29866
"2021-09-30",77.120003,77.290001,75.580002,75.580002,4178800,73.833328
"2021-10-01",75.849998,76.019997,75.07,75.580002,3473400,73.833328
"2021-10-04",75.510002,75.93,74.610001,75.059998,3943600,73.325348
"2021-10-05",75,75.080002,74.370003,74.419998,4915400,72.700134
"2021-10-06",74.07,75.190002,74.010002,75.099998,4052700,73.364418
"2021-10-07",75.529999,76.410004,75.519997,75.589996,3642200,73.843086
"2021-10-08",75.540001,75.889999,75.309998,75.589996,3327900,73.843086
"2021-10-11",75.900002,76.160004,75.57,75.800003,3742400,74.048248
"2021-10-12",75.650002,76.199997,75.400002,75.669998,2788900,73.921249
"2021-10-13",75.75,76.220001,75.080002,76.07,3684000,74.312004
"2021-10-14",76.209999,76.809998,76,76.599998,3739000,74.829758
"2021-10-15",76.660004,76.989998,76,76.25,4076000,74.487839
"2021-10-18",75.93,76.010002,75.169998,75.279999,4331000,73.540253
"2021-10-19",74.699997,74.900002,74.290001,74.779999,5206800,73.051811
"2021-10-20",74.57,75.629997,74.519997,75.099998,5317600,73.808571
"2021-10-21",75.43,75.599998,74.830002,74.889999,4370500,73.602188
"2021-10-22",74.809998,75.690002,74.580002,75.5,7665400,74.201691
"2021-10-25",75.019997,75.349998,74.199997,75.139999,6205900,73.847885
"2021-10-26",75.440002,76.190002,75.230003,76.160004,5400200,74.850349
"2021-10-27",76.309998,76.610001,75.610001,75.900002,4583100,74.594818
"2021-10-28",75.900002,76.910004,75.699997,76.879997,4849900,75.557961
"2021-10-29",77.029999,77.449997,75.669998,76.190002,6683300,74.879829
"2021-11-01",75.989998,76.599998,75.669998,75.949997,4008000,74.643951
