"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2021-02-22",90.239998,90.440002,88.669998,89,1960400,87.048531
"2021-02-23",91.400002,91.989998,88.650002,88.959999,2596000,87.009399
"2021-02-24",88.660004,89.959999,88.620003,89.589996,1334100,87.625595
"2021-02-25",89.620003,91.410004,89.440002,90.440002,2298700,88.45694
"2021-02-26",90.550003,91.5,89.080002,89.089996,2081600,87.136551
"2021-03-01",89.769997,91.57,89.629997,90.75,1519600,88.760147
"2021-03-02",90.620003,91.93,90.349998,91.610001,1489900,89.601295
"2021-03-03",91.400002,91.870003,90.68,91.360001,1395500,89.356773
"2021-03-04",91.349998,93.349998,91.029999,91.389999,2343500,89.386124
"2021-03-05",91.900002,94.699997,91.839996,94.449997,1759300,92.379013
"2021-03-08",94.989998,97.239998,94.57,95.639999,1565500,93.542923
"2021-03-09",95.620003,96.32,94.610001,94.629997,1504000,92.555069
"2021-03-10",94.720001,96.32,94.339996,95.849998,1293400,93.748314
"2021-03-11",95.309998,95.629997,94.879997,95.199997,1291800,93.112579
"2021-03-12",95.629997,96.620003,95.279999,96.18,1040800,94.071083
"2021-03-15",96.18,96.660004,95.32,96.57,973400,94.452538
"2021-03-16",96.580002,97.160004,95.790001,96.599998,762300,94.481888
"2021-03-17",96.839996,96.839996,94.059998,94.230003,963100,92.163849
"2021-03-18",94.489998,97.099998,94.18,96.720001,1571700,94.599258
"2021-03-19",96.970001,97.290001,95.629997,96.010002,2301800,93.904823
"2021-03-22",95.989998,96.709999,95.089996,96.660004,2037700,94.540573
"2021-03-23",95.959999,97.230003,95.779999,96.82,1363500,94.69706
"2021-03-24",96.75,98.610001,96.75,98.220001,1438300,96.06636
"2021-03-25",98.529999,99.370003,97.610001,99.089996,1046800,96.917274
"2021-03-26",99.43,101.400002,99.199997,101.290001,1250900,99.069054
"2021-03-29",100.779999,101.989998,100.580002,101.120003,949600,98.902763
"2021-03-30",100.870003,101.419998,100.25,100.43,662500,98.227898
"2021-03-31",99.580002,99.959999,99.019997,99.349998,1294100,97.584541
"2021-04-01",99.760002,99.949997,98.720001,99.720001,898300,97.94796
"2021-04-05",100.5,101.400002,100.290001,101.050003,1072300,99.254341
"2021-04-06",101.169998,102.139999,100.68,101.580002,826500,99.774918
"2021-04-07",102.480003,103.18,102.080002,102.379997,983700,100.560692
"2021-04-08",102.139999,102.470001,101.830002,102.349998,978200,100.531227
"2021-04-09",102.470001,103.639999,102.330002,103.550003,928000,101.709915
"2021-04-12",103.949997,104.330002,102.779999,103.290001,1090700,101.454529
"2021-04-13",102.620003,104.120003,102.510002,103.629997,1276700,101.788483
"2021-04-14",103.5,103.790001,103.190002,103.459999,776900,101.621498
"2021-04-15",103.57,104.550003,103.519997,104.209999,808500,102.358177
