"","ATO.Open","ATO.High","ATO.Low","ATO.Close","ATO.Volume","ATO.Adjusted"
"2020-12-02",96.5,97.110001,94.32,96.190002,1020400,92.495522
"2020-12-03",96.190002,96.889999,95.519997,96.519997,822900,92.812851
"2020-12-04",96.959999,98.010002,95.709999,97.269997,1123900,93.534035
"2020-12-07",96.879997,98.25,96.879997,97.25,769600,93.514809
"2020-12-08",97.019997,98.25,96.779999,97.589996,705100,93.841751
"2020-12-09",97.669998,98.080002,96.900002,97.75,707000,93.995613
"2020-12-10",97.900002,98.330002,96.900002,98.169998,857700,94.399475
"2020-12-11",98.209999,99.269997,97.900002,99.07,1100900,95.264915
"2020-12-14",99.82,101.07,99.389999,99.510002,1074700,95.688004
"2020-12-15",100.089996,102.260002,99.830002,101.68,1351400,97.774666
"2020-12-16",101.449997,101.68,99.25,99.349998,847700,95.534164
"2020-12-17",99.559998,100.779999,99.050003,99.089996,795500,95.284142
"2020-12-18",99.239998,99.699997,94.779999,95.110001,2443000,91.457016
"2020-12-21",94.120003,95.139999,91.349998,92.019997,1468100,88.485695
"2020-12-22",92.169998,92.870003,91.57,92.330002,821200,88.783791
"2020-12-23",92.550003,93.5,91.919998,92.029999,634700,88.495308
"2020-12-24",92.309998,92.800003,91.57,92.769997,331700,89.206879
"2020-12-28",92.93,94.199997,92.639999,93.410004,529400,89.822296
"2020-12-29",93.599998,94.25,92.580002,93.160004,706600,89.581917
"2020-12-30",93.470001,95.040001,93.059998,93.510002,947100,89.918465
"2020-12-31",93.269997,95.489998,93.019997,95.43,631500,91.764709
"2021-01-04",95.400002,95.919998,93.699997,94.029999,1106700,90.418488
"2021-01-05",94.269997,94.360001,92,92.610001,862000,89.053032
"2021-01-06",93.07,94.099998,92.480003,93.709999,810200,90.110779
"2021-01-07",93.720001,93.779999,89.389999,89.769997,993900,86.322113
"2021-01-08",90,90.230003,88.330002,89.260002,1054400,85.831703
"2021-01-11",88.959999,89.980003,87.330002,87.669998,924700,84.302765
"2021-01-12",87.5,88.650002,86.849998,87.620003,978400,84.254684
"2021-01-13",87.629997,88.610001,87.57,88.459999,841300,85.062424
"2021-01-14",89.129997,89.129997,87.199997,87.639999,581200,84.273918
"2021-01-15",87.669998,90.120003,87.269997,90.029999,987200,86.572121
"2021-01-19",90.419998,90.949997,89.629997,90.080002,1399600,86.620209
"2021-01-20",90.309998,91.529999,89.650002,90.089996,1223400,86.629814
"2021-01-21",89.580002,90.169998,89.120003,89.449997,709700,86.014389
"2021-01-22",89.25,89.900002,87.980003,89.089996,593800,85.668221
"2021-01-25",88.800003,91.470001,88.43,90.440002,1333800,86.966385
"2021-01-26",90.779999,91.57,89.82,90.949997,849600,87.456787
"2021-01-27",90.339996,92,90.300003,90.830002,1138200,87.341393
"2021-01-28",91.019997,91.730003,87.959999,88.57,1797900,85.16819
"2021-01-29",88.050003,90.080002,87.690002,89,3088800,85.58168
"2021-02-01",89.059998,89.669998,88.050003,88.650002,1069600,85.245132
"2021-02-02",88.900002,90.370003,87.959999,88.660004,757700,85.254745
"2021-02-03",88.75,89.18,86.709999,87.050003,1026400,83.706581
"2021-02-04",87.459999,88.830002,87.029999,88.779999,1370300,85.370132
"2021-02-05",89.190002,89.459999,88.5,89.050003,696300,85.629768
"2021-02-08",89.190002,89.809998,88.589996,89.080002,886700,85.658615
"2021-02-09",89.139999,89.629997,88.279999,89.599998,666600,86.158646
"2021-02-10",90.169998,92.129997,89.849998,91.849998,1136300,88.32222
"2021-02-11",91.120003,92.010002,90.300003,91.040001,865500,87.54332
"2021-02-12",91,91.779999,90.160004,91.050003,767100,87.552948
"2021-02-16",90.839996,91.489998,90.279999,91.129997,722100,87.629875
"2021-02-17",91.260002,92.910004,90.900002,92.43,964200,88.879944
"2021-02-18",92.57,94.300003,92.57,93.690002,854300,90.091553
"2021-02-19",92.889999,94.129997,92.209999,93.559998,2130000,90.570732
"2021-02-22",90,90.980003,88.589996,89.410004,2185500,86.553329
"2021-02-23",90.410004,91.919998,89.300003,89.629997,997200,86.766296
"2021-02-24",89.949997,90.120003,88.559998,88.669998,1002100,85.836975
"2021-02-25",88.879997,90.25,88.080002,88.230003,927900,85.411026
"2021-02-26",88.379997,88.629997,84.589996,84.610001,1414100,81.906693
"2021-03-01",85.610001,86.93,85.589996,85.75,755100,83.010269
"2021-03-02",85.919998,87.440002,85.800003,87.239998,1057900,84.452652
"2021-03-03",87.760002,89.459999,86.949997,88.449997,1117900,85.623993
"2021-03-04",89.919998,91.169998,88.529999,88.900002,1376900,86.059624
"2021-03-05",88.93,92.639999,88.93,91.709999,1691600,88.779839
"2021-03-08",92,92.220001,89.68,91.639999,1078800,88.712082
"2021-03-09",90.150002,91.349998,89.260002,89.339996,920600,86.48555
"2021-03-10",89.860001,91.099998,89.059998,90.809998,881600,87.908592
"2021-03-11",90.120003,90.699997,89.510002,89.879997,684300,87.008308
"2021-03-12",90.720001,91.970001,90.290001,91.419998,762300,88.499107
"2021-03-15",91.989998,93.290001,91.610001,93.190002,749300,90.212555
"2021-03-16",92.839996,94.050003,92.690002,93.800003,993800,90.80307
"2021-03-17",93.860001,94.550003,92.330002,92.43,786100,89.476837
"2021-03-18",92.239998,93.800003,91.639999,93.529999,779200,90.541687
"2021-03-19",93.529999,94.900002,92.860001,94.089996,1945800,91.083794
"2021-03-22",93.720001,94.169998,92,93.540001,1026800,90.551369
"2021-03-23",93,94.480003,92.870003,94.18,750900,91.170921
"2021-03-24",94.349998,96.400002,93.93,95.849998,847500,92.787567
"2021-03-25",96.339996,97.43,95.220001,97.080002,746800,93.978264
"2021-03-26",97.129997,97.309998,95.43,97.239998,654700,94.133156
"2021-03-29",97.269997,98.860001,97.07,98.849998,973400,95.691719
"2021-03-30",98.489998,99.230003,97.489998,98.889999,931800,95.730438
"2021-03-31",98.239998,99.25,96.949997,98.849998,1142800,95.691719
"2021-04-01",98.57,98.860001,97.080002,98.239998,689200,95.101212
"2021-04-05",98.160004,99.199997,97.599998,98.620003,513700,95.469063
"2021-04-06",98.349998,98.57,97.489998,98.260002,731600,95.120567
"2021-04-07",97.919998,98.870003,97.260002,98.230003,563500,95.091537
"2021-04-08",98.669998,98.860001,97.730003,98.32,848400,95.17865
"2021-04-09",98.800003,99.419998,98.339996,99.129997,543200,95.962761
"2021-04-12",99.620003,100.279999,99.199997,99.360001,479300,96.185425
"2021-04-13",99.510002,100.410004,98.879997,99.089996,740200,95.924042
"2021-04-14",98.830002,100.440002,98.739998,100.129997,575300,96.930817
"2021-04-15",100,101.339996,99.809998,101.32,651500,98.082802
"2021-04-16",101.709999,102.150002,100.529999,101.82,868400,98.566818
"2021-04-19",102.309998,102.309998,101.239998,101.839996,969000,98.586182
