"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"2021-10-25",353.269989,357.160004,351.480011,356.440002,1523800,353.206482
"2021-10-26",356.98999,359.309998,356.269989,356.339996,1547700,353.107361
"2021-10-27",355.019989,356.920013,353.790009,354.049988,1567700,350.838165
"2021-10-28",355.440002,358.420013,354.73999,356.320007,1500600,353.087585
"2021-10-29",354.579987,359.619995,354.100006,358.790009,1936400,355.535126
"2021-11-01",358.829987,359.880005,352.100006,355.320007,1600200,352.096649
"2021-11-02",357.040009,363.23999,356.589996,361.5,2204300,358.220551
"2021-11-03",360.940002,362.5,354.390015,362.100006,1727500,358.815125
"2021-11-04",362.940002,366.920013,361.470001,366.799988,1979200,363.472473
"2021-11-05",368.850006,372.119995,366.959991,368.459991,2110600,365.117401
"2021-11-08",370,370.660004,366.119995,366.929993,1731600,363.601318
"2021-11-09",366.630005,367.779999,364.769989,367.470001,1865700,364.136414
"2021-11-10",364.970001,367.320007,362.679993,364.73999,1352400,361.431183
"2021-11-11",365.579987,367.160004,364.25,366.209991,1184300,362.887848
"2021-11-12",368,371.609985,366.369995,371.230011,1802100,367.862305
"2021-11-15",371.769989,372.119995,368.059998,368.450012,1957400,365.107544
"2021-11-16",367.299988,373.109985,367.019989,371.160004,2041600,367.792938
"2021-11-17",371.549988,374.920013,369.570007,372.779999,2254600,369.398224
"2021-11-18",371.320007,372.75,369.279999,370.779999,2555900,367.416382
"2021-11-19",371.950012,374.700012,369.670013,369.790009,2554000,366.435364
"2021-11-22",371.420013,372.700012,363.079987,363.299988,2098400,360.004211
"2021-11-23",362.450012,363.570007,357.25,360.700012,1998600,357.427856
"2021-11-24",359.230011,362.929993,358.700012,362.369995,2191500,359.082672
"2021-11-26",361.170013,361.839996,352.700012,353.600006,2649400,350.392242
"2021-11-29",359.140015,369.529999,359.140015,365.820007,2857100,362.501373
"2021-11-30",361.670013,365.049988,357.290009,357.399994,4761200,354.157776
"2021-12-01",365.269989,369.579987,359.950012,360.140015,2876800,356.872894
"2021-12-02",359.709991,368.890015,359.709991,365.299988,3183100,361.986053
"2021-12-03",369.410004,370.76001,357.339996,361.420013,2331900,358.141327
"2021-12-06",361.98999,365.399994,358.089996,362.230011,2100200,358.94397
"2021-12-07",370,373.140015,365.980011,371.339996,1943800,367.971313
"2021-12-08",371.940002,374.859985,369.649994,374.529999,2271000,371.132355
"2021-12-09",372.799988,373.880005,370.579987,371.450012,1841400,368.080322
"2021-12-10",374.220001,379.929993,373,379.440002,1984000,375.997833
"2021-12-13",379.440002,381.149994,377.26001,377.720001,2843900,374.293427
"2021-12-14",374.380005,375.779999,366.51001,369.730011,2475200,366.375916
"2021-12-15",370.209991,375.880005,367.290009,375.299988,2804900,371.895355
"2021-12-16",413.070007,413.649994,399.019989,400.600006,6298500,396.965851
"2021-12-17",396.359985,404.609985,391.320007,396.23999,4929100,392.645416
"2021-12-20",390.880005,391.429993,383.519989,385.779999,2690800,382.280304
"2021-12-21",388,393.149994,384.850006,392.890015,2222400,389.325836
"2021-12-22",393.23999,403.75,393.209991,403.690002,2282400,400.027832
"2021-12-23",402.299988,406.850006,400.959991,403.309998,1374000,399.651245
"2021-12-27",406.76001,415.950012,406.339996,415.329987,1906300,411.562225
"2021-12-28",415,417.149994,413.679993,415.269989,1362600,411.502777
"2021-12-29",414.820007,417.369995,412.700012,415.420013,1041700,411.651428
"2021-12-30",416.26001,416.660004,411.880005,413.829987,1278000,410.075806
