"","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2021-08-03",70.980003,72.360001,70.589996,72.290001,3574100,70.802963
"2021-08-04",71.989998,72.480003,71.349998,71.360001,3964400,69.892082
"2021-08-05",71.760002,72.18,71.279999,71.889999,3350600,70.411186
"2021-08-06",72.239998,72.660004,71.910004,72.07,1953000,70.587486
"2021-08-09",71.739998,72.010002,71.269997,71.730003,2754900,70.254471
"2021-08-10",71.830002,72.650002,71.650002,72.339996,2074500,70.851929
"2021-08-11",72.550003,73,72.239998,72.989998,2135000,71.488556
"2021-08-12",73,73.220001,72.5,73,1704600,71.498352
"2021-08-13",73,73.150002,72.620003,72.82,1734400,71.322052
"2021-08-16",72.760002,73.68,72.360001,73.510002,2134200,71.997864
"2021-08-17",72.940002,73.07,71.970001,73,2454400,71.498352
"2021-08-18",72.690002,73.410004,72.389999,72.440002,2645600,70.949875
"2021-08-19",71.690002,73.449997,71.629997,73.029999,3795500,71.527725
"2021-08-20",73.150002,73.559998,72.779999,73.400002,2372000,71.890121
"2021-08-23",73.75,74.330002,73.339996,74.169998,3129700,72.644279
"2021-08-24",74.040001,74.93,74.040001,74.620003,1874200,73.08503
"2021-08-25",74.82,75.68,74.690002,75.129997,2004900,73.584534
"2021-08-26",75.019997,75.279999,74.610001,74.769997,1916200,73.231941
"2021-08-27",75.18,75.639999,74.589996,74.730003,2778700,73.192764
"2021-08-30",74.940002,75.370003,74.68,74.970001,4681000,73.427826
"2021-08-31",74.769997,75.300003,74.43,74.800003,4563200,73.26133
"2021-09-01",74.779999,74.949997,74.040001,74.32,2925800,72.791191
"2021-09-02",74.690002,75.120003,74.519997,75.110001,2814000,73.564949
"2021-09-03",75.019997,75.370003,74.470001,75.019997,3329300,73.476799
"2021-09-07",74.620003,74.959999,72.849998,73.349998,4077700,71.841148
"2021-09-08",73.120003,75.57,72.989998,74.699997,7783100,73.163376
"2021-09-09",75.059998,76.830002,75,75.629997,5018200,74.074242
"2021-09-10",76.370003,76.510002,75.019997,75.07,4193300,73.525772
"2021-09-13",75.68,76.080002,74.129997,74.739998,3851400,73.202545
"2021-09-14",75.040001,75.43,74.290001,74.370003,3666400,72.840164
"2021-09-15",74.330002,76.029999,74.25,75.769997,3507400,74.211372
"2021-09-16",75.769997,76.169998,75.239998,75.309998,3559200,73.760826
"2021-09-17",74.699997,75.540001,74.400002,74.589996,6720700,73.055634
"2021-09-20",73.279999,73.410004,71.75,72.730003,5632700,71.23391
"2021-09-21",73.379997,73.519997,71.989998,72.25,4125800,70.763779
"2021-09-22",72.650002,73.43,72.639999,72.82,4666300,71.322052
"2021-09-23",73.199997,74.639999,73.199997,74.080002,4888600,72.556137
"2021-09-24",73.43,73.900002,73.190002,73.57,3372500,72.320213
"2021-09-27",73.440002,73.720001,71.860001,71.919998,4940100,70.698235
"2021-09-28",71.220001,71.43,69.660004,70.440002,9213300,69.243393
"2021-09-29",70.75,71.379997,70.279999,70.489998,4293400,69.292534
"2021-09-30",70.879997,71.199997,68.059998,68.080002,6255200,66.923477
"2021-10-01",68.339996,69.330002,67.800003,69.019997,4209600,67.847504
"2021-10-04",68.5,69.260002,67.940002,68.589996,3834100,67.424812
"2021-10-05",69.010002,70.050003,68.519997,69.269997,2671600,68.093254
"2021-10-06",68.610001,69.589996,68.43,69.480003,3360900,68.29969
"2021-10-07",70.07,71.089996,70.059998,70.290001,2681000,69.095932
"2021-10-08",70.57,70.620003,68.970001,69.010002,2717900,67.837677
"2021-10-11",68.739998,69.639999,68.720001,68.790001,2283500,67.621414
"2021-10-12",69.029999,69.32,67.959999,68.160004,3479800,67.002121
"2021-10-13",68.57,69.300003,68.110001,68.949997,3877700,67.778687
"2021-10-14",69.43,71.279999,69.400002,71.25,3038500,70.039627
"2021-10-15",71.889999,72.360001,71.260002,71.300003,3299300,70.088776
"2021-10-18",70.709999,72.160004,70.620003,72.099998,2996500,70.875183
"2021-10-19",72.419998,73.07,72.220001,72.480003,3337600,71.248734
"2021-10-20",72.660004,73.559998,72.32,73.120003,2327800,71.877853
