"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted"
"2021-07-02",167.699997,168.979996,167.009995,168.5,2028700,166.563446
"2021-07-06",172.539993,172.539993,167.800003,169.559998,4688100,167.611267
"2021-07-07",169.600006,174.759995,169.380005,170.979996,3998900,169.014938
"2021-07-08",166.949997,170.039993,165.589996,167.5,4628400,165.574936
"2021-07-09",170,172.309998,169.210007,171.940002,3175200,169.963913
"2021-07-12",170.070007,174.100006,169.880005,173.600006,3154100,171.604828
"2021-07-13",174,174.740005,172.419998,172.619995,2675000,170.636093
"2021-07-14",172.860001,174.550003,171.009995,172.520004,3123100,170.537247
"2021-07-15",171.139999,173.259995,171.100006,172.850006,3448200,170.863449
"2021-07-16",173.740005,173.789993,169.539993,170.009995,4359800,168.056091
"2021-07-19",165.649994,166.380005,161.479996,162.809998,6739800,160.938828
"2021-07-20",162.940002,169.580002,162.570007,168.869995,4243700,166.929184
"2021-07-21",170.740005,173.619995,169.740005,172.509995,3384500,170.527344
"2021-07-22",172.25,173.210007,169.050003,170.899994,3335900,168.935852
"2021-07-23",176.529999,179.669998,172.949997,173.179993,6326600,171.189651
"2021-07-26",173.25,175.429993,172.300003,172.610001,3115900,170.626221
"2021-07-27",170.460007,175.119995,169.960007,172.940002,7922600,170.952438
"2021-07-28",173,173.449997,169.710007,170.020004,7961700,168.065979
"2021-07-29",171.389999,173.820007,171,171.949997,3186900,169.973801
"2021-07-30",172.320007,173.240005,169.820007,170.529999,3441900,168.570099
"2021-08-02",171.139999,173.360001,168.759995,169.270004,2895700,167.3246
"2021-08-03",169.75,170.289993,165.300003,169.039993,3642000,167.097229
"2021-08-04",168.300003,170.440002,167.320007,168.059998,3544400,166.128525
"2021-08-05",168.660004,170.529999,168.320007,169.630005,2535400,167.68045
"2021-08-06",170.529999,172.850006,169.740005,171.360001,2828700,169.390579
"2021-08-09",170.350006,171.119995,168.789993,170.779999,2560200,168.817245
"2021-08-10",170.729996,171.699997,168.679993,169.490005,3389500,167.542068
"2021-08-11",169.449997,170.729996,168.669998,170.669998,3843400,168.708511
"2021-08-12",170.020004,170.110001,167.970001,168.520004,3372800,166.583221
"2021-08-13",168.089996,168.300003,165.610001,166.080002,4157700,164.171265
"2021-08-16",164.770004,165.899994,162.630005,165.75,3845400,163.845062
"2021-08-17",164.759995,166.350006,163.350006,164.649994,7631600,162.75769
"2021-08-18",163.830002,165.139999,162.059998,162.130005,3563700,160.266647
"2021-08-19",160.160004,161.089996,157.330002,159.029999,4256400,157.202271
"2021-08-20",158.850006,159.990005,158.059998,159.75,3075000,157.914001
"2021-08-23",161.229996,161.850006,160.110001,160.449997,2006300,158.605972
"2021-08-24",160.600006,161.899994,160.190002,161.199997,2377600,159.347336
"2021-08-25",161.880005,167.229996,160.5,166.179993,3579900,164.270081
"2021-08-26",165.970001,166.5,164.380005,165.509995,3164700,163.607803
"2021-08-27",165.350006,168.889999,165.160004,168.649994,3002300,166.711716
"2021-08-30",168.160004,168.300003,164.210007,164.259995,2582100,162.372177
"2021-08-31",164.100006,166.429993,163.720001,165.960007,3536300,164.052643
"2021-09-01",166.339996,167.279999,164.130005,164.440002,2569000,162.550095
"2021-09-02",165.050003,165.080002,161.139999,162.050003,4350600,160.187576
"2021-09-03",160.75,161.279999,158.169998,159.300003,4206500,157.469177
"2021-09-07",158.869995,160.660004,158.570007,159.720001,3779000,157.884369
"2021-09-08",159.190002,159.259995,156.800003,158.929993,3056700,157.103424
"2021-09-09",158.779999,162.149994,158.539993,159.389999,3295800,157.558167
"2021-09-10",161.169998,161.460007,158.389999,158.720001,2943700,156.895859
"2021-09-13",160.639999,161.800003,159.75,161.449997,3192500,159.594467
"2021-09-14",162.679993,165.830002,158.779999,159.479996,4281500,157.64711
"2021-09-15",160.020004,162.309998,159.210007,161.339996,2933100,159.485733
"2021-09-16",163.100006,164.5,162.199997,162.630005,2765000,160.76091
"2021-09-17",161.570007,164.25,161.570007,163.919998,6390600,162.036072
"2021-09-20",159.360001,162.139999,157.949997,160.570007,5976900,158.724594
"2021-09-21",161.910004,165.350006,161.690002,163.270004,3480600,161.393555
"2021-09-22",165.619995,168.619995,164.899994,167.490005,3562800,165.565063
"2021-09-23",169.490005,174.100006,169.309998,173.360001,4399200,171.367599
"2021-09-24",173.369995,176,173.300003,175.720001,2680400,173.70047
"2021-09-27",177.669998,178.800003,176.330002,176.770004,3703300,174.738403
"2021-09-28",175.490005,177.240005,172.690002,173.139999,3862200,171.150131
"2021-09-29",172.889999,172.979996,170.399994,171.539993,2726100,169.568512
"2021-09-30",172.179993,172.360001,167.410004,167.529999,3088200,165.604599
"2021-10-01",168.5,175.119995,168.479996,173.940002,3956000,171.940918
"2021-10-04",173.880005,177.229996,171.880005,172.660004,3613900,170.675629
"2021-10-05",173.429993,176.059998,172.639999,174.759995,2629400,172.751495
"2021-10-06",172.550003,174.899994,169.899994,173.399994,2922200,171.40712
"2021-10-07",175.5,176.869995,173.699997,174.289993,3578800,172.715195
"2021-10-08",173.850006,176.979996,173.529999,175.149994,2375300,173.567413
"2021-10-11",175.789993,176.789993,173.330002,173.460007,2499200,171.8927
"2021-10-12",173.610001,176.559998,173.100006,174.910004,3069500,173.329605
"2021-10-13",172.779999,174.089996,167.080002,168.720001,5608100,167.195526
"2021-10-14",171,172.380005,169.809998,171.509995,3061900,169.960312
"2021-10-15",173.770004,177.770004,173.149994,175.809998,3043900,174.221466
"2021-10-18",175.580002,177.610001,174.330002,176.820007,2623300,175.222336
"2021-10-19",177.729996,178,176.259995,177.309998,1400100,175.707901
"2021-10-20",176.949997,179.770004,176.210007,179.600006,2398500,177.977219
"2021-10-21",179.580002,179.789993,176.009995,177.470001,3313800,175.86647
"2021-10-22",185,189.029999,182.199997,187.080002,6026100,185.389648
"2021-10-25",186.729996,187.210007,181.830002,182.309998,3889600,180.662735
"2021-10-26",183.419998,183.5,177.520004,180.949997,3832200,179.315033
"2021-10-27",180.100006,183.729996,177.910004,178.029999,3309900,176.421402
"2021-10-28",178.399994,179.229996,173.020004,174.610001,4865700,173.032303
"2021-10-29",175.630005,176.669998,173.039993,173.779999,3455400,172.209808
"2021-11-01",174.580002,176.070007,173.339996,174.210007,2250400,172.635925
"2021-11-02",175,175.199997,172.570007,173.169998,3252900,171.605301
"2021-11-03",172.699997,173.830002,171.75,172.610001,3831200,171.050369
"2021-11-04",172.130005,174.020004,171.660004,172.529999,3315400,170.9711
"2021-11-05",176.179993,177.789993,175.350006,176.690002,3936000,175.093506
"2021-11-08",178.070007,182.089996,177.789993,180.050003,3392000,178.423157
"2021-11-09",179.759995,181.190002,178.429993,179.860001,3203300,178.234863
"2021-11-10",179.360001,183.479996,179.360001,181.389999,3296700,179.751053
"2021-11-11",181.990005,182.729996,180.740005,181.300003,2119700,179.66185
"2021-11-12",180.710007,182.380005,179.649994,181.889999,2390200,180.246536
"2021-11-15",182.529999,183.929993,182.039993,183.130005,1748300,181.475342
"2021-11-16",183.399994,183.399994,179.740005,180.919998,3299200,179.285294
"2021-11-17",181.179993,181.740005,178.199997,179.610001,3543500,177.987137
"2021-11-18",180,180.369995,175.839996,176.210007,4011500,174.617859
"2021-11-19",173.729996,175.270004,171.839996,173.539993,4456500,171.97197
"2021-11-22",174.990005,175.25,170.889999,170.899994,4651700,169.35582
"2021-11-23",171.300003,171.949997,167.830002,170.850006,5890300,169.30629
