"","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume","TXT.Adjusted"
"2021-05-05",65.290001,66.029999,64.629997,65.699997,1229700,65.606949
"2021-05-06",66.099998,67.349998,65.849998,67.309998,1492500,67.214661
"2021-05-07",66.650002,68.18,66.010002,68.080002,1350100,67.983582
"2021-05-10",68.389999,69.160004,67.940002,68.050003,1052500,67.953621
"2021-05-11",67.190002,67.779999,66.029999,67.129997,1507500,67.034912
"2021-05-12",66.93,67.32,64.150002,64.309998,1315400,64.21891
"2021-05-13",64.389999,67.220001,63.880001,66.709999,1083200,66.615509
"2021-05-14",67.230003,68.230003,66.910004,67.989998,1262400,67.893692
"2021-05-17",67.57,68.489998,67.099998,68.290001,900500,68.193275
"2021-05-18",68.309998,68.550003,66.330002,66.379997,1201500,66.28598
"2021-05-19",65.599998,66.599998,64.889999,66.5,1525300,66.405815
"2021-05-20",66.660004,67.419998,66.190002,67.169998,843400,67.07486
"2021-05-21",67.559998,68.300003,66.43,66.610001,1370500,66.515663
"2021-05-24",67.169998,67.639999,66.669998,67.410004,814700,67.314529
"2021-05-25",67.400002,68.169998,66.860001,66.889999,1078400,66.795258
"2021-05-26",66.919998,67.650002,66.599998,67.43,1337700,67.334496
"2021-05-27",68.18,68.629997,67.709999,68.529999,2601300,68.43293
"2021-05-28",68.519997,68.889999,68.110001,68.470001,996800,68.373024
"2021-06-01",69,69.620003,68.730003,69.059998,1165500,68.962181
"2021-06-02",69.230003,69.230003,67.879997,68.550003,1181500,68.452911
"2021-06-03",68.160004,68.769997,67.760002,68.389999,1459900,68.293137
"2021-06-04",68.75,69.269997,68.150002,69.099998,1098900,69.002121
"2021-06-07",69.25,70,69.080002,69.970001,1112900,69.870895
"2021-06-08",70,70.68,69.470001,70.279999,1280200,70.180466
"2021-06-09",69.599998,69.93,68.940002,69.059998,1454400,68.962181
"2021-06-10",69.699997,69.699997,67.809998,68.220001,906300,68.14312
"2021-06-11",68.589996,68.879997,67.459999,68.379997,2277500,68.302925
"2021-06-14",67.970001,68.190002,66.599998,67.150002,1031400,67.074318
"2021-06-15",67.790001,68.970001,67.209999,68.690002,1193400,68.612579
"2021-06-16",68.239998,68.790001,67.389999,67.809998,1201400,67.733566
"2021-06-17",68.040001,68.150002,65.010002,65.610001,1363200,65.536057
"2021-06-18",64.559998,64.75,63.700001,63.84,3221200,63.768047
"2021-06-21",64.699997,66.209999,64.32,66.089996,1064000,66.015511
"2021-06-22",66.050003,66.120003,64.889999,65.589996,952200,65.516068
"2021-06-23",66.07,66.769997,65.360001,66.050003,1218700,65.975555
"2021-06-24",66.470001,67.010002,65.650002,66.699997,821000,66.624825
"2021-06-25",67.07,67.870003,66.760002,67.190002,1171000,67.114273
"2021-06-28",66.970001,67.43,66.07,67.199997,875200,67.124252
"2021-06-29",70,70.139999,67.540001,67.559998,2020800,67.483856
"2021-06-30",67.269997,68.959999,67.260002,68.769997,1074000,68.692482
"2021-07-01",68.970001,69.209999,68.459999,69.050003,1097700,68.972183
"2021-07-02",69.199997,69.32,68.470001,69.040001,708600,68.962189
"2021-07-06",68.720001,69.209999,66.879997,67.309998,1410300,67.234131
"2021-07-07",66.860001,68.010002,66.360001,67.830002,1323900,67.753555
"2021-07-08",66.599998,67.300003,65.779999,66.330002,1186000,66.255249
"2021-07-09",67.459999,68.379997,67.269997,67.699997,845200,67.623695
"2021-07-12",66.900002,68.019997,66.330002,67.919998,986400,67.843445
"2021-07-13",67.720001,68.050003,66.660004,66.690002,675700,66.614838
"2021-07-14",66.849998,67.510002,65.739998,66.599998,889000,66.524933
"2021-07-15",65.760002,67.690002,65.760002,66.900002,1225700,66.8246
"2021-07-16",68.620003,68.849998,65.940002,66.279999,1643000,66.205299
"2021-07-19",64.339996,64.800003,63.279999,63.549999,1395600,63.478371
"2021-07-20",64.139999,67.279999,63.689999,67.07,1481700,66.994408
"2021-07-21",67.800003,69.050003,67.660004,68.660004,941500,68.582619
"2021-07-22",68.709999,68.709999,67.68,68.160004,853300,68.083183
"2021-07-23",68.660004,68.910004,67.620003,68.029999,711600,67.953323
"2021-07-26",68.050003,68.910004,67.419998,68.139999,1212200,68.063202
"2021-07-27",67.720001,69.120003,67.339996,68.660004,736700,68.582619
"2021-07-28",68.660004,69.910004,68.510002,69.099998,1337400,69.022118
"2021-07-29",69.5,69.559998,67.139999,69.290001,1385400,69.211899
"2021-07-30",68.93,69.160004,68.050003,69.010002,1357300,68.93222
"2021-08-02",69.610001,72.309998,69.599998,69.690002,1703900,69.611458
"2021-08-03",69.970001,71.760002,68.209999,71.669998,1794200,71.589218
"2021-08-04",70.620003,72.25,70.099998,70.099998,1847800,70.020996
"2021-08-05",70.650002,72.379997,70.580002,71.660004,1302200,71.579239
"2021-08-06",72.330002,72.790001,71.519997,72.610001,981300,72.52816
"2021-08-09",71.949997,72.800003,71.510002,72.239998,981200,72.158577
