"","GL.Open","GL.High","GL.Low","GL.Close","GL.Volume","GL.Adjusted"
"2021-03-15",101.150002,101.190002,99.639999,101.18,254900,99.913284
"2021-03-16",100.290001,100.889999,98.900002,99.629997,264600,98.382683
"2021-03-17",100.550003,101.389999,99.489998,100.510002,317400,99.251671
"2021-03-18",101.75,102.25,99.889999,100.040001,443200,98.787552
"2021-03-19",99.190002,100.019997,97.879997,98.959999,985300,97.721062
"2021-03-22",98.209999,98.849998,97.440002,98.169998,392200,96.940956
"2021-03-23",97.269997,98.32,95.769997,96.25,495000,95.044998
"2021-03-24",96.949997,98.25,96.610001,96.650002,391600,95.439995
"2021-03-25",96.720001,98.410004,95.529999,98.139999,463000,96.911331
"2021-03-26",99.190002,99.190002,97.410004,98.459999,381500,97.227333
"2021-03-29",97.260002,98.339996,96.379997,97.32,373700,96.101601
"2021-03-30",97.68,98.620003,97.269997,98.32,291500,97.089088
"2021-03-31",97.669998,98.470001,96.599998,96.629997,466300,95.420242
"2021-04-01",95.959999,98.730003,95.919998,98.690002,371700,97.654556
"2021-04-05",99.400002,100.010002,98.370003,98.690002,303400,97.654556
"2021-04-06",98.639999,99.330002,98.25,98.919998,510300,97.882141
"2021-04-07",98.660004,99.639999,98.279999,98.889999,243700,97.852448
"2021-04-08",98.239998,98.529999,97.660004,97.980003,227000,96.952003
"2021-04-09",99.029999,99.410004,98.43,99.410004,345000,98.367004
"2021-04-12",99.790001,101.25,99.18,100.800003,444600,99.742416
"2021-04-13",100.25,101.029999,99.639999,100.639999,369900,99.584084
"2021-04-14",100.440002,101.849998,100.440002,101.760002,371100,100.692337
"2021-04-15",101.989998,102.360001,101.129997,102.099998,319300,101.028778
"2021-04-16",103.43,104.620003,103.410004,104.410004,492900,103.314545
"2021-04-19",104.68,105.050003,103.910004,104.269997,320300,103.176003
"2021-04-20",103.830002,104.199997,102.809998,103.32,560700,102.23597
"2021-04-21",103.68,105.580002,103.239998,105.370003,474900,104.264473
"2021-04-22",104.839996,104.839996,101.260002,102.110001,538700,101.038673
"2021-04-23",102.139999,103.650002,102.139999,103.080002,344600,101.998489
"2021-04-26",103.57,104.620003,102.410004,102.470001,295800,101.39489
"2021-04-27",102.050003,103.059998,101.889999,102.699997,316700,101.622467
"2021-04-28",103.18,103.190002,102.220001,102.309998,251000,101.236565
"2021-04-29",103.150002,103.809998,102.660004,103.43,303800,102.344818
"2021-04-30",103.18,103.519997,102.169998,102.489998,418700,101.41468
"2021-05-03",103.769997,104.199997,103.160004,103.330002,428500,102.245865
"2021-05-04",102.940002,104.110001,102.559998,103.959999,351300,102.869263
"2021-05-05",103.910004,105.260002,103.599998,105.230003,383900,104.125931
"2021-05-06",105.690002,106.419998,104.699997,106.279999,393300,105.164909
"2021-05-07",104.610001,106.110001,104.339996,105.989998,349900,104.87796
"2021-05-10",106.620003,108.220001,105.830002,105.860001,319000,104.749321
"2021-05-11",105.099998,105.669998,103.830002,103.910004,349600,102.819778
"2021-05-12",104.5,104.5,101.870003,102.120003,328200,101.048561
"2021-05-13",101.68,105.559998,101.68,105.099998,335600,103.997292
"2021-05-14",105.190002,106.800003,104.699997,106.43,233100,105.313347
"2021-05-17",106.209999,106.529999,105.279999,105.790001,316000,104.680054
"2021-05-18",105.550003,106.459999,105.099998,105.18,278900,104.076447
"2021-05-19",104.050003,105.120003,103.400002,105.040001,333700,103.93792
"2021-05-20",105.089996,105.230003,103.639999,104.690002,260600,103.591591
"2021-05-21",105.010002,106.169998,104.790001,105.470001,266300,104.363403
"2021-05-24",105.660004,105.669998,104.910004,105.339996,245400,104.234772
"2021-05-25",105.099998,106.080002,103.349998,103.690002,353600,102.602097
"2021-05-26",104.389999,104.449997,103.199997,103.989998,385200,102.898941
"2021-05-27",104.970001,105.410004,104.540001,105.190002,499200,104.086357
"2021-05-28",105.739998,105.800003,104.739998,105.419998,285800,104.313942
"2021-06-01",106.32,106.919998,105.220001,105.980003,319200,104.868065
"2021-06-02",106.080002,106.540001,105.220001,106.089996,321800,104.976906
"2021-06-03",105.510002,106.709999,105.089996,106.32,277800,105.204491
"2021-06-04",106.059998,106.650002,105.32,106.489998,209000,105.372711
"2021-06-07",107,107,106.089996,106.470001,276700,105.352921
"2021-06-08",105.900002,106.629997,104.949997,106.379997,305100,105.263855
"2021-06-09",105.980003,106.040001,104.739998,104.82,314700,103.72023
"2021-06-10",105.610001,105.610001,103.419998,103.550003,257700,102.463554
"2021-06-11",103.809998,104.389999,103.260002,104.160004,274100,103.067162
"2021-06-14",104.050003,104.110001,102.519997,102.970001,236300,101.889641
"2021-06-15",103.239998,104.660004,102.660004,104.160004,433800,103.067162
"2021-06-16",104.010002,104.169998,102.610001,103.059998,484400,101.978699
"2021-06-17",103.610001,103.790001,98.080002,98.110001,541700,97.080627
"2021-06-18",95.459999,96.540001,91.860001,92.25,1855900,91.282112
"2021-06-21",93.080002,95.860001,93.080002,95.699997,817000,94.695908
"2021-06-22",95.699997,95.730003,94.239998,95.050003,486200,94.052742
"2021-06-23",95.440002,96.07,94.879997,95.050003,547500,94.052742
"2021-06-24",95.279999,96.879997,94.980003,96.300003,630700,95.289627
"2021-06-25",96.809998,98.400002,96.279999,98.019997,453500,96.99157
"2021-06-28",97.739998,97.980003,96.040001,96.190002,429600,95.180786
"2021-06-29",96.870003,97.43,95.080002,95.160004,377600,94.161591
"2021-06-30",94.68,95.419998,94.440002,95.25,700700,94.250641
"2021-07-01",95.620003,96.769997,95.129997,96.660004,740800,95.845085
"2021-07-02",96.459999,96.900002,95.459999,95.790001,315900,94.982414
"2021-07-06",95.699997,95.699997,93.220001,94.07,555200,93.276917
"2021-07-07",93.18,94.870003,93.18,94.639999,473300,93.84211
"2021-07-08",92.57,92.910004,91.199997,91.739998,649300,90.96656
"2021-07-09",92.970001,94.519997,92.790001,94.459999,331500,93.663628
"2021-07-12",93.669998,94.599998,93.139999,94.5,310700,93.703285
"2021-07-13",94.089996,94.440002,93.610001,94.07,356400,93.276917
"2021-07-14",93.910004,95.07,93.290001,93.769997,280500,92.979439
"2021-07-15",92.519997,94.620003,92.449997,94.489998,270200,93.693375
"2021-07-16",95.32,95.32,93.779999,94.050003,324400,93.257088
"2021-07-19",92.139999,92.510002,90.080002,90.629997,492200,89.865913
"2021-07-20",90.889999,94.029999,90.889999,93.099998,431400,92.315094
"2021-07-21",94.07,95.5,93.290001,93.849998,331000,93.058777
"2021-07-22",93.949997,94.5,92.309998,92.910004,615500,92.126701
"2021-07-23",93.519997,94.25,92.970001,93.360001,553400,92.572906
"2021-07-26",93.400002,94.720001,93.139999,93.860001,607100,93.068695
"2021-07-27",92.879997,94.309998,92.370003,93.410004,316100,92.62249
"2021-07-28",93.800003,94.379997,92.739998,93.139999,331600,92.354759
"2021-07-29",94.050003,95.18,93.290001,94.230003,343800,93.43557
"2021-07-30",93.730003,94.690002,92.889999,93.110001,472000,92.325005
"2021-08-02",93.849998,94.889999,92.529999,92.699997,399100,91.918465
"2021-08-03",93.269997,93.510002,91.529999,92.349998,379100,91.571419
"2021-08-04",91.25,92.720001,91.019997,91.599998,405300,90.827744
"2021-08-05",92.419998,93.43,91.779999,92.620003,251500,91.839142
"2021-08-06",93.870003,94.620003,93.489998,94.129997,309000,93.336411
"2021-08-09",93.959999,94.93,93.410004,94.279999,262700,93.485146
"2021-08-10",94.400002,96.050003,93.879997,95.629997,387900,94.823761
"2021-08-11",95.940002,97.589996,95.199997,97.489998,371800,96.668091
"2021-08-12",97.489998,97.68,96.449997,96.68,224200,95.864914
"2021-08-13",96.440002,96.669998,96.110001,96.400002,204800,95.58728
"2021-08-16",95.739998,97.199997,95.370003,96.269997,365600,95.458366
"2021-08-17",95.629997,96.610001,95.260002,96.160004,237800,95.349289
"2021-08-18",95.68,96.68,95.220001,95.610001,269200,94.80394
"2021-08-19",94.839996,95.959999,94.330002,94.870003,251100,94.070175
"2021-08-20",94.660004,95.18,94.160004,94.980003,311500,94.179245
"2021-08-23",95.849998,96.540001,95.480003,95.870003,330700,95.061745
"2021-08-24",96.040001,96.849998,95.919998,96.550003,172800,95.736015
"2021-08-25",96.949997,97.879997,96.239998,97.150002,208200,96.330948
"2021-08-26",97.57,97.639999,95.400002,95.599998,244000,94.794022
"2021-08-27",95.739998,97.379997,95.410004,96.949997,179500,96.132629
"2021-08-30",97.330002,97.330002,95.849998,95.980003,222100,95.170815
"2021-08-31",95.620003,97.029999,95.620003,96.07,400700,95.260056
"2021-09-01",96.209999,96.470001,94.949997,95.5,273000,94.69487
"2021-09-02",95.769997,95.949997,94.540001,94.800003,255500,94.000763
"2021-09-03",94.669998,94.800003,93.889999,94.290001,247700,93.495056
"2021-09-07",94.150002,94.769997,92.93,93.110001,407500,92.325005
"2021-09-08",93.080002,93.419998,92.279999,92.900002,291300,92.116791
"2021-09-09",92.5,94.220001,92.5,93.089996,223300,92.305176
"2021-09-10",93.720001,93.980003,91.959999,92.029999,223300,91.254112
"2021-09-13",92.870003,93.800003,92.449997,93.190002,216600,92.404343
"2021-09-14",93.57,93.580002,92,92.120003,276300,91.343361
"2021-09-15",92.029999,92.760002,91.949997,92.279999,265500,91.501999
"2021-09-16",92.32,93.07,91.269997,91.849998,258700,91.07563
