"","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume","MDT.Adjusted"
"2021-07-19",124.830002,125.139999,121.93,122.75,4678700,119.737343
"2021-07-20",122.760002,126.120003,122.760002,125.510002,5137300,122.429604
"2021-07-21",126.660004,127.18,126.019997,127.050003,3386000,123.931801
"2021-07-22",127.349998,127.730003,126.230003,127.110001,2342200,123.990326
"2021-07-23",127.57,128.789993,127.57,128.539993,2985400,125.385223
"2021-07-26",128.289993,128.690002,127.050003,128.070007,2402200,124.926773
"2021-07-27",127.809998,130.940002,127.660004,130.220001,4151700,127.024002
"2021-07-28",130.220001,131.139999,129.720001,130.520004,4317200,127.316635
"2021-07-29",130.940002,131.240005,129.5,130.679993,3195600,127.47271
"2021-07-30",130.539993,131.710007,130.350006,131.309998,2740000,128.087234
"2021-08-02",131.559998,132.389999,131.100006,131.259995,3401100,128.038483
"2021-08-03",131.149994,131.539993,130.479996,131.460007,3208500,128.233582
"2021-08-04",130.630005,130.970001,128.289993,128.380005,4045100,125.229164
"2021-08-05",128.509995,128.639999,127.120003,128.020004,3711900,124.877991
"2021-08-06",128.520004,128.789993,127.620003,128.639999,2414500,125.48278
"2021-08-09",128.669998,129.330002,126.68,126.919998,3411500,123.804985
"2021-08-10",126.82,127.239998,123.940002,125.300003,4123800,122.224754
"2021-08-11",126,126.410004,125.5,126.040001,3403700,122.946594
"2021-08-12",126.25,127.889999,126.080002,127.519997,2689300,124.390266
"2021-08-13",127.839996,128.369995,127.239998,128.339996,2552500,125.19014
"2021-08-16",128.449997,129.660004,128.029999,129.589996,3233800,126.409447
"2021-08-17",129.449997,130.779999,129,130.759995,3410300,127.550743
"2021-08-18",130.800003,131.169998,129.259995,129.330002,4050300,126.155838
"2021-08-19",128.580002,129.410004,128.009995,128.929993,4016600,125.765648
"2021-08-20",128.830002,130.029999,128.210007,129.899994,4496500,126.711853
"2021-08-23",130.160004,130.199997,127.589996,128.479996,5028300,125.326706
"2021-08-24",128.779999,134.729996,128.589996,132.570007,10319200,129.31633
"2021-08-25",132.669998,135.199997,132.199997,134.550003,6483800,131.247726
"2021-08-26",134.649994,134.649994,132.789993,133.369995,4448100,130.096664
"2021-08-27",133.729996,134.059998,133.070007,133.809998,3801400,130.525879
"2021-08-30",134.179993,134.580002,133.5,133.839996,3550300,130.555145
"2021-08-31",133.960007,134.789993,133.029999,133.479996,4769900,130.203979
"2021-09-01",134.169998,134.270004,132.770004,134.169998,2422400,130.877075
"2021-09-02",135,135.669998,134.240005,134.729996,4963700,131.423309
"2021-09-03",134.660004,135.130005,134.199997,134.630005,2298400,131.325775
"2021-09-07",133.869995,134.660004,132.949997,134.570007,3214000,131.267258
"2021-09-08",134.419998,135.679993,133.850006,135.169998,2175400,131.852524
"2021-09-09",135.179993,135.889999,133.360001,133.429993,3445300,130.155197
"2021-09-10",133.770004,133.970001,130.619995,131.139999,4278700,127.921417
"2021-09-13",132.149994,132.190002,128.759995,130.039993,4703200,126.848412
"2021-09-14",130.800003,131.210007,129.789993,130.580002,3333600,127.37516
"2021-09-15",130.830002,132.580002,130.009995,131.649994,3303800,128.418915
"2021-09-16",131.660004,132.339996,130.160004,130.919998,3049500,127.706818
"2021-09-17",130.360001,130.830002,129.169998,129.699997,6832800,126.516754
"2021-09-20",128.289993,129.289993,127.510002,128.729996,3385100,125.570557
"2021-09-21",129.710007,130.050003,127.760002,127.839996,2999300,124.702415
"2021-09-22",128.789993,129.699997,128.169998,128.910004,3479800,125.74617
"2021-09-23",128.559998,131.139999,128.470001,130.639999,3890600,128.059525
"2021-09-24",130.279999,131.309998,129.630005,130.020004,2801300,127.451782
"2021-09-27",129.75,130.070007,128.300003,128.75,2931400,126.206871
"2021-09-28",127.809998,127.940002,125.779999,126,6100400,123.511185
"2021-09-29",126.349998,127.160004,125.379997,126.580002,2693800,124.079735
"2021-09-30",126.580002,127.980003,125.32,125.349998,5647000,122.874023
"2021-10-01",126,127.940002,125.169998,127.309998,4042600,124.795311
"2021-10-04",127.010002,128.559998,124.25,125.050003,5125900,122.579948
"2021-10-05",125.699997,127.589996,124.989998,125.800003,3853200,123.31514
"2021-10-06",124.889999,126.150002,123.970001,126.089996,4005500,123.599403
"2021-10-07",127.089996,128.850006,126.620003,126.830002,3135600,124.324799
"2021-10-08",127,127.260002,125.059998,125.269997,4116300,122.795601
"2021-10-11",124.830002,125.519997,123.480003,123.540001,3588300,121.09977
"2021-10-12",123.790001,124,122.339996,122.93,4298100,120.501823
"2021-10-13",122.830002,123.230003,121.959999,122.57,4063500,120.148933
"2021-10-14",123.449997,125.129997,123.269997,124.800003,4658000,122.334892
"2021-10-15",126,128.320007,125.75,127.75,7229900,125.226608
"2021-10-18",123.059998,123.260002,119.5,120.720001,10310600,118.33548
"2021-10-19",121.709999,122.769997,121.169998,122.199997,5031200,119.78624
"2021-10-20",123,123.25,121.360001,121.790001,5138800,119.384346
"2021-10-21",121.940002,122.029999,121.330002,121.650002,3737300,119.247108
"2021-10-22",121.589996,123.57,121.510002,123.089996,3747000,120.658661
"2021-10-25",123.120003,123.610001,122.050003,123.559998,4182100,121.119385
"2021-10-26",124.220001,124.800003,123.150002,124.050003,3390900,121.599701
"2021-10-27",124.510002,124.690002,122.050003,122.5,3610800,120.080315
"2021-10-28",122.300003,123.099998,120.910004,121.269997,4242900,118.874619
"2021-10-29",120.589996,120.620003,118.879997,119.860001,8118500,117.492462
"2021-11-01",120.139999,121.040001,120,120.230003,3600400,117.855156
"2021-11-02",120.760002,123.169998,120.150002,121.300003,6909700,118.90403
"2021-11-03",121.360001,121.809998,119.949997,121.18,4762800,118.786385
"2021-11-04",121.599998,121.769997,119.970001,120.690002,3928400,118.306076
"2021-11-05",121.269997,124.629997,120.879997,122.980003,6147400,120.550842
"2021-11-08",123.029999,123.959999,122.339996,123.019997,4183900,120.590042
"2021-11-09",123.099998,123.870003,122.050003,122.290001,3150700,119.874466
"2021-11-10",122.089996,122.93,121.610001,122.410004,3225700,119.992104
"2021-11-11",122.389999,122.550003,118.889999,119.580002,4046900,117.218002
"2021-11-12",120.010002,120.099998,118.290001,119.309998,5539500,116.953331
"2021-11-15",119.849998,119.940002,117.459999,117.580002,5775200,115.2575
"2021-11-16",117.300003,118.599998,116.709999,117.989998,5283500,115.659401
"2021-11-17",117.190002,118.370003,116.629997,117.830002,3976700,115.502571
"2021-11-18",117.940002,118.050003,115.589996,117.669998,7731800,115.345718
"2021-11-19",117.940002,118.129997,116.730003,117.220001,7325000,114.904617
"2021-11-22",117.790001,118.800003,116.760002,116.889999,6813100,114.581123
"2021-11-23",112.68,115.610001,111.110001,113.379997,11151900,111.140457
"2021-11-24",113.059998,115.279999,112.519997,114.440002,5588500,112.179527
"2021-11-26",113.459999,113.510002,110.779999,111.050003,5561300,108.856491
"2021-11-29",112,112.470001,110.169998,110.279999,7026000,108.101692
"2021-11-30",109.57,109.879997,106.589996,106.699997,14018500,104.592407
"2021-12-01",108.769997,108.919998,105.379997,105.470001,8205200,103.386703
"2021-12-02",105.739998,107.919998,105.019997,107.279999,7458800,105.16095
"2021-12-03",107.620003,108.5,105.910004,106.870003,6922900,104.759056
"2021-12-06",108.029999,111.230003,107.709999,110.239998,7624800,108.062485
"2021-12-07",111.800003,114.440002,111.639999,112.269997,9550600,110.052376
"2021-12-08",112.379997,112.900002,111.480003,112.419998,5585200,110.199417
"2021-12-09",111.959999,113.489998,111.470001,112.809998,6162500,110.581718
"2021-12-10",113.690002,114.150002,111.849998,112.43,4342700,110.209229
"2021-12-13",112.300003,113.410004,112.160004,112.860001,4750000,110.63073
"2021-12-14",112.269997,113.010002,111.269997,111.690002,8183100,109.483849
"2021-12-15",105.610001,105.779999,103.43,104.940002,18546500,102.86718
"2021-12-16",103.330002,104.370003,101.230003,102.209999,18427400,100.191101
"2021-12-17",100.510002,103.940002,100.260002,100.629997,22561600,98.642303
"2021-12-20",99.919998,100.43,98.379997,99.529999,12699900,97.564034
"2021-12-21",99.980003,102.75,99.860001,101.650002,9610500,100.276894
"2021-12-22",101.650002,101.82,100.910004,101.339996,6690600,99.971069
"2021-12-23",102.120003,103.400002,101.18,102.900002,7255200,101.51001
"2021-12-27",103.290001,105.25,102.580002,104.43,6591300,103.019341
"2021-12-28",104.660004,104.769997,103.949997,104.529999,7488200,103.117989
"2021-12-29",104.709999,104.980003,103.93,103.949997,3635500,102.545815
