"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume","HCA.Adjusted"
"2021-09-17",261.369995,263.920013,258.070007,258.73999,5765300,256.883911
"2021-09-20",254.419998,256.980011,252.149994,255.029999,1217700,253.2005
"2021-09-21",257,260.679993,255.830002,255.839996,1413600,254.0047
"2021-09-22",257.820007,260.25,256.049988,258.25,1213500,256.3974
"2021-09-23",259.970001,259.970001,255.380005,255.529999,1769400,253.69693
"2021-09-24",256.679993,259.23999,255.889999,256.329987,1175200,254.49118
"2021-09-27",256.769989,259.779999,255.320007,255.550003,1481500,253.716782
"2021-09-28",253.710007,256.190002,251.259995,251.800003,1674600,249.993683
"2021-09-29",252.880005,254.110001,251.639999,252.210007,1818600,250.400757
"2021-09-30",253.169998,253.720001,242.539993,242.720001,2115800,240.978806
"2021-10-01",243.869995,249.509995,243.009995,247.789993,1794000,246.012436
"2021-10-04",247.800003,250.800003,243.320007,244.380005,1313000,242.626907
"2021-10-05",244.839996,247.550003,242.919998,243.110001,1396100,241.366028
"2021-10-06",241.070007,242,236.029999,239.529999,1170200,237.811691
"2021-10-07",240.350006,243.580002,240.039993,242.279999,1512100,240.541977
"2021-10-08",242.229996,244.149994,240.240005,240.419998,817400,238.695297
"2021-10-11",240.020004,241.830002,237.169998,237.520004,909000,235.816132
"2021-10-12",238.460007,240.399994,237.350006,239.070007,1070600,237.355011
"2021-10-13",239.509995,241.070007,236.990005,239.009995,1166700,237.295425
"2021-10-14",241.220001,244.460007,240.490005,242.509995,1146000,240.770309
"2021-10-15",244.089996,248.550003,243.309998,246.880005,1127100,245.108978
"2021-10-18",246.100006,247.660004,243.960007,246.589996,911100,244.821045
"2021-10-19",248.149994,251.509995,248.059998,248.679993,898000,246.896057
"2021-10-20",249.779999,253.449997,249.779999,250.860001,1105800,249.060425
"2021-10-21",255.279999,260.179993,249.869995,260,1878400,258.134827
"2021-10-22",246.520004,257.880005,243.029999,253.110001,2830500,251.294281
"2021-10-25",254.220001,254.220001,240.839996,241.809998,2136900,240.075333
"2021-10-26",240.860001,242.179993,237.360001,241.399994,1917400,239.668274
"2021-10-27",240.809998,246.850006,240.809998,245.369995,1710800,243.609787
"2021-10-28",247.199997,253.020004,246.360001,250.669998,1357500,248.87178
"2021-10-29",250.369995,253,248.369995,250.460007,1176500,248.663284
"2021-11-01",251.330002,253.009995,250.089996,250.990005,1117100,249.189484
"2021-11-02",251.960007,252.830002,248.130005,248.440002,1085700,246.657776
