"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2021-07-20",104.699997,107.660004,103.389999,106.57,3330100,106.57
"2021-07-21",107.879997,109.980003,107.269997,109.589996,2415500,109.589996
"2021-07-22",108.07,109.099998,106.059998,107.400002,1913300,107.400002
"2021-07-23",107.489998,107.75,103.400002,103.57,3621600,103.57
"2021-07-26",102.639999,104.470001,100.760002,104.32,4127700,104.32
"2021-07-27",101.010002,102.849998,98.400002,100.339996,5198400,100.339996
"2021-07-28",101.269997,103,99.809998,102.160004,2749200,102.160004
"2021-07-29",102.57,103,99.629997,99.760002,3279400,99.760002
"2021-07-30",98.870003,101.07,97.910004,98.330002,2771400,98.330002
"2021-08-02",100,101.900002,98.160004,98.370003,2761600,98.370003
"2021-08-03",97.889999,98.300003,93.400002,95.080002,4945200,95.080002
"2021-08-04",94.080002,95.580002,90.260002,91.089996,7400100,91.089996
"2021-08-05",92.540001,98.870003,92.010002,98.68,6750200,98.68
"2021-08-06",99.339996,100.800003,97.730003,98.900002,3221500,98.900002
"2021-08-09",96.699997,97.139999,93.589996,96.139999,4877900,96.139999
"2021-08-10",96.300003,97.93,96.290001,97.440002,2079700,97.440002
"2021-08-11",97.129997,98.07,96.080002,97.839996,1898900,97.839996
"2021-08-12",97.760002,97.900002,95.910004,97.199997,1881400,97.199997
"2021-08-13",97,97,95.18,95.519997,1596300,95.519997
"2021-08-16",94.389999,94.5,92.510002,93.709999,2209300,93.709999
"2021-08-17",92.459999,92.519997,90.290001,91.959999,3190300,91.959999
"2021-08-18",92.279999,93.800003,91.199997,92.349998,2942700,92.349998
"2021-08-19",90.089996,90.970001,87.519997,88.68,4804000,88.68
"2021-08-20",88.709999,89.199997,87.809998,88.300003,3085700,88.300003
"2021-08-23",90.410004,92.980003,89.82,92.93,4058100,92.93
"2021-08-24",96.190002,100.330002,95.739998,99.440002,7375600,99.440002
"2021-08-25",99.489998,101.830002,98.379997,100.839996,3406400,100.839996
"2021-08-26",100.059998,102.970001,99.010002,99.580002,3090400,99.580002
"2021-08-27",99.690002,101.809998,99.639999,101.050003,2276800,101.050003
"2021-08-30",101.769997,101.970001,99.669998,99.889999,2445800,99.889999
"2021-08-31",100,102.629997,100,101.690002,2627000,101.690002
"2021-09-01",103.050003,103.25,100.599998,100.980003,2450900,100.980003
"2021-09-02",101.160004,102.849998,100.230003,102,2367900,102
"2021-09-03",101.93,102.68,99.290001,100.300003,2377900,100.300003
"2021-09-07",100.599998,106.559998,99.900002,105.93,5060700,105.93
"2021-09-08",106.260002,107.440002,102.440002,104.620003,3358700,104.620003
"2021-09-09",104.330002,105.900002,103.269997,103.93,2400100,103.93
"2021-09-10",105.089996,105.449997,101.089996,101.540001,2170300,101.540001
"2021-09-13",102.110001,104.269997,99.699997,103.480003,2699300,103.480003
"2021-09-14",95.389999,95.5,89.25,92.25,25730100,92.25
"2021-09-15",85.690002,86.480003,82.550003,86.440002,26088800,86.440002
"2021-09-16",83.910004,85.419998,82.809998,84.370003,13217800,84.370003
"2021-09-17",84.160004,84.93,82.879997,83.290001,8730600,83.290001
"2021-09-20",80.360001,84.089996,79.900002,82.110001,13197800,82.110001
"2021-09-21",82.510002,83.470001,78.550003,78.769997,10372200,78.769997
