"","ODFL.Open","ODFL.High","ODFL.Low","ODFL.Close","ODFL.Volume","ODFL.Adjusted"
"2021-12-22",339.040009,344.630005,338.399994,344.029999,596000,343.310944
"2021-12-23",344.959991,349.339996,344.649994,348.309998,393900,347.582031
"2021-12-27",349.329987,355.869995,349.329987,355.600006,300600,354.856812
"2021-12-28",356.519989,358.51001,355.019989,356.640015,370600,355.894623
"2021-12-29",357.130005,361.670013,355.76001,360.809998,270900,360.055908
"2021-12-30",362.920013,362.920013,355.920013,356.269989,244100,355.525391
"2021-12-31",356.019989,359.690002,353.559998,358.380005,294800,357.630981
"2022-01-03",358.059998,360,342.109985,346.369995,788400,345.646057
"2022-01-04",347.119995,356.420013,344.070007,354.980011,862900,354.238098
"2022-01-05",354,354.940002,341.440002,342.279999,891600,341.564606
"2022-01-06",341.100006,343.51001,337.519989,342.190002,768100,341.474823
"2022-01-07",340.779999,341.730011,331.269989,332.600006,1010300,331.904877
"2022-01-10",329.350006,330.609985,322.079987,330.170013,960200,329.47995
