"","CMS.Open","CMS.High","CMS.Low","CMS.Close","CMS.Volume","CMS.Adjusted"
"2021-04-22",64.57,64.970001,64.230003,64.510002,1196800,62.304695
"2021-04-23",64.559998,64.75,64.029999,64.129997,1422500,61.937675
"2021-04-26",64.309998,64.309998,63.639999,63.950001,1515400,61.763836
"2021-04-27",63.860001,63.939999,63.27,63.32,1411500,61.155369
"2021-04-28",63.52,63.700001,62.880001,63.049999,1888600,60.8946
"2021-04-29",62.849998,64.019997,62.689999,63.950001,1825000,61.763836
"2021-04-30",64.07,64.449997,63.259998,64.389999,2388500,62.188793
"2021-05-03",64.699997,65.620003,64.519997,65.029999,1644300,62.806919
"2021-05-04",65.129997,65.269997,64.300003,65.199997,3165700,62.971104
"2021-05-05",65.209999,65.230003,63.77,64.199997,1737600,62.005287
"2021-05-06",64.07,64.470001,63.630001,64.43,2073800,62.651936
"2021-05-07",64.279999,64.919998,63.959999,63.990002,1688200,62.224079
"2021-05-10",64.199997,65.25,64.199997,64.910004,2456400,63.11869
"2021-05-11",65.059998,65.400002,63,63.529999,2003900,61.776772
"2021-05-12",63.59,63.77,62.419998,62.459999,1763400,60.736301
"2021-05-13",62.470001,63.990002,62.369999,63.529999,1658600,61.776772
"2021-05-14",63.77,64.330002,63.48,63.5,1323900,61.747601
"2021-05-17",63.650002,64.080002,62.93,62.98,1451800,61.241951
"2021-05-18",62.75,63.529999,62.75,63.299999,1613800,61.55312
"2021-05-19",63.299999,63.439999,62.73,63.220001,1609600,61.47533
"2021-05-20",63.299999,64.290001,63.299999,63.740002,1750600,61.98098
"2021-05-21",63.869999,64.32,63.639999,64.150002,1665000,62.379665
"2021-05-24",64.43,64.57,63.720001,63.77,1609200,62.010151
"2021-05-25",63.639999,63.700001,62.860001,63.25,2179700,61.504501
"2021-05-26",63.18,63.389999,61.73,62.950001,1154000,61.21278
"2021-05-27",63,63.099998,62.290001,62.299999,2982400,60.580719
"2021-05-28",62.689999,62.939999,62.419998,62.740002,1690400,61.008575
"2021-06-01",62.98,63.040001,62.150002,62.310001,1464900,60.590443
"2021-06-02",62.34,63.040001,61.82,62.419998,3364400,60.697399
"2021-06-03",61.860001,62.98,61.759998,62.669998,2228400,60.940502
"2021-06-04",62.970001,63.009998,62.490002,62.619999,1459400,60.891888
"2021-06-07",62.639999,62.919998,62.59,62.799999,1224000,61.066917
"2021-06-08",62.299999,62.52,59.349998,60.330002,11047100,58.665089
"2021-06-09",60.139999,60.709999,59.900002,59.93,4889100,58.276123
"2021-06-10",59.849998,60.5,59.77,60.240002,3111400,58.577564
"2021-06-11",60.23,60.73,59.919998,60.669998,2946100,58.995697
"2021-06-14",60.5,60.849998,60.080002,60.299999,1857000,58.63591
"2021-06-15",60.279999,60.700001,60.16,60.5,3915800,58.830391
"2021-06-16",60.740002,60.779999,59.459999,59.669998,2349300,58.023293
"2021-06-17",59.639999,59.950001,59.220001,59.509998,1959000,57.86771
"2021-06-18",59.07,59.139999,57.919998,58.119999,3118300,56.516068
"2021-06-21",58.349998,58.689999,57.959999,58.529999,2639700,56.914757
"2021-06-22",58.66,58.880001,58.490002,58.610001,2473800,56.992546
"2021-06-23",58.720001,59.040001,58.029999,58.540001,4103100,56.92448
"2021-06-24",58.619999,59.59,58.400002,59.099998,4313500,57.469025
"2021-06-25",58.98,60.189999,58.900002,60.130001,3814500,58.470608
"2021-06-28",60.18,60.560001,59.82,60.009998,3442800,58.353909
"2021-06-29",59.830002,60.099998,58.700001,58.849998,2965800,57.225925
"2021-06-30",58.860001,59.360001,58.720001,59.080002,2467400,57.449581
"2021-07-01",59.200001,60.310001,58.91,60.07,3756000,58.412254
"2021-07-02",60.16,60.16,59.650002,59.91,1957000,58.256672
"2021-07-06",59.860001,59.950001,58.630001,59.810001,3508700,58.159431
"2021-07-07",59.91,60.330002,59.459999,60.150002,2707500,58.490051
"2021-07-08",59.919998,60.349998,59.709999,60.27,2679800,58.606735
"2021-07-09",60.52,60.709999,59.919998,60.310001,2045200,58.645634
"2021-07-12",59.970001,60.43,59.77,60.360001,2351800,58.69426
"2021-07-13",60.27,60.549999,59.689999,60,1625700,58.344189
"2021-07-14",60.139999,60.73,59.84,60.48,2538200,58.81094
"2021-07-15",60.419998,61.580002,60.419998,61.509998,2800700,59.812519
"2021-07-16",61.689999,62.369999,61.439999,62.009998,2598100,60.298717
"2021-07-19",61.59,62.400002,60.529999,61.450001,3688500,59.754173
"2021-07-20",61.830002,62.650002,61.650002,61.939999,2900600,60.230648
"2021-07-21",62.009998,62.23,61.029999,61.040001,1458000,59.355488
"2021-07-22",60.880001,61.490002,60.689999,61.23,1670000,59.540245
"2021-07-23",61.32,62.099998,61.299999,62.080002,1780200,60.366791
"2021-07-26",61.790001,62.16,61.400002,61.98,1924600,60.26955
"2021-07-27",62.029999,63.400002,61.599998,63.220001,1919700,61.47533
"2021-07-28",63.209999,63.279999,61.720001,62.259998,1846900,60.541821
"2021-07-29",62.509998,62.82,61.93,62.349998,1209800,60.629333
"2021-07-30",62.189999,62.900002,61.700001,61.790001,1685000,60.084793
"2021-08-02",62.02,62.82,61.82,62.66,1386500,60.930779
"2021-08-03",62.77,63.709999,62.380001,63.240002,1617300,61.494774
"2021-08-04",62.990002,63.290001,62.389999,63.259998,1571500,61.514221
"2021-08-05",62.990002,63.27,62.560001,63.209999,1315900,61.891193
"2021-08-06",63.290001,63.720001,62.810001,63.27,1405300,61.94994
"2021-08-09",63.41,63.57,62.889999,63.259998,925400,61.940147
"2021-08-10",63.209999,63.240002,62.75,62.939999,808300,61.626823
"2021-08-11",63.16,63.490002,62.93,63.189999,1456200,61.871609
"2021-08-12",63.169998,63.470001,62.93,63,748600,61.685574
"2021-08-13",63.110001,63.630001,62.970001,63.459999,782200,62.135979
"2021-08-16",63.650002,64.389999,63.490002,63.869999,1197600,62.537418
"2021-08-17",63.869999,64.339996,63.619999,64.269997,1429800,62.929073
"2021-08-18",64.25,64.400002,63.400002,63.82,1934100,62.488464
"2021-08-19",63.830002,64.470001,63.630001,64.010002,2211700,62.674503
"2021-08-20",64.07,64.830002,63.560001,64.809998,2096900,63.457809
"2021-08-23",64.690002,64.690002,63.98,64.07,2848700,62.733246
"2021-08-24",64.050003,64.150002,63.27,63.540001,2445400,62.21431
"2021-08-25",63.48,63.810001,63.139999,63.639999,1313800,62.312218
"2021-08-26",63.580002,63.939999,63.259998,63.84,1050300,62.508045
"2021-08-27",63.970001,64.629997,63.880001,64.160004,1278300,62.821377
"2021-08-30",64.279999,64.68,64.110001,64.480003,968200,63.134701
"2021-08-31",64.379997,64.75,63.77,64.129997,2048500,62.791996
"2021-09-01",64.190002,65.099998,64.190002,65.050003,1206700,63.692802
"2021-09-02",65.150002,65.610001,65.110001,65.610001,1377700,64.241112
"2021-09-03",65.480003,65.529999,64.949997,64.959999,1156700,63.604687
"2021-09-07",64.779999,64.82,63.439999,63.52,1316500,62.194721
"2021-09-08",63.509998,65.019997,63.389999,64.720001,1308200,63.36969
"2021-09-09",64.690002,64.830002,64.32,64.440002,774600,63.095535
"2021-09-10",64.349998,64.489998,63.59,63.610001,1442400,62.282845
"2021-09-13",64.089996,64.160004,62.860001,63,1190100,61.685574
"2021-09-14",63.290001,63.52,63,63.18,2110700,61.86182
"2021-09-15",62.860001,63.490002,62.509998,62.799999,3268500,61.489746
"2021-09-16",62.799999,63.18,62.389999,62.48,1241100,61.176422
"2021-09-17",62.330002,62.619999,61.509998,61.66,3026000,60.373531
"2021-09-20",61.610001,62.25,61.119999,61.830002,1667200,60.539986
"2021-09-21",62.099998,62.279999,61.52,61.66,1354100,60.373531
"2021-09-22",61.810001,61.880001,61.110001,61.490002,988600,60.207081
"2021-09-23",61.509998,61.869999,60.59,60.66,1458700,59.394394
"2021-09-24",60.740002,61.240002,60.650002,60.759998,968400,59.492306
"2021-09-27",60.849998,61.34,59.369999,59.459999,1696100,58.219433
"2021-09-28",59.419998,59.610001,58.509998,58.860001,1441500,57.631947
"2021-09-29",58.880001,60.279999,58.779999,59.849998,1118300,58.601295
"2021-09-30",59.93,60.209999,59.5,59.73,2140700,58.483795
"2021-10-01",60.25,60.389999,59.689999,59.73,1468400,58.483795
"2021-10-04",59.619999,61.200001,59.59,60.869999,1573800,59.600014
"2021-10-05",61,61.040001,60.169998,60.369999,2333200,59.110443
"2021-10-06",60.23,61.27,59.970001,61.220001,921300,59.942711
"2021-10-07",61.240002,61.700001,60.400002,60.57,1102900,59.306274
"2021-10-08",60.439999,60.509998,60,60.150002,793100,58.895039
"2021-10-11",60.110001,60.360001,59.209999,59.349998,1029100,58.111721
"2021-10-12",59.290001,59.889999,59.189999,59.740002,1695900,58.493591
"2021-10-13",59.630001,60.73,59.529999,60.630001,1426400,59.365021
"2021-10-14",60.810001,61.43,60.630001,60.939999,1269300,59.668552
"2021-10-15",61.18,61.23,60.09,60.299999,1508700,59.041904
"2021-10-18",59.650002,59.66,59.099998,59.549999,2546900,58.307552
"2021-10-19",59.990002,60.299999,59.619999,60.240002,867100,58.983158
"2021-10-20",60.52,61.150002,60.310001,60.790001,873900,59.521687
"2021-10-21",60.990002,61.049999,60.599998,60.799999,949200,59.531475
"2021-10-22",60.990002,61.220001,60.82,61.060001,655600,59.786049
"2021-10-25",61.060001,61.080002,60.150002,60.25,968200,58.992947
"2021-10-26",60.259998,60.860001,60.130001,60.599998,853400,59.335644
"2021-10-27",60.849998,60.880001,59.669998,60.349998,1358300,59.090862
"2021-10-28",60.259998,61,59.900002,60.720001,1377600,59.453144
"2021-10-29",60.560001,61.080002,60.119999,60.349998,1130700,59.090862
"2021-11-01",60.349998,60.650002,59.98,60.290001,1102000,59.032116
"2021-11-02",60.529999,60.630001,59.889999,60.439999,977900,59.178986
"2021-11-03",60.389999,60.889999,59.650002,60.150002,1474400,58.895039
"2021-11-04",59.77,60.139999,59.209999,60.02,1640700,59.195847
"2021-11-05",60.18,60.990002,60.029999,60.52,1275400,59.68898
"2021-11-08",60.509998,60.59,59.419998,59.57,1361900,58.752026
"2021-11-09",59.73,60.310001,59.66,60.07,949300,59.245159
"2021-11-10",60.25,60.950001,60.16,60.889999,1129100,60.053902
"2021-11-11",60.700001,60.869999,59.98,60.080002,1084000,59.255024
"2021-11-12",60.16,60.349998,59.950001,60,1211500,59.176121
"2021-11-15",60.349998,61.18,60.09,61.169998,1071000,60.330051
"2021-11-16",61.209999,61.299999,60.5,60.529999,1158500,59.698841
"2021-11-17",60.400002,61.060001,60.049999,60.939999,1057800,60.10321
"2021-11-18",60.939999,60.959999,60.290001,60.450001,841400,59.619942
"2021-11-19",60.689999,60.990002,60.43,60.900002,1162600,60.063763
"2021-11-22",60.82,61.650002,60.43,61.639999,1105300,60.793602
"2021-11-23",61.77,61.84,61.099998,61.310001,772800,60.468132
"2021-11-24",61.279999,61.349998,60.900002,61.040001,644700,60.201839
"2021-11-26",60.689999,61.049999,60.060001,60.130001,789700,59.304337
"2021-11-29",60.330002,61.25,59.900002,61.130001,1160000,60.290604
"2021-11-30",60.709999,60.860001,58.810001,58.849998,3459500,58.041908
"2021-12-01",59.18,60.220001,58.98,59,1676300,58.18985
"2021-12-02",59.220001,60.119999,59.220001,59.560001,1365000,58.742161
"2021-12-03",59.93,60.849998,59.360001,60.759998,1216700,59.925682
"2021-12-06",61.299999,62.32,61.040001,61.57,1373600,60.724564
"2021-12-07",61.360001,62.080002,61.099998,62.029999,1477900,61.178246
"2021-12-08",62.09,62.549999,61.619999,61.880001,727100,61.030308
"2021-12-09",62.049999,62.509998,61.509998,62.150002,878100,61.2966
"2021-12-10",62.32,62.830002,61.990002,62.529999,1185700,61.671379
"2021-12-13",62.709999,64.139999,62.68,63.740002,1621000,62.864765
"2021-12-14",63.84,63.990002,63.360001,63.470001,1413800,62.598473
"2021-12-15",63.68,64.989998,63.68,64.879997,1497900,63.989105
"2021-12-16",64.790001,65.650002,64.760002,65.410004,1227900,64.511841
"2021-12-17",64.480003,65.410004,64.089996,64.18,3035500,63.298725
"2021-12-20",63.720001,64.690002,63.259998,64.519997,1343400,63.634056
"2021-12-21",64.849998,65.120003,63.470001,63.73,1184200,62.854904
"2021-12-22",63.459999,64.150002,63.419998,63.709999,955800,62.835175
"2021-12-23",63.82,64,63.439999,63.52,876300,62.647789
"2021-12-27",63.5,63.959999,63.240002,63.91,649200,63.032433
"2021-12-28",64.18,64.540001,63.869999,64.540001,626400,63.653782
"2021-12-29",64.660004,65.279999,64.5,65.190002,985300,64.294861
"2021-12-30",65.389999,65.419998,64.639999,65.099998,670000,64.206093
"2021-12-31",65.120003,65.330002,64.639999,65.050003,784500,64.156776
"2022-01-03",64.980003,65.160004,64,64.709999,1222800,63.821445
"2022-01-04",64.519997,65.610001,64.519997,64.599998,1220400,63.712952
"2022-01-05",64.529999,65.779999,64.529999,65.400002,1706400,64.501976
"2022-01-06",65.339996,65.629997,64.400002,64.660004,1730500,63.772137
"2022-01-07",64.379997,65.360001,63.98,65.080002,1401600,64.186363
