"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2021-04-07",255.539993,256.329987,253.860001,255.720001,760700,238.245163
"2021-04-08",255.600006,259.079987,255.600006,256.76001,566800,239.214081
"2021-04-09",257.790009,259.440002,257.420013,257.880005,539000,240.257553
"2021-04-12",258.880005,261.299988,257.619995,260.859985,524100,243.033905
"2021-04-13",261.579987,267.269989,261.170013,266.950012,819400,248.707764
"2021-04-14",266.23999,266.23999,262.809998,263.690002,508500,245.670532
"2021-04-15",265.570007,268.26001,264.959991,267.75,871900,249.453094
"2021-04-16",268.600006,268.73999,266.609985,266.799988,672500,248.567993
"2021-04-19",266.799988,270.519989,265.589996,270.380005,548500,251.903381
"2021-04-20",270.5,276.290009,270.149994,273.369995,846400,254.689056
"2021-04-21",274.220001,275.709991,272.190002,273.559998,564900,254.866043
"2021-04-22",273.630005,276.98999,272.440002,276.529999,512000,257.633087
"2021-04-23",276.829987,277.73999,275.109985,276.769989,489900,257.856689
"2021-04-26",277.75,278.779999,274.269989,275.119995,556500,256.319427
"2021-04-27",275.5,275.869995,273.73999,275.059998,481100,256.26355
"2021-04-28",275.429993,276.420013,273.029999,273.230011,526700,254.558609
"2021-04-29",274.570007,279.920013,273.619995,279.480011,734300,260.3815
"2021-04-30",279.470001,282.089996,277.480011,281.160004,635200,261.946716
"2021-05-03",281.48999,282.059998,276.049988,278.029999,611500,259.030609
"2021-05-04",279.559998,283.070007,278.350006,279.350006,691100,260.260376
"2021-05-05",278.130005,278.829987,273.459991,274.619995,744500,255.853607
"2021-05-06",275.290009,276.75,274,275.209991,653500,256.40329
"2021-05-07",275.149994,277.600006,274.200012,277.269989,577800,258.32251
"2021-05-10",277.649994,279.820007,276.649994,277.160004,619200,258.220032
"2021-05-11",276.829987,276.829987,272.290009,274.320007,693100,255.574097
"2021-05-12",274.450012,275.51001,269.549988,269.709991,675100,251.279144
"2021-05-13",270.089996,275.73999,269.660004,273.950012,612100,255.229431
"2021-05-14",273.220001,275.25,271.98999,273.450012,463200,254.763565
"2021-05-17",274.73999,277.880005,273.51001,276.579987,711400,257.679657
"2021-05-18",274.679993,276.660004,273.769989,275.570007,882500,256.738739
"2021-05-19",274.76001,276.549988,270.429993,276.540009,652600,257.642395
"2021-05-20",275.899994,279.880005,275.230011,279.290009,1126800,260.204468
"2021-05-21",278.630005,280.73999,275.269989,276.730011,719800,257.819427
"2021-05-24",277.630005,279.730011,276.450012,278.450012,533900,259.421875
"2021-05-25",278.26001,280.100006,276.149994,278.769989,422700,259.720032
"2021-05-26",278.940002,281.820007,278.51001,279.579987,707200,260.47464
"2021-05-27",279.48999,280.880005,277.100006,279.869995,980200,260.744843
