"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume","DVA.Adjusted"
"2021-07-06",122.080002,122.360001,119.190002,120.860001,867400,120.860001
"2021-07-07",120.559998,122.93,120.559998,122.550003,719100,122.550003
"2021-07-08",121.199997,122.029999,120.279999,120.720001,536300,120.720001
"2021-07-09",122.010002,123.080002,121.269997,122.089996,454900,122.089996
"2021-07-12",121.650002,124.089996,121.650002,123.699997,403100,123.699997
"2021-07-13",123.339996,124.07,121.129997,121.459999,529500,121.459999
"2021-07-14",121.720001,122.019997,120.160004,121.050003,516000,121.050003
"2021-07-15",120.459999,121.910004,116.050003,119.809998,1447400,119.809998
"2021-07-16",120.099998,120.879997,119.300003,119.370003,480800,119.370003
"2021-07-19",118.830002,120.230003,117.029999,117.82,676500,117.82
"2021-07-20",118.589996,121.110001,118.589996,119.410004,603900,119.410004
"2021-07-21",120,121.220001,119.669998,120.099998,645500,120.099998
"2021-07-22",120.120003,120.75,119.449997,120.110001,428200,120.110001
"2021-07-23",121.07,121.190002,120.339996,120.610001,465200,120.610001
"2021-07-26",120.589996,121.209999,118.769997,119.739998,509400,119.739998
"2021-07-27",119.959999,120.900002,119.57,120.349998,455800,120.349998
"2021-07-28",120.220001,120.410004,118.080002,118.839996,627000,118.839996
"2021-07-29",119.440002,119.959999,118.459999,119.010002,533000,119.010002
"2021-07-30",118.690002,120.629997,118.690002,120.25,689700,120.25
"2021-08-02",120.449997,122.040001,120.330002,121.370003,656400,121.370003
"2021-08-03",121.940002,123.32,119.550003,123.150002,619500,123.150002
"2021-08-04",127.099998,136.479996,127,133.779999,2133600,133.779999
"2021-08-05",134.070007,134.070007,128.880005,130.130005,1016000,130.130005
"2021-08-06",130.509995,133.929993,130.509995,133.169998,523000,133.169998
"2021-08-09",133.229996,133.559998,131.589996,132.559998,555900,132.559998
"2021-08-10",132.309998,134.470001,131.699997,132.75,597900,132.75
"2021-08-11",132.910004,133.630005,131.820007,132.75,477000,132.75
"2021-08-12",131.990005,132.169998,130.589996,131.270004,426200,131.270004
"2021-08-13",131.779999,132.089996,130.130005,130.279999,328000,130.279999
"2021-08-16",130.300003,131.669998,129.419998,131.610001,355900,131.610001
"2021-08-17",130.889999,133,130.25,132.610001,476800,132.610001
"2021-08-18",132.350006,132.839996,130.800003,130.919998,452000,130.919998
"2021-08-19",130,132.529999,130,132.149994,391700,132.149994
"2021-08-20",132.229996,133.589996,132.089996,132.649994,435600,132.649994
"2021-08-23",133.089996,133.289993,131.610001,132.429993,476800,132.429993
"2021-08-24",132.639999,132.990005,131.339996,131.770004,330900,131.770004
