"","ALK.Open","ALK.High","ALK.Low","ALK.Close","ALK.Volume","ALK.Adjusted"
"2021-08-12",59.119999,59.25,57.709999,58.57,1174800,58.57
"2021-08-13",58.43,58.549999,57.450001,57.619999,1099300,57.619999
"2021-08-16",57.119999,57.52,56.09,57.360001,1417000,57.360001
"2021-08-17",56.459999,56.490002,54.560001,55.240002,1861700,55.240002
"2021-08-18",55.080002,56.169998,54.75,54.889999,2306300,54.889999
"2021-08-19",54.529999,54.82,52.880001,53.98,1745700,53.98
"2021-08-20",53.830002,54.459999,53.599998,54.349998,1248900,54.349998
"2021-08-23",55,56.07,54.939999,55.150002,2324100,55.150002
"2021-08-24",56.040001,57.48,55.959999,57.119999,1393500,57.119999
"2021-08-25",57.130001,58.09,56.709999,57.66,1336300,57.66
"2021-08-26",57.23,58.18,56.650002,57.18,1343800,57.18
"2021-08-27",57.330002,58.720001,57.310001,58.220001,1415600,58.220001
"2021-08-30",58.509998,58.509998,56.529999,56.709999,1247100,56.709999
"2021-08-31",56.599998,57.709999,56.360001,57.34,1413600,57.34
"2021-09-01",57.779999,57.869999,56.610001,57.23,1175200,57.23
"2021-09-02",57.450001,58.290001,56.790001,57.84,1148800,57.84
"2021-09-03",57.639999,58.560001,56.849998,57.110001,1394900,57.110001
"2021-09-07",56.25,57.419998,56.119999,57.139999,1255200,57.139999
"2021-09-08",57.27,58.099998,56.150002,56.389999,1357300,56.389999
"2021-09-09",56.130001,59.240002,55.84,58.200001,2208300,58.200001
"2021-09-10",58.360001,58.41,56.02,56.09,2097900,56.09
"2021-09-13",56.73,57.650002,55.43,57.16,1363900,57.16
"2021-09-14",56.759998,57.130001,55.950001,56.299999,1082900,56.299999
"2021-09-15",56.200001,56.509998,55.450001,56.34,1565400,56.34
"2021-09-16",56.849998,57.599998,56.720001,57.02,1378800,57.02
"2021-09-17",57.16,58.040001,56.220001,56.919998,2370900,56.919998
"2021-09-20",56.400002,57.43,55.73,56.959999,2284900,56.959999
"2021-09-21",57.41,58.040001,55.900002,56.110001,1565300,56.110001
"2021-09-22",56.57,58.080002,56.57,57.450001,1909900,57.450001
"2021-09-23",57.939999,60.259998,57.799999,59.799999,2608100,59.799999
"2021-09-24",59.860001,61.389999,59.700001,60.790001,2053500,60.790001
"2021-09-27",61.639999,62.849998,61.169998,61.25,1880700,61.25
"2021-09-28",61.27,62.369999,61.009998,61.220001,1729100,61.220001
"2021-09-29",61.5,61.709999,60.360001,60.450001,1795600,60.450001
"2021-09-30",60.18,60.18,58.16,58.599998,2020300,58.599998
"2021-10-01",60.529999,62.68,59.82,62.200001,2619700,62.200001
"2021-10-04",62.77,63.759998,61.970001,62.09,1858100,62.09
"2021-10-05",62.189999,62.91,61.200001,61.599998,1705300,61.599998
"2021-10-06",59.900002,61.080002,59.509998,61.049999,1639100,61.049999
"2021-10-07",61.73,61.869999,60.209999,60.240002,1522500,60.240002
"2021-10-08",60.490002,60.73,59.450001,59.799999,899700,59.799999
"2021-10-11",59.209999,60.02,58.330002,58.459999,1550700,58.459999
"2021-10-12",58.169998,58.889999,57.630001,58.43,1783500,58.43
"2021-10-13",58.040001,58.040001,56.43,57.040001,2183600,57.040001
"2021-10-14",57.52,58.009998,56.93,57.52,1243900,57.52
"2021-10-15",58.939999,59.119999,57.68,57.77,1932900,57.77
"2021-10-18",57.169998,57.959999,56.700001,57.419998,1257800,57.419998
"2021-10-19",57.57,57.619999,56.439999,56.939999,1720600,56.939999
"2021-10-20",57.009998,57.860001,56.23,57.25,2070400,57.25
"2021-10-21",57.48,58,55.889999,56.200001,2741800,56.200001
"2021-10-22",55.240002,55.66,53.639999,53.810001,3087100,53.810001
"2021-10-25",53.700001,54.630001,53.400002,53.939999,1842600,53.939999
"2021-10-26",54.810001,55.299999,54.040001,54.27,1588300,54.27
"2021-10-27",54.369999,54.470001,52.689999,52.709999,1550300,52.709999
"2021-10-28",52.790001,53.439999,52.619999,52.860001,1527900,52.860001
"2021-10-29",52.91,53.5,52.200001,52.799999,1681700,52.799999
"2021-11-01",53.02,54.740002,52.599998,54.709999,1755200,54.709999
"2021-11-02",54.509998,54.619999,53.610001,54.450001,1400700,54.450001
"2021-11-03",54.16,55.990002,53.959999,55.93,1690700,55.93
"2021-11-04",56.169998,56.400002,55.259998,55.73,1215000,55.73
"2021-11-05",58.549999,59.73,58.130001,59.349998,2460000,59.349998
"2021-11-08",59.68,60.119999,58.639999,58.880001,1935900,58.880001
"2021-11-09",58.82,59.200001,57.959999,58.830002,1510300,58.830002
"2021-11-10",58.189999,58.82,57.259998,57.540001,1321700,57.540001
"2021-11-11",57.52,57.720001,56.740002,56.810001,807000,56.810001
"2021-11-12",56.82,57.130001,55.049999,55.650002,2387300,55.650002
"2021-11-15",56.049999,56.400002,55.380001,55.669998,1222800,55.669998
"2021-11-16",55.439999,55.549999,53.560001,53.889999,2343900,53.889999
"2021-11-17",53.700001,54.060001,52.950001,53.540001,1288700,53.540001
"2021-11-18",53.639999,53.75,52.040001,52.540001,1805500,52.540001
"2021-11-19",51.900002,52.84,50.98,52.740002,3461100,52.740002
"2021-11-22",53.23,53.880001,52.48,53.080002,1918400,53.080002
"2021-11-23",53.68,54.09,52.470001,52.73,1219400,52.73
"2021-11-24",52.240002,53.650002,51.959999,52.91,1524700,52.91
"2021-11-26",50,50.07,47.380001,49.450001,3092200,49.450001
"2021-11-29",50.189999,50.98,48.759998,49.450001,2660100,49.450001
"2021-11-30",48.5,49.130001,47.560001,48.57,2259100,48.57
"2021-12-01",49.959999,50.220001,46.259998,46.290001,2593900,46.290001
"2021-12-02",47,49.849998,46.799999,49.52,2210000,49.52
"2021-12-03",49.310001,49.720001,47.73,48.57,1682000,48.57
"2021-12-06",49.509998,52.27,49.470001,50.619999,2716100,50.619999
"2021-12-07",51.259998,51.849998,49.919998,50.349998,1873800,50.349998
"2021-12-08",50.77,52.900002,50.610001,51.43,2171100,51.43
"2021-12-09",50.720001,51.779999,49.849998,51.419998,2309200,51.419998
"2021-12-10",51.439999,52.060001,50.720001,51.669998,2007000,51.669998
"2021-12-13",50.82,50.939999,49.68,50.299999,1627900,50.299999
"2021-12-14",50.200001,51.689999,50.009998,50.139999,1555000,50.139999
"2021-12-15",50.200001,50.43,48.779999,50.27,1837400,50.27
"2021-12-16",50.810001,51.139999,49.040001,49.220001,1728700,49.220001
"2021-12-17",49.369999,50.98,48.709999,50.029999,3779800,50.029999
"2021-12-20",48.990002,50.200001,48.27,49.34,1870100,49.34
"2021-12-21",50,52.279999,49.880001,52.07,2166200,52.07
"2021-12-22",52.240002,52.720001,51.57,52.189999,1605000,52.189999
"2021-12-23",53,53.290001,52.400002,53.02,1996000,53.02
"2021-12-27",51.830002,52.970001,51.439999,52.619999,1471900,52.619999
"2021-12-28",52.099998,53.400002,51.98,52.900002,1292300,52.900002
"2021-12-29",52.41,52.509998,51.84,52.139999,1429400,52.139999
"2021-12-30",51.880001,52.919998,51.799999,51.939999,1667400,51.939999
"2021-12-31",51.93,52.439999,51.619999,52.099998,1273400,52.099998
"2022-01-03",52.860001,54.630001,52.830002,54.07,1942000,54.07
"2022-01-04",55.189999,55.610001,54.330002,55.450001,2613800,55.450001
"2022-01-05",55.82,56.330002,54.709999,54.77,1914900,54.77
"2022-01-06",55.689999,55.990002,54.169998,54.459999,1593400,54.459999
"2022-01-07",55.07,56.68,54.73,55.860001,1831800,55.860001
"2022-01-10",56.25,56.560001,54.52,55.099998,2206300,55.099998
"2022-01-11",55,56.200001,54.93,55.990002,1222200,55.990002
