"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume","ADSK.Adjusted"
"2021-06-02",280.839996,284,278.350006,279.670013,937600,279.670013
"2021-06-03",276.149994,278.670013,271.700012,274.470001,1468600,274.470001
"2021-06-04",277.970001,285.329987,275.859985,284.779999,1138800,284.779999
"2021-06-07",283.970001,283.970001,276.109985,278.890015,1431400,278.890015
"2021-06-08",281.98999,283.390015,278.26001,278.660004,808800,278.660004
"2021-06-09",280.98999,280.98999,275.209991,275.5,1245800,275.5
"2021-06-10",275.309998,280.109985,274.339996,277.5,1444300,277.5
"2021-06-11",278.5,281.359985,277.130005,277.51001,985700,277.51001
"2021-06-14",278.290009,281.279999,276.76001,280.519989,1177000,280.519989
"2021-06-15",281.26001,281.709991,275.970001,276.76001,1151700,276.76001
"2021-06-16",277,278.320007,271.25,273.709991,1207900,273.709991
"2021-06-17",272.160004,278.799988,271.149994,276.339996,1893900,276.339996
"2021-06-18",275.519989,281.130005,275.01001,277.980011,1627600,277.980011
"2021-06-21",278.470001,283.5,275.869995,283.220001,1189900,283.220001
"2021-06-22",283.459991,286.410004,282.790009,286.070007,881100,286.070007
"2021-06-23",286.609985,286.649994,282.679993,283.670013,922900,283.670013
"2021-06-24",286.709991,289.100006,285.880005,286.959991,817300,286.959991
"2021-06-25",288.859985,289.899994,285.600006,288.73999,1943400,288.73999
"2021-06-28",290.220001,295,289.269989,293.359985,994300,293.359985
"2021-06-29",292.359985,298.140015,290.130005,297.73999,1146400,297.73999
"2021-06-30",296.670013,296.869995,290.929993,291.899994,977800,291.899994
"2021-07-01",291.779999,295.220001,290.609985,293.700012,757900,293.700012
"2021-07-02",295.029999,298.309998,295.029999,297.73999,667400,297.73999
"2021-07-06",298.190002,301,294.119995,295.600006,1446400,295.600006
"2021-07-07",296.649994,299.209991,293.459991,296.109985,999300,296.109985
"2021-07-08",292.299988,296.130005,290.040009,294.470001,1180900,294.470001
"2021-07-09",294.029999,296.959991,290.48999,295.380005,1027800,295.380005
"2021-07-12",297.619995,298.700012,290.309998,291.929993,888500,291.929993
"2021-07-13",292.440002,297.220001,290.929993,296.420013,1051100,296.420013
"2021-07-14",298.5,300.730011,296.140015,297.100006,1052500,297.100006
"2021-07-15",297.480011,298,292.059998,294.790009,839800,294.790009
"2021-07-16",296.779999,297.630005,293.079987,293.329987,698000,293.329987
"2021-07-19",289.579987,290,284.420013,287.309998,1048100,287.309998
"2021-07-20",287.899994,298.640015,285.920013,296.119995,1169600,296.119995
"2021-07-21",294.820007,302.109985,294.420013,301.779999,867800,301.779999
"2021-07-22",302.869995,309.329987,302.049988,308.51001,1083300,308.51001
"2021-07-23",310.190002,314.920013,309.299988,312.649994,1066800,312.649994
"2021-07-26",312,313.959991,309.809998,313.619995,903700,313.619995
"2021-07-27",314.040009,314.369995,304.309998,308.25,1076600,308.25
"2021-07-28",309.410004,314.089996,306.070007,313.130005,1024400,313.130005
"2021-07-29",313.679993,322.679993,312.679993,320.5,1457500,320.5
"2021-07-30",318.299988,321.730011,317.01001,321.130005,1311500,321.130005
"2021-08-02",321.410004,324.130005,319.149994,322.070007,914000,322.070007
"2021-08-03",323.029999,328.190002,320.850006,327.609985,1043200,327.609985
"2021-08-04",328,331.119995,326.019989,329.089996,1341800,329.089996
"2021-08-05",331.100006,331.5,326.75,328.820007,1342800,328.820007
"2021-08-06",327.459991,334.059998,326.670013,332.769989,856900,332.769989
"2021-08-09",333.179993,333.880005,330.290009,332.769989,763000,332.769989
"2021-08-10",332.850006,335.670013,328.769989,331.279999,874900,331.279999
"2021-08-11",332,333.570007,325.350006,328.640015,1021100,328.640015
"2021-08-12",327.399994,332.420013,325.579987,332.049988,884400,332.049988
"2021-08-13",333.940002,334,330.25,332.779999,754400,332.779999
"2021-08-16",332.309998,332.670013,326.649994,330.179993,924100,330.179993
"2021-08-17",328.559998,328.890015,322.579987,324.700012,1086500,324.700012
"2021-08-18",323.570007,326.059998,322.230011,323.519989,913800,323.519989
"2021-08-19",322.700012,332.369995,322.459991,330.350006,1226300,330.350006
"2021-08-20",331.649994,335.269989,330.549988,334.380005,860100,334.380005
"2021-08-23",336,338.279999,334.019989,336.76001,1253200,336.76001
"2021-08-24",338.980011,344.390015,338.480011,341.070007,1032200,341.070007
"2021-08-25",342.519989,343.559998,339.329987,342.269989,1502100,342.269989
"2021-08-26",317.200012,324,308.019989,310.190002,5486100,310.190002
"2021-08-27",314.230011,318.230011,310.149994,315.640015,1840400,315.640015
"2021-08-30",316.940002,318.720001,310.160004,313.390015,1411900,313.390015
"2021-08-31",313.130005,314.290009,309.109985,310.089996,1567000,310.089996
"2021-09-01",311.799988,315.459991,300.790009,303.23999,3085400,303.23999
"2021-09-02",306.5,306.839996,285.350006,287.470001,5475100,287.470001
"2021-09-03",286.700012,293,284.5,288.75,1819000,288.75
"2021-09-07",290.76001,290.890015,284.480011,287.459991,2177000,287.459991
"2021-09-08",286.450012,289.809998,284.799988,289.559998,1504300,289.559998
"2021-09-09",289.809998,292.5,285.700012,287.679993,1444700,287.679993
"2021-09-10",288.660004,290.589996,284.109985,284.429993,1565100,284.429993
"2021-09-13",284.51001,286.290009,278.459991,281.279999,1518100,281.279999
"2021-09-14",282.190002,282.929993,278.600006,279.350006,1278800,279.350006
"2021-09-15",280.579987,287.299988,278.559998,286.619995,1430000,286.619995
"2021-09-16",287.109985,291.209991,285.220001,290.679993,1433200,290.679993
"2021-09-17",290.869995,292.200012,286.540009,288.149994,2113600,288.149994
"2021-09-20",282.519989,286.660004,279.839996,283.600006,1168500,283.600006
"2021-09-21",285.720001,286.170013,282.089996,283.190002,719900,283.190002
"2021-09-22",283.880005,288.779999,283.660004,286.420013,1054800,286.420013
"2021-09-23",287.859985,293.320007,287.399994,292.160004,1061700,292.160004
"2021-09-24",290.5,295.339996,290.5,294.670013,1067700,294.670013
"2021-09-27",294,295.290009,289.339996,294.059998,1677500,294.059998
"2021-09-28",288.640015,291.589996,283.75,287.850006,1835800,287.850006
"2021-09-29",290.420013,292.880005,286.899994,287.98999,1163000,287.98999
"2021-09-30",290.329987,292.570007,284.959991,285.170013,1668500,285.170013
"2021-10-01",283.799988,286.51001,279.790009,284.059998,1245700,284.059998
"2021-10-04",282.869995,283.98999,271.089996,272.929993,1747700,272.929993
"2021-10-05",274.929993,278.850006,274.350006,275.980011,953700,275.980011
"2021-10-06",272.950012,278.660004,271.75,277.420013,940600,277.420013
"2021-10-07",280.130005,285.440002,280.130005,283.019989,909500,283.019989
"2021-10-08",284.049988,284.359985,278.730011,278.940002,797300,278.940002
"2021-10-11",276.649994,280.299988,276.410004,276.540009,681000,276.540009
"2021-10-12",275.299988,278.380005,275.109985,275.910004,1117100,275.910004
"2021-10-13",278.670013,284.480011,278.670013,283.450012,883100,283.450012
"2021-10-14",286.850006,289.940002,286.01001,289.170013,799200,289.170013
"2021-10-15",290.809998,291.880005,289.350006,291.190002,931700,291.190002
"2021-10-18",290.209991,293.049988,289.359985,292.670013,766500,292.670013
"2021-10-19",294.540009,297.549988,292.339996,296.690002,849500,296.690002
"2021-10-20",297.809998,299.190002,295.390015,298.640015,915100,298.640015
"2021-10-21",298.25,306.350006,298.109985,305.679993,1099600,305.679993
"2021-10-22",306,312.480011,305.679993,308.579987,1161900,308.579987
"2021-10-25",308.690002,313.450012,307.269989,311.790009,913400,311.790009
"2021-10-26",312.26001,315,311.950012,312.799988,979900,312.799988
"2021-10-27",313.369995,314.980011,307.529999,308.51001,865400,308.51001
"2021-10-28",309.220001,317.630005,308.700012,317.100006,932000,317.100006
"2021-10-29",315.529999,318.73999,313.709991,317.609985,1061200,317.609985
"2021-11-01",318.5,319.73999,313.179993,315.01001,697600,315.01001
"2021-11-02",315.309998,317.730011,312.769989,314.920013,993000,314.920013
"2021-11-03",313.709991,314.25,302.01001,308.369995,1409200,308.369995
"2021-11-04",308.859985,319.720001,308.380005,318.970001,956800,318.970001
"2021-11-05",320,325.640015,319.619995,324.519989,1306700,324.519989
"2021-11-08",327.149994,330.25,325.019989,329.070007,911400,329.070007
"2021-11-09",328.420013,334.51001,327.899994,329.399994,1110400,329.399994
"2021-11-10",328.869995,330.299988,319.290009,320.529999,1148600,320.529999
"2021-11-11",323.079987,327.790009,322.029999,325.209991,720400,325.209991
"2021-11-12",327.25,331.619995,326.269989,329.320007,709700,329.320007
"2021-11-15",330.73999,332.459991,325.089996,326.390015,865500,326.390015
"2021-11-16",326,334.200012,325.23999,333.640015,1161700,333.640015
"2021-11-17",334.799988,335.480011,328.540009,330.549988,1401000,330.549988
"2021-11-18",330.959991,331.769989,320.980011,322.179993,1194900,322.179993
"2021-11-19",325.579987,327.140015,321.640015,322.519989,1355400,322.519989
"2021-11-22",324.140015,325.209991,310.450012,310.480011,1379800,310.480011
"2021-11-23",308.980011,310.700012,297.730011,304,2303400,304
"2021-11-24",262.880005,268.350006,245.050003,256.899994,10904600,256.899994
"2021-11-26",258.179993,260,252.619995,254.169998,2180900,254.169998
"2021-11-29",257.209991,266.429993,254.020004,261.149994,3192400,261.149994
"2021-11-30",261.73999,263,252.490005,254.190002,3072700,254.190002
"2021-12-01",260.859985,265.320007,249.410004,249.679993,2318400,249.679993
"2021-12-02",252.740005,258.540009,250.809998,257.660004,2473700,257.660004
"2021-12-03",259.609985,263.48999,253.050003,259.019989,2411400,259.019989
"2021-12-06",259.529999,267.839996,254.160004,265.559998,2260100,265.559998
"2021-12-07",270.589996,278.549988,267.279999,276.700012,2716400,276.700012
"2021-12-08",277.390015,278.640015,273.480011,276.290009,1824700,276.290009
"2021-12-09",275.480011,280,267.519989,267.670013,1583000,267.670013
"2021-12-10",271.019989,274.230011,267.679993,269,1237400,269
"2021-12-13",267.890015,273.630005,265.579987,268.880005,1293200,268.880005
"2021-12-14",262.839996,268.790009,260.950012,263.220001,1145900,263.220001
"2021-12-15",262.679993,272.070007,262.670013,271.730011,2003800,271.730011
"2021-12-16",273.399994,277.519989,268.440002,269.609985,1956000,269.609985
"2021-12-17",269.75,279.700012,267.839996,277.649994,2763900,277.649994
"2021-12-20",270,276.820007,268.040009,275.119995,1651600,275.119995
"2021-12-21",278.940002,282.119995,272.98999,280.420013,1103700,280.420013
"2021-12-22",280.649994,284.519989,279,282.609985,979600,282.609985
"2021-12-23",282.130005,283.519989,280.200012,280.98999,1079100,280.98999
"2021-12-27",282.950012,285.380005,281.26001,284.299988,721700,284.299988
"2021-12-28",285,285.369995,281.609985,282.769989,681800,282.769989
"2021-12-29",282.769989,283.390015,279.26001,282.570007,547800,282.570007
"2021-12-30",282.730011,285.01001,281.230011,281.709991,696400,281.709991
"2021-12-31",281.709991,283.929993,280.339996,281.190002,643300,281.190002
"2022-01-03",280.730011,284.959991,275.660004,283.720001,1082800,283.720001
"2022-01-04",283.149994,284.869995,273.040009,278.190002,1282900,278.190002
