"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"2021-03-26",162.330002,167.110001,161.899994,166.899994,454600,165.328033
"2021-03-29",166.190002,168.720001,165.75,167.339996,556300,165.76387
"2021-03-30",167.550003,170.050003,167.100006,169.339996,554900,167.745056
"2021-03-31",168.919998,169.979996,166.610001,168.070007,786800,166.487015
"2021-04-01",167.710007,169.910004,166.75,169.800003,413900,168.200729
"2021-04-05",170.679993,173.039993,170.679993,171.070007,474900,169.458771
"2021-04-06",170.970001,171.940002,169.070007,169.300003,374800,167.705429
"2021-04-07",169.149994,169.789993,168.089996,169.309998,269000,167.715347
"2021-04-08",168.809998,169.009995,166.419998,167.610001,447200,166.031357
"2021-04-09",168.940002,170.160004,168.089996,169.509995,437100,167.913437
"2021-04-12",168.919998,171.839996,168.860001,171.5,518800,169.884705
"2021-04-13",171.380005,171.380005,168.479996,170.410004,660300,168.804993
"2021-04-14",170.399994,170.399994,167.899994,169.179993,696700,167.586563
"2021-04-15",170.240005,171.570007,168.289993,169.770004,940000,168.171005
"2021-04-16",175,178.399994,170.759995,172.160004,1386100,170.538498
"2021-04-19",171.660004,172.309998,166.229996,166.929993,944100,165.357727
"2021-04-20",167.350006,168.669998,165.199997,168.369995,916200,166.784195
"2021-04-21",169.029999,170.550003,166.210007,166.779999,666900,165.209167
"2021-04-22",166.559998,170.779999,166.300003,169.589996,655200,167.992706
"2021-04-23",169.610001,170.589996,169.070007,169.199997,515100,167.606369
"2021-04-26",169.910004,170.919998,166.779999,167.759995,593600,166.179932
"2021-04-27",168.429993,170.360001,168.130005,169.639999,566500,168.042221
"2021-04-28",169.330002,170.669998,168.380005,168.919998,368600,167.32901
"2021-04-29",169.910004,173.699997,169.460007,172.020004,518100,170.399826
"2021-04-30",170.970001,172.410004,170.039993,170.710007,600400,169.102158
"2021-05-03",171.800003,175.229996,171.800003,174.100006,594700,172.46022
"2021-05-04",173.279999,177.690002,172.809998,176.570007,625500,174.906967
"2021-05-05",177.570007,177.570007,173.050003,173.649994,679800,172.014465
"2021-05-06",172.850006,175,170.949997,174.899994,540600,173.552521
"2021-05-07",175.570007,178.869995,173.970001,178.270004,480100,176.896561
"2021-05-10",181.639999,183.800003,180.110001,180.470001,576200,179.079605
"2021-05-11",180.039993,180.220001,175.520004,176.440002,553600,175.080673
"2021-05-12",176.020004,177.809998,172.860001,173.179993,453400,171.845764
"2021-05-13",174.009995,176.570007,173.839996,175.990005,426400,174.634125
"2021-05-14",177.729996,177.729996,176.100006,176.490005,411200,175.13028
"2021-05-17",176.449997,177.729996,174.449997,176.070007,397300,174.713531
"2021-05-18",176.270004,177.619995,173.399994,173.429993,622400,172.093826
"2021-05-19",172.289993,172.889999,167.929993,171.279999,564800,169.960419
"2021-05-20",171.369995,172.669998,169.550003,169.820007,431500,168.511658
"2021-05-21",169.990005,172.470001,169.729996,170.690002,292700,169.374954
"2021-05-24",171.580002,172,170.179993,171.089996,315900,169.771866
"2021-05-25",170.830002,172.009995,167.529999,167.669998,602300,166.378235
"2021-05-26",167.979996,169.770004,167.199997,169.440002,514200,168.134598
"2021-05-27",170.839996,173.240005,170.350006,172.259995,586800,170.932877
"2021-05-28",171.339996,172.580002,170.910004,171.539993,480400,170.218399
"2021-06-01",172.649994,174.279999,171.929993,172.139999,531500,170.813797
"2021-06-02",172.470001,172.470001,168.729996,170.089996,632300,168.779587
"2021-06-03",169.860001,170.699997,167.100006,169.509995,446000,168.204041
"2021-06-04",169.210007,169.729996,164.009995,167.080002,610000,165.79277
"2021-06-07",168.259995,168.259995,163.089996,163.570007,907700,162.309814
