"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"2021-05-11",172.360001,172.679993,167.270004,167.759995,3457200,164.227692
"2021-05-12",168.979996,169.5,164.759995,164.919998,2396900,161.44751
"2021-05-13",164.529999,169.839996,164.360001,168.789993,1797700,165.236023
"2021-05-14",168.779999,170.679993,168.369995,170.179993,1382000,166.596741
"2021-05-17",169.809998,170.139999,168.100006,168.490005,937000,164.942337
"2021-05-18",167.770004,167.929993,165.630005,165.820007,2812700,162.328552
"2021-05-19",164.679993,166.149994,163.179993,166.100006,2675500,162.602661
"2021-05-20",166.220001,167.210007,165.259995,166.160004,3352200,162.661407
"2021-05-21",166.619995,168.789993,165.679993,166.710007,2578200,163.199814
"2021-05-24",167.649994,168.470001,165.940002,166.660004,2924600,163.150879
"2021-05-25",166.380005,167.889999,165.460007,165.669998,2643800,162.181717
"2021-05-26",167.190002,167.210007,164.75,166.149994,2303000,162.651611
"2021-05-27",167.229996,169.929993,166.889999,169.350006,4827400,165.784241
"2021-05-28",170.389999,170.860001,168.669998,169.990005,2194500,166.410782
"2021-06-01",171.570007,173.479996,170.009995,171.490005,2965300,167.87915
"2021-06-02",172.679993,173.410004,170.919998,171.389999,1836600,167.781281
"2021-06-03",170.610001,173.669998,170.279999,173.399994,1895700,169.748932
"2021-06-04",173.320007,173.410004,171.830002,173.009995,1421000,169.367157
"2021-06-07",173.009995,173.339996,169.360001,169.449997,2486200,165.882111
"2021-06-08",168.639999,170.130005,168.190002,169.820007,3064800,166.244339
"2021-06-09",169.300003,169.800003,167.149994,167.300003,1617100,163.77739
"2021-06-10",168.639999,168.850006,165.300003,165.460007,1866800,161.976151
"2021-06-11",165.949997,167.149994,165.759995,167.089996,1515700,163.571808
"2021-06-14",166.759995,167.610001,165.380005,166.460007,1733200,162.955093
"2021-06-15",167.279999,168.820007,166.380005,168.100006,1549500,164.560547
"2021-06-16",167.779999,169.279999,167.009995,167.5,2023000,163.97319
"2021-06-17",167.25,167.429993,160.220001,160.270004,2487100,157.648361
"2021-06-18",157.669998,159.410004,155.779999,156.009995,4136700,153.458054
"2021-06-21",157.139999,159.479996,156.979996,159.029999,2071900,156.42865
"2021-06-22",158.960007,159.940002,157.690002,159.320007,1214000,156.713913
"2021-06-23",159.520004,160.25,158.910004,159.490005,1077300,156.881119
"2021-06-24",160.039993,161.669998,159.020004,161.199997,1243400,158.563141
"2021-06-25",161.570007,162.740005,161.220001,162.289993,1770200,159.63533
"2021-06-28",162.300003,162.300003,158.339996,158.949997,1361700,156.349945
"2021-06-29",159.490005,160.860001,157.600006,158.399994,1156900,155.808945
"2021-06-30",158.600006,159.25,157.740005,158.940002,1084300,156.340118
"2021-07-01",159.860001,161.899994,159,161.820007,1055100,159.173019
"2021-07-02",161.470001,161.960007,160.479996,161.369995,1734000,158.730347
"2021-07-06",160.740005,161.699997,158.690002,161.089996,1587300,158.454926
"2021-07-07",160,162.399994,159.889999,161.970001,916000,159.320541
"2021-07-08",159.679993,160.190002,157.190002,157.949997,1351200,155.366302
"2021-07-09",160.850006,162.899994,159.490005,162.729996,1569200,160.06813
"2021-07-12",162.130005,164.940002,161.770004,164.610001,1539400,161.917374
"2021-07-13",163.809998,164.699997,162.960007,163.020004,1305000,160.353394
"2021-07-14",163.619995,164.949997,163.190002,164.309998,1009200,161.622269
"2021-07-15",162.580002,166.289993,162.309998,166.160004,1098600,163.442001
"2021-07-16",166.589996,167.5,165.279999,166.75,1129000,164.022339
"2021-07-19",163.970001,164.990005,159.470001,160.789993,1766200,158.159851
"2021-07-20",161.699997,168.820007,161.699997,167.669998,3033600,164.927322
"2021-07-21",169.020004,171.440002,168.630005,169.419998,1707700,166.648697
"2021-07-22",168.729996,168.940002,166.740005,167.25,1199700,164.514191
"2021-07-23",168.75,169.210007,166.410004,166.899994,1340900,164.169907
"2021-07-26",166.800003,168.669998,166.729996,168.139999,1331400,165.389618
"2021-07-27",167.300003,169.580002,166.100006,169.320007,1704300,166.550323
"2021-07-28",173,173.25,164.139999,166.020004,1991900,163.304306
