"","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"2021-10-21",278.589996,280.579987,277.309998,279.579987,142100,274.695343
"2021-10-22",281.070007,281.880005,277.950012,280.920013,152100,276.011963
"2021-10-25",280.170013,283.200012,278.609985,282.640015,141200,277.701935
"2021-10-26",284.26001,289.559998,281.670013,286.619995,275300,281.612396
"2021-10-27",286.869995,289.679993,279.429993,280.179993,415300,275.284882
"2021-10-28",275,276.290009,263.209991,267.399994,531600,262.728149
"2021-10-29",266.450012,267.160004,261.329987,261.5,406500,256.931244
"2021-11-01",263.910004,267.549988,262.839996,265.420013,302400,260.782776
"2021-11-02",266.700012,279.149994,266.700012,273.809998,399600,269.026184
"2021-11-03",272.059998,274.399994,270.920013,273.970001,173500,269.183411
"2021-11-04",273.160004,273.160004,266.429993,268.809998,186200,264.113556
"2021-11-05",271.829987,274.140015,270.75,273.549988,159700,268.770721
"2021-11-08",275.690002,275.690002,272.459991,273.690002,127200,268.908295
"2021-11-09",272.200012,273.119995,271.130005,272.440002,110800,267.680115
"2021-11-10",273.26001,273.709991,269.859985,270.320007,124400,265.597168
"2021-11-11",269.890015,272.899994,267.769989,272.820007,282700,268.053497
"2021-11-12",273.279999,275.25,271.019989,274.149994,195700,269.36026
"2021-11-15",274.790009,276.290009,273.619995,275.5,100200,270.686676
"2021-11-16",276.209991,280.339996,274.869995,278.540009,199700,273.673553
"2021-11-17",277.570007,278.619995,274.01001,278.130005,216600,273.270721
"2021-11-18",277.420013,279.700012,272.029999,274.399994,161300,269.605865
"2021-11-19",274.149994,274.149994,266.839996,267.109985,333900,262.443237
"2021-11-22",267.709991,277.600006,266.890015,273.869995,2e+05,269.085114
"2021-11-23",275.630005,279.980011,275.269989,279.48999,191800,274.606964
"2021-11-24",279.230011,279.929993,276.339996,277.899994,134700,273.044708
"2021-11-26",267.820007,271.369995,264.329987,268.399994,139800,263.710724
"2021-11-29",272.220001,272.220001,264.220001,264.369995,267200,259.751099
"2021-11-30",259.519989,260.049988,256,256.380005,524900,253.386322
"2021-12-01",260.329987,264.130005,256.730011,256.899994,374600,253.900238
"2021-12-02",258.720001,266.079987,257.920013,263.829987,302800,260.749329
"2021-12-03",263.600006,264.619995,258.940002,262.470001,312900,259.405212
"2021-12-06",266.269989,269.049988,264.869995,266.970001,176700,263.852661
"2021-12-07",267.540009,273.170013,267.519989,270.890015,239400,267.726898
"2021-12-08",271.149994,275.130005,269.440002,273.829987,293200,270.632568
"2021-12-09",272.25,274.459991,270.630005,271.190002,217400,268.023407
"2021-12-10",272.399994,273.329987,269.429993,269.970001,152700,266.817627
"2021-12-13",269.059998,270.600006,265.5,267.480011,167600,264.356689
"2021-12-14",268.019989,272.019989,265.480011,269.709991,151200,266.560669
"2021-12-15",271.100006,274.329987,268.459991,269.880005,170500,266.728668
"2021-12-16",272.570007,274.25,268.820007,270.559998,244400,267.400726
"2021-12-17",273.730011,274.890015,266.649994,266.929993,608000,263.81311
"2021-12-20",264.059998,264.73999,259.600006,261.670013,318800,258.614563
"2021-12-21",263.5,269.200012,263.459991,264.839996,223700,261.747528
"2021-12-22",263.920013,266.059998,262.070007,263.070007,311600,259.998199
"2021-12-23",265.200012,267.529999,264.140015,267.019989,124200,263.902069
"2021-12-27",268.320007,271.730011,266.179993,271.220001,110600,268.05304
"2021-12-28",271.540009,274.890015,271.540009,274.230011,129700,271.027893
"2021-12-29",274.220001,277.279999,274.119995,276.200012,130100,272.974884
"2021-12-30",276.839996,279.100006,274.079987,274.209991,82600,271.008118
"2021-12-31",273.720001,275.910004,273.170013,273.920013,151400,270.721527
"2022-01-03",274.649994,276.399994,270.519989,272.790009,188200,269.604706
"2022-01-04",276.029999,277.660004,272.709991,272.869995,200400,269.683777
"2022-01-05",274.660004,275.630005,269.25,269.25,222400,266.106049
"2022-01-06",274.98999,277.649994,272.269989,274.309998,213900,271.106934
"2022-01-07",275.559998,280.160004,274.329987,279.170013,161800,275.910217
"2022-01-10",281.459991,281.959991,278.190002,280.200012,240300,276.928192
"2022-01-11",282,285.820007,277.720001,285.640015,207200,282.304688
