"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume","FIS.Adjusted"
"2021-08-03",134.179993,134.179993,126.660004,130.399994,13405600,128.280289
"2021-08-04",129.880005,131.029999,127.830002,128.770004,4961000,126.676796
"2021-08-05",128.729996,130.690002,127.959999,129.520004,4702500,127.414619
"2021-08-06",129.630005,135.190002,128.5,133.820007,5823400,131.64473
"2021-08-09",133.630005,135.100006,133.229996,134.070007,2866900,131.890656
"2021-08-10",133.949997,134.529999,131.479996,132.5,3833600,130.346176
"2021-08-11",132.919998,134.440002,132.729996,133.869995,2551300,131.693893
"2021-08-12",134,135.550003,133.679993,133.889999,2554000,131.713577
"2021-08-13",133.789993,134.779999,133.529999,134.059998,3270300,131.880814
"2021-08-16",133.369995,133.740005,131.850006,133.020004,3078100,130.857727
"2021-08-17",132.139999,135.449997,131.789993,134.300003,3608600,132.116898
"2021-08-18",134.039993,135.619995,133.279999,134.440002,3746600,132.254623
"2021-08-19",133.460007,133.800003,128.460007,128.869995,5012200,126.775177
"2021-08-20",128.660004,130.130005,128.210007,129.979996,3251000,127.867119
"2021-08-23",130.369995,130.529999,129.380005,129.669998,4614500,127.562164
"2021-08-24",129.619995,130.259995,128.820007,130.009995,4650900,127.896645
"2021-08-25",129.889999,130.410004,128.699997,130.009995,3792800,127.896645
"2021-08-26",129.470001,130.270004,127.730003,128.339996,4489500,126.253784
"2021-08-27",128.699997,128.789993,127.610001,128.589996,2439500,126.499725
"2021-08-30",127.690002,129.149994,126.669998,127.220001,3575400,125.151993
"2021-08-31",127.809998,129.100006,126.910004,127.769997,4791200,125.693054
"2021-09-01",127.889999,130.169998,127.370003,129.289993,4135700,127.188339
"2021-09-02",129.660004,129.830002,126.230003,126.860001,3821500,124.797852
"2021-09-03",126.650002,127.389999,124.849998,125.389999,4771700,123.351746
"2021-09-07",125.400002,126.379997,125.25,125.730003,3425200,123.686218
"2021-09-08",126.199997,130.550003,125.809998,130,5081300,127.886803
"2021-09-09",129.350006,130.169998,126.949997,127.029999,2684800,125.34111
"2021-09-10",127.68,127.989998,123.610001,123.790001,3768900,122.144196
"2021-09-13",124.419998,125.190002,123.57,124.629997,3845300,122.973015
"2021-09-14",125.209999,125.449997,122.57,123.419998,3210900,121.779099
"2021-09-15",123.589996,125.660004,122.959999,125.099998,4893400,123.436768
"2021-09-16",125.110001,126.18,124.730003,125.400002,3445800,123.73278
"2021-09-17",124.650002,125.190002,123.059998,123.730003,4251800,122.084991
"2021-09-20",122.190002,123.449997,121.660004,123.120003,2830200,121.483093
"2021-09-21",123.519997,123.870003,121.199997,121.379997,3901300,119.766228
"2021-09-22",121.959999,122.559998,120.959999,122.07,2247100,120.44706
"2021-09-23",122.589996,123.57,121.970001,122.309998,3556000,120.683868
"2021-09-24",122.059998,123.190002,121.540001,122.029999,2308300,120.407578
"2021-09-27",121.900002,124.669998,121.769997,124.32,2597400,122.667145
"2021-09-28",123.699997,123.900002,121.790001,122.239998,2483000,120.614799
"2021-09-29",122.25,124.190002,121.620003,123.339996,2884000,121.700172
"2021-09-30",124.190002,124.370003,121.040001,121.68,3148400,120.062241
"2021-10-01",122.43,123.889999,121.089996,123.269997,2850400,121.631104
"2021-10-04",123.220001,123.959999,120.279999,121.029999,2803200,119.420883
"2021-10-05",120.5,122.690002,120.230003,120.339996,2566300,118.740051
"2021-10-06",119.169998,121.190002,118.279999,121.120003,2411400,119.509689
"2021-10-07",121.779999,122.989998,121.110001,121.300003,2210000,119.687294
"2021-10-08",121.739998,122.32,119.949997,120.029999,1641400,118.434174
"2021-10-11",119.510002,119.720001,115.769997,115.870003,3954300,114.329483
"2021-10-12",116.190002,117.940002,114.82,116.089996,2849000,114.546562
"2021-10-13",116.199997,116.809998,114.339996,116.779999,2439100,115.227386
"2021-10-14",117.989998,122.309998,117.599998,121.68,4098100,120.062241
"2021-10-15",122.43,125.110001,122.279999,124.800003,3606200,123.140762
"2021-10-18",124.18,124.730003,122.449997,123.029999,2868700,121.394295
"2021-10-19",123.339996,124.540001,122.620003,124.050003,1732000,122.400742
"2021-10-20",124.599998,126.199997,123.82,124.620003,3969100,122.963158
"2021-10-21",123.480003,124.529999,122.900002,124.43,2427400,122.775681
"2021-10-22",123.910004,126.040001,123.849998,125.040001,1898200,123.377563
"2021-10-25",125.669998,125.769997,122.040001,122.440002,3040100,120.812141
"2021-10-26",123.150002,124.190002,121.650002,122.400002,3601200,120.772675
"2021-10-27",121.550003,122.059998,113.339996,114.209999,8857600,112.691551
"2021-10-28",115.099998,115.099998,111.43,111.900002,6871400,110.41227
"2021-10-29",111.870003,113.089996,110.290001,110.739998,5448300,109.267685
"2021-11-01",110.769997,114.610001,110.510002,114,4403900,112.484344
"2021-11-02",111.989998,112.709999,104.290001,109.169998,8386400,107.718559
"2021-11-03",109.169998,111.209999,107.940002,110.919998,5525600,109.44529
"2021-11-04",107.910004,119.699997,107.449997,111.75,10902800,110.264259
"2021-11-05",113.419998,116.080002,112.209999,113.660004,4244100,112.148872
"2021-11-08",114.010002,115.889999,113.959999,114.739998,4150800,113.214508
"2021-11-09",114.769997,117.230003,114.110001,115.470001,4795700,113.934807
"2021-11-10",115.599998,119.269997,114.68,118.389999,5980200,116.815971
"2021-11-11",118.050003,119.650002,116.529999,119.410004,4859200,117.822418
"2021-11-12",119.699997,120.959999,116.830002,116.860001,3900100,115.306328
"2021-11-15",117.440002,117.559998,115.440002,115.669998,3443900,114.132141
"2021-11-16",116.650002,116.980003,114.739998,115.110001,3322200,113.57959
"2021-11-17",114.220001,114.760002,108.300003,110.440002,5864400,108.97168
"2021-11-18",111.419998,111.629997,108.389999,109.010002,4388500,107.560692
"2021-11-19",109.379997,111.040001,108.559998,109.940002,3407500,108.478333
"2021-11-22",110.110001,111.800003,107.330002,107.879997,5995100,106.445702
"2021-11-23",108.510002,109.040001,106.639999,108.660004,3464500,107.215347
"2021-11-24",107.989998,111.010002,107.650002,109.860001,4470300,108.399384
"2021-11-26",106.440002,108.970001,105.589996,108.010002,2392900,106.57399
"2021-11-29",109.129997,110.010002,105.360001,105.389999,3114500,103.988823
"2021-11-30",105.160004,106.580002,102.800003,104.5,7066100,103.110657
"2021-12-01",105.779999,106.900002,102.279999,102.360001,4530200,100.9991
"2021-12-02",103.029999,106.309998,102.580002,105.730003,3192100,104.324303
"2021-12-03",105.510002,106.160004,101.790001,103.300003,4643600,101.926613
"2021-12-06",104,107.860001,103.419998,107.029999,6515200,105.607018
"2021-12-07",107.870003,108.959999,106.379997,106.949997,4785700,105.528076
"2021-12-08",107.129997,108.650002,106.160004,108.330002,3848200,106.889732
"2021-12-09",108.300003,108.660004,104.470001,104.989998,4701300,103.594131
"2021-12-10",103.019997,105.5,102.790001,104.5,4982700,103.495094
"2021-12-13",104.440002,105.599998,103.769997,104.75,3716200,103.742699
"2021-12-14",104.629997,107.160004,103.699997,106.830002,6918000,105.802696
"2021-12-15",106.599998,107.440002,104.709999,106.82,4844300,105.792786
"2021-12-16",107.760002,109.18,105.529999,108.470001,4464400,107.426918
"2021-12-17",108.599998,109.639999,106.330002,107.980003,6495200,106.941635
"2021-12-20",106.349998,106.349998,104.029999,104.650002,4697900,103.643661
"2021-12-21",105.699997,110.919998,105.209999,109.900002,4214500,108.84317
"2021-12-22",109.650002,110.910004,108.739998,110,2163300,108.942215
"2021-12-23",109.779999,110.239998,109.019997,109.050003,2598500,108.00135
"2021-12-27",109.029999,109.110001,106.5,108.440002,2699300,107.397209
"2021-12-28",108.540001,110.510002,107.669998,109.290001,2253500,108.239037
