"","BSX.Open","BSX.High","BSX.Low","BSX.Close","BSX.Volume","BSX.Adjusted"
"2021-12-17",40.380001,41.48,40.130001,40.860001,11236100,40.860001
"2021-12-20",40.310001,40.310001,39.27,39.5,11673200,39.5
"2021-12-21",39.970001,41.150002,39.830002,41.110001,9391500,41.110001
"2021-12-22",41.060001,42.200001,41,42.16,7722800,42.16
"2021-12-23",42.529999,43.040001,42.240002,42.720001,6414900,42.720001
"2021-12-27",42.709999,43.18,42.52,43.119999,4105400,43.119999
"2021-12-28",43.110001,43.59,43.02,43.240002,5515000,43.240002
"2021-12-29",43.310001,43.419998,43.02,43.169998,3398400,43.169998
"2021-12-30",43.169998,43.419998,42.950001,42.990002,3530500,42.990002
"2021-12-31",42.810001,43.07,42.470001,42.48,4174400,42.48
"2022-01-03",42.59,43.150002,42.099998,43.119999,5093500,43.119999
"2022-01-04",43.32,44.630001,43.209999,43.639999,9135000,43.639999
"2022-01-05",43.5,44.139999,43.040001,43.049999,6601200,43.049999
"2022-01-06",43.099998,43.360001,42.540001,42.59,5510700,42.59
"2022-01-07",42.41,42.759998,42.07,42.110001,5341300,42.110001
"2022-01-10",41.900002,42.43,41.439999,42.41,6454500,42.41
"2022-01-11",42.650002,43.650002,42.389999,43.400002,6208600,43.400002
"2022-01-12",43.580002,44.650002,43.419998,44.41,13543700,44.41
"2022-01-13",44.240002,45.32,44.07,44.57,11883600,44.57
