"","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2021-07-08",85.709999,89.129997,85.349998,88.190002,3050300,84.878052
"2021-07-09",89.410004,90.75,88,89.419998,1834200,86.061859
"2021-07-12",88.07,90.410004,86.910004,89.830002,1403000,86.456459
"2021-07-13",89.839996,91.129997,88.199997,90.040001,1211900,86.658577
"2021-07-14",90.800003,91.379997,84.059998,84.580002,2219300,81.403625
"2021-07-15",83.150002,84.620003,80.769997,81.739998,2985800,78.670273
"2021-07-16",82.57,82.910004,78.010002,78.360001,1964600,75.417206
"2021-07-19",74.230003,76.279999,71.349998,73.190002,4708000,70.441376
"2021-07-20",72.660004,76.25,71.879997,74.919998,2800200,72.1064
"2021-07-21",75.75,80.360001,75.75,79.339996,2988100,76.360405
"2021-07-22",79.150002,79.389999,76.889999,78.669998,1593800,75.715561
"2021-07-23",79.900002,79.900002,77.029999,78.239998,1939000,75.30172
"2021-07-26",78.25,81.43,78.110001,80.25,2016500,77.236237
"2021-07-27",79,79.690002,77.68,78.550003,1815900,75.600082
"2021-07-28",78.82,80.669998,78.010002,79.580002,2753200,76.5914
"2021-07-29",80.629997,80.800003,78.650002,79.540001,1479200,76.552902
"2021-07-30",79.279999,79.410004,76.25,77.129997,2085100,74.233406
"2021-08-02",77.639999,79.730003,75.919998,76.75,2854500,73.867676
"2021-08-03",75.519997,81.260002,75.5,80.529999,4093400,77.505714
"2021-08-04",78.610001,80.25,76.019997,76.419998,2713700,73.550064
"2021-08-05",77.43,80.660004,76.279999,79.830002,2331200,76.832001
"2021-08-06",81.160004,82.290001,79.330002,80.050003,1661600,77.043747
"2021-08-09",78.269997,79.129997,76.589996,77.230003,2151200,74.329651
"2021-08-10",78.43,79.75,77.989998,78.120003,2719400,75.186226
"2021-08-11",77.230003,79.019997,75.209999,79.010002,1696600,76.483376
"2021-08-12",78.690002,79.860001,77.32,79.370003,972300,76.831863
"2021-08-13",79.519997,79.519997,75.529999,75.639999,1786600,73.221138
"2021-08-16",74.269997,74.519997,72.150002,72.540001,2563800,70.220284
"2021-08-17",72,74.25,71.400002,71.879997,1906700,69.581383
"2021-08-18",72.099998,73.199997,69.699997,69.809998,1633800,67.577576
"2021-08-19",68.169998,69.199997,65.93,67.879997,4156600,65.709297
"2021-08-20",67.010002,68.550003,66.120003,68.18,2305800,65.999702
"2021-08-23",71.489998,73.269997,70.919998,72.199997,3154700,69.891151
"2021-08-24",73.669998,74.720001,72.790001,74.199997,2315800,71.827194
"2021-08-25",74.370003,75.360001,73.309998,75.010002,1731000,72.611298
"2021-08-26",74.519997,74.519997,72.480003,73.080002,1886200,70.743004
"2021-08-27",74.199997,77.07,74.199997,76.650002,2360000,74.198845
"2021-08-30",77.980003,78.099998,75.779999,76.279999,1551200,73.840675
"2021-08-31",75.889999,78.050003,74.860001,77.139999,1550600,74.67318
"2021-09-01",77.160004,77.300003,73.260002,74.160004,4149500,71.788475
"2021-09-02",75.260002,78.199997,74.959999,76.57,2422800,74.121407
"2021-09-03",76.419998,76.900002,74.669998,75.559998,1671700,73.143692
"2021-09-07",75.25,76.720001,73.970001,74.93,2166800,72.533844
"2021-09-08",75.839996,76.919998,73.949997,74.699997,1900500,72.311195
"2021-09-09",74.07,77.43,73.309998,75.660004,1823800,73.240509
"2021-09-10",77.379997,77.389999,74.919998,75.040001,1385400,72.640335
"2021-09-13",76.160004,78.949997,76.160004,77.800003,2117300,75.31208
"2021-09-14",78.839996,78.889999,75.050003,75.68,1936600,73.259865
"2021-09-15",77.639999,81.970001,77.389999,81.580002,3566300,78.971191
"2021-09-16",80.949997,81.040001,78.93,80.07,1994800,77.509476
"2021-09-17",82.980003,84.349998,82,82.620003,6737600,79.977936
"2021-09-20",78.779999,80.839996,77.209999,79.110001,3205500,76.580177
"2021-09-21",80.330002,81.029999,78.139999,80.040001,2147000,77.480438
"2021-09-22",81.849998,85.25,81.809998,84.379997,2866600,81.681641
"2021-09-23",84.699997,88.760002,84.470001,87.860001,2534300,85.050369
"2021-09-24",87.230003,90.870003,86.75,88.720001,2385400,85.882866
"2021-09-27",91.540001,95.720001,91.529999,95.480003,3893100,92.426689
"2021-09-28",97,97.43,93.389999,94.980003,3429100,91.942688
"2021-09-29",94.309998,96.949997,94.059998,96.050003,2400300,92.978462
"2021-09-30",95.57,97.690002,94.489998,94.669998,2991200,91.642586
"2021-10-01",95.269997,98.959999,94.809998,98.860001,2777100,95.698601
"2021-10-04",100.440002,104.93,99.050003,103.379997,4564700,100.074051
"2021-10-05",105,107.550003,102.190002,104.160004,4147300,100.829117
"2021-10-06",100.620003,104.589996,100.169998,104.110001,3002700,100.780716
"2021-10-07",104.220001,105.730003,102.599998,105.120003,2158700,101.758415
"2021-10-08",106.540001,110.5,106.239998,109.900002,3156400,106.385559
"2021-10-11",112.029999,114.099998,110.120003,110.730003,3252500,107.189018
"2021-10-12",110.599998,113.010002,108.239998,110,2461000,106.482361
"2021-10-13",107.480003,109.620003,104.839996,108.190002,2924600,104.73024
"2021-10-14",110,110.639999,106.220001,108.830002,2324100,105.34977
"2021-10-15",110.160004,110.800003,107.980003,108.279999,2394200,104.817368
"2021-10-18",111,114.730003,108.5,109.260002,3628900,105.766029
"2021-10-19",109.760002,111.360001,108.419998,110.940002,1686500,107.392303
"2021-10-20",109,111.480003,108.510002,111.150002,1665900,107.595581
"2021-10-21",110.440002,110.860001,107.760002,108.93,1533000,105.446571
"2021-10-22",109.879997,111.120003,108.580002,109.330002,2178100,105.833786
"2021-10-25",111.260002,112.889999,108.970001,109.410004,2841100,105.911232
"2021-10-26",110.480003,112.459999,109.620003,111.690002,1901700,108.118317
"2021-10-27",109.5,111.620003,107.379997,107.580002,2080200,104.139748
"2021-10-28",106.650002,109.059998,106.449997,109.010002,1685000,105.524017
"2021-10-29",109,109.309998,105.470001,107.190002,2158500,103.76223
"2021-11-01",109.830002,112.120003,109.349998,111.610001,3992000,108.040878
"2021-11-02",109.75,116.110001,108.099998,114.449997,4236000,110.790054
"2021-11-03",113.379997,115.239998,110.510002,111.809998,2673400,108.234474
"2021-11-04",114.459999,116.389999,110.919998,112.760002,2656000,109.154099
"2021-11-05",114.410004,115.389999,112.559998,113.790001,1870100,110.151161
"2021-11-08",115.269997,117.709999,114.849998,115.709999,2161800,112.009758
"2021-11-09",115,116.150002,110.690002,112.989998,2347300,109.851425
"2021-11-10",112.389999,112.400002,105.669998,107.160004,2657600,104.183372
"2021-11-11",107.580002,109.949997,107.559998,108.769997,1649100,105.74865
"2021-11-12",108.230003,110.970001,107.690002,109.949997,1820400,106.895874
"2021-11-15",109.739998,111.870003,106.760002,111.169998,1707800,108.081985
"2021-11-16",112,112.75,109.68,110.18,2032400,107.119484
"2021-11-17",108.339996,111.239998,106.610001,107.239998,2341200,104.261147
"2021-11-18",107.5,110.330002,105.860001,107.959999,1903100,104.961151
"2021-11-19",104.57,105.790001,100.779999,102.169998,4786700,99.331978
"2021-11-22",102.300003,108.059998,102.239998,105.470001,2790200,102.540314
"2021-11-23",108.599998,111.290001,108.010002,110.190002,2824600,107.129211
"2021-11-24",108.650002,114.93,108.5,114.199997,2163700,111.027809
"2021-11-26",105.300003,108.339996,102.449997,107.480003,3128400,104.494484
"2021-11-29",111.709999,115.760002,108.370003,109.93,4238700,106.876427
"2021-11-30",106.129997,111.290001,105.910004,106.730003,15960100,103.76532
"2021-12-01",109.529999,109.889999,102.910004,103,4079700,100.138924
"2021-12-02",101.529999,107.68,99.519997,106.43,2894300,103.473648
"2021-12-03",108.169998,109.190002,103.660004,106,2497100,103.055595
"2021-12-06",108.139999,109.739998,105.550003,108.230003,1926900,105.223656
"2021-12-07",110.169998,116.870003,109.949997,115.589996,2953800,112.379204
"2021-12-08",116.099998,116.629997,113.089996,113.629997,2304500,110.473648
"2021-12-09",112.389999,113.43,109.82,110.330002,1931500,107.26532
"2021-12-10",111.599998,112.239998,107.75,111.18,1940800,108.091705
"2021-12-13",109.889999,110.910004,105.550003,106.610001,2011900,103.648643
"2021-12-14",104.639999,107.559998,103.550003,104.07,2764200,101.179207
"2021-12-15",104.559998,104.559998,99.029999,103.75,3691000,100.868088
"2021-12-16",105.580002,108.269997,104.790001,105.300003,2641200,102.375038
"2021-12-17",103.669998,104.800003,100.650002,102.43,5014400,99.584755
"2021-12-20",97.620003,99.989998,95.019997,99.120003,2760900,96.366707
"2021-12-21",101.410004,105.32,100.879997,104.900002,2142800,101.986145
"2021-12-22",103.82,107.019997,102.980003,105.690002,1766700,102.754204
"2021-12-23",106,107.400002,105.239998,105.940002,1639900,102.997261
"2021-12-27",105.93,111.220001,104.120003,111.139999,2062700,108.052818
"2021-12-28",111.620003,112.330002,109.080002,110.160004,1408400,107.100044
"2021-12-29",109.940002,111.220001,108.519997,108.709999,1256500,105.690315
"2021-12-30",108.709999,109.910004,107.169998,107.309998,1231300,104.329201
"2021-12-31",106.110001,108.32,105.470001,107.849998,1293700,104.85421
"2022-01-03",107.580002,112.43,107.550003,111.839996,2002000,108.733376
"2022-01-04",113.309998,119.699997,112.739998,119.199997,4505400,115.888931
"2022-01-05",121.379997,123.489998,117.32,118.110001,3375500,114.829208
