"","MCHP.Open","MCHP.High","MCHP.Low","MCHP.Close","MCHP.Volume","MCHP.Adjusted"
"2021-09-13",79.875,80.379997,78.830002,80.349998,3697400,79.507019
"2021-09-14",80.779999,81.165001,79.519997,80.324997,3584000,79.482269
"2021-09-15",80.375,81.120003,79.665001,81.095001,3434600,80.244202
"2021-09-16",80.239998,82.095001,80.114998,81.555,3386400,80.699379
"2021-09-17",81.305,81.5,79.669998,80.550003,10976200,79.704918
"2021-09-20",79.105003,79.190002,77.154999,78.254997,5917800,77.433998
"2021-09-21",78.739998,79.245003,77.540001,78.644997,5091200,77.819901
"2021-09-22",79.459999,80.945,78.959999,80.745003,3016600,79.897881
"2021-09-23",80.595001,82.885002,80.595001,82.584999,3162800,81.718567
"2021-09-24",82.065002,82.845001,81.775002,82.650002,1901800,81.782898
"2021-09-27",81.934998,83.065002,81.224998,83.040001,2488800,82.168793
"2021-09-28",80.839996,81.790001,79.114998,79.169998,4259400,78.339394
"2021-09-29",78.974998,79.330002,76.459999,76.535004,4455600,75.73204
"2021-09-30",77.349998,77.879997,76.480003,76.745003,2830800,75.939842
"2021-10-01",77.300003,77.345001,75.559998,76.355003,4276800,75.553932
"2021-10-04",75.434998,75.739998,72.875,73.309998,5449800,72.540871
"2021-10-05",74.195,74.790001,73.574997,74.010002,4975400,73.233528
"2021-10-06",73.014999,74.084999,72.824997,73.875,2847200,73.099953
"2021-10-07",74.915001,75.714996,74.510002,74.625,3126600,73.842079
"2021-10-08",74.904999,74.955002,72.589996,73.07,4538800,72.303398
"2021-10-11",72.830002,73.885002,71.904999,71.955002,2892800,71.200089
"2021-10-12",72.425003,72.824997,69.860001,70.495003,4855200,69.755417
"2021-10-13",71.5,71.610001,70.019997,70.25,4826300,69.512978
"2021-10-14",71.5,72.540001,71.309998,72.480003,3668800,71.719582
"2021-10-15",73.169998,73.480003,72.470001,72.779999,2837100,72.016441
"2021-10-18",72.050003,73.860001,71.650002,73.809998,2387500,73.035629
"2021-10-19",73.989998,75,73.57,74.849998,2085400,74.06472
"2021-10-20",74.730003,75.269997,74.389999,74.879997,2697100,74.094406
"2021-10-21",74.330002,76.120003,74.330002,76.010002,1843900,75.212547
"2021-10-22",76.019997,76.75,74.75,75.199997,2460000,74.411049
"2021-10-25",75.730003,76.349998,74.970001,75.800003,2054800,75.004753
"2021-10-26",76.82,76.980003,73.75,73.790001,3469200,73.015846
"2021-10-27",71.910004,73.489998,71.330002,72.370003,5055600,71.610741
"2021-10-28",73.129997,75.370003,73.129997,74.43,3506100,73.649132
"2021-10-29",73.720001,74.809998,73.580002,74.089996,2594300,73.312691
"2021-11-01",74.599998,77.489998,74.480003,76.900002,4113200,76.093216
"2021-11-02",76.68,78.93,76.660004,78.779999,3344400,77.953484
"2021-11-03",78.720001,80.290001,78,79.769997,4067200,78.933098
"2021-11-04",80.629997,83.129997,78.790001,82.919998,6614500,82.050056
"2021-11-05",82.309998,87.190002,82.059998,85.760002,6066500,84.860268
"2021-11-08",87.410004,87.519997,81.720001,84.169998,7440600,83.286934
"2021-11-09",84.129997,84.760002,81.690002,82.919998,4919200,82.050056
"2021-11-10",81.449997,82.949997,79.720001,80.959999,5913600,80.110619
"2021-11-11",82.730003,83.68,81.550003,83.5,3787900,82.62397
"2021-11-12",83.540001,84.629997,82.830002,83.349998,2565300,82.475548
"2021-11-15",84.709999,85.309998,82.93,83.209999,2656700,82.337013
"2021-11-16",82.529999,84.510002,82.489998,84.260002,2668300,83.375999
"2021-11-17",83.940002,84,82.559998,82.860001,2986300,81.990692
"2021-11-18",83.75,83.989998,81.949997,83.309998,2270700,82.667427
"2021-11-19",83.220001,83.940002,82.300003,82.68,2568700,82.042282
"2021-11-22",82.75,84.379997,82.120003,82.690002,5895900,82.052216
"2021-11-23",82.809998,83.779999,81.959999,83.309998,6724700,82.667427
"2021-11-24",82.18,84,81.239998,83.910004,2205800,83.26281
"2021-11-26",81.559998,82.040001,79.529999,80.07,3198600,79.452415
"2021-11-29",81.470001,84.589996,81.470001,84.400002,4371900,83.749016
"2021-11-30",83.870003,85.75,82.5,83.43,7392200,82.786499
"2021-12-01",84.790001,88.93,84.239998,84.470001,6156300,83.818481
"2021-12-02",82.900002,85.290001,82.120003,84.239998,4223000,83.590256
"2021-12-03",85.839996,87.25,84.220001,85.269997,5530700,84.612312
"2021-12-06",85.129997,85.559998,81.699997,83.949997,4746800,83.30249
"2021-12-07",85.620003,88.989998,85.470001,88.889999,4043000,88.204391
"2021-12-08",88.480003,88.650002,86.440002,87.339996,3864400,86.666336
"2021-12-09",86.709999,89.040001,86.5,86.629997,5070900,85.961823
"2021-12-10",88.059998,88.870003,86.290001,87.129997,3327800,86.457962
"2021-12-13",87.389999,87.75,84.959999,85.160004,2798200,84.503166
"2021-12-14",84.029999,85.370003,83.410004,84.889999,4250600,84.235237
"2021-12-15",85.269997,88.110001,83.709999,87.940002,4499300,87.261719
"2021-12-16",87.360001,88.160004,84.010002,84.529999,4718900,83.878014
"2021-12-17",83.75,85.849998,83.419998,84.360001,9002400,83.709328
"2021-12-20",83.040001,83.5,81.410004,82.599998,3088800,81.962906
"2021-12-21",84.139999,85.519997,83.540001,85.339996,5626700,84.681763
"2021-12-22",84.470001,86.440002,84.360001,86.370003,2551200,85.703827
"2021-12-23",86.75,87.489998,86.620003,86.93,2193700,86.259506
"2021-12-27",87.349998,89.43,87.300003,89.349998,2311200,88.660843
"2021-12-28",89.980003,90,87.730003,88.029999,3334800,87.351021
"2021-12-29",88.25,89.059998,88.059998,88.239998,1451400,87.559402
"2021-12-30",88.199997,88.589996,86.800003,87.080002,1659400,86.408356
