"","AMAT.Open","AMAT.High","AMAT.Low","AMAT.Close","AMAT.Volume","AMAT.Adjusted"
"2021-06-08",140.339996,140.75,135.240005,135.860001,8129200,134.820038
"2021-06-09",136.850006,137.470001,134.570007,134.649994,6887800,133.619278
"2021-06-10",135.869995,138.169998,135.300003,137.160004,6163000,136.110092
"2021-06-11",136.929993,137.149994,135.229996,136.820007,6077700,135.772675
"2021-06-14",136.800003,139.550003,135.75,139.029999,6062900,137.965775
"2021-06-15",139.130005,140.610001,138.199997,138.639999,6059300,137.578766
"2021-06-16",139.509995,140.289993,136.039993,136.979996,8030400,135.931458
"2021-06-17",136.550003,138.649994,135.050003,137.320007,7690300,136.268875
"2021-06-18",135.25,136.259995,130.630005,131.229996,13258400,130.225479
"2021-06-21",131.190002,133.580002,130.320007,133.050003,5984000,132.031555
"2021-06-22",132.820007,134.440002,131.600006,133.440002,5680900,132.418564
"2021-06-23",134.300003,136.210007,134.279999,135.5,6327400,134.462799
"2021-06-24",137,138.470001,136.710007,138.259995,6374100,137.20166
"2021-06-25",138.710007,139.210007,135.380005,136.190002,7276700,135.147507
"2021-06-28",138.779999,141.419998,137.929993,140.990005,6984400,139.910767
"2021-06-29",140.449997,142.789993,140.389999,141.919998,5340500,140.833649
"2021-06-30",141.990005,142.639999,140.070007,142.399994,5963400,141.309967
"2021-07-01",141.699997,142.190002,137.589996,137.949997,7693500,136.894043
"2021-07-02",139.929993,140.520004,137.520004,138.160004,5299600,137.102432
"2021-07-06",139.279999,141.110001,134.820007,136.779999,7432600,135.733002
"2021-07-07",138.509995,138.740005,134.020004,134.869995,5956800,133.837601
"2021-07-08",131.639999,134.389999,129.720001,132.529999,7770900,131.515533
"2021-07-09",133.419998,135.380005,132.089996,134.899994,5762900,133.867386
"2021-07-12",135.990005,137.029999,134.669998,136.800003,5459600,135.752869
"2021-07-13",136,136.970001,134.75,136.289993,4950600,135.24675
"2021-07-14",138.190002,139.880005,135.410004,135.649994,5982300,134.611633
"2021-07-15",134.979996,135.929993,131.600006,133.199997,7057900,132.180389
"2021-07-16",134,134.589996,127.919998,128.179993,8190600,127.198822
"2021-07-19",125.190002,128.720001,123.879997,128.619995,8934000,127.635452
"2021-07-20",129.199997,133.119995,127.800003,131.970001,7417600,130.959824
"2021-07-21",132.820007,138.270004,132.529999,138,6434100,136.943665
"2021-07-22",137,138.75,136.369995,137.179993,5564000,136.129929
"2021-07-23",137.949997,139,136.529999,138.429993,4345600,137.370346
"2021-07-26",138.229996,139.880005,137.440002,138.479996,4638200,137.419952
"2021-07-27",137.630005,137.630005,131.580002,134.899994,6344100,133.867386
"2021-07-28",135.630005,137.880005,135,137.210007,5041900,136.159698
"2021-07-29",135.410004,137.860001,133.509995,137.5,5382600,136.447479
"2021-07-30",136.5,141.399994,136.470001,139.929993,8556400,138.858871
"2021-08-02",141.039993,145.25,140.889999,142.009995,10230600,140.922943
"2021-08-03",142.539993,143.360001,140.240005,142.160004,5589600,141.071808
"2021-08-04",143,144.699997,141.809998,142.759995,5434600,141.667221
"2021-08-05",143.429993,143.880005,141.160004,142.270004,4282200,141.180969
"2021-08-06",141.720001,143.160004,141.589996,142.649994,3843300,141.55806
"2021-08-09",143.490005,143.690002,141.449997,142,4026600,140.91304
"2021-08-10",142.910004,143,135.300003,138.059998,6403900,137.003189
"2021-08-11",138.509995,138.589996,132.600006,134.820007,9630600,133.787994
"2021-08-12",132,132.020004,127.690002,129.220001,12962600,128.230881
"2021-08-13",129.130005,130.440002,128.580002,129.899994,8812400,128.905655
"2021-08-16",129.429993,132.050003,129.100006,131.690002,10412000,130.681946
"2021-08-17",130.050003,130.839996,126.709999,128.800003,8208400,127.814087
"2021-08-18",128.809998,131.639999,127.18,127.370003,6768800,126.395027
"2021-08-19",126.220001,129.990005,125.279999,129.199997,9020200,128.211014
"2021-08-20",130.380005,131.990005,125.25,127.199997,13707600,126.226318
"2021-08-23",128.309998,131.5,127.800003,131.490005,7710700,130.48349
"2021-08-24",131.800003,133.380005,130.619995,131.440002,6356600,130.433884
"2021-08-25",131.539993,134.199997,131.440002,132.820007,6735100,132.044418
"2021-08-26",132.779999,133.830002,131.589996,132.490005,3958700,131.716339
"2021-08-27",133.009995,137.149994,132.860001,136.550003,8413900,135.75264
"2021-08-30",137.570007,137.889999,135.380005,136.050003,4617700,135.255554
"2021-08-31",136.449997,136.600006,133.550003,135.130005,5586000,134.340942
"2021-09-01",135.679993,136.039993,133.240005,133.460007,6260300,132.680679
"2021-09-02",134.729996,135.949997,133.880005,134.449997,5142200,133.664886
"2021-09-03",133.839996,136.429993,133.350006,135.830002,4836000,135.036835
"2021-09-07",136.649994,137.169998,133.75,136.490005,5550400,135.692978
"2021-09-08",135.699997,135.940002,131.75,133.559998,7440600,132.78009
"2021-09-09",133.029999,135.850006,132.919998,135,6808600,134.211685
"2021-09-10",138.279999,140.800003,136.610001,136.839996,9054700,136.040924
"2021-09-13",138.720001,141.300003,137.559998,139.440002,8507600,138.625748
"2021-09-14",138.110001,141.800003,137.910004,140.139999,8073200,139.321671
"2021-09-15",139.990005,141.339996,137.440002,141.229996,6103200,140.405304
"2021-09-16",140.360001,144.630005,139.169998,144.089996,8467300,143.248596
"2021-09-17",143,143,139.380005,140.800003,10884400,139.977829
"2021-09-20",136.559998,136.690002,133.550003,135.529999,8822500,134.738571
"2021-09-21",137.130005,137.240005,133.449997,135.179993,5782200,134.390625
"2021-09-22",136.190002,138.800003,135.550003,138.100006,6344300,137.293594
"2021-09-23",139.330002,142.149994,138.710007,141.110001,5620700,140.285995
"2021-09-24",139.410004,142.369995,139.160004,141.919998,3729900,141.091278
"2021-09-27",139.600006,143.270004,139.539993,142.740005,5248600,141.906479
"2021-09-28",137.610001,139.580002,132.529999,132.889999,12873900,132.114014
"2021-09-29",132.800003,134.039993,128.039993,128.270004,10730100,127.520988
"2021-09-30",129.380005,130.850006,128.509995,128.729996,7329800,127.978279
"2021-10-01",129.259995,129.600006,126.419998,129.130005,6459200,128.375961
"2021-10-04",127.660004,127.82,123.169998,125.199997,9549500,124.46891
"2021-10-05",127.480003,129.199997,125.400002,128.070007,7330400,127.322151
"2021-10-06",126.300003,128.179993,125.720001,126.519997,7388700,125.781197
"2021-10-07",128.649994,129.949997,127.459999,127.879997,5761300,127.133255
"2021-10-08",128.300003,128.789993,125.870003,126.220001,6300500,125.482956
"2021-10-11",125.699997,129.199997,125.660004,127.5,5472000,126.755478
"2021-10-12",128.759995,128.830002,124.940002,126.760002,7637900,126.019806
"2021-10-13",128.779999,129.479996,127.5,128.210007,4950600,127.461334
"2021-10-14",131.619995,132.25,129.649994,132.070007,7947600,131.298782
"2021-10-15",132.259995,132.910004,131.25,131.589996,4826600,130.821594
"2021-10-18",130.360001,133.399994,129.839996,133.279999,4208500,132.50174
"2021-10-19",133.330002,135.339996,132.610001,134.600006,3694300,133.814026
"2021-10-20",133.970001,135.199997,133.350006,133.979996,4619000,133.197632
"2021-10-21",131.660004,133.509995,130.509995,133.339996,5611000,132.561371
"2021-10-22",135.210007,141.559998,134.509995,135.929993,10744900,135.13623
"2021-10-25",136.25,137.919998,135.300003,135.759995,4005600,134.967224
"2021-10-26",137.279999,137.399994,131.679993,132,7864600,131.229202
"2021-10-27",133.279999,134.279999,131.410004,132.160004,7837600,131.388275
"2021-10-28",134.570007,137.850006,134.520004,136.020004,6391700,135.225739
"2021-10-29",134.789993,137.259995,134.550003,136.649994,5715300,135.852036
"2021-11-01",136.979996,139.669998,136.419998,139.509995,5329000,138.695343
"2021-11-02",139.5,141.470001,138.889999,141.210007,4822900,140.385422
"2021-11-03",141.440002,143.350006,139.880005,142.75,4117500,141.916428
"2021-11-04",143.270004,150.490005,142.5,150.130005,9272800,149.253326
"2021-11-05",150.270004,153.729996,148.789993,153.289993,7706800,152.394882
"2021-11-08",154.860001,154.889999,151.229996,152.960007,5878500,152.066803
"2021-11-09",152.979996,156.679993,151.419998,156.289993,7274600,155.377365
"2021-11-10",153.25,155,150.270004,150.399994,7149500,149.521744
"2021-11-11",152.229996,154.179993,151.300003,153.899994,5061000,153.001312
"2021-11-12",154.669998,157.410004,154.110001,156.820007,5778600,155.904266
"2021-11-15",156.960007,158.139999,155.199997,156.270004,7304300,155.357483
"2021-11-16",155.380005,159,153.550003,157.860001,6200700,156.938202
"2021-11-17",157.910004,158.509995,155.889999,155.979996,5759200,155.069153
"2021-11-18",158.5,158.979996,154.740005,158.740005,9929500,157.813065
"2021-11-19",150.970001,156.449997,149.740005,150.029999,16028700,149.153915
"2021-11-22",151,152.979996,147.360001,147.550003,9029100,146.6884
"2021-11-23",148.710007,149.949997,145.100006,148.919998,7254500,148.0504
"2021-11-24",148.389999,149.130005,145.809998,149.009995,6185900,148.378983
"2021-11-26",145.610001,147.179993,142.220001,143.289993,7334100,142.683212
"2021-11-29",146.770004,151.559998,145.5,151.220001,9932300,150.579651
"2021-11-30",151.110001,151.979996,146.460007,147.190002,13505800,146.566711
"2021-12-01",151.25,156.580002,149.839996,151.669998,14372000,151.02774
"2021-12-02",148,149.899994,143.740005,146.490005,9573200,145.869675
"2021-12-03",148.509995,150.740005,143.330002,145.830002,7768000,145.212463
"2021-12-06",145.779999,148.360001,141.020004,147.380005,8579700,146.755905
"2021-12-07",151,158,150.130005,156.889999,10514900,156.225632
"2021-12-08",156.860001,157.860001,155.149994,157.289993,6582400,156.623932
"2021-12-09",155.839996,158.339996,152.380005,152.649994,5420000,152.003571
"2021-12-10",156.110001,156.889999,150.649994,152.729996,5291900,152.083252
"2021-12-13",154.089996,154.470001,146.720001,147.100006,6202500,146.477097
"2021-12-14",144.979996,148.199997,144.529999,147.729996,5691500,147.104401
"2021-12-15",147.949997,153.889999,145.160004,153.660004,6883000,153.009308
"2021-12-16",154.399994,155.350006,146.259995,146.699997,7155900,146.078781
"2021-12-17",145.289993,148.979996,144.220001,146.149994,9334700,145.531113
"2021-12-20",143.800003,146.779999,143.25,145.009995,4653400,144.395935
"2021-12-21",149.360001,151.520004,147.020004,151.419998,5986900,150.778793
"2021-12-22",149.970001,152.440002,148.919998,152.320007,4293700,151.674988
"2021-12-23",153.070007,156.539993,153,155.490005,4625500,154.831558
