"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2021-04-12",85.75,86.529999,85.43,85.82,2600500,85.82
"2021-04-13",85.540001,86.809998,85.389999,86.440002,2042700,86.440002
"2021-04-14",86.360001,87.660004,86.139999,86.25,1963300,86.25
"2021-04-15",86.449997,88.400002,86.449997,88,1860700,88
"2021-04-16",88.57,89.129997,87.660004,89.019997,6863400,89.019997
"2021-04-19",88.370003,89.029999,87.809998,88.559998,2671600,88.559998
"2021-04-20",88.760002,91.029999,88.730003,89.629997,3943300,89.629997
"2021-04-21",90.309998,95.959999,90.309998,95.239998,7071200,95.239998
"2021-04-22",94.400002,96.389999,93.760002,96.150002,4050400,96.150002
"2021-04-23",96.269997,98.110001,96.050003,97.449997,2422800,97.449997
"2021-04-26",97.279999,97.550003,95.510002,96.029999,2954500,96.029999
"2021-04-27",95.93,96.620003,95.660004,96.150002,2094900,96.150002
"2021-04-28",96.330002,97.010002,95.860001,96.779999,2405400,96.779999
"2021-04-29",97.300003,97.389999,96.010002,96.260002,2347200,96.260002
"2021-04-30",95.919998,96.419998,94.849998,95.519997,2252700,95.519997
"2021-05-03",95.849998,95.989998,94.199997,94.629997,2327200,94.629997
"2021-05-04",94.129997,94.129997,92.480003,93.309998,2511400,93.309998
"2021-05-05",93.610001,93.720001,90.239998,91.769997,2455900,91.769997
"2021-05-06",91.480003,91.870003,90.360001,91.75,2402800,91.75
"2021-05-07",91.870003,93.669998,91.800003,92.169998,2255100,92.169998
"2021-05-10",92.220001,92.400002,90.25,90.400002,2356500,90.400002
"2021-05-11",89.410004,90.199997,88.660004,89.510002,2175300,89.510002
"2021-05-12",88.559998,88.879997,87.32,87.470001,1905800,87.470001
"2021-05-13",88.080002,88.620003,87.360001,87.940002,1094000,87.940002
"2021-05-14",88.300003,89.940002,88.010002,89.489998,2074700,89.489998
"2021-05-17",89.230003,90.209999,89.120003,89.849998,3412800,89.849998
"2021-05-18",90.25,91.059998,89.610001,90.07,1552200,90.07
"2021-05-19",89.18,90.699997,88.959999,90.68,1974200,90.68
"2021-05-20",91.019997,93.269997,91.019997,92.800003,2203900,92.800003
"2021-05-21",93.129997,94.629997,93.129997,94.199997,3472800,94.199997
"2021-05-24",95,96.470001,94.919998,95.449997,3147100,95.449997
"2021-05-25",95.959999,96.760002,95.809998,96.68,2230700,96.68
"2021-05-26",97.279999,97.279999,94.68,96,2308400,96
"2021-05-27",95.800003,95.82,94.309998,94.349998,3799600,94.349998
"2021-05-28",95.290001,96.440002,95.269997,95.900002,2097800,95.900002
"2021-06-01",96.690002,96.699997,94.75,95.120003,2010600,95.120003
"2021-06-02",94.889999,95.129997,93.080002,93.379997,1791800,93.379997
"2021-06-03",92.800003,94.589996,92.589996,94.339996,2212200,94.339996
"2021-06-04",95.150002,96.349998,95.07,95.870003,2133000,95.870003
"2021-06-07",95.839996,98.040001,95.760002,96.339996,1944600,96.339996
"2021-06-08",96.980003,97.400002,95.879997,96.980003,1898300,96.980003
"2021-06-09",97.449997,97.830002,96.82,97.080002,1889500,97.080002
"2021-06-10",97.239998,99.949997,97.160004,99.940002,2938300,99.940002
"2021-06-11",99.550003,100.099998,99.059998,99.989998,2843700,99.989998
"2021-06-14",99.910004,101,99.580002,100.959999,2024300,100.959999
"2021-06-15",101.169998,101.279999,99.910004,100.279999,1503100,100.279999
"2021-06-16",100.739998,101.209999,99.529999,100.139999,2511000,100.139999
"2021-06-17",99.980003,101.209999,99.760002,100.989998,2538700,100.989998
"2021-06-18",100.120003,101.529999,100.07,100.709999,3222600,100.709999
"2021-06-21",101.459999,103.279999,100.43,102.839996,2059300,102.839996
"2021-06-22",102.879997,104.739998,102.660004,104.519997,2542200,104.519997
"2021-06-23",104.25,105.099998,104.25,104.760002,2068800,104.760002
"2021-06-24",105.529999,105.580002,103.720001,103.800003,1849100,103.800003
"2021-06-25",104.110001,104.730003,103.190002,103.57,2947600,103.57
"2021-06-28",103.639999,104,101.739998,102.580002,4900500,102.580002
"2021-06-29",102.57,103.790001,102.190002,103.589996,1989400,103.589996
"2021-06-30",103.959999,104.639999,103.239998,103.57,2517300,103.57
"2021-07-01",103.599998,105,103.529999,104.809998,2661700,104.809998
"2021-07-02",105.300003,106.730003,105.059998,106.589996,1838100,106.589996
"2021-07-06",106.580002,106.580002,105.07,106.459999,2205000,106.459999
"2021-07-07",106.889999,108.07,105.970001,107.879997,2495500,107.879997
"2021-07-08",106.720001,108.290001,106.110001,108.190002,1805500,108.190002
"2021-07-09",108.410004,109.010002,107.099998,107.510002,1567300,107.510002
"2021-07-12",107.480003,107.699997,106.209999,106.839996,2420100,106.839996
"2021-07-13",107.010002,107.040001,105.889999,106.739998,1378800,106.739998
"2021-07-14",106.849998,107.550003,106.519997,106.790001,1755100,106.790001
"2021-07-15",106.57,106.830002,105.449997,106.339996,2540300,106.339996
"2021-07-16",106.93,107.459999,106.139999,106.919998,5378500,106.919998
"2021-07-19",106.099998,106.099998,102.699997,102.910004,4677300,102.910004
