"","MU.Open","MU.High","MU.Low","MU.Close","MU.Volume","MU.Adjusted"
"2021-04-07",94.25,95.07,92.540001,93.959999,17621500,93.418091
"2021-04-08",95,96.389999,93.779999,95.290001,17815600,94.740417
"2021-04-09",94.339996,95.379997,93.309998,95.300003,14080200,94.750366
"2021-04-12",95.190002,96.959999,94.75,95.589996,18818300,95.038681
"2021-04-13",96.290001,96.82,91.400002,92.150002,27102100,91.61853
"2021-04-14",91.660004,92.529999,89.510002,90.669998,19117400,90.147064
"2021-04-15",91.75,91.959999,89.449997,90.269997,16017000,89.749374
"2021-04-16",90.440002,91.330002,90.080002,90.660004,12358700,90.137131
"2021-04-19",90.669998,90.68,86.519997,88.410004,21361600,87.900101
"2021-04-20",88.379997,88.949997,86.529999,87.480003,17396900,86.975471
"2021-04-21",87.059998,89.559998,86.330002,89.489998,14781300,88.973869
"2021-04-22",88.199997,88.360001,83.900002,84.709999,34044100,84.221436
"2021-04-23",85.239998,86.459999,84.57,86.029999,18118600,85.533821
"2021-04-26",86.470001,88.300003,86.110001,87.839996,14757700,87.333382
"2021-04-27",89.330002,90.190002,88.029999,89.459999,17681000,88.944046
"2021-04-28",87.660004,87.760002,85.349998,86.029999,19433500,85.533821
"2021-04-29",87.720001,88.089996,85.550003,88.059998,16463300,87.552116
"2021-04-30",86.93,88.480003,85.559998,86.07,14548100,85.573593
"2021-05-03",86.970001,87.010002,83.870003,85.019997,16300400,84.529655
"2021-05-04",84.139999,85.440002,82.029999,84.410004,17850500,83.923172
"2021-05-05",85.489998,85.949997,84.029999,85.150002,13172100,84.658913
"2021-05-06",84.870003,85.120003,83.279999,84.800003,13716900,84.310928
"2021-05-07",85.910004,86.32,84.989998,85.980003,12746100,85.484116
"2021-05-10",84.949997,85,80.800003,80.849998,24862900,80.383698
"2021-05-11",77.269997,80.760002,76.82,80.68,23227800,80.214684
"2021-05-12",79.139999,79.970001,76.410004,76.800003,23472600,76.357071
"2021-05-13",77.970001,78.860001,76.529999,77.190002,20153800,76.744812
"2021-05-14",78.790001,80.150002,77.080002,79.699997,18241100,79.240334
"2021-05-17",79.099998,80.419998,77.720001,80.389999,15011500,79.926346
"2021-05-18",80.550003,80.919998,78.800003,78.879997,20893800,78.425064
"2021-05-19",77.209999,80.269997,76.160004,79.93,27300000,79.469009
"2021-05-20",80.5,81.489998,79.519997,81.129997,17123000,80.662079
"2021-05-21",81.769997,81.989998,80.370003,80.720001,13076900,80.254448
"2021-05-24",81.419998,83.620003,81.360001,82.900002,15730400,82.421875
"2021-05-25",83.57,83.709999,79.709999,81.230003,26272100,80.761513
"2021-05-26",81.580002,82.440002,81.019997,82.239998,12609800,81.765686
"2021-05-27",82.459999,84.75,82.330002,83.93,22286500,83.445938
"2021-05-28",84.220001,84.730003,83.220001,84.139999,11330300,83.654724
"2021-06-01",84.919998,85.760002,83.620003,84.150002,11067200,83.664673
"2021-06-02",84.389999,84.82,83.449997,84.339996,10314200,83.853577
"2021-06-03",83.68,84.07,81.889999,82.029999,14742100,81.556892
"2021-06-04",82.970001,84.370003,82.849998,83.760002,12591100,83.276917
"2021-06-07",83.190002,84.230003,82.650002,84.040001,9006400,83.555305
"2021-06-08",84.970001,84.980003,80.010002,80.529999,29666500,80.065552
"2021-06-09",80.169998,80.559998,78.519997,78.660004,21434900,78.206337
"2021-06-10",79.400002,80.839996,78.529999,79.279999,22683300,78.822754
"2021-06-11",80.07,80.760002,79.209999,79.339996,12675700,78.882408
"2021-06-14",79.5,80.940002,79.370003,80.489998,14303000,80.025772
"2021-06-15",80.639999,82.910004,79.919998,82.18,22308600,81.706039
"2021-06-16",82.730003,83.110001,80.120003,80.489998,18116400,80.025772
"2021-06-17",79.699997,81.440002,79.360001,80.639999,16003900,80.174919
"2021-06-18",78.900002,79.279999,76.129997,76.949997,39881500,76.506203
"2021-06-21",76.849998,77.290001,75.709999,77.07,19810100,76.625504
"2021-06-22",77.610001,78.279999,77.050003,77.660004,16771800,77.212105
"2021-06-23",78.099998,79.870003,78.07,79.019997,16662200,78.564255
"2021-06-24",80.43,80.900002,79.919998,80.580002,15721000,80.115257
"2021-06-25",81.57,82.839996,81.089996,82.029999,19603800,81.556892
"2021-06-28",82.629997,83.599998,82.160004,83.379997,18365500,82.899109
"2021-06-29",83.540001,83.839996,81.870003,82.93,18530800,82.451714
"2021-06-30",84.849998,85.400002,83.43,84.980003,40670800,84.489891
"2021-07-01",82.239998,82.25,79.910004,80.110001,53299000,79.647972
"2021-07-02",80.610001,80.889999,78.889999,80.330002,22685500,79.866707
"2021-07-06",80.790001,81.540001,79.760002,81.080002,21126500,80.612373
"2021-07-07",81.690002,81.809998,77.949997,78.220001,23026900,77.768875
"2021-07-08",76.25,77.879997,75.959999,77.110001,23114500,76.665268
"2021-07-09",77.410004,78.949997,76.730003,78.739998,15441100,78.285873
"2021-07-12",78.75,79.730003,77.709999,79.559998,12639300,79.101143
"2021-07-13",79.279999,79.5,78.099998,78.449997,14263400,77.997543
"2021-07-14",79.349998,80.760002,78.32,78.489998,15952300,78.037323
"2021-07-15",78.339996,78.459999,76.339996,76.919998,16616800,76.476364
"2021-07-16",77.160004,77.610001,74.839996,75.010002,19132100,74.577385
"2021-07-19",73.839996,74.68,73.199997,74.580002,23436900,74.149872
"2021-07-20",74.660004,75.919998,73.769997,75.389999,14855800,74.955193
"2021-07-21",75.349998,77.239998,75.339996,77.190002,15945800,76.744812
"2021-07-22",76.230003,76.25,74.459999,75.529999,19042200,75.094391
"2021-07-23",75.93,76.040001,74.900002,75.940002,12345200,75.502029
"2021-07-26",75.809998,77.480003,75.510002,76.300003,12023900,75.859947
"2021-07-27",74.790001,74.790001,72.510002,74.220001,23940500,73.791946
"2021-07-28",74.550003,76.010002,74.379997,75.550003,14348300,75.114273
"2021-07-29",76.080002,77.120003,75.949997,77.080002,14529400,76.635452
"2021-07-30",76.129997,78.110001,76.059998,77.580002,12528900,77.132568
"2021-08-02",79.040001,79.489998,77.470001,77.639999,14904200,77.192215
"2021-08-03",78.870003,81.07,77.940002,80.860001,25807600,80.393646
"2021-08-04",80.449997,83.089996,79.540001,81.980003,29176900,81.507187
"2021-08-05",82.139999,83.07,81.160004,81.489998,14821000,81.020004
"2021-08-06",81.199997,82.879997,81.050003,82,14612600,81.527069
"2021-08-09",81.730003,82.040001,80.080002,80.209999,13363300,79.747391
"2021-08-10",79.82,79.82,75.769997,75.910004,40705000,75.472198
"2021-08-11",76.040001,76.050003,73.720001,75.029999,31624900,74.597275
"2021-08-12",72.18,72.199997,68.809998,70.25,72492400,69.844841
"2021-08-13",70.050003,71.239998,69.879997,70.919998,25301400,70.510971
"2021-08-16",70.199997,71.760002,69.919998,70.93,18135900,70.52092
"2021-08-17",70.169998,71.449997,69.610001,70.779999,17545800,70.37178
"2021-08-18",71.25,71.879997,70.580002,70.620003,14004300,70.2127
"2021-08-19",70.139999,70.82,69.040001,70.279999,18022600,69.874664
"2021-08-20",70.139999,71.029999,69.580002,70.230003,14603100,69.824959
"2021-08-23",70.839996,71.879997,68.900002,71.739998,22265000,71.326248
"2021-08-24",72.139999,72.690002,71.690002,71.980003,18092700,71.564857
"2021-08-25",72.790001,77.029999,72.18,74.040001,36552100,73.612976
"2021-08-26",73.230003,73.239998,71.699997,72.769997,20315100,72.350296
"2021-08-27",72.459999,74.150002,72.150002,74,14994200,73.573204
"2021-08-30",74.120003,74.75,72.830002,73.160004,12810700,72.73806
