"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2021-04-20",161,167.789993,161,166.479996,14050700,161.321304
"2021-04-21",166.369995,166.910004,165.289993,166.589996,6333200,161.427902
"2021-04-22",165.839996,166.279999,164.619995,165.179993,7233000,160.0616
"2021-04-23",164.529999,166.059998,164,165.520004,6015300,160.391052
"2021-04-26",165.210007,165.410004,163.759995,164.119995,6027800,159.034424
"2021-04-27",163.759995,163.910004,162.470001,163.179993,6217700,158.123566
"2021-04-28",162.860001,163.199997,161.649994,161.979996,7448000,156.960739
"2021-04-29",161.899994,164.259995,161.809998,164.199997,6394300,159.111954
"2021-04-30",164.149994,164.330002,162.520004,162.729996,9079100,157.687515
"2021-05-03",163.600006,165.320007,163.119995,165.210007,6594100,160.090652
"2021-05-04",164.830002,167.850006,164.669998,167.770004,10179500,162.57135
"2021-05-05",167.5,168.399994,166.789993,167.070007,7792300,161.893051
"2021-05-06",166.789993,167.889999,166.240005,167.740005,5529900,162.542267
"2021-05-07",168.300003,169.179993,167.830002,168.5,5316200,163.278717
"2021-05-10",169.899994,171.529999,169.229996,170.270004,8357500,164.993866
"2021-05-11",170.649994,170.869995,168.279999,168.880005,8217900,163.646957
"2021-05-12",168.539993,169.800003,167.949997,168.199997,6758300,162.987991
"2021-05-13",166.970001,170.699997,166.970001,169.960007,8018600,164.693481
"2021-05-14",171.479996,171.610001,170.169998,170.220001,5797700,164.945435
"2021-05-17",170.399994,171.889999,170.309998,170.389999,5722600,165.110153
"2021-05-18",169.979996,171.369995,169.529999,170.449997,5846000,165.168289
"2021-05-19",169.910004,170.160004,168.039993,170.080002,5533800,164.809753
"2021-05-20",169.940002,171.589996,169.690002,171.070007,4853200,165.769089
"2021-05-21",171.330002,172.740005,170.869995,170.960007,6501800,165.662491
"2021-05-24",170.899994,171.350006,169.770004,170.550003,5195100,166.296265
"2021-05-25",170.669998,171.029999,169.740005,170.080002,7444700,165.838028
"2021-05-26",170,170.080002,168.279999,169.070007,5726400,164.853195
"2021-05-27",169.259995,170.169998,168.380005,168.809998,8114700,164.59967
"2021-05-28",169.520004,171.009995,169.169998,169.25,6400800,165.028702
"2021-06-01",170.149994,170.199997,165.380005,165.529999,10448400,161.401474
"2021-06-02",165.300003,166.729996,165.110001,166.199997,6806000,162.054764
"2021-06-03",165.889999,167.149994,165.710007,166.039993,5808800,161.898743
"2021-06-04",167.009995,167.570007,165.869995,165.970001,6510300,161.83049
"2021-06-07",166,166.320007,164.630005,164.839996,5362800,160.728683
"2021-06-08",165.279999,165.660004,162.070007,163.389999,7746800,159.314865
"2021-06-09",163.990005,165.779999,163.660004,165.589996,5552600,161.459961
"2021-06-10",166,167.580002,165.949997,167.080002,6463100,162.912827
"2021-06-11",167.070007,167.080002,164.220001,164.960007,7389900,160.845703
"2021-06-14",164.5,165.460007,163.899994,165.369995,4931300,161.245468
