"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2021-07-23",120.489998,123.43,120.370003,122.790001,2143400,120.68898
"2021-07-26",122.769997,123.629997,122.32,123.449997,1511600,121.337685
"2021-07-27",123.339996,125.650002,122.879997,125.480003,2251800,123.332954
"2021-07-28",125.379997,125.379997,121.519997,122.610001,1981000,120.512054
"2021-07-29",126.5,130.490005,125.519997,130.309998,2795400,128.080307
"2021-07-30",129.190002,132.020004,128.899994,131.389999,2193700,129.141815
"2021-08-02",132.089996,133.339996,131.690002,132.389999,1520500,130.12471
"2021-08-03",132.630005,133.449997,131.089996,133.419998,1509200,131.1371
"2021-08-04",133.470001,134.149994,132.759995,133.520004,1163300,131.235382
"2021-08-05",133.990005,134.259995,132.850006,133.639999,1109200,131.353317
"2021-08-06",133.970001,134.619995,133.320007,134.029999,1211400,131.736649
"2021-08-09",133.910004,133.910004,132.889999,133.199997,950800,130.920868
"2021-08-10",133.270004,133.710007,132.940002,133.050003,991500,130.773438
"2021-08-11",133.389999,134.800003,133.110001,134.050003,1354700,131.756317
"2021-08-12",134.190002,134.190002,133.169998,133.360001,904600,131.078125
"2021-08-13",133.419998,135,133.059998,134.960007,1438700,132.650757
"2021-08-16",134.479996,135.389999,134.070007,135.119995,800800,132.807999
"2021-08-17",134.559998,135.309998,134.070007,134.919998,769300,132.611435
"2021-08-18",134.839996,135.770004,134.169998,134.389999,734800,132.090485
"2021-08-19",133.860001,134.550003,133.25,133.960007,644900,131.667862
"2021-08-20",133.300003,134.910004,133.130005,134.460007,885100,132.159302
"2021-08-23",135.029999,135.509995,134.460007,134.899994,948600,132.591766
"2021-08-24",134.839996,135.039993,133.419998,133.539993,1079800,131.255035
"2021-08-25",133.160004,134.679993,133.160004,134.440002,856200,132.139633
"2021-08-26",132.320007,132.320007,131.039993,131.399994,1541800,129.633774
"2021-08-27",131.789993,132.729996,131.509995,131.699997,1263000,129.929733
"2021-08-30",131.720001,132.410004,130.649994,130.690002,1701400,128.933334
"2021-08-31",131.009995,131.75,130.449997,131.029999,2297300,129.268768
"2021-09-01",131.419998,132.610001,130.559998,131.550003,1238800,129.781769
"2021-09-02",132.320007,132.580002,131.100006,131.270004,1107800,129.505539
"2021-09-03",130.690002,131.5,130.580002,130.919998,834400,129.160233
"2021-09-07",131.259995,131.490005,128.789993,128.830002,1553100,127.098328
"2021-09-08",129.229996,130.869995,128.690002,130.190002,1273100,128.440048
"2021-09-09",130.369995,131.399994,129.190002,129.25,1024200,127.51268
"2021-09-10",130.100006,130.729996,129.369995,129.889999,2095800,128.144089
"2021-09-13",130.199997,130.259995,127.760002,129.050003,1659200,127.315376
"2021-09-14",129.570007,129.570007,128.539993,128.990005,1399200,127.256187
"2021-09-15",128.660004,128.960007,127.25,128.490005,1336000,126.762901
"2021-09-16",128.570007,129,127.029999,127.940002,1781800,126.220291
"2021-09-17",127.709999,128.490005,126.779999,127.089996,4309800,125.381714
"2021-09-20",125.419998,126.589996,124,125.589996,1538900,123.901878
"2021-09-21",126.07,126.790001,124.739998,124.849998,1575600,123.171829
"2021-09-22",125.639999,126.779999,125.330002,125.550003,1790300,123.862419
"2021-09-23",125.889999,126.620003,124.839996,124.980003,2255600,123.300079
"2021-09-24",125.349998,126.129997,124.870003,125.519997,1534400,123.832817
"2021-09-27",125.080002,126.620003,125.080002,125.57,1805900,123.882149
"2021-09-28",125.309998,125.489998,122.120003,122.540001,1834400,120.892883
"2021-09-29",122.870003,123.209999,121.68,123.040001,2048500,121.386162
"2021-09-30",123.349998,123.959999,122.120003,122.309998,3102700,120.66597
"2021-10-01",123.300003,124.089996,121.879997,123.639999,1995000,121.978088
"2021-10-04",123.330002,124.559998,122.830002,123.040001,2155600,121.386162
"2021-10-05",123.349998,124.629997,122.410004,123.599998,1660800,121.938622
"2021-10-06",122.120003,123.730003,121.209999,123.660004,1723900,121.997826
"2021-10-07",124.699997,126.199997,124.489998,125.220001,1535400,123.536858
"2021-10-08",125.18,125.669998,123.339996,123.389999,918000,121.731453
"2021-10-11",123.349998,123.900002,121.910004,122,1010600,120.360138
"2021-10-12",122.849998,123.269997,121.510002,122.360001,1146300,120.715302
"2021-10-13",122.269997,123.580002,121.839996,123.519997,1350500,121.859695
"2021-10-14",124.260002,125.620003,123.760002,125.050003,1553500,123.369141
"2021-10-15",126.190002,126.860001,125.169998,125.209999,1829000,123.526985
"2021-10-18",125.260002,126.669998,124.779999,126.449997,1131400,124.750313
"2021-10-19",126.720001,127.260002,125.440002,125.709999,1106200,124.020271
"2021-10-20",125.370003,127.199997,124.980003,125.879997,1281800,124.187988
"2021-10-21",126.010002,126.849998,125.370003,126.779999,1192400,125.075882
"2021-10-22",126.370003,127.18,126.230003,126.57,994300,124.868698
"2021-10-25",126.739998,127.199997,125.589996,125.940002,1343500,124.247177
"2021-10-26",126.099998,127.019997,125.589996,126.18,1537900,124.483948
"2021-10-27",126.309998,127.959999,125.790001,125.790001,1427600,124.099197
"2021-10-28",124.389999,126.379997,123.260002,125.879997,2238900,124.187988
"2021-10-29",124.440002,125.989998,123.709999,124.940002,2303800,123.26062
