"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2021-12-16",92.519997,94.339996,92.199997,92.529999,7127400,92.25592
"2021-12-17",92.449997,93.07,90.110001,91.449997,9065000,91.179123
"2021-12-20",90,90.099998,88.169998,89.980003,6013200,89.79203
"2021-12-21",90.720001,93.669998,90.720001,93.059998,7617700,92.865593
"2021-12-22",92.919998,93.709999,92.160004,93.07,4663900,92.875572
"2021-12-23",93.300003,94.540001,93.300003,94,3885500,93.803635
"2021-12-27",93.629997,94.669998,93.449997,94.620003,3428900,94.42234
"2021-12-28",94.43,96.080002,94.239998,95.300003,4051900,95.100922
"2021-12-29",95,95.480003,94.440002,94.790001,3490500,94.591988
"2021-12-30",94.660004,95.980003,94.529999,94.699997,3269000,94.502167
"2021-12-31",94.5,94.970001,93.900002,94.470001,3795700,94.272652
"2022-01-03",95.220001,97.440002,94.75,96.239998,4619800,96.038948
"2022-01-04",98.779999,100.050003,98.089996,99.370003,7624100,99.162415
