"","CINF.Open","CINF.High","CINF.Low","CINF.Close","CINF.Volume","CINF.Adjusted"
"2020-12-31",86.639999,87.459999,85.529999,87.370003,446700,84.532974
"2021-01-04",87.82,88.290001,83.870003,84.5,974700,81.756165
"2021-01-05",84.769997,85.610001,82.620003,83.699997,574800,80.982132
"2021-01-06",85.760002,88.129997,84.919998,87.639999,731700,84.794197
"2021-01-07",88.25,88.32,86.800003,87.68,650700,84.832901
"2021-01-08",87.919998,87.919998,86.550003,87.779999,686000,84.929657
"2021-01-11",87.540001,89.260002,86.879997,88.669998,599200,85.790756
"2021-01-12",89.18,93.830002,88.629997,92.470001,686700,89.467354
"2021-01-13",91.790001,92.699997,90.190002,91.809998,847900,88.828796
"2021-01-14",92.620003,93.760002,90.860001,93.489998,902000,90.454239
"2021-01-15",93.480003,94.849998,92.290001,93.699997,909700,90.657417
"2021-01-19",92.82,94.620003,92.82,93.769997,772100,90.725143
"2021-01-20",93.900002,94.339996,91.480003,92.480003,528800,89.477043
"2021-01-21",92.300003,92.550003,88.260002,88.279999,800300,85.413422
"2021-01-22",87.660004,87.839996,84.639999,87.32,1344600,84.484596
"2021-01-25",86.529999,88.989998,85.169998,88.480003,983400,85.606934
"2021-01-26",89.110001,89.230003,86.760002,86.779999,1382300,83.962135
"2021-01-27",85.190002,86.059998,83.959999,84.25,2367900,81.514275
"2021-01-28",85.019997,86.290001,84.769997,85.629997,753500,82.849472
"2021-01-29",85.480003,85.559998,83.559998,84.089996,1138600,81.359467
"2021-02-01",85.129997,87.980003,84.5,87.410004,808200,84.571671
"2021-02-02",88.029999,88.029999,86.169998,87.110001,726400,84.28141
"2021-02-03",86.760002,87.029999,85.25,86.120003,464000,83.323555
"2021-02-04",86.260002,88.190002,85.739998,87.339996,629600,84.503944
"2021-02-05",87.650002,87.93,86.629997,86.709999,495900,83.894386
"2021-02-08",87.07,87.82,86.480003,87.660004,515900,84.813553
"2021-02-09",88.010002,88.800003,86.599998,87.18,1095900,84.349152
"2021-02-10",87.5,89.360001,86.800003,89.040001,758600,86.148743
"2021-02-11",90.989998,95,90.639999,91.370003,1330600,88.403084
"2021-02-12",90.900002,92.550003,90.629997,92.419998,578300,89.418976
"2021-02-16",93.5,93.5,90.519997,90.82,2655400,87.870934
"2021-02-17",91.389999,93.839996,90.830002,93.800003,684700,90.754181
"2021-02-18",92.349998,95.440002,92.349998,94.68,818500,91.605614
"2021-02-19",95.059998,97.089996,95.059998,96.260002,661400,93.1343
"2021-02-22",95.470001,97.349998,95.279999,96.980003,2411600,93.830925
"2021-02-23",98,99.169998,96.540001,98.410004,694800,95.214485
"2021-02-24",98.699997,101.410004,98.449997,100.889999,626000,97.613953
"2021-02-25",101.75,102.080002,98.769997,98.769997,1020700,95.56279
"2021-02-26",98.699997,99.910004,97.18,97.870003,1100300,94.692017
"2021-03-01",98.980003,102.309998,98.980003,101.160004,1057200,97.875198
"2021-03-02",100.610001,101.440002,99.5,99.980003,527000,96.733498
"2021-03-03",99.970001,102.410004,99.82,101.089996,982200,97.807449
"2021-03-04",101.080002,101.75,98.279999,99.870003,855800,96.627083
"2021-03-05",101.419998,104.68,100.089996,104.260002,667900,100.874527
"2021-03-08",104.989998,108.389999,104.029999,107.019997,643600,103.544907
"2021-03-09",106.410004,108.220001,104.790001,105.459999,657700,102.035553
"2021-03-10",106.459999,107.400002,105.480003,106.25,529300,102.799911
"2021-03-11",105.720001,106.120003,104.290001,104.739998,578500,101.338928
"2021-03-12",107.019997,107.730003,106.18,107.610001,522100,104.115746
"2021-03-15",107.150002,108.989998,105.879997,108.93,740100,105.392883
