"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"2021-07-09",237.169998,238.470001,232.75,234.990005,4030100,231.724152
"2021-07-12",235.169998,238,235.149994,236.009995,2928600,232.72998
"2021-07-13",235.979996,236.649994,234.029999,235.300003,1974000,232.029846
"2021-07-14",235.789993,237.229996,234.729996,236.350006,2103400,233.065247
"2021-07-15",235.009995,235.990005,230.690002,231.470001,3611200,228.253067
"2021-07-16",232.5,233.039993,231.210007,232.460007,2229100,229.229324
"2021-07-19",231.880005,234.300003,230.570007,234.139999,2305600,230.885971
"2021-07-20",235,237.75,233.940002,235.020004,2297800,231.753738
"2021-07-21",236.380005,237.369995,233.589996,237.289993,1651500,233.992172
"2021-07-22",237.279999,239.699997,236.369995,238.490005,1703500,235.175491
"2021-07-23",239.279999,244.550003,238.559998,244.149994,2448100,240.756836
"2021-07-26",242.570007,245.279999,242.570007,243.210007,2678800,239.829926
"2021-07-27",243.710007,244.059998,242.660004,243.580002,2116500,240.194778
"2021-07-28",243.369995,248.399994,242.639999,246.509995,1688000,243.08403
"2021-07-29",247.5,248.240005,242.240005,245.330002,1924100,241.920456
"2021-07-30",244.899994,245.949997,242.630005,243.5,1905100,240.115891
"2021-08-02",245.729996,247.889999,244.25,246.600006,1958900,243.172806
"2021-08-03",244.75,259.369995,243.5,255.990005,5406200,252.432297
"2021-08-04",256,270.649994,255.419998,262.470001,3892400,258.822235
"2021-08-05",263.279999,265.51001,261.329987,264.190002,2262400,260.518341
"2021-08-06",263.51001,264.269989,260.73999,263.440002,2155200,259.778778
"2021-08-09",264.579987,273.040009,264.5,267.160004,3238500,263.447021
"2021-08-10",266.75,271.079987,266.179993,269.450012,2060200,265.7052
"2021-08-11",269.589996,270.940002,262.660004,264.100006,2813300,260.429596
"2021-08-12",263.200012,264.540009,261.48999,263.470001,2100900,260.647217
"2021-08-13",263.149994,265.690002,263.019989,264.209991,1482300,261.379272
"2021-08-16",264.880005,270.26001,264.269989,269.940002,2623200,267.047913
"2021-08-17",271.160004,275.869995,267.179993,272.709991,2096100,269.788208
"2021-08-18",272.01001,274.76001,268.029999,268.519989,2527400,265.643097
"2021-08-19",266.149994,271.850006,265.429993,270.399994,1901000,267.50296
"2021-08-20",269.380005,272.869995,269.059998,270.910004,1536800,268.007507
"2021-08-23",272.299988,272.910004,267.700012,267.820007,2438800,264.950623
"2021-08-24",266.200012,267.440002,261.779999,262.769989,3736000,259.954712
"2021-08-25",262.779999,264.519989,261.290009,263.869995,2388500,261.042938
"2021-08-26",264,265.589996,260.579987,261.320007,1732900,258.520264
"2021-08-27",262.519989,263.130005,258.579987,259.75,1839700,256.967072
"2021-08-30",261.029999,264.070007,259.609985,262.309998,1300700,259.499664
"2021-08-31",262.839996,263.640015,257.859985,258.290009,2733400,255.522736
"2021-09-01",258.540009,258.769989,254.490005,257.399994,2956800,254.642258
"2021-09-02",257.410004,259.730011,256.470001,259.570007,1469700,256.789001
"2021-09-03",260.829987,260.98999,256.779999,259.529999,1124500,256.749451
"2021-09-07",259,260.820007,254.410004,254.800003,2403700,252.070114
"2021-09-08",254.600006,255.710007,253.679993,254.839996,1542400,252.10968
"2021-09-09",253.289993,254.020004,239.669998,240,4976600,237.42868
"2021-09-10",242.199997,243.889999,238.570007,239.5,4633500,236.934036
"2021-09-13",240.039993,241.149994,235.149994,237.960007,2832800,235.410538
"2021-09-14",238.720001,239.789993,231.979996,233.089996,3826000,230.592712
"2021-09-15",233.580002,239.380005,233.059998,233.729996,2802500,231.225845
"2021-09-16",234.080002,234.690002,229.729996,231.039993,2958700,228.564667
"2021-09-17",229.710007,230.830002,228.229996,230.100006,4480000,227.63475
"2021-09-20",228.089996,232.729996,227.289993,231.639999,2803400,229.158249
"2021-09-21",232.059998,233.720001,229.740005,230.169998,2172800,227.703995
"2021-09-22",230,231.029999,227.580002,228.300003,2529600,225.85405
"2021-09-23",229.300003,234.199997,229.009995,232.179993,1912300,229.692459
"2021-09-24",232.770004,235.389999,231.339996,231.679993,1642500,229.197815
"2021-09-27",229.970001,231.059998,225.610001,226.399994,2785900,223.97438
"2021-09-28",226.389999,226.399994,220.199997,221.600006,3583300,219.225815
"2021-09-29",225.410004,231.440002,224.559998,230.360001,3971000,227.891953
"2021-09-30",232.779999,237.160004,230.800003,231.050003,3786100,228.57457
"2021-10-01",231,231.679993,225.449997,229.589996,2215700,227.130203
"2021-10-04",227.800003,230.190002,224.220001,224.850006,4784700,222.44101
