"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"2021-08-16",232.550003,235.029999,231.770004,234.899994,576700,231.768341
"2021-08-17",233.899994,234.850006,233.210007,234.410004,578400,231.284882
"2021-08-18",234.059998,235.660004,232.809998,233.910004,649700,230.791534
"2021-08-19",231.830002,238.970001,231.800003,237.410004,874200,234.244858
"2021-08-20",237.259995,240.020004,236.419998,240,1209000,236.800339
"2021-08-23",240.710007,241.190002,238.490005,239.029999,698300,235.843262
"2021-08-24",239,240.270004,238.179993,239.119995,585000,235.932053
"2021-08-25",239.899994,242.589996,239.360001,241.330002,874200,238.11261
"2021-08-26",241.729996,243.5,240.429993,243.050003,481500,239.809677
"2021-08-27",244.070007,244.550003,242.050003,242.809998,748700,239.572861
"2021-08-30",243.009995,244.789993,242.820007,244.559998,382000,241.299545
"2021-08-31",244.899994,244.899994,242.410004,244.220001,1071700,240.964066
"2021-09-01",244.210007,244.220001,242.470001,243.460007,620200,240.214203
"2021-09-02",244.429993,246.119995,242.889999,246.029999,553000,242.749969
"2021-09-03",245.509995,246.419998,244.580002,244.850006,558300,241.585678
"2021-09-07",244.130005,245.740005,243.190002,244.869995,661800,241.605408
"2021-09-08",245.050003,246.839996,244.669998,246.440002,403500,243.154495
"2021-09-09",246.75,246.970001,243.710007,244,967300,240.747009
"2021-09-10",245.520004,245.520004,242.490005,242.679993,623600,239.444626
"2021-09-13",244,244.539993,240.479996,241.75,845100,238.527008
"2021-09-14",242.039993,242.130005,238.869995,240.809998,803200,238.299408
"2021-09-15",240.839996,244.699997,239.399994,243.970001,1120600,241.426468
"2021-09-16",244.820007,244.979996,241.229996,242.320007,458200,239.793671
"2021-09-17",240.679993,242.410004,236.559998,237.419998,1458700,234.944748
"2021-09-20",234.509995,235.970001,232.220001,234.25,671700,231.8078
"2021-09-21",235.820007,236.699997,233.320007,235.529999,734400,233.074448
"2021-09-22",237.449997,241.110001,236.820007,239.149994,897400,236.656708
"2021-09-23",240.089996,243.070007,240.020004,240.210007,445100,237.705673
"2021-09-24",239.630005,241.869995,239.110001,240.770004,636400,238.259827
"2021-09-27",240.740005,240.940002,238.309998,238.860001,469500,236.369736
"2021-09-28",237.479996,237.479996,233.300003,233.669998,716600,231.233841
"2021-09-29",234.399994,237.149994,234.110001,235.660004,589200,233.20311
"2021-09-30",236.720001,238.149994,232.309998,232.320007,632500,229.897934
"2021-10-01",233.75,235.690002,230.399994,234.309998,563400,231.867157
"2021-10-04",232.889999,233.960007,229.929993,231.470001,588100,229.056778
"2021-10-05",232.330002,234.729996,230.440002,232.270004,646300,229.848434
"2021-10-06",230.929993,233.839996,228.610001,233.759995,769000,231.322906
"2021-10-07",235.330002,239.210007,234.979996,236.850006,565200,234.380692
"2021-10-08",237.5,237.970001,235.979996,236.759995,407100,234.291611
"2021-10-11",236.399994,237.550003,235.410004,235.660004,348000,233.20311
"2021-10-12",236.179993,239.949997,235.259995,239.320007,602300,236.824936
"2021-10-13",239.919998,241.419998,239.649994,241.300003,671600,238.784286
"2021-10-14",243.600006,246.330002,242.610001,245.110001,663700,242.554565
"2021-10-15",246.910004,248.399994,239.380005,239.830002,882400,237.32962
"2021-10-18",239,243.240005,238.360001,243.070007,675100,240.535858
"2021-10-19",243.940002,246.419998,243.559998,245.130005,444500,242.574371
"2021-10-20",246,247.080002,244.770004,246.429993,439500,243.860809
"2021-10-21",247.389999,249.75,246.830002,248.300003,472100,245.711334
"2021-10-22",248.690002,250.360001,248.289993,249.529999,285500,246.928497
"2021-10-25",249,249.610001,245.630005,245.910004,531800,243.346222
"2021-10-26",246.979996,248.559998,245.559998,245.800003,387400,243.237381
"2021-10-27",246.860001,251.449997,246.860001,250.050003,820600,247.443069
"2021-10-28",246.600006,249.740005,246.600006,248.130005,645900,245.543091
"2021-10-29",247.089996,249.509995,246,248.589996,830100,245.998276
"2021-11-01",248.169998,248.169998,244.580002,245.029999,486500,242.475403
"2021-11-02",246.009995,252.080002,246.009995,251.509995,918900,248.887833
"2021-11-03",251.619995,253.029999,248.830002,252.669998,505800,250.035751
"2021-11-04",252.460007,254.699997,250.070007,251.410004,595200,248.788895
"2021-11-05",252.210007,253.009995,244.429993,247.440002,932300,244.860291
"2021-11-08",249.470001,250.190002,243.339996,249.279999,657200,246.681091
"2021-11-09",250.490005,253.190002,248.539993,249.429993,748600,246.829529
"2021-11-10",248.449997,251.779999,243.059998,247.050003,459900,244.47435
"2021-11-11",249.059998,249.929993,247.029999,247.839996,427400,245.256119
"2021-11-12",248.619995,252.550003,248.169998,251.440002,851700,248.818573
"2021-11-15",251.149994,252.770004,250.529999,251.25,475200,248.630569
"2021-11-16",251.460007,254.669998,251.279999,254.050003,502500,251.401367
"2021-11-17",255,255,250.740005,252.039993,559500,249.412323
"2021-11-18",252.429993,257.290009,250.970001,257.25,782300,254.567993
"2021-11-19",258.299988,258.779999,252.729996,253.110001,639000,250.471161
"2021-11-22",253.809998,258.450012,253.559998,255.619995,789700,252.954987
"2021-11-23",255.979996,259.209991,253.720001,257.109985,578700,254.429443
"2021-11-24",256.170013,261.850006,256.170013,261.290009,996800,258.565887
"2021-11-26",257.970001,260.970001,252.839996,253.580002,549200,250.936264
"2021-11-29",256.630005,262.420013,254.220001,259.5,879200,256.794556
