"","SO.Open","SO.High","SO.Low","SO.Close","SO.Volume","SO.Adjusted"
"2021-10-29",62.709999,63.09,62.060001,62.32,3718700,60.479153
"2021-11-01",62.400002,62.75,62.18,62.48,3469600,60.634426
"2021-11-02",62.68,62.759998,62.080002,62.490002,3806200,60.644131
"2021-11-03",62.299999,62.700001,61.91,62.549999,4064100,60.702354
"2021-11-04",62.610001,62.740002,61.77,62.5,3797400,60.653831
"2021-11-05",62.73,63.360001,62.560001,63.099998,3611600,61.236111
"2021-11-08",63.34,63.360001,62.240002,62.619999,4727100,60.77029
"2021-11-09",62.66,63.57,62.509998,63.349998,5442700,61.478725
"2021-11-10",63.099998,63.950001,62.970001,63.860001,3753300,61.97366
"2021-11-11",63.639999,63.810001,62.720001,63.049999,3772600,61.187584
"2021-11-12",62.189999,62.43,61.630001,61.889999,4157600,60.697224
"2021-11-15",62.110001,62.389999,61.77,62.200001,3473700,61.001247
"2021-11-16",62.349998,62.650002,61.970001,62,4492500,60.805107
"2021-11-17",62,62.290001,61.52,62.169998,3727000,60.971828
"2021-11-18",61.990002,62.040001,61.48,61.630001,3160400,60.442238
"2021-11-19",61.759998,62.73,61.509998,62.669998,5363700,61.462189
"2021-11-22",62.59,63.23,62.279999,63.119999,3622900,61.903519
"2021-11-23",63.25,63.580002,62.799999,63.009998,3391400,61.795635
"2021-11-24",63.110001,63.240002,62.73,63.099998,2793800,61.883904
"2021-11-26",62.740002,63.099998,61.950001,62.040001,2353900,60.844334
"2021-11-29",62.290001,63,62,62.82,6722200,61.609299
"2021-11-30",62.68,62.68,60.990002,61.099998,6875800,59.922447
"2021-12-01",61.450001,62.639999,61.099998,61.139999,5750300,59.961678
"2021-12-02",61.349998,62.740002,61.310001,62.009998,5742000,60.814911
"2021-12-03",62.470001,62.860001,61.830002,62.830002,5959400,61.619106
"2021-12-06",63.93,65.910004,63.650002,64.660004,8959500,63.413841
"2021-12-07",64.400002,64.870003,63.919998,64.470001,4280400,63.227501
"2021-12-08",64.519997,64.910004,64.260002,64.75,4511100,63.502102
"2021-12-09",64.769997,64.910004,64.07,64.57,4872800,63.325573
"2021-12-10",64.889999,65.440002,64.57,65.080002,4207500,63.825745
"2021-12-13",65.050003,66.559998,65,66.18,8051400,64.904549
"2021-12-14",66.169998,66.459999,65.669998,65.970001,4289700,64.698593
"2021-12-15",65.629997,67.019997,65.629997,66.75,5217700,65.463562
"2021-12-16",66.730003,67.660004,66.559998,67.550003,4740400,66.248138
"2021-12-17",67.5,68.209999,66.75,66.839996,10776000,65.551826
"2021-12-20",66.139999,67.25,65.730003,67.120003,4457300,65.826431
