"","FBHS.Open","FBHS.High","FBHS.Low","FBHS.Close","FBHS.Volume","FBHS.Adjusted"
"2021-06-30",99.720001,100.129997,99.099998,99.610001,940100,98.373421
"2021-07-01",100.260002,100.529999,99.220001,99.68,782900,98.442543
"2021-07-02",99.730003,99.919998,98.989998,99.059998,693600,97.830246
"2021-07-06",99.370003,99.370003,95.709999,97.260002,1119600,96.052597
"2021-07-07",96.75,99.459999,96.75,99.110001,735000,97.879631
"2021-07-08",97.290001,97.75,95.510002,96.269997,988400,95.074883
"2021-07-09",97.739998,98.709999,97.209999,98.489998,520500,97.267319
"2021-07-12",98,98.550003,97.459999,98.519997,354300,97.296936
"2021-07-13",98.029999,98.339996,96,96.199997,561100,95.005745
"2021-07-14",96.470001,96.919998,95.389999,96.269997,485800,95.074883
"2021-07-15",95.639999,97.199997,95.610001,96.480003,419600,95.282272
"2021-07-16",96.339996,96.889999,95.25,95.410004,432900,94.225555
"2021-07-19",93.620003,94.940002,93.25,94.389999,599800,93.218224
"2021-07-20",94.449997,96.330002,94,95.919998,611200,94.729225
"2021-07-21",96.550003,97.830002,96.029999,97.720001,565800,96.506882
"2021-07-22",97.82,97.82,96,96.360001,488400,95.163757
"2021-07-23",97.169998,98.709999,96.970001,98.169998,673500,96.951294
"2021-07-26",98.169998,98.669998,97.089996,97.379997,575300,96.171104
"2021-07-27",96.690002,98.050003,95.540001,97.199997,657100,95.993332
"2021-07-28",97.440002,97.639999,95.5,96.550003,1034700,95.351418
"2021-07-29",97.800003,99.5,95.040001,96.809998,1049900,95.608177
"2021-07-30",96.75,98.25,96.540001,97.470001,594300,96.259987
"2021-08-02",98.089996,99.120003,97.5,97.93,895200,96.714272
"2021-08-03",98.080002,100.300003,97.220001,100.190002,806100,98.946213
"2021-08-04",99.860001,100.989998,98.830002,99.07,1009900,97.840126
"2021-08-05",99.07,100.25,98.849998,99.269997,618700,98.037636
"2021-08-06",99.900002,100.459999,99.220001,99.730003,466500,98.491928
"2021-08-09",99.190002,99.349998,98.120003,98.199997,526100,96.980911
"2021-08-10",98.040001,100.07,97.779999,99.480003,321800,98.245033
"2021-08-11",99.830002,102.480003,99.379997,102.43,452300,101.158409
"2021-08-12",102.610001,103.5,101.900002,102.360001,435500,101.089287
"2021-08-13",102.32,102.889999,101.879997,102.510002,316400,101.237419
"2021-08-16",102.25,103.980003,101.739998,103.330002,527700,102.047234
"2021-08-17",102.169998,102.580002,98.93,99.800003,957800,98.561066
"2021-08-18",99.540001,100.559998,98.029999,98.099998,563200,96.882156
"2021-08-19",97.139999,98.230003,96.529999,97.389999,511400,96.180977
"2021-08-20",97.370003,99.07,97.059998,98.459999,724200,97.237694
"2021-08-23",99,99.279999,97.279999,98.169998,442400,96.951294
"2021-08-24",98.639999,100.32,98.25,99.68,357400,98.442543
"2021-08-25",100.330002,102.510002,99.660004,102.209999,654800,100.941139
"2021-08-26",101.709999,101.839996,99.779999,99.949997,430200,98.960938
"2021-08-27",100.269997,101.93,100,101.739998,398900,100.733215
"2021-08-30",102.029999,102.360001,100.760002,100.779999,484400,99.782722
"2021-08-31",100.150002,100.440002,96.849998,97.370003,1222200,96.406464
"2021-09-01",97.650002,98.879997,96.919998,98.379997,744000,97.406464
"2021-09-02",98.830002,99.190002,98.339996,99.110001,383000,98.12925
"2021-09-03",98.620003,98.910004,97.519997,98.139999,572500,97.168854
"2021-09-07",97.57,97.669998,96.010002,96.169998,611300,95.218338
"2021-09-08",95.650002,95.75,94.199997,95.739998,1052000,94.792595
"2021-09-09",96.050003,97.209999,95.349998,95.82,585800,94.871803
"2021-09-10",96.120003,96.519997,95.209999,95.699997,594900,94.752983
"2021-09-13",97.410004,98.910004,96.879997,97.32,807600,96.356956
"2021-09-14",97.550003,97.550003,95.669998,96.199997,585000,95.248039
"2021-09-15",95.93,96.339996,95.18,95.610001,806100,94.663879
"2021-09-16",95.599998,96.050003,94.580002,95.139999,842700,94.198532
"2021-09-17",94.230003,95.040001,93.989998,94.75,1678800,93.812393
"2021-09-20",92.949997,93.709999,91.910004,93.309998,1108400,92.386642
"2021-09-21",93.739998,93.830002,91.629997,92.379997,668800,91.465843
"2021-09-22",93.209999,94.760002,93.040001,93.230003,808600,92.307434
"2021-09-23",93.779999,94.519997,93.239998,93.269997,772000,92.347038
"2021-09-24",92.900002,93.099998,91.919998,91.980003,970800,91.069809
"2021-09-27",91.889999,93.730003,91.580002,93.050003,876800,92.129211
"2021-09-28",92.290001,93.160004,90.300003,90.910004,1211500,90.010391
"2021-09-29",91.480003,92.559998,90.93,91.779999,1198100,90.871788
"2021-09-30",92.18,92.660004,89.389999,89.419998,973600,88.535141
"2021-10-01",89.82,90.5,89.110001,89.889999,1031100,89.000481
"2021-10-04",89.809998,91.519997,89.410004,91.400002,1230900,90.495544
"2021-10-05",91.440002,92.709999,91.019997,92.209999,1050500,91.297523
"2021-10-06",91.360001,94.370003,91.360001,93.889999,1248500,92.960899
"2021-10-07",94.989998,96.959999,94.980003,95.419998,859800,94.475761
"2021-10-08",95.129997,95.43,94.269997,94.68,515900,93.743088
"2021-10-11",94.379997,95.150002,92.82,93.040001,1188500,92.119324
"2021-10-12",93.300003,94.099998,92.139999,92.690002,1731200,91.772781
"2021-10-13",92.989998,93.220001,91.800003,92.080002,882300,91.168816
"2021-10-14",93.029999,95.699997,92.779999,95.110001,744500,94.168831
"2021-10-15",96.190002,96.550003,94.68,94.75,585100,93.812393
"2021-10-18",94.779999,97.050003,93.709999,96.959999,1172300,96.000526
"2021-10-19",97.379997,97.379997,96.279999,96.589996,589400,95.634178
"2021-10-20",96.650002,98.43,96.650002,98.32,673200,97.347069
"2021-10-21",97.459999,98.290001,94.900002,95.989998,1407400,95.040115
"2021-10-22",96,97.230003,96,96.209999,706000,95.257942
"2021-10-25",96.169998,97.93,95.699997,97.25,973100,96.287651
"2021-10-26",97.43,97.980003,96.629997,97.510002,1255900,96.545082
"2021-10-27",103.599998,104.510002,99.110001,99.190002,1836100,98.208458
"2021-10-28",99.449997,102.5,99.279999,102.150002,1149200,101.139168
"2021-10-29",101.489998,102.760002,100.830002,101.400002,882300,100.396584
"2021-11-01",101.82,102.010002,100.339996,101.139999,557300,100.13916
"2021-11-02",101.220001,101.879997,100.620003,101.419998,754200,100.416389
"2021-11-03",101.379997,102.260002,100.860001,101.089996,704200,100.089653
"2021-11-04",101.080002,103.099998,101.080002,101.660004,604200,100.654015
"2021-11-05",102.459999,103.650002,101.870003,102.360001,655500,101.347092
"2021-11-08",103.669998,104.379997,101.760002,102.650002,509700,101.634216
"2021-11-09",102.57,104.639999,102.57,104.620003,674800,103.584724
"2021-11-10",103.919998,105.239998,102.839996,103.110001,619600,102.089661
"2021-11-11",103.459999,103.809998,102.519997,103.120003,507300,102.099564
"2021-11-12",103.300003,106.540001,103.169998,106.5,707700,105.446114
"2021-11-15",106.279999,107.510002,105.790001,106.900002,804400,105.842163
"2021-11-16",107.5,109.230003,107.010002,108.82,812400,107.743156
"2021-11-17",108.709999,108.980003,107.550003,108.300003,380700,107.22831
"2021-11-18",108.580002,109.099998,107.099998,107.589996,644600,106.52533
"2021-11-19",107.82,108.849998,107.309998,107.349998,830700,106.287704
"2021-11-22",107.639999,109,106.870003,106.879997,808800,105.822357
"2021-11-23",106.800003,106.800003,105,105.980003,1431700,104.931274
"2021-11-24",105.330002,105.980003,104.709999,105.599998,712900,104.812157
"2021-11-26",103.360001,104.879997,102.230003,102.93,528100,102.162079
"2021-11-29",103.870003,103.870003,102.169998,102.959999,593700,102.191856
"2021-11-30",102.440002,102.889999,100,100.529999,1713800,99.779984
"2021-12-01",102.050003,103.349998,98.449997,98.489998,2467000,97.755203
"2021-12-02",99.410004,102.790001,99,102.489998,1285400,101.725357
"2021-12-03",102.949997,104.43,102.790001,103.730003,705000,102.956108
"2021-12-06",105.019997,105.230003,103.949997,104.050003,718200,103.273727
"2021-12-07",104.93,106.830002,104.669998,105.419998,1166200,104.633499
"2021-12-08",105.599998,107.760002,105.330002,107.260002,1028900,106.459778
"2021-12-09",106.739998,106.970001,105.529999,105.919998,529800,105.129768
"2021-12-10",106.669998,106.68,105.040001,105.68,791300,104.891563
"2021-12-13",105.309998,106.07,104.089996,104.419998,678100,103.640961
"2021-12-14",104.160004,104.989998,103.449997,103.760002,1011600,102.985886
"2021-12-15",104.290001,106.059998,103.459999,106,998000,105.209175
"2021-12-16",106.75,106.900002,104.580002,104.889999,615100,104.107452
"2021-12-17",104.300003,104.300003,100.660004,100.739998,1581700,99.988411
"2021-12-20",99.860001,99.860001,96.279999,97.190002,871300,96.464905
"2021-12-21",98.269997,99.629997,97.580002,99.559998,737500,98.817223
"2021-12-22",99.410004,101.080002,99.410004,100.470001,523100,99.720428
"2021-12-23",100.82,103.32,100.82,102.75,792200,101.983414
"2021-12-27",103.050003,104.870003,102.639999,104.760002,724700,103.978424
"2021-12-28",104.82,106.480003,104.82,105.910004,564900,105.11985
"2021-12-29",105.949997,107.239998,105.949997,106.629997,646600,105.834465
"2021-12-30",107,107.779999,105.620003,105.779999,341900,104.990814
"2021-12-31",105.699997,107.309998,105.110001,106.900002,292900,106.102463
"2022-01-03",107,107.18,102.949997,104.669998,981100,103.889099
"2022-01-04",105.209999,107.68,105.129997,107.309998,955500,106.509399
"2022-01-05",107.620003,108.410004,103.849998,104.120003,707800,103.343201
"2022-01-06",104.830002,105.029999,102.57,104.839996,726800,104.057831
