"","MAS.Open","MAS.High","MAS.Low","MAS.Close","MAS.Volume","MAS.Adjusted"
"2021-03-29",60.139999,60.82,59.669998,60.130001,1735600,58.858963
"2021-03-30",60,60.439999,59.790001,60.009998,1921500,58.741497
"2021-03-31",60.450001,60.759998,59.57,59.900002,1707200,58.633827
"2021-04-01",60,61.009998,59.619999,60.990002,1879300,59.700787
"2021-04-05",61.470001,61.970001,61.299999,61.799999,1224400,60.493664
"2021-04-06",62.650002,62.860001,61.75,62.43,2581700,61.110348
"2021-04-07",62.240002,62.240002,60.75,61.099998,2362400,59.80846
"2021-04-08",61.060001,61.599998,61,61.52,2103900,60.219585
"2021-04-09",61.689999,63.040001,61.540001,62.98,1301900,61.64872
"2021-04-12",62.889999,63.34,62.82,63.189999,1542600,61.854279
"2021-04-13",63.099998,63.200001,62.259998,62.790001,1526200,61.462738
"2021-04-14",62.82,62.860001,62.09,62.48,1396800,61.15929
"2021-04-15",62.509998,63.310001,62.189999,63.209999,1821400,61.873856
"2021-04-16",63.82,65.290001,63.529999,64.589996,3050700,63.224686
"2021-04-19",64.580002,64.830002,63.970001,64.550003,1397700,63.185539
"2021-04-20",64.379997,64.849998,62.950001,63.5,1706500,62.157726
"2021-04-21",63.93,64.620003,63.68,64.050003,973800,62.696106
"2021-04-22",64.379997,64.489998,63.759998,64.07,1595700,62.715683
"2021-04-23",64,64.830002,63.84,64.75,1644800,63.38131
"2021-04-26",64.959999,65.099998,63.310001,63.400002,1627600,62.059845
"2021-04-27",63.389999,64.099998,63.150002,63.57,1860400,62.226254
"2021-04-28",65.080002,65.089996,62.299999,63.990002,2401300,62.637367
"2021-04-29",64.230003,65.230003,64.089996,64.940002,1592200,63.567295
"2021-04-30",64.629997,64.82,63.52,63.880001,1992200,62.529701
"2021-05-03",64.57,65.419998,64.330002,65.139999,1262600,63.763069
"2021-05-04",64.870003,65.699997,64.870003,65.540001,1514400,64.15461
"2021-05-05",65.589996,65.800003,64.470001,65.519997,1100800,64.135033
"2021-05-06",65.760002,66.120003,65.040001,66.050003,1410500,64.653839
"2021-05-07",66.18,67.209999,65.970001,66.860001,1314600,65.446709
"2021-05-10",67,68.540001,66.669998,67.110001,1913800,65.691422
"2021-05-11",66.419998,66.519997,64.379997,64.690002,2405000,63.322575
"2021-05-12",64.470001,64.559998,61.950001,62.119999,3011300,60.806896
"2021-05-13",62.52,64.230003,62.169998,63.77,1658000,62.422024
"2021-05-14",64.120003,64.410004,63.619999,64.150002,1407800,62.793991
"2021-05-17",63.880001,63.98,62.380001,63.810001,2118700,62.461178
"2021-05-18",63.849998,64.050003,61.59,61.650002,2359300,60.34684
"2021-05-19",60.790001,61.470001,59.799999,61.439999,3128900,60.141273
"2021-05-20",61.290001,61.849998,60.869999,61.23,1430600,59.935715
"2021-05-21",61.599998,61.939999,60.5,60.669998,1721200,59.38755
"2021-05-24",61.02,61.290001,60.580002,60.650002,1303500,59.367977
"2021-05-25",60.810001,61.549999,60.740002,61.049999,1846300,59.759518
"2021-05-26",61,61.57,60.959999,61.150002,1285600,59.85741
"2021-05-27",61.150002,61.439999,60.310001,60.470001,2741100,59.420128
"2021-05-28",60.779999,60.889999,60.290001,60.310001,1519700,59.262909
"2021-06-01",60.970001,61.209999,60.130001,60.619999,2023400,59.567528
"2021-06-02",60.669998,60.849998,59.23,59.389999,2030500,58.358883
"2021-06-03",59.27,59.650002,58.740002,59.09,1788700,58.064091
"2021-06-04",59.299999,59.849998,58.790001,59.779999,1702300,58.742111
"2021-06-07",59.759998,59.93,58.68,59.240002,1504700,58.211483
"2021-06-08",59.490002,59.59,58.84,59.18,1576400,58.152527
"2021-06-09",58.939999,59.009998,57.82,58.41,2263600,57.395893
"2021-06-10",59.200001,59.27,58.419998,58.450001,2356400,57.4352
"2021-06-11",58.419998,59.02,58.34,58.75,2343000,57.729992
"2021-06-14",58.77,59.080002,58.139999,58.849998,3872000,57.828255
"2021-06-15",59.09,59.740002,58.779999,59.450001,3143900,58.417835
"2021-06-16",59.5,59.82,58.5,58.91,3921100,57.887215
"2021-06-17",58.98,59.509998,58,59.119999,3539800,58.093567
"2021-06-18",58.099998,59.150002,57.700001,57.860001,5785800,56.855446
"2021-06-21",58.119999,59.150002,58.080002,58.580002,1860100,57.562946
"2021-06-22",58.91,59.169998,58.419998,58.450001,1824800,57.4352
"2021-06-23",58.169998,58.439999,57.549999,57.75,1949400,56.747356
"2021-06-24",57.990002,58,57.220001,57.599998,2536400,56.59996
"2021-06-25",57.73,58.580002,57.73,57.98,2495500,56.973362
"2021-06-28",58.029999,58.290001,57.639999,58.110001,1773500,57.101109
"2021-06-29",58.34,58.889999,58.060001,58.139999,1758100,57.130581
"2021-06-30",59.220001,59.220001,58.419998,58.91,2550600,57.887215
"2021-07-01",58.990002,59.360001,58.400002,58.82,2026800,57.798779
"2021-07-02",58.790001,59.259998,58.630001,58.73,1448500,57.710342
"2021-07-06",58.810001,58.93,57.580002,57.950001,2122600,56.943882
"2021-07-07",56.540001,58.650002,56.32,58.459999,3092700,57.445026
"2021-07-08",57.77,57.889999,56.93,57.509998,2368000,56.51152
"2021-07-09",58.130001,58.540001,57.869999,58.450001,1663400,57.4352
"2021-07-12",58.369999,58.849998,58,58.66,1669300,57.641552
"2021-07-13",58.720001,58.759998,58.200001,58.360001,1667500,57.346764
"2021-07-14",58.279999,58.669998,57.799999,58.450001,1897800,57.4352
"2021-07-15",57.900002,58.889999,57.830002,58.580002,1804400,57.562946
"2021-07-16",58.880001,59.779999,58.740002,59.139999,1748300,58.11322
"2021-07-19",58.34,59.279999,58.16,59.080002,2642800,58.054264
"2021-07-20",59.380001,59.48,58.630001,59.130001,2316800,58.103397
"2021-07-21",59.290001,59.919998,59.240002,59.5,1271700,58.466972
"2021-07-22",59.59,59.59,58.889999,58.950001,1479200,57.926521
"2021-07-23",59.290001,59.880001,59.150002,59.779999,1168500,58.742111
"2021-07-26",59.759998,59.880001,59.07,59.32,1516700,58.290096
"2021-07-27",58.919998,59.759998,58.380001,59.709999,1857200,58.673328
"2021-07-28",59.700001,60.049999,59.110001,59.650002,2156600,58.614368
"2021-07-29",60.369999,60.52,58.09,58.66,3354000,57.641552
"2021-07-30",58.700001,59.990002,58.380001,59.709999,3146700,58.673328
"2021-08-02",59.799999,60.34,59.299999,59.34,1826800,58.30975
"2021-08-03",59.439999,60.700001,59.259998,60.330002,2391700,59.282566
"2021-08-04",60.009998,60.439999,59.639999,59.950001,1493200,58.909157
"2021-08-05",60.32,60.689999,60.139999,60.490002,1324600,59.439785
"2021-08-06",60.740002,61.18,60.32,60.43,1653100,59.380825
"2021-08-09",60.16,60.189999,59.130001,59.18,1411300,58.152527
"2021-08-10",59.290001,60.110001,59.18,59.990002,2269000,58.948467
"2021-08-11",60.439999,61.950001,60.279999,61.950001,2491800,60.874439
"2021-08-12",61.77,62.279999,61.48,62.200001,1779900,61.352829
"2021-08-13",62.360001,62.950001,62.310001,62.599998,2129800,61.747379
"2021-08-16",62.48,63.150002,62.220001,62.93,1170600,62.072887
"2021-08-17",62.25,62.509998,60.880001,61.32,1946800,60.484814
"2021-08-18",61.009998,61.549999,59.860001,59.91,2316500,59.094017
"2021-08-19",59.369999,60.279999,59.139999,59.990002,1322200,59.172932
"2021-08-20",60.18,60.880001,59.98,60.73,1360600,59.902851
"2021-08-23",60.950001,61.02,60.130001,60.860001,1262300,60.031075
"2021-08-24",60.939999,61.470001,60.77,61.200001,951100,60.366447
"2021-08-25",61.259998,62.060001,61.169998,61.919998,1547600,61.076641
"2021-08-26",61.889999,61.98,61.360001,61.709999,1076900,60.869503
"2021-08-27",62.029999,62.41,61.849998,61.990002,928700,61.145691
"2021-08-30",62.029999,62.299999,61.900002,61.91,1184400,61.066776
"2021-08-31",61.990002,62.099998,60.509998,60.720001,2422500,59.892986
"2021-09-01",60.68,61.419998,60.150002,61.23,1511000,60.396038
"2021-09-02",61.5,61.779999,61.23,61.77,885400,60.928684
"2021-09-03",61.439999,61.580002,60.810001,61.189999,1110100,60.356583
"2021-09-07",60.470001,60.650002,59,59.009998,1929900,58.206276
"2021-09-08",58.689999,58.880001,57.939999,58.18,2706000,57.387581
"2021-09-09",58.470001,60.360001,58.419998,59.439999,3050600,58.630417
"2021-09-10",59.639999,60.02,59.34,59.540001,1918800,58.729057
"2021-09-13",60.220001,60.700001,59.689999,59.860001,1924200,59.044697
"2021-09-14",59.689999,59.830002,58.919998,58.959999,2003000,58.156952
"2021-09-15",58.869999,59.279999,58.43,58.470001,1769400,57.67363
"2021-09-16",58.380001,58.82,58.119999,58.139999,1967900,57.348122
"2021-09-17",57.580002,57.889999,57.029999,57.23,4128100,56.45052
"2021-09-20",56.669998,56.950001,56.09,56.810001,2172000,56.036243
"2021-09-21",56.880001,57.049999,56.09,56.220001,1946000,55.454277
"2021-09-22",56.509998,57.110001,56.439999,56.509998,1424400,55.740326
"2021-09-23",56.509998,57.259998,56.459999,56.669998,1842400,55.898144
"2021-09-24",56.529999,56.799999,56.040001,56.080002,1294100,55.316185
"2021-09-27",55.889999,56.68,55.810001,56.110001,1416000,55.345772
"2021-09-28",55.830002,56.189999,54.709999,55.049999,1602000,54.300213
"2021-09-29",55.040001,56.389999,54.799999,55.689999,2121900,54.931496
"2021-09-30",55.790001,56.48,55.049999,55.549999,6076300,54.793404
"2021-10-01",55.889999,56.16,55.389999,55.880001,2979500,55.118908
"2021-10-04",55.619999,56.990002,55.560001,55.990002,2606300,55.227409
"2021-10-05",55.91,56.27,55.459999,55.869999,1908800,55.109043
"2021-10-06",55.5,56.369999,55.310001,56.139999,1770400,55.375362
"2021-10-07",56.48,57.830002,56.48,57.119999,1721800,56.342014
"2021-10-08",57.189999,57.240002,56.439999,56.869999,1505900,56.095425
"2021-10-11",56.84,57.16,56.59,56.75,1152100,55.977055
"2021-10-12",56.959999,57.43,56.490002,56.650002,1122700,55.878422
"2021-10-13",56.860001,57.060001,56.380001,56.810001,1206600,56.036243
"2021-10-14",57.220001,58.580002,57.099998,58.560001,1406400,57.762405
"2021-10-15",58.959999,59.450001,58.459999,59.27,1582500,58.462734
"2021-10-18",58.93,60.330002,58.75,60.099998,1873600,59.281429
"2021-10-19",60.43,60.66,59.779999,59.849998,1351100,59.034832
"2021-10-20",60.029999,61.040001,60.029999,60.599998,1268900,59.77462
"2021-10-21",60.610001,61.279999,60.349998,61.139999,1473600,60.307266
"2021-10-22",61.380001,62.029999,60.990002,61.009998,2261600,60.179035
"2021-10-25",60.84,62.07,60.5,61.509998,1913100,60.672222
"2021-10-26",61.66,61.860001,60.810001,61.080002,3289900,60.248081
"2021-10-27",62.75,66.110001,62.75,64.260002,4043000,63.384773
"2021-10-28",64.610001,65.730003,64.510002,65.5,2062700,64.60788
"2021-10-29",65.07,66.139999,65.010002,65.550003,2262400,64.657204
"2021-11-01",65.690002,65.93,64.400002,64.639999,1386300,63.759594
