"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2021-08-20",184.139999,186.509995,183.580002,185.820007,1400000,180.446762
"2021-08-23",187,188.649994,186.830002,187.270004,1148000,181.854828
"2021-08-24",187.139999,189.190002,187.110001,188.479996,1401400,183.029831
"2021-08-25",189.429993,193.429993,188.449997,192.130005,1637100,186.574295
"2021-08-26",193.119995,193.899994,190.630005,191,1002000,185.476974
"2021-08-27",191.5,194.740005,191.119995,194.509995,1337200,188.885452
"2021-08-30",195,195,190.100006,190.610001,1714800,185.098251
"2021-08-31",191,192.339996,189.660004,191.100006,2229900,185.574081
"2021-09-01",191.75,191.75,188.179993,189.479996,1792500,184.000916
"2021-09-02",189.440002,192.490005,189.220001,191.710007,1719800,186.166428
"2021-09-03",191.770004,192.850006,190.630005,191.520004,1529200,185.981918
"2021-09-07",192.399994,194.729996,191.919998,192.210007,2196800,186.651978
"2021-09-08",191.529999,192.240005,190.419998,191.720001,1822600,186.176132
"2021-09-09",191.470001,194.539993,191.179993,192.279999,1577800,186.719955
"2021-09-10",193.850006,193.850006,191.330002,191.660004,1358300,186.117889
"2021-09-13",193.839996,195.720001,192.660004,194.460007,1295000,188.836914
"2021-09-14",195.020004,196.059998,186.020004,188.350006,3781900,182.903595
"2021-09-15",187.429993,191.320007,187.429993,190.179993,1613400,184.680679
"2021-09-16",191.610001,192.860001,189.139999,189.899994,985400,184.408768
"2021-09-17",189.899994,191.369995,188.309998,188.919998,2850400,183.457108
"2021-09-20",183.729996,185.039993,181.679993,184.669998,2406200,179.330002
"2021-09-21",185.600006,186.830002,183.949997,183.970001,1242700,178.650253
"2021-09-22",185.949997,188.979996,185.899994,187.669998,1309200,182.243256
"2021-09-23",189.440002,195,189.440002,193.610001,1312200,188.011475
"2021-09-24",193.610001,196.25,193.509995,194.5,1195400,188.875763
"2021-09-27",197.630005,200.460007,197.25,200.199997,1696900,194.410934
"2021-09-28",200.660004,202.179993,197.059998,197.720001,1973900,192.002655
"2021-09-29",198.529999,199.050003,196.899994,197.440002,1955400,191.730743
"2021-09-30",198.889999,198.910004,195.449997,195.639999,1455300,189.982803
"2021-10-01",194.529999,199.960007,193.940002,198.309998,1501400,192.575592
"2021-10-04",197.809998,200.979996,196.429993,198.089996,1334900,192.361938
"2021-10-05",199.470001,202.160004,198.160004,200.490005,1924900,194.692551
"2021-10-06",199.520004,201,196.800003,200.820007,1428500,195.013031
"2021-10-07",202.779999,203.630005,201.179993,201.800003,1570600,195.964661
"2021-10-08",201.550003,203.869995,200.710007,202.759995,1021400,196.896896
"2021-10-11",203.690002,204.929993,200.929993,201.050003,1420100,195.236374
"2021-10-12",200.389999,203.899994,200.020004,203.300003,1864600,197.421295
"2021-10-13",202.639999,202.889999,198.25,201.759995,1353700,195.925827
"2021-10-14",202.979996,203.220001,200.259995,202.5,1875100,197.870331
"2021-10-15",195.619995,202.199997,195.380005,199.130005,3557600,194.577377
"2021-10-18",197.679993,200.889999,197.619995,200.839996,2134400,196.248276
"2021-10-19",201.899994,206.869995,201.259995,206.830002,1955400,202.101334
"2021-10-20",206.820007,213.009995,205.550003,212.800003,2352100,207.934845
"2021-10-21",212.720001,213.5,210.589996,212.729996,1490400,207.86644
"2021-10-22",213.860001,217.600006,213.860001,216.080002,1890900,211.139862
"2021-10-25",216.919998,217,215.509995,216.559998,2124100,211.608887
"2021-10-26",216.710007,217.220001,215.369995,216.070007,1281400,211.130081
"2021-10-27",215.039993,216.490005,212.770004,212.910004,1512500,208.042328
"2021-10-28",213.979996,214.990005,212.330002,213.050003,1440300,208.179138
"2021-10-29",213.960007,214.5,210.410004,211.029999,1776700,206.205307
"2021-11-01",212.970001,213.509995,209.75,210.639999,1247400,205.824234
"2021-11-02",209.889999,210.550003,208.899994,210.100006,1627000,205.29657
"2021-11-03",209.179993,213.580002,208.729996,212.699997,1439300,207.837128
"2021-11-04",211.860001,211.860001,206,207.710007,1440800,202.961227
"2021-11-05",209.520004,211.149994,205.720001,207.100006,1157700,202.365158
"2021-11-08",208.229996,209.149994,206.630005,208.169998,943100,203.410706
