"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"2021-07-14",516.559998,516.890015,509.470001,510.779999,863900,509.75238
"2021-07-15",509.929993,515.820007,509.399994,514.47998,1074800,513.444946
"2021-07-16",514.76001,521.5,513.880005,519.789978,1080800,518.744263
"2021-07-19",518.549988,522.700012,516.219971,521.619995,1317300,520.570679
"2021-07-20",521.859985,529.549988,520.049988,522.580017,1145400,521.528625
"2021-07-21",522.969971,522.969971,507.160004,514.26001,1113000,513.225403
"2021-07-22",519.710022,525.799988,518.659973,524.5,868400,523.444824
"2021-07-23",527.210022,533.150024,525.460022,532.26001,1005100,531.189209
"2021-07-26",528.73999,533,525.390015,529.119995,874500,528.055542
"2021-07-27",528.359985,534.5,527.559998,530.280029,1091500,529.213196
"2021-07-28",518,529.179993,516,528.27002,1814500,527.207275
"2021-07-29",531.530029,535.409973,529.950012,533.77002,1000800,532.696106
"2021-07-30",534.890015,543.299988,531.380005,540.01001,1412800,538.923584
"2021-08-02",542.080017,544.359985,531.880005,533.679993,1147400,532.606323
"2021-08-03",534.23999,538.419983,532.299988,536.98999,934100,535.909668
"2021-08-04",538.869995,541.299988,535.409973,538.880005,854600,537.795898
"2021-08-05",540.969971,543.109985,536.710022,542.349976,781100,541.258911
"2021-08-06",539.289978,542,533.580017,538.200012,765800,537.117249
"2021-08-09",543.830017,546.049988,539.130005,541.159973,861700,540.071289
"2021-08-10",540.780029,546.599976,539.219971,540.369995,903200,539.282898
"2021-08-11",540.450012,543.960022,534.030029,537.26001,898900,536.179138
"2021-08-12",536.640015,543.140015,535.950012,542.01001,603200,540.919556
"2021-08-13",541.960022,544.690002,540.640015,544.640015,608300,543.544312
"2021-08-16",546.409973,554.539978,542.719971,554.460022,1141400,553.344543
"2021-08-17",553.969971,557.590027,552.119995,556.309998,830300,555.190857
"2021-08-18",553.969971,555.98999,544.320007,544.659973,913100,543.56427
"2021-08-19",544.039978,554.27002,542.380005,551.880005,834900,550.769714
"2021-08-20",552.280029,557.98999,550.419983,555,951400,553.883423
"2021-08-23",557.700012,560.700012,551.5,552.609985,1275100,551.49823
"2021-08-24",554.330017,554.330017,548.289978,550.48999,876100,549.382507
"2021-08-25",552.580017,553.179993,544.159973,548.080017,963200,546.977356
"2021-08-26",550,554.059998,545.140015,552.77002,766000,551.657959
"2021-08-27",554.679993,557.619995,547.469971,548.51001,846100,547.406494
"2021-08-30",549,558.75,548.030029,558.530029,873300,557.406372
"2021-08-31",559.830017,559.919983,548.609985,554.950012,1287100,553.833557
"2021-09-01",552.780029,563.330017,551.909973,561.719971,1062900,560.589844
"2021-09-02",561.409973,571.669983,559.950012,565.469971,1137200,564.332336
"2021-09-03",562.950012,568.789978,560.530029,568.109985,825500,566.967041
"2021-09-07",568,569.450012,558.450012,569.169983,1241900,568.024902
"2021-09-08",568.799988,573.27002,566.179993,572.580017,945100,571.428162
"2021-09-09",573.929993,575.630005,567.049988,568.780029,1122600,567.635803
"2021-09-10",571.580017,575.630005,569.200012,571.960022,1054700,570.809387
"2021-09-13",573.349976,575.299988,549.179993,559.130005,1372500,558.005127
"2021-09-14",563.190002,566.140015,560.380005,562.400024,785400,561.529724
"2021-09-15",559.450012,566.090027,557.039978,562.960022,1241400,562.088867
"2021-09-16",562.109985,562.789978,555.289978,560.440002,1053400,559.572754
"2021-09-17",597.059998,609.299988,576,596.799988,5272300,595.876465
"2021-09-20",592.690002,602.190002,585,590.200012,2674200,589.286621
"2021-09-21",593.48999,602.76001,589,597.039978,1364400,596.116028
"2021-09-22",601.52002,610.190002,595.359985,606.630005,1696600,605.691284
"2021-09-23",607.099976,614.130005,603.159973,608.22998,1179200,607.288696
"2021-09-24",611.400024,616.929993,605.849976,609.780029,1300900,608.836426
"2021-09-27",603.51001,605.52002,583.830017,594.669983,1708800,593.749756
"2021-09-28",585.359985,588.590027,570.159973,576.450012,1750100,575.557922
"2021-09-29",581,585.940002,578,579.599976,1040900,578.703003
"2021-09-30",582.859985,588.710022,570.98999,571.330017,1510800,570.445923
"2021-10-01",570.570007,576.200012,552.01001,572.719971,1657600,571.833679
"2021-10-04",571.549988,574.52002,562.619995,569,1323700,568.119446
"2021-10-05",571.030029,581.929993,569.169983,571.880005,1384500,570.994995
"2021-10-06",567.5,576,565.909973,575.599976,1133500,574.70929
"2021-10-07",579.940002,589.119995,579.940002,583.51001,1027800,582.606995
"2021-10-08",585.280029,589.559998,580.400024,583.919983,851400,583.016418
"2021-10-11",581.200012,586.73999,578.460022,578.659973,676000,577.764465
"2021-10-12",582,582.98999,569.960022,575.909973,1012000,575.018799
"2021-10-13",579.049988,583.47998,570.52002,573.559998,1223100,572.672424
"2021-10-14",577.640015,584.559998,575.26001,577.349976,845700,576.456543
"2021-10-15",580.159973,583.809998,577.960022,582.390015,874700,581.48877
"2021-10-18",583.559998,590.890015,581,588.030029,1534000,587.120056
"2021-10-19",591,597.01001,589.619995,592.099976,765700,591.183716
"2021-10-20",609.780029,609.869995,600.01001,605.599976,1062100,604.662842
"2021-10-21",610.929993,612,597.570007,608.409973,959200,607.468445
"2021-10-22",608.929993,612.059998,605.049988,611.960022,738700,611.013062
"2021-10-25",612,612,602.5,607.75,951900,606.809509
"2021-10-26",609.659973,611,603.859985,608.340027,1051500,607.398621
"2021-10-27",616.799988,625.98999,609.130005,612.289978,1771100,611.342468
"2021-10-28",615,627.359985,611.48999,620.070007,1280000,619.110413
