"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"2021-10-15",102.769997,104.389999,101.650002,101.779999,2489300,100.532661
"2021-10-18",99.470001,102.68,98.800003,102.529999,2687600,101.273476
"2021-10-19",102.309998,103.470001,100.660004,103.300003,2190700,102.034042
"2021-10-20",102.889999,106.550003,101.989998,105.160004,3660500,103.871246
"2021-10-21",100.230003,102.470001,98,102.07,4479400,100.819107
"2021-10-22",102.139999,103.919998,100.800003,102.330002,3153400,101.075928
"2021-10-25",103.139999,109.989998,102.220001,109.419998,4507900,108.079041
"2021-10-26",109.75,114.07,107.160004,111.43,5641700,110.0644
"2021-10-27",109.709999,113.269997,107.610001,108.199997,3158700,106.873978
"2021-10-28",109.019997,111.220001,108.779999,109.389999,2993500,108.049408
"2021-10-29",111.25,114.889999,110.739998,111.650002,5369700,110.281708
"2021-11-01",112.870003,112.879997,106.800003,109.220001,4552500,107.881493
"2021-11-02",107.75,108.330002,106.220001,107.220001,3297300,105.906006
"2021-11-03",107.309998,110.970001,106.5,110.25,3140600,108.898865
"2021-11-04",110.279999,114.080002,110.199997,111.800003,3557100,110.429871
"2021-11-05",112.360001,115.57,111.370003,112.199997,3130900,110.824959
"2021-11-08",118.07,119.32,115.199997,116.239998,4202300,114.815453
"2021-11-09",114.269997,115.029999,111.919998,113.400002,3173400,112.010262
"2021-11-10",111.610001,114.089996,109.629997,110.360001,3212100,109.007507
"2021-11-11",112.029999,115.660004,112,113.370003,3301500,111.980629
"2021-11-12",113.239998,114.879997,112,112.239998,3011600,110.864479
"2021-11-15",111.400002,112.309998,108.519997,109.959999,3568500,108.612419
"2021-11-16",110.110001,112.889999,109.139999,111.699997,3187200,110.331093
"2021-11-17",110.959999,112.18,109.059998,109.110001,2834600,107.772835
"2021-11-18",109.300003,112.620003,109.169998,111.699997,2590400,110.331093
"2021-11-19",111.370003,114.309998,110.669998,112.849998,2879500,111.466995
"2021-11-22",113.769997,121.480003,113.769997,119.669998,5089100,118.203415
"2021-11-23",119.800003,122.059998,117.260002,119.379997,3831700,117.916969
"2021-11-24",119.400002,120.639999,115.599998,115.790001,2649300,114.370972
"2021-11-26",110.379997,115.400002,109.25,113.980003,2825900,112.583153
"2021-11-29",115.379997,117,112.010002,112.07,2854000,110.696556
"2021-11-30",111.209999,112.550003,105.830002,106.260002,6881700,104.957764
"2021-12-01",108.239998,110.779999,104.620003,104.690002,4309000,103.407005
"2021-12-02",105.440002,109.470001,105.139999,107.559998,2945000,106.241829
"2021-12-03",108.839996,112.5,108.260002,110.5,4211200,109.145798
"2021-12-06",112.129997,113.169998,110.110001,110.239998,3084800,108.888992
"2021-12-07",113.519997,115.57,112.790001,114.010002,2498700,112.612785
"2021-12-08",115.349998,115.480003,112.25,112.809998,1722700,111.42749
"2021-12-09",111.779999,113.25,109.349998,112.889999,1968200,111.506508
"2021-12-10",114.150002,114.690002,110.349998,113.209999,1890000,111.822586
"2021-12-13",114,116.559998,111.400002,115.550003,2591500,114.133911
"2021-12-14",115.480003,121.040001,114.599998,118.419998,3672500,116.968735
"2021-12-15",112.989998,114.489998,103.370003,108.220001,8675100,106.893738
"2021-12-16",111.260002,115.93,111.139999,113.900002,4963900,112.504135
"2021-12-17",113.739998,118.699997,112.410004,118,7103200,116.553886
"2021-12-20",115.540001,116.730003,110.150002,111.129997,3248700,109.768082
"2021-12-21",112.230003,113.230003,110.919998,112.519997,2515100,111.141037
"2021-12-22",112.760002,114.25,112,113.639999,1095600,112.247322
"2021-12-23",113.709999,114.900002,112.639999,114.300003,1191900,112.899231
"2021-12-27",114.720001,116.980003,113.529999,116.650002,1550600,115.220428
"2021-12-28",114.290001,115.75,113.010002,114.449997,1524600,113.047386
"2021-12-29",114.900002,115.559998,113.25,114.889999,1079000,113.482002
"2021-12-30",114.660004,116.620003,113.669998,113.849998,1348400,112.946281
"2021-12-31",113.970001,114.650002,112.510002,114.150002,1298900,113.243904
"2022-01-03",114.889999,118.25,112.389999,113.040001,2243200,112.142708
"2022-01-04",114.07,117.82,112.68,117.07,2924300,116.140724
"2022-01-05",118.379997,126.669998,118.199997,122.720001,7732200,121.745872
"2022-01-06",123.599998,123.980003,116.419998,116.599998,4619400,115.674454
"2022-01-07",117.5,117.739998,113.5,114.440002,3521200,113.531601
"2022-01-10",114,115.110001,110.459999,111.860001,3050200,110.972076
"2022-01-11",110,110.910004,107.419998,110.839996,4253700,109.960167
"2022-01-12",112.790001,115.339996,111.43,114.720001,2869000,113.80938
"2022-01-13",114,116.169998,112.290001,112.720001,2325200,111.825256
"2022-01-14",111.879997,112.779999,109.440002,110.82,2428900,109.940331
"2022-01-18",108.440002,108.739998,105.379997,106.699997,3056100,105.853035
"2022-01-19",108.5,108.919998,103.620003,104.25,2742100,103.422485
"2022-01-20",103.5,106.510002,100.040001,100.339996,4079300,99.543526
"2022-01-21",98.709999,98.779999,92.889999,93.050003,5790000,92.311394
"2022-01-24",90.239998,95.910004,88.5,95.309998,6443900,94.553452
"2022-01-25",93.110001,95.419998,92.230003,94.190002,3402500,93.442345
"2022-01-26",95.510002,96.029999,91.690002,93.040001,3590200,92.301468
"2022-01-27",97.25,99.010002,95.32,96.739998,5494000,95.972092
"2022-01-28",97.900002,100.580002,96.690002,99.790001,5878600,98.997887
"2022-01-31",99.379997,102.93,99.07,101.400002,5601400,100.595108
"2022-02-01",103.410004,107.669998,103.410004,107.459999,4530900,106.607002
"2022-02-02",107.5,112.75,106.019997,111.980003,4429100,111.091133
"2022-02-03",111.410004,114.989998,110.57,112.25,3453600,111.358978
"2022-02-04",112.559998,114.339996,110.129997,111.260002,3354100,110.376839
"2022-02-07",112.82,113.57,109.199997,111.120003,2414000,110.237953
"2022-02-08",112.199997,116.849998,111.830002,115.57,4273400,114.652634
