"","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume","WEC.Adjusted"
"2021-05-12",96.660004,96.669998,94.940002,95.019997,1323000,91.575562
"2021-05-13",94.459999,96.519997,94.089996,95.839996,1005600,93.029648
"2021-05-14",96.239998,97.300003,96.010002,96.199997,754700,93.379089
"2021-05-17",96.239998,97.150002,95.650002,95.760002,901200,92.951996
"2021-05-18",95.290001,95.900002,94.660004,95.400002,1427300,92.602547
"2021-05-19",95.389999,95.580002,94.330002,94.870003,1202300,92.088097
"2021-05-20",94.889999,96.269997,94.870003,95.519997,1032200,92.719025
"2021-05-21",95.5,96.760002,95.449997,96.220001,2639000,93.398506
"2021-05-24",96.690002,97.080002,95.330002,95.360001,1643500,92.563728
"2021-05-25",95.410004,95.839996,93.75,94.209999,1628900,91.447441
"2021-05-26",94,94.360001,93.760002,93.989998,1109300,91.233887
"2021-05-27",94,94.300003,93.199997,93.349998,1759100,90.612663
"2021-05-28",93.720001,94.300003,93.510002,93.910004,1001800,91.156242
"2021-06-01",94.150002,94.339996,92.699997,92.970001,1317000,90.243805
"2021-06-02",93.25,94.260002,92.720001,93.18,1742400,90.447647
"2021-06-03",92.68,94.239998,92.559998,93.830002,1365700,91.07859
"2021-06-04",94.139999,94.360001,93.400002,93.589996,808200,90.845619
"2021-06-07",93.709999,93.889999,93.239998,93.559998,800300,90.816498
"2021-06-08",93.489998,93.75,91.160004,91.93,1309500,89.234299
"2021-06-09",92.419998,93.099998,91.989998,92.910004,864800,90.18557
"2021-06-10",92.559998,93.290001,92.43,93.129997,731000,90.399109
"2021-06-11",93.129997,93.129997,92.260002,92.900002,639400,90.175858
"2021-06-14",92.739998,92.970001,92.07,92.690002,971100,89.972015
"2021-06-15",92.769997,93.620003,92.339996,93.099998,1139900,90.370003
"2021-06-16",93.589996,93.599998,91.879997,91.93,1194200,89.234299
"2021-06-17",91.57,92.699997,91.330002,92.379997,1033100,89.671104
"2021-06-18",91.980003,91.980003,89.209999,89.43,2003200,86.80761
"2021-06-21",89.790001,90.919998,89.279999,90.669998,1422900,88.011253
"2021-06-22",90.660004,91.139999,90.110001,90.169998,1814600,87.525917
"2021-06-23",90.230003,90.230003,88.910004,88.970001,1074800,86.361092
"2021-06-24",89.080002,89.529999,88.639999,89.080002,699600,86.467873
"2021-06-25",89.080002,90.150002,88.839996,90.099998,1064400,87.457962
"2021-06-28",90.199997,91.580002,90.059998,90.959999,1298700,88.29274
"2021-06-29",90.449997,91.059998,88.809998,89.019997,1202700,86.40963
"2021-06-30",89.050003,89.209999,88.43,88.949997,1500400,86.341682
"2021-07-01",89.080002,90.5,88.519997,90.190002,1135300,87.545334
"2021-07-02",90.260002,90.349998,89.669998,90.019997,1145500,87.380302
"2021-07-06",90,90.709999,88.599998,90.699997,891500,88.040375
"2021-07-07",90.599998,91.900002,89.970001,91.790001,1057300,89.098404
"2021-07-08",91.760002,92.849998,91.559998,92.209999,1245600,89.506096
"2021-07-09",92.32,92.599998,91.139999,91.839996,1224300,89.146935
"2021-07-12",91.669998,92.68,91.419998,92.370003,676600,89.6614
"2021-07-13",92.459999,92.849998,91.419998,91.889999,744300,89.195473
"2021-07-14",91.889999,93.669998,91.489998,93.150002,862300,90.418526
"2021-07-15",92.949997,94.860001,92.949997,94.75,1189200,91.971603
"2021-07-16",94.870003,96,94.480003,95.440002,1216500,92.64138
"2021-07-19",95.379997,96.720001,93.089996,94.230003,1780300,91.466866
"2021-07-20",94,95.669998,93.360001,93.82,1165200,91.068886
"2021-07-21",93.800003,93.860001,92.059998,92.099998,898900,89.399315
"2021-07-22",92.110001,92.82,91.93,92.470001,801200,89.758469
"2021-07-23",92.739998,94.120003,92.510002,94.029999,565400,91.272713
"2021-07-26",93.82,94.519997,93.169998,94.160004,1109500,91.398918
"2021-07-27",94.339996,96.660004,93.839996,96.5,1294300,93.670288
"2021-07-28",96.25,96.25,93.800003,94.440002,1425200,91.6707
"2021-07-29",94.660004,94.879997,93.849998,94.580002,832300,91.806602
"2021-07-30",94.669998,95.349998,93.940002,94.139999,1177100,91.379494
"2021-08-02",94.080002,95.290001,93.910004,94.699997,1385800,91.923073
"2021-08-03",94.5,97.080002,94.330002,95.610001,1236200,92.806389
"2021-08-04",95.300003,95.910004,94.029999,95.830002,1243500,93.019943
"2021-08-05",95.93,96.540001,95.150002,96.480003,743600,93.650887
"2021-08-06",96.419998,96.900002,95.739998,96.309998,781900,93.485855
"2021-08-09",96.169998,96.599998,95.559998,96.330002,835700,93.50528
"2021-08-10",96.470001,96.470001,95.599998,96.099998,566400,93.282028
"2021-08-11",96.32,97.059998,96.18,96.410004,597000,93.582939
"2021-08-12",95.900002,96.389999,95.57,95.599998,455900,93.453896
"2021-08-13",95.57,96.449997,95.529999,96.209999,502400,94.050201
"2021-08-16",96.400002,97.389999,96,97.18,1059100,94.998428
"2021-08-17",97.129997,97.75,96.440002,97.360001,1194400,95.174377
"2021-08-18",97.349998,97.349998,95.82,96.459999,1192500,94.294594
"2021-08-19",96.779999,97.739998,96.550003,96.970001,888400,94.793144
"2021-08-20",96.82,98.040001,96.300003,97.589996,922700,95.399216
"2021-08-23",97.550003,97.550003,95.669998,95.790001,1133600,93.639633
"2021-08-24",95.589996,95.650002,94.050003,94.449997,778500,92.329704
"2021-08-25",94.25,94.949997,93.809998,94.660004,1004900,92.535004
"2021-08-26",94.599998,94.839996,94,94.379997,785100,92.261284
"2021-08-27",94.510002,94.629997,93.949997,94.410004,691900,92.290611
"2021-08-30",94.290001,95.269997,94.169998,95.019997,568700,92.886909
"2021-08-31",94.75,95.400002,94.010002,94.480003,1032800,92.359039
"2021-09-01",94.82,96.239998,94.290001,95.900002,1026600,93.747162
"2021-09-02",96.059998,96.809998,96,96.800003,978400,94.626953
"2021-09-03",96.809998,96.949997,95.860001,96.080002,708900,93.923119
"2021-09-07",95.940002,96.160004,94.010002,94.059998,966500,91.948463
"2021-09-08",94.139999,96.580002,93.900002,96.419998,795400,94.255486
"2021-09-09",96.360001,96.519997,95.559998,95.989998,904700,93.835136
"2021-09-10",95.889999,95.889999,94.540001,94.889999,915200,92.759827
"2021-09-13",95.650002,95.650002,93.589996,93.68,790700,91.576996
"2021-09-14",93.739998,94.389999,93.269997,93.419998,846700,91.32283
"2021-09-15",93.260002,93.660004,91.629997,92.019997,1214500,89.954262
"2021-09-16",92.089996,92.690002,91.169998,91.580002,1281300,89.524139
"2021-09-17",91.029999,91.760002,90.669998,90.75,2301200,88.712769
"2021-09-20",90.760002,91.910004,90.099998,90.989998,1057000,88.94738
"2021-09-21",91.199997,92.07,90.900002,91.379997,1232200,89.328629
"2021-09-22",91.559998,91.809998,90.589996,91.230003,893900,89.181992
"2021-09-23",91.43,91.870003,90.029999,90.279999,1226800,88.253311
"2021-09-24",90.339996,91.260002,89.940002,90,1005600,87.979607
"2021-09-27",90,90.839996,88.220001,88.330002,830600,86.347099
"2021-09-28",88.349998,88.470001,86.959999,87.769997,1217000,85.799667
"2021-09-29",87.68,89.580002,87.510002,89.010002,944300,87.011841
"2021-09-30",89.050003,89.18,87.879997,88.199997,1203900,86.220016
"2021-10-01",88.75,88.900002,87.470001,87.620003,1110500,85.653038
"2021-10-04",87.389999,89.709999,87.370003,89.370003,1340900,87.363754
"2021-10-05",89.199997,89.379997,88.43,88.889999,940500,86.894531
"2021-10-06",88.910004,90.639999,88.309998,90.580002,798600,88.546585
"2021-10-07",90.669998,91.449997,89.519997,89.720001,679600,87.705887
"2021-10-08",89.610001,89.739998,88.650002,88.809998,674000,86.816322
"2021-10-11",88.540001,88.790001,87.169998,87.330002,879400,85.369545
"2021-10-12",87.330002,87.940002,87.18,87.82,918100,85.848549
"2021-10-13",87.82,89.010002,87.089996,88.980003,1049100,86.982513
"2021-10-14",89.370003,90.410004,89.290001,89.900002,1027700,87.881859
"2021-10-15",90.25,90.57,89.489998,90.07,1273400,88.048035
"2021-10-18",89.25,89.690002,88.470001,88.839996,872300,86.845642
"2021-10-19",89.910004,90.019997,89.160004,89.860001,961800,87.842751
"2021-10-20",90,91.739998,90,91.059998,782200,89.015808
"2021-10-21",91.459999,91.57,90.919998,91.209999,621800,89.162445
"2021-10-22",91.510002,91.980003,91.209999,91.660004,500700,89.602341
"2021-10-25",91.379997,91.400002,90.230003,90.379997,681500,88.351074
"2021-10-26",90.550003,91.629997,90.169998,90.75,776200,88.712769
"2021-10-27",91.300003,91.339996,89.82,89.970001,679900,87.950287
"2021-10-28",89.860001,90.550003,89.540001,90.510002,806600,88.478157
"2021-10-29",90.510002,91.290001,89.610001,90.059998,1157300,88.038261
"2021-11-01",89.970001,90.480003,89.290001,90.339996,970600,88.311974
"2021-11-02",90.690002,91.480003,89.970001,90.889999,1489800,88.849632
"2021-11-03",90.889999,91.940002,88.739998,89.870003,1030500,87.852531
"2021-11-04",89.959999,90.239998,88.720001,89.720001,1365700,87.705887
"2021-11-05",89.800003,91.150002,89.739998,90.870003,827300,88.83007
"2021-11-08",90.870003,90.870003,88.699997,88.949997,1741000,86.953178
"2021-11-09",89.379997,90.410004,89.010002,89.790001,998700,87.774323
"2021-11-10",89.480003,90.669998,89.239998,90.639999,797000,89.279381
