"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2021-10-07",214.550003,215.449997,211.300003,211.880005,2655200,208.612671
"2021-10-08",215.169998,216.720001,214.470001,216.479996,3352100,213.141724
"2021-10-11",216.860001,218.070007,214.869995,214.910004,2312000,211.595947
"2021-10-12",214.649994,215.360001,213,213.410004,1975500,210.119064
"2021-10-13",213.759995,216.580002,213.25,215.850006,2206100,212.521454
"2021-10-14",217.779999,221.589996,217.509995,221.339996,2559400,217.926788
"2021-10-15",222.940002,225.699997,221.940002,225.160004,2747400,221.687881
"2021-10-18",224,226.550003,222.899994,225.929993,2287000,222.445999
"2021-10-19",227.300003,227.490005,224.869995,225.759995,1933300,222.27861
"2021-10-20",226.149994,228.410004,224.220001,228.009995,3454200,224.493927
"2021-10-21",229.5,232.089996,226.940002,231.279999,3361500,227.713501
"2021-10-22",233.100006,239.649994,232.460007,237.589996,3809000,233.926193
"2021-10-25",238.300003,241.179993,237.179993,240.279999,3158000,236.574722
"2021-10-26",241.910004,243.910004,239.770004,240.720001,2409700,237.007935
"2021-10-27",240.559998,243.270004,239.320007,239.380005,2886300,235.688599
"2021-10-28",240.350006,242.440002,240.100006,242.300003,1998200,238.563568
"2021-10-29",240.419998,242.889999,239.399994,241.399994,2387000,237.677444
"2021-11-01",242.160004,242.270004,237.649994,239.460007,2547300,235.767365
"2021-11-02",240.279999,242.440002,238.740005,240.440002,1933200,236.732254
"2021-11-03",239.820007,240.800003,237.039993,239.460007,2535600,235.767365
"2021-11-04",239.759995,239.889999,236,237.199997,3007800,233.542206
"2021-11-05",239,240.279999,237.949997,238.830002,2313900,235.147064
"2021-11-08",240,240,237.589996,239.449997,1612900,235.757507
"2021-11-09",239.020004,241.100006,238.360001,241,1778800,237.283615
"2021-11-10",241.630005,242.5,240.470001,241.539993,1613800,237.815277
"2021-11-11",241,241.130005,239.009995,240.559998,1443600,236.850403
"2021-11-12",241.009995,244.039993,239.860001,242.440002,1803800,238.701416
"2021-11-15",242.520004,243.029999,240.869995,241.460007,1633800,237.736526
"2021-11-16",242.009995,244.339996,240.979996,241.479996,1986100,237.75621
"2021-11-17",241.360001,241.960007,238.679993,239.75,3023200,236.052902
"2021-11-18",239.539993,241.529999,238.029999,240.240005,2754200,236.535355
"2021-11-19",241.190002,243,238.229996,241.309998,2589000,237.588837
"2021-11-22",241.699997,247.119995,240.820007,243.910004,2381400,240.148758
"2021-11-23",243.380005,247.759995,242.770004,247.369995,3004500,243.555389
"2021-11-24",246.630005,247.149994,245.220001,246.600006,2145700,242.797272
"2021-11-26",240.380005,241.679993,237.660004,239.789993,2566700,236.09227
