"","FTNT.Open","FTNT.High","FTNT.Low","FTNT.Close","FTNT.Volume","FTNT.Adjusted"
"2021-05-10",42.200001,42.256001,40.848,40.858002,4217500,40.858002
"2021-05-11",39.990002,41.411999,39.782001,41.301998,4089000,41.301998
"2021-05-12",40.692001,40.807999,39.192001,39.405998,5706500,39.405998
"2021-05-13",40,40.251999,39.633999,39.678001,7267500,39.678001
"2021-05-14",39.939999,41.278,39.801998,41.172001,6061000,41.172001
"2021-05-17",40.736,41.299999,40.301998,40.868,4222000,40.868
"2021-05-18",40.848,41.596001,40.784,40.849998,4658000,40.849998
"2021-05-19",40.208,41.560001,40.054001,41.52,4393000,41.52
"2021-05-20",41.658001,42.638,41.658001,42.464001,4341500,42.464001
"2021-05-21",42.641998,43.034,42.023998,42.166,4089500,42.166
"2021-05-24",42.306,42.962002,42.306,42.613998,4247000,42.613998
"2021-05-25",42.834,43.282001,42.740002,42.914001,3583500,42.914001
"2021-05-26",43.158001,43.736,42.826,43.141998,4490500,43.141998
"2021-05-27",43.133999,43.655998,42.622002,43.268002,7908000,43.268002
"2021-05-28",43.307999,44.200001,43.231998,43.708,4149500,43.708
"2021-06-01",44.023998,44.076,42.726002,42.998001,3630000,42.998001
"2021-06-02",42.978001,43.330002,42.776001,43.273998,3329000,43.273998
"2021-06-03",43,43.470001,42.334,43.076,2832000,43.076
"2021-06-04",43.48,44.470001,43.48,44.352001,3142500,44.352001
"2021-06-07",44.431999,44.762001,44.012001,44.708,2838000,44.708
"2021-06-08",44.759998,45.556,44.745998,45.472,4280000,45.472
"2021-06-09",45.585999,45.698002,44.806,45.104,2932500,45.104
"2021-06-10",45.068001,45.903999,44.880001,45.790001,3870500,45.790001
"2021-06-11",45.602001,45.877998,45.444,45.787998,3273000,45.787998
"2021-06-14",45.818001,46.299999,45.602001,46.292,3283500,46.292
"2021-06-15",46.209999,46.341999,45.799999,46.012001,3165500,46.012001
"2021-06-16",46.056,46.515999,45.422001,46.054001,3501000,46.054001
"2021-06-17",45.916,47.534,45.82,47.396,5871500,47.396
"2021-06-18",47.400002,47.796001,46.689999,46.731998,9358500,46.731998
"2021-06-21",47.152,47.993999,46.736,47.584,4077500,47.584
"2021-06-22",47.599998,48.411999,47.596001,48.380001,4143000,48.380001
