"","BK.Open","BK.High","BK.Low","BK.Close","BK.Volume","BK.Adjusted"
"2021-05-21",50.799999,51.759998,50.720001,51.560001,3669100,49.794464
"2021-05-24",51.610001,51.860001,51.470001,51.740002,2663700,49.968304
"2021-05-25",51.77,52.25,51,51.119999,3035100,49.369526
"2021-05-26",51.41,51.709999,50.98,51.560001,3766400,49.794464
"2021-05-27",52.209999,52.689999,51.82,52.099998,6573400,50.315971
"2021-05-28",52.18,52.220001,51.650002,52.080002,3404400,50.296661
"2021-06-01",52.810001,52.900002,52.040001,52.299999,3181700,50.509125
"2021-06-02",52.23,52.43,51.740002,52.119999,3302300,50.335285
"2021-06-03",52.049999,52.48,51.73,52.200001,2788700,50.412544
"2021-06-04",52.18,52.25,51.639999,52.209999,2204700,50.422207
"2021-06-07",52.330002,52.330002,51.77,51.82,2285800,50.045559
"2021-06-08",51.41,51.639999,50.849998,51.419998,2803300,49.659256
"2021-06-09",51.080002,51.080002,50.549999,50.619999,2910400,48.88665
"2021-06-10",51.040001,51.25,49.84,49.869999,3189400,48.162331
"2021-06-11",49.959999,50.450001,49.900002,50.41,3569000,48.683842
"2021-06-14",50.150002,50.509998,48.830002,49.639999,5997200,47.940208
"2021-06-15",49.790001,50.57,49.650002,50.450001,3687800,48.722469
"2021-06-16",50.34,51.950001,49.639999,51.23,9781300,49.475758
"2021-06-17",51.830002,51.849998,49.16,49.48,7323000,47.785686
"2021-06-18",48.869999,48.950001,48.040001,48.220001,11516800,46.568832
"2021-06-21",48.610001,49.73,48.509998,49.66,4172300,47.959526
"2021-06-22",49.689999,49.740002,49.040001,49.439999,3888600,47.747059
"2021-06-23",49.57,49.869999,49.349998,49.369999,4596400,47.679451
"2021-06-24",49.610001,50.450001,49.380001,50.25,3682000,48.52932
"2021-06-25",50.41,51.139999,50.279999,50.990002,4168300,49.243977
"2021-06-28",50.799999,50.91,50.16,50.860001,2792100,49.118427
"2021-06-29",51.25,51.68,50.869999,51.02,3920500,49.272953
"2021-06-30",50.720001,51.380001,50.549999,51.23,5501600,49.475758
"2021-07-01",51.560001,51.740002,51.16,51.43,2867300,49.668915
"2021-07-02",51.400002,51.529999,50.990002,51.240002,3068000,49.485424
