"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2021-04-12",230.300003,231.300003,228.929993,230.929993,1688200,223.671921
"2021-04-13",233.410004,233.5,228.050003,229.350006,2286400,222.141602
"2021-04-14",229.600006,234.220001,229.550003,232.580002,2491000,225.270081
"2021-04-15",233.149994,233.440002,230.740005,232.520004,1860200,225.211975
"2021-04-16",234.619995,235.940002,232.270004,233.360001,2128400,226.025574
"2021-04-19",232.899994,233.100006,229.910004,232.389999,1712600,225.086044
"2021-04-20",230.899994,231.300003,225.600006,227.630005,2815800,220.475677
"2021-04-21",227.320007,232.610001,226.020004,232.460007,1977700,225.15387
"2021-04-22",233.25,233.429993,228.770004,228.889999,2410700,221.696045
"2021-04-23",229.360001,231.649994,227.880005,230.110001,3458300,223.885193
"2021-04-26",230.570007,232.850006,229.960007,230.559998,1864800,224.323013
"2021-04-27",230.289993,230.860001,228.080002,230.339996,1959300,224.108963
"2021-04-28",230.050003,233.720001,229.380005,232.300003,2965300,226.015945
"2021-04-29",235,235.199997,223.199997,227.470001,5442400,221.316605
"2021-04-30",225.520004,228.389999,224.880005,228.110001,3953500,221.939285
"2021-05-03",230,230.929993,227.210007,228.169998,3182900,221.99765
"2021-05-04",227,234,225.350006,233.410004,4040700,227.095917
"2021-05-05",234.619995,239.330002,231.850006,237.880005,3690600,231.444992
"2021-05-06",238,240.979996,236,237.070007,4527000,230.656921
"2021-05-07",235.639999,241.889999,233.160004,240.990005,3327900,234.470871
"2021-05-10",243.5,245.779999,242.589996,242.610001,3752900,236.047043
"2021-05-11",238.779999,242.990005,236.539993,239.300003,3163100,232.826584
"2021-05-12",241.270004,243.229996,236.440002,237.320007,3668500,230.900162
"2021-05-13",236.039993,240.990005,234.570007,240.070007,2228100,233.57576
"2021-05-14",242,243.350006,240.080002,242.229996,2041600,235.677307
"2021-05-17",242.740005,245.449997,241.119995,244.789993,1998400,238.16806
"2021-05-18",244.789993,245.539993,239.410004,239.470001,2436200,232.991989
"2021-05-19",236.100006,237.080002,231.940002,236.869995,3143100,230.462311
"2021-05-20",237.479996,237.600006,232.589996,234.990005,3339200,228.633179
"2021-05-21",236.600006,239.399994,235.009995,237.240005,2479100,230.822327
"2021-05-24",237.690002,239.710007,236.220001,239.050003,2372700,232.583344
"2021-05-25",239.509995,241.889999,236.740005,237.169998,2265700,230.754196
"2021-05-26",237.410004,239.5,236.619995,237.710007,2070000,231.279587
"2021-05-27",241.5,243.369995,238.929993,241.279999,3594700,234.753006
"2021-05-28",241.910004,242.259995,238.789993,241.080002,2290700,234.558441
"2021-06-01",244.009995,244.929993,241.809998,242.759995,2476000,236.192993
"2021-06-02",243.070007,245.100006,240.699997,243.460007,2348500,236.874054
"2021-06-03",242.429993,246.440002,240.869995,243.839996,1923200,237.243774
"2021-06-04",245.119995,246.690002,242.320007,244.020004,1837900,237.418915
"2021-06-07",244.050003,244.330002,238.619995,239.759995,2330700,233.274124
"2021-06-08",239.399994,241.210007,236.059998,240.160004,2212300,233.663315
"2021-06-09",239,239.190002,234.449997,234.649994,2919600,228.302383
"2021-06-10",236.139999,236.649994,225.580002,225.729996,6281800,219.623672
"2021-06-11",226.300003,227.919998,220.029999,220.699997,8734900,214.729752
"2021-06-14",220.070007,221.970001,215.600006,219.009995,7213300,213.08548
