"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2021-04-29",67.970001,68.480003,65.860001,66.650002,4174800,64.876617
"2021-04-30",66.629997,66.940002,65.43,65.959999,4108600,64.204979
"2021-05-03",66.470001,66.739998,65.57,66.050003,2230500,64.292587
"2021-05-04",66.220001,67.059998,65.68,66.809998,2277700,65.032364
"2021-05-05",66.68,66.959999,65.440002,66.699997,2851700,64.925285
"2021-05-06",66.650002,67.139999,66.370003,66.889999,2252000,65.110229
"2021-05-07",65.870003,67.029999,65.720001,66.650002,3313900,64.876617
"2021-05-10",66.860001,67.25,65.800003,65.889999,1980800,64.136833
"2021-05-11",65.5,65.559998,63.779999,63.990002,3331000,62.287395
"2021-05-12",64.660004,64.660004,63.23,63.380001,2137900,61.69363
"2021-05-13",63.400002,65.080002,63.220001,64.82,2364000,63.09531
"2021-05-14",65,66.300003,64.970001,66.07,1678500,64.31205
"2021-05-17",66.059998,66.949997,65.620003,66.150002,3362000,64.389931
"2021-05-18",66.169998,66.660004,65.419998,65.43,2924400,63.689083
"2021-05-19",64.739998,66.050003,64.160004,65.93,2516600,64.175774
"2021-05-20",66.089996,66.220001,65.449997,65.68,1699000,63.93243
"2021-05-21",65.970001,66.739998,65.209999,65.410004,3061300,63.669613
"2021-05-24",65.660004,66.220001,65.110001,65.239998,2976100,63.504131
"2021-05-25",65.230003,65.790001,64.529999,64.580002,3003200,62.861702
"2021-05-26",65.019997,65.410004,64.540001,64.940002,1940600,63.212128
"2021-05-27",65.610001,65.980003,65.169998,65.760002,3836800,64.010307
"2021-05-28",65.480003,65.790001,64.870003,65.349998,2377200,63.951576
"2021-06-01",66,66.400002,65.199997,65.489998,1604600,64.088585
"2021-06-02",65.650002,65.849998,65.309998,65.510002,1168700,64.108162
"2021-06-03",65.25,65.870003,64.980003,65.620003,1011000,64.215813
"2021-06-04",65.639999,65.839996,64.970001,65.790001,1555500,64.382172
"2021-06-07",65.879997,65.959999,64.980003,65.169998,1221900,63.775433
"2021-06-08",64.900002,66.120003,64.769997,65.889999,1846700,64.480026
"2021-06-09",65.669998,66.32,65.07,66,2658400,64.587677
"2021-06-10",66.75,66.910004,64.860001,64.879997,1712700,63.491642
"2021-06-11",65.029999,65.440002,64.879997,65.120003,1207600,63.726505
"2021-06-14",65,65.239998,64.529999,64.709999,1641600,63.325283
"2021-06-15",64.75,65.419998,64.470001,64.769997,1654900,63.383995
"2021-06-16",64.440002,65.089996,64.220001,64.599998,1440000,63.217628
"2021-06-17",64.739998,64.739998,62.73,62.860001,2505700,61.514866
"2021-06-18",61.860001,62.380001,60.77,60.849998,3300400,59.547878
"2021-06-21",61.290001,62.169998,60.869999,62.150002,2513800,60.820061
"2021-06-22",62.189999,62.279999,61.439999,61.869999,2180000,60.546051
"2021-06-23",61.900002,62.470001,61.439999,61.82,1834600,60.497124
"2021-06-24",61.919998,62.34,61.459999,62.209999,1208300,60.878777
"2021-06-25",62.599998,63.610001,62.27,63.419998,1573800,62.062881
"2021-06-28",63.299999,63.299999,61.66,62.240002,2697800,60.908138
"2021-06-29",62.669998,63.119999,61.650002,62.080002,2460600,60.751556
"2021-06-30",61.709999,62.34,61.439999,61.970001,2085800,60.643909
"2021-07-01",62.41,63.18,62.169998,62.689999,991600,61.348503
"2021-07-02",62.720001,62.919998,61.98,62.16,1469000,60.829845
"2021-07-06",61.740002,61.759998,60.439999,61.23,1402300,59.91975
"2021-07-07",60.73,61.889999,60.580002,61.860001,1280700,60.536266
"2021-07-08",61.130001,61.279999,59.860001,60.09,2465500,58.804138
"2021-07-09",61.23,61.790001,60.849998,61.580002,1353900,60.26226
"2021-07-12",61.389999,63.75,60.970001,63.310001,2210500,61.955242
"2021-07-13",63.259998,63.299999,62.529999,62.599998,1542100,61.260426
"2021-07-14",62.48,63.200001,62.169998,62.77,1109800,61.426792
"2021-07-15",61.93,63.48,61.93,63.27,1369100,61.916092
"2021-07-16",63.630001,63.689999,62.98,63.32,1263800,61.965023
"2021-07-19",62,62.360001,60.82,61.380001,1595600,60.066544
"2021-07-20",61.509998,63.169998,61.209999,62.330002,1616200,60.996212
"2021-07-21",62.98,63.599998,62.450001,62.610001,1051000,61.270218
"2021-07-22",62.400002,62.610001,61.549999,61.580002,1565900,60.26226
"2021-07-23",61.700001,62.27,61.209999,61.400002,1395100,60.086109
"2021-07-26",61.43,62.099998,61.220001,61.93,1318400,60.604767
"2021-07-27",61.18,62.27,60.919998,61.900002,1018000,60.575413
"2021-07-28",62.259998,62.560001,60.310001,60.860001,1478800,59.557667
"2021-07-29",61.869999,63.529999,61.150002,63.209999,2534100,61.857376
"2021-07-30",63.5,65.050003,63.259998,63.619999,2265200,62.258602
"2021-08-02",64.139999,65.300003,63.810001,64.419998,1660400,63.041485
"2021-08-03",64.900002,65.260002,63.950001,65.209999,1479100,63.814579
"2021-08-04",64.669998,65.5,64.449997,64.489998,1671100,63.109985
"2021-08-05",65.120003,65.68,64.550003,65.410004,1385500,64.010307
"2021-08-06",66.209999,66.93,65.870003,66.400002,1201000,64.979111
"2021-08-09",66.230003,67.150002,65.989998,66.730003,1456600,65.302055
"2021-08-10",66.489998,67.699997,66.440002,66.839996,1962400,65.409698
"2021-08-11",66.879997,67.940002,66.510002,67.529999,1428800,66.084923
"2021-08-12",67.879997,68.230003,67.480003,67.989998,2275200,66.53508
"2021-08-13",68.029999,68.349998,67.639999,68.040001,1096300,66.584023
