"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2021-04-21",181.149994,182.770004,179.309998,180.160004,1440900,177.074112
"2021-04-22",185.919998,191.539993,184.470001,188.110001,2499900,184.887939
"2021-04-23",187.020004,190.289993,185.399994,189.380005,993800,186.136185
"2021-04-26",189.350006,191.520004,187.020004,190.949997,944800,187.679276
"2021-04-27",191.679993,192.839996,188.820007,190.5,971600,187.237
"2021-04-28",190.630005,192.240005,188.119995,188.600006,695900,185.369537
"2021-04-29",189.809998,190.910004,187.410004,190.5,660700,187.237
"2021-04-30",188.889999,191,186.5,188.600006,883200,185.369537
"2021-05-03",190.970001,193.5,189.100006,192.839996,817100,189.536911
"2021-05-04",190.570007,194.600006,188.940002,194.380005,1291900,191.050552
"2021-05-05",194.229996,195.559998,192.020004,194.610001,918100,191.276596
"2021-05-06",195,196.100006,193.410004,194.889999,877600,191.551773
"2021-05-07",195.600006,196.119995,193.850006,195.460007,638200,192.112015
"2021-05-10",196.960007,200.75,195.449997,195.699997,854700,192.347931
"2021-05-11",194.630005,195.080002,188.509995,191.259995,1254100,187.983963
"2021-05-12",189.160004,190.479996,181.729996,182.410004,1267000,179.285568
"2021-05-13",182.699997,186.949997,182.699997,186.539993,1096000,183.344818
"2021-05-14",186.559998,188.360001,184.949997,187.880005,728800,184.661865
"2021-05-17",188.460007,189.089996,185.470001,186.389999,656600,183.197403
"2021-05-18",187.610001,187.610001,183.259995,184.960007,779500,181.79187
"2021-05-19",182.619995,182.729996,176.570007,180.539993,1452000,177.447571
"2021-05-20",180.869995,184.410004,180.220001,183.899994,978100,180.750046
"2021-05-21",183,185.210007,182.850006,183.339996,1544800,180.710602
"2021-05-24",184.75,184.789993,181.619995,181.779999,791200,179.172989
"2021-05-25",181.830002,183.199997,180.080002,180.399994,931900,177.812759
"2021-05-26",180.330002,183.360001,179.639999,183.020004,916400,180.395218
"2021-05-27",183.820007,185.25,182.330002,182.770004,1106800,180.148788
"2021-05-28",184.350006,185,181.020004,181.699997,809200,179.094131
"2021-06-01",182.559998,182.880005,179.550003,181.860001,894500,179.251846
"2021-06-02",181.839996,181.839996,178.240005,181.149994,1273100,178.552017
"2021-06-03",180.470001,180.5,175.699997,177.960007,1384300,175.407776
"2021-06-04",178.809998,181.300003,177.380005,181.059998,750400,178.463318
"2021-06-07",181.130005,182.479996,179.550003,181.199997,713900,178.601303
"2021-06-08",181.740005,182,180.509995,181.429993,954400,178.828003
"2021-06-09",182.300003,182.979996,180.380005,181.039993,698000,178.443588
"2021-06-10",181.570007,182.470001,179.710007,179.839996,750100,177.260818
"2021-06-11",180.389999,184.320007,179.869995,184.190002,650900,181.548431
"2021-06-14",183.850006,184.229996,181.419998,183.149994,896700,180.523331
"2021-06-15",182.75,182.869995,176.729996,179.679993,740000,177.103088
"2021-06-16",180.619995,180.619995,176.910004,178.089996,787200,175.535904
"2021-06-17",178.190002,178.630005,172.479996,174.809998,1484200,172.302933
"2021-06-18",174.279999,174.580002,170.820007,171.279999,2184400,168.823578
"2021-06-21",172.729996,176.649994,171.75,175.369995,1081100,172.854904
"2021-06-22",176.25,180.850006,175.830002,180.429993,922700,177.842346
"2021-06-23",179.539993,180.440002,178.449997,179.479996,620000,176.90596
"2021-06-24",181.309998,181.570007,179.949997,180.960007,621500,178.364761
"2021-06-25",181.100006,181.899994,179.619995,180.289993,780100,177.704346
"2021-06-28",180.809998,183.690002,179.580002,183.449997,771300,180.819031
