"","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume","FISV.Adjusted"
"2021-03-23",121.889999,122.57,120.790001,121.290001,2907500,121.290001
"2021-03-24",121.800003,124.029999,121.720001,123.25,3551900,123.25
"2021-03-25",122.529999,123.389999,120.699997,122.949997,3485100,122.949997
"2021-03-26",123.160004,124.209999,122.260002,123.610001,4135000,123.610001
"2021-03-29",122.440002,122.760002,119.050003,121.489998,5340000,121.489998
"2021-03-30",120.580002,121.449997,119.300003,120.760002,3511900,120.760002
"2021-03-31",120.300003,120.739998,118.540001,119.040001,5063800,119.040001
"2021-04-01",120,122.690002,119.629997,122.169998,4114400,122.169998
"2021-04-05",122.290001,123.790001,121.639999,122.870003,3575400,122.870003
"2021-04-06",122.660004,123.870003,121.279999,123.690002,2990000,123.690002
"2021-04-07",123.529999,124.040001,122.699997,123.120003,3133600,123.120003
"2021-04-08",123.540001,124.400002,123.190002,124.150002,2952300,124.150002
"2021-04-09",123.510002,124.68,123.150002,124.290001,3649200,124.290001
"2021-04-12",124.290001,124.639999,123.660004,124.129997,2670400,124.129997
"2021-04-13",124.040001,124.699997,123.07,124.5,3370100,124.5
"2021-04-14",124.790001,125.050003,123.510002,123.849998,2412500,123.849998
"2021-04-15",124.660004,126.300003,124.389999,125.529999,3054500,125.529999
"2021-04-16",125.349998,126.029999,124.879997,125.089996,5110900,125.089996
"2021-04-19",125.089996,125.660004,124.339996,125.129997,3175600,125.129997
"2021-04-20",124.5,125.480003,124.029999,124.559998,3715400,124.559998
"2021-04-21",125.870003,125.870003,124.139999,124.82,3909800,124.82
"2021-04-22",124.419998,125.230003,123.790001,124.629997,3504000,124.629997
"2021-04-23",124.300003,126.519997,123.580002,126.019997,3887700,126.019997
"2021-04-26",126.040001,127.339996,125.870003,126.550003,4584100,126.550003
"2021-04-27",124.849998,125.459999,121.230003,121.660004,9036900,121.660004
"2021-04-28",122.139999,124.07,121.940002,123.419998,5084400,123.419998
"2021-04-29",123.629997,123.720001,121.099998,122.260002,3581900,122.260002
"2021-04-30",118.440002,120.400002,118.080002,120.120003,14411700,120.120003
"2021-05-03",121.290001,121.790001,119.730003,120.07,10723800,120.07
"2021-05-04",119.5,119.849998,117.129997,118.040001,7520900,118.040001
"2021-05-05",118.610001,118.989998,116.440002,116.589996,3896100,116.589996
"2021-05-06",116.93,118.169998,115.629997,118.129997,4155300,118.129997
"2021-05-07",118.830002,119.07,117.129997,117.650002,3840100,117.650002
"2021-05-10",118.220001,118.709999,116.089996,116.150002,3146300,116.150002
"2021-05-11",115.139999,115.730003,113.669998,114.830002,6195700,114.830002
"2021-05-12",113.989998,114.360001,112.739998,113.040001,4974600,113.040001
"2021-05-13",113.459999,114.029999,112.410004,113.510002,4464800,113.510002
"2021-05-14",114.019997,115.57,114,114.410004,2734700,114.410004
"2021-05-17",113.449997,114.199997,112.099998,112.82,6114000,112.82
"2021-05-18",113.410004,114.529999,112.540001,113.699997,5246300,113.699997
"2021-05-19",112.040001,113.120003,111.410004,113.07,4623800,113.07
"2021-05-20",113.089996,115.510002,113.07,114.620003,4976800,114.620003
"2021-05-21",115.209999,115.559998,113.93,114.220001,2727800,114.220001
"2021-05-24",115.559998,116,114.360001,115.860001,3656700,115.860001
"2021-05-25",115.940002,116.599998,115.580002,115.709999,4594200,115.709999
"2021-05-26",115.760002,116.190002,114.699997,115.349998,4137700,115.349998
"2021-05-27",115.639999,116.260002,115.18,115.650002,7142800,115.650002
"2021-05-28",116.599998,116.720001,114.970001,115.199997,2779000,115.199997
"2021-06-01",115.949997,116.440002,114.330002,114.43,4237800,114.43
"2021-06-02",114.870003,116.209999,114.620003,114.889999,3296000,114.889999
"2021-06-03",114.150002,114.190002,112.760002,113.059998,4141300,113.059998
"2021-06-04",113.370003,113.949997,113.089996,113.400002,3412400,113.400002
"2021-06-07",112.519997,113.349998,109.32,109.660004,6852900,109.660004
"2021-06-08",110.470001,110.800003,109.669998,109.809998,4823100,109.809998
"2021-06-09",110.720001,111.650002,110,111.110001,4789300,111.110001
"2021-06-10",111,111.400002,109.050003,109.489998,7492200,109.489998
"2021-06-11",110.389999,110.5,109.830002,110.199997,3552900,110.199997
"2021-06-14",110.129997,110.199997,108.089996,109.110001,4863500,109.110001
"2021-06-15",109.379997,109.980003,108.43,109.730003,3655000,109.730003
"2021-06-16",109.849998,109.910004,107.470001,108.199997,4554900,108.199997
"2021-06-17",108.059998,110.260002,107.989998,109.050003,4220900,109.050003
"2021-06-18",108.230003,108.599998,107.419998,107.559998,4886400,107.559998
"2021-06-21",108.199997,109.360001,107.68,108.489998,3756500,108.489998
"2021-06-22",108.489998,108.599998,107.400002,108.300003,3567300,108.300003
"2021-06-23",108.300003,108.510002,107.279999,107.370003,3172600,107.370003
"2021-06-24",108.059998,109.050003,107.870003,108.5,3052300,108.5
"2021-06-25",108.440002,109.370003,108.18,108.989998,5546500,108.989998
"2021-06-28",109.25,109.480003,107.360001,108.129997,3592600,108.129997
"2021-06-29",108.080002,108.910004,106.480003,106.589996,4325600,106.589996
"2021-06-30",106.599998,107.160004,106.360001,106.889999,4234200,106.889999
"2021-07-01",107.260002,108.809998,107.110001,108.339996,3196800,108.339996
"2021-07-02",108.720001,109.540001,108.470001,109.269997,3261900,109.269997
"2021-07-06",109.18,109.489998,108.07,108.699997,3827600,108.699997
"2021-07-07",109.080002,109.68,108.809998,109.139999,3254900,109.139999
"2021-07-08",108.349998,108.449997,107.269997,107.739998,3196900,107.739998
"2021-07-09",108.57,109.480003,108.389999,108.940002,2865500,108.940002
"2021-07-12",108.239998,109.029999,107.790001,108.830002,3119000,108.830002
"2021-07-13",109.290001,110.589996,108.900002,110.089996,4127000,110.089996
"2021-07-14",110.07,110.510002,109.419998,109.739998,3672600,109.739998
"2021-07-15",109.629997,111.010002,109.5,110.800003,3616500,110.800003
"2021-07-16",111.389999,112.470001,111.160004,111.199997,3616400,111.199997
"2021-07-19",110.18,110.18,106.050003,106.660004,4818600,106.660004
"2021-07-20",106.870003,109.730003,106.730003,108.839996,4586800,108.839996
"2021-07-21",109,110.18,108.57,110.040001,2747700,110.040001
"2021-07-22",110.32,110.480003,108.959999,110.050003,3066000,110.050003
"2021-07-23",110.730003,112.160004,110.260002,111.790001,3542100,111.790001
"2021-07-26",111.309998,111.93,110.68,111.349998,3402100,111.349998
"2021-07-27",113,117,112.5,114.68,8285000,114.68
"2021-07-28",115.139999,115.529999,112.879997,113.910004,3925900,113.910004
"2021-07-29",114.330002,115.620003,114.330002,114.459999,2881900,114.459999
"2021-07-30",113.959999,115.379997,113.599998,115.110001,3441800,115.110001
"2021-08-02",115.940002,116.040001,109,109.75,7416500,109.75
"2021-08-03",110,110.519997,105.889999,108.199997,8642400,108.199997
"2021-08-04",107.610001,109.349998,106.349998,108.739998,6085600,108.739998
"2021-08-05",108.769997,110.800003,108.769997,109.639999,3642200,109.639999
"2021-08-06",109.480003,111.709999,109.220001,110.889999,4889500,110.889999
"2021-08-09",110.82,110.970001,109.940002,110.32,2355400,110.32
"2021-08-10",110.870003,111.110001,110.300003,111,2929700,111
"2021-08-11",111.599998,112.169998,110.620003,111.809998,2619300,111.809998
"2021-08-12",111.550003,111.75,110.599998,110.959999,2179400,110.959999
"2021-08-13",111.660004,112.290001,111.269997,111.620003,1986300,111.620003
"2021-08-16",110.830002,112.43,110.220001,112.339996,3150600,112.339996
"2021-08-17",111.839996,113.470001,111.419998,112.93,5038700,112.93
"2021-08-18",112.5,115.309998,112.040001,114.260002,5550800,114.260002
"2021-08-19",113.879997,119.860001,112.540001,116.25,10284300,116.25
"2021-08-20",116.370003,117.900002,115.82,116.089996,5865400,116.089996
"2021-08-23",116.809998,117.970001,116.059998,117.870003,2883200,117.870003
"2021-08-24",118.080002,119.43,117.870003,118.620003,3592500,118.620003
"2021-08-25",118.599998,119.510002,118.040001,119.110001,2368400,119.110001
"2021-08-26",118.660004,118.949997,117.370003,117.410004,2418000,117.410004
"2021-08-27",117.639999,118.330002,117.349998,117.940002,2457400,117.940002
"2021-08-30",117.400002,118.07,116,116.959999,3195800,116.959999
"2021-08-31",117.589996,118.099998,116.690002,117.790001,3431800,117.790001
"2021-09-01",117.989998,118.830002,117.580002,118.339996,3312000,118.339996
"2021-09-02",118.93,118.989998,115.510002,115.830002,3309800,115.830002
"2021-09-03",115.5,116.279999,115.160004,115.660004,2429400,115.660004
"2021-09-07",115.5,116.290001,114.870003,115,4334100,115
"2021-09-08",114.989998,117.419998,114.610001,117,4753100,117
"2021-09-09",117,117.209999,114.849998,115.010002,3125100,115.010002
"2021-09-10",115.68,115.68,110.580002,110.68,5279300,110.68
"2021-09-13",110.830002,112.169998,109.43,110.07,4352300,110.07
"2021-09-14",110.080002,110.32,106.480003,107.389999,5279500,107.389999
"2021-09-15",107.150002,109.220001,106.739998,108.360001,4744500,108.360001
"2021-09-16",108.199997,109.110001,108.029999,108.550003,3683700,108.550003
"2021-09-17",107.510002,108.790001,107.120003,108.620003,4689900,108.620003
"2021-09-20",107.400002,107.550003,105.480003,107.330002,4665600,107.330002
"2021-09-21",107.699997,107.93,105.989998,106.209999,3448900,106.209999
"2021-09-22",106.910004,109.449997,106.720001,108.690002,3602600,108.690002
"2021-09-23",108.769997,110.720001,108.230003,110.239998,3003500,110.239998
"2021-09-24",110,110.919998,109.68,109.739998,1993300,109.739998
"2021-09-27",108.739998,110.620003,108.739998,109.139999,2729800,109.139999
"2021-09-28",108.760002,109.879997,108.459999,109.330002,3653100,109.330002
"2021-09-29",109.230003,111.690002,109.080002,110.669998,3696600,110.669998
"2021-09-30",110.949997,111.519997,108.199997,108.5,3921900,108.5
"2021-10-01",109.029999,110.43,108.010002,109.779999,2177500,109.779999
"2021-10-04",109.620003,109.620003,106.769997,108.260002,3251100,108.260002
"2021-10-05",108.190002,109.220001,107.629997,108.019997,2214500,108.019997
"2021-10-06",106.980003,108.620003,106.059998,108.480003,2383800,108.480003
"2021-10-07",109.059998,110.5,108.839996,109.260002,1902300,109.260002
"2021-10-08",109.470001,110.059998,107.720001,107.889999,2404500,107.889999
"2021-10-11",107.730003,107.839996,103.610001,103.769997,3362700,103.769997
"2021-10-12",104.010002,105.68,103.379997,104.300003,2806000,104.300003
"2021-10-13",104.43,104.970001,102.68,104.339996,2759900,104.339996
"2021-10-14",105.5,108.019997,105.18,107.779999,2698600,107.779999
"2021-10-15",108.550003,110.160004,108.309998,109.800003,3309900,109.800003
"2021-10-18",108.449997,110.800003,107.790001,110.010002,2902900,110.010002
"2021-10-19",110.389999,111.309998,109.32,111.290001,2474200,111.290001
"2021-10-20",109.75,111.129997,109.610001,110.110001,2643500,110.110001
"2021-10-21",109.75,110.209999,108.860001,110.160004,2144900,110.160004
"2021-10-22",109.849998,110.629997,109.440002,110.18,2209800,110.18
"2021-10-25",110.239998,111.660004,109.690002,111.110001,3694700,111.110001
"2021-10-26",111.839996,111.839996,109.589996,109.839996,3303400,109.839996
"2021-10-27",107,107.330002,95.480003,98.830002,19436400,98.830002
"2021-10-28",98.709999,99.089996,94.389999,98.529999,13347900,98.529999
"2021-10-29",98.349998,100.32,98.18,98.489998,5108100,98.489998
"2021-11-01",98.739998,102.290001,98.330002,101.989998,5504100,101.989998
"2021-11-02",101.330002,101.589996,95.739998,99.379997,10150400,99.379997
"2021-11-03",99.620003,101.589996,99.25,101.459999,5974800,101.459999
"2021-11-04",102.220001,104.769997,100.339996,101.970001,6561700,101.970001
"2021-11-05",102.370003,103.75,99.809998,100.360001,5418000,100.360001
"2021-11-08",100.589996,100.830002,99.400002,100.019997,4592400,100.019997
"2021-11-09",99.82,100.489998,98.68,99.620003,4381300,99.620003
"2021-11-10",99.910004,101.279999,99.510002,100.25,6120400,100.25
"2021-11-11",100.199997,100.82,99.769997,99.919998,3741600,99.919998
"2021-11-12",100.190002,101.699997,100.150002,100.82,3681400,100.82
"2021-11-15",100.760002,102.379997,100.75,101.839996,3723800,101.839996
"2021-11-16",102,103.050003,101.769997,102.110001,4614900,102.110001
"2021-11-17",101.410004,101.589996,98.209999,100.879997,8019300,100.879997
"2021-11-18",100.769997,101.459999,98.739998,101.25,6308500,101.25
"2021-11-19",101.279999,101.669998,99.68,100.059998,6572600,100.059998
"2021-11-22",99.900002,99.970001,95.43,95.709999,8246500,95.709999
"2021-11-23",94.989998,96.529999,92.059998,96.110001,6470100,96.110001
"2021-11-24",96.760002,99.610001,96.580002,99.309998,4072200,99.309998
"2021-11-26",97.209999,99.470001,96.82,98.25,3720900,98.25
"2021-11-29",99.029999,99.410004,95.769997,97.470001,4637100,97.470001
"2021-11-30",97.309998,98,94.800003,96.519997,7419700,96.519997
"2021-12-01",97.910004,98.580002,95.5,95.550003,4568700,95.550003
"2021-12-02",96.169998,100.379997,96.019997,99.860001,5064700,99.860001
"2021-12-03",100.309998,101.470001,98.790001,100.5,5774900,100.5
"2021-12-06",100.970001,104.129997,100.830002,103.129997,4516000,103.129997
"2021-12-07",103.339996,105.260002,102.669998,103.129997,4240700,103.129997
"2021-12-08",102.959999,104.489998,102.720001,103.949997,3673000,103.949997
"2021-12-09",103.220001,104.809998,102.900002,103.529999,3070500,103.529999
"2021-12-10",101.949997,103.980003,101.93,103.190002,3673500,103.190002
"2021-12-13",103.010002,104.93,102.900002,104.290001,3920600,104.290001
"2021-12-14",103.449997,105.639999,102.970001,104.230003,3835000,104.230003
"2021-12-15",103.18,104.410004,102.32,103.660004,4264800,103.660004
"2021-12-16",104.900002,106.199997,104.199997,104.82,4568700,104.82
"2021-12-17",104.269997,105.169998,102.510002,103.650002,6886500,103.650002
"2021-12-20",101.760002,101.830002,99.660004,100.519997,3880100,100.519997
"2021-12-21",100.510002,105.300003,100.370003,105.260002,3691700,105.260002
"2021-12-22",105.43,106.419998,105.07,106.190002,2666600,106.190002
"2021-12-23",105.519997,106.220001,105.019997,105.540001,2127400,105.540001
"2021-12-27",105.290001,105.290001,102.75,103.940002,2984700,103.940002
"2021-12-28",104,105.419998,103.110001,104.699997,2240500,104.699997
"2021-12-29",104.279999,104.620003,103.550003,104.269997,1641300,104.269997
"2021-12-30",104.389999,105.440002,104.040001,104.519997,1918800,104.519997
"2021-12-31",104.230003,104.910004,103.480003,103.790001,2351100,103.790001
"2022-01-03",103.860001,107.849998,103.529999,107.620003,4911800,107.620003
"2022-01-04",107.32,110.239998,107.290001,109,5520400,109
"2022-01-05",109.160004,110.599998,108.279999,108.360001,3762300,108.360001
"2022-01-06",108.160004,109.870003,107.639999,109.139999,2621500,109.139999
"2022-01-07",108.68,109.980003,107.830002,108.830002,2687100,108.830002
"2022-01-10",108.089996,108.769997,104.410004,107.75,3677200,107.75
"2022-01-11",107.610001,109.540001,106.379997,109.470001,2709300,109.470001
"2022-01-12",107.980003,109.349998,107.050003,108.5,3396100,108.5
"2022-01-13",108.5,110.989998,108.190002,108.940002,3259300,108.940002
"2022-01-14",107.419998,109.5,106.919998,109.110001,3431500,109.110001
"2022-01-18",108.940002,109.199997,106.07,106.400002,4366600,106.400002
"2022-01-19",106.260002,107.720001,105.93,106.050003,3592500,106.050003
"2022-01-20",106.410004,109.639999,106.110001,106.300003,4059800,106.300003
"2022-01-21",106.279999,107.510002,104.739998,104.860001,4664500,104.860001
"2022-01-24",103,104.980003,100.25,102.739998,7867400,102.739998
"2022-01-25",101.290001,102.419998,98.669998,101.040001,5864000,101.040001
"2022-01-26",101.529999,102.980003,98.940002,99.970001,4864700,99.970001
"2022-01-27",100.480003,102.120003,99.139999,100.279999,3845900,100.279999
"2022-01-28",100.400002,105,100.18,104.889999,4380200,104.889999
"2022-01-31",104.699997,105.989998,103.779999,105.699997,4190600,105.699997
"2022-02-01",106.050003,108.849998,105.410004,108.660004,4128800,108.660004
"2022-02-02",107.860001,108.580002,107,108.360001,2762700,108.360001
"2022-02-03",107.949997,108.360001,106.160004,106.279999,3609100,106.279999
"2022-02-04",104.209999,105.290001,102.389999,104.879997,4075700,104.879997
"2022-02-07",106.669998,107.18,104.550003,105.889999,3951600,105.889999
"2022-02-08",99.669998,102.330002,98.75,99.540001,8846900,99.540001
"2022-02-09",100.75,102.910004,100.410004,102.18,4646100,102.18
