"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2021-04-20",262.809998,262.809998,258.390015,259.980011,870000,251.95285
"2021-04-21",259.100006,263.670013,257.109985,263.070007,897500,254.947449
"2021-04-22",264.230011,264.670013,260.910004,261.119995,643800,253.057632
"2021-04-23",261.359985,263.950012,261.359985,262.470001,680000,254.365967
"2021-04-26",263.25,264.809998,258.929993,259.049988,1010300,251.051544
"2021-04-27",258.709991,260.070007,255.710007,257.829987,1140100,249.869232
"2021-04-28",257.890015,259.089996,254.369995,255.380005,1037000,247.494873
"2021-04-29",256.130005,256.859985,253.619995,256.779999,676900,248.851639
"2021-04-30",255.550003,255.550003,251.820007,252.039993,788100,244.258011
"2021-05-03",254,255.559998,251.699997,253.619995,950400,245.78923
"2021-05-04",252.740005,256.769989,247.029999,255.610001,1422600,247.717773
"2021-05-05",256.25,262.420013,253.860001,260.970001,1033700,252.912277
"2021-05-06",262.570007,265.929993,261.619995,265.929993,988500,257.719116
"2021-05-07",264.589996,266.959991,261.609985,266.390015,1005500,258.164978
"2021-05-10",268.630005,273.649994,268.049988,270.73999,959800,262.380615
"2021-05-11",268.73999,269,261.790009,264.779999,922100,256.604675
"2021-05-12",265.859985,266.799988,257.140015,257.670013,1029800,249.714188
"2021-05-13",257.859985,264.779999,257.589996,262.929993,710900,254.811768
"2021-05-14",265.279999,266.320007,263.190002,265.670013,556800,257.467194
"2021-05-17",270,270.839996,265.079987,266.320007,952700,258.097137
"2021-05-18",264.859985,265.320007,259,259.089996,939400,251.090302
"2021-05-19",255.300003,259.339996,252.779999,259.23999,1044000,251.235687
"2021-05-20",258.980011,259.470001,254.679993,255.169998,1104700,248.585876
"2021-05-21",256.160004,258.76001,255.410004,256.790009,777300,250.164078
"2021-05-24",257.910004,259.309998,255.479996,255.529999,629100,248.9366
"2021-05-25",256.529999,257.290009,253.889999,254.350006,885800,247.787048
"2021-05-26",254.399994,255.690002,252.850006,255.100006,906400,248.5177
"2021-05-27",258.51001,259.899994,256.220001,259.200012,2363500,252.511902
"2021-05-28",259.950012,260,256.350006,257.279999,867800,250.641434
"2021-06-01",261.48999,263.549988,260.059998,261.76001,1035900,255.005829
"2021-06-02",261.76001,262.26001,258.75,259.850006,754500,253.145157
"2021-06-03",258.779999,263.320007,257.869995,260.970001,931000,254.236221
"2021-06-04",261.480011,265.089996,261.190002,264.220001,660500,257.402374
"2021-06-07",264.51001,264.640015,257.799988,259.220001,1094500,252.531387
"2021-06-08",259.01001,260.359985,256.070007,259.920013,735500,253.213333
"2021-06-09",258.660004,260.019989,256.679993,256.769989,656500,250.144577
"2021-06-10",258.200012,259.130005,251.449997,252.240005,1168400,245.731491
"2021-06-11",253.25,254.580002,249.089996,250,1682800,243.549271
"2021-06-14",249.279999,250.179993,246.869995,248.440002,1109600,242.029541
"2021-06-15",249.220001,250.419998,247.880005,250.100006,720600,243.646713
"2021-06-16",248.889999,249.720001,245.460007,246,929100,239.652496
"2021-06-17",246.229996,247.740005,234.880005,237.330002,2095900,231.206207
"2021-06-18",232.830002,236.419998,230.850006,233,2973900,226.987915
"2021-06-21",235.559998,239.240005,235.460007,235.889999,991500,229.80336
"2021-06-22",237.289993,238.470001,235.479996,237.009995,899600,230.89447
"2021-06-23",237.600006,239.190002,235.240005,238,855900,231.858917
"2021-06-24",239,240.899994,237.520004,239.110001,997300,232.940277
"2021-06-25",240.669998,242.720001,239.960007,240.850006,1055500,234.635376
"2021-06-28",240.850006,241.479996,238.759995,241.270004,1131200,235.04454
"2021-06-29",243.389999,244.020004,238.940002,239.610001,643800,233.427383
"2021-06-30",240.490005,244.559998,240.429993,243.809998,1010500,237.518997
"2021-07-01",244.990005,245.679993,240.910004,242.130005,1111500,235.88237
"2021-07-02",242.860001,242.899994,240.809998,241.839996,780700,235.599838
"2021-07-06",241.110001,241.410004,233.110001,236.330002,1037400,230.23201
"2021-07-07",234.610001,239.279999,234.610001,238.919998,768800,232.755173
"2021-07-08",235.289993,239.270004,234.419998,237.479996,826900,231.352325
"2021-07-09",241.139999,243.389999,241.070007,242.699997,789100,236.437637
"2021-07-12",241.199997,243.940002,239.699997,243.279999,980600,237.00267
"2021-07-13",243.339996,245.440002,241.309998,241.490005,823500,235.258865
"2021-07-14",242.399994,242.399994,237.779999,239.009995,871500,232.84285
"2021-07-15",238.350006,241.509995,238.350006,240.119995,730900,233.92421
"2021-07-16",243.080002,243.339996,238.220001,238.619995,632700,232.462921
"2021-07-19",234.130005,235.179993,230.259995,233.130005,918900,227.114578
"2021-07-20",234.389999,238.720001,232.440002,237.940002,1101800,231.800461
"2021-07-21",239.320007,241.580002,238.279999,239.380005,678600,233.203308
"2021-07-22",239.639999,239.639999,236.460007,237.440002,484500,231.31337
"2021-07-23",239.259995,239.259995,236.809998,237.440002,622500,231.31337
"2021-07-26",237.210007,238.690002,235.690002,236.5,762500,230.397614
"2021-07-27",236.509995,236.919998,231.929993,233.800003,1262400,227.767288
"2021-07-28",233.360001,234.570007,230.199997,232.020004,2063900,226.033234
"2021-07-29",234.339996,234.75,231.029999,233.149994,1522500,227.134048
"2021-07-30",232.830002,233.470001,231.389999,232.100006,1061600,226.11116
"2021-08-02",232.809998,234.149994,228.850006,229.059998,1220200,223.149597
"2021-08-03",229,235.119995,227.199997,233.050003,1864500,227.036636
"2021-08-04",231.919998,235.389999,230.940002,231.070007,1154500,225.107742
"2021-08-05",232.869995,234.25,227.380005,228.270004,1525300,222.37999
"2021-08-06",229.850006,231.089996,228.850006,229.080002,943000,223.169083
"2021-08-09",228.660004,231.429993,227.699997,230.649994,774800,224.698547
"2021-08-10",231.449997,235.529999,230.220001,233.770004,918500,227.738068
"2021-08-11",234.880005,242.130005,233.75,241.800003,1224300,235.560867
"2021-08-12",242.320007,242.800003,237.490005,239.130005,952700,232.959747
"2021-08-13",239.509995,239.789993,236.820007,237.720001,868300,231.586136
"2021-08-16",237,239.820007,235.589996,239.289993,810700,233.115631
"2021-08-17",237.940002,238.059998,233.649994,235.839996,936100,229.754623
"2021-08-18",234.529999,236.5,233.369995,233.580002,1085800,227.552979
"2021-08-19",230.630005,232.940002,229.729996,231.5,1187400,226.935394
"2021-08-20",231.050003,232.669998,230.110001,231.669998,997900,227.102036
"2021-08-23",233.25,236.229996,232.360001,235.25,1453200,230.611435
"2021-08-24",233.199997,237.089996,233.199997,236.139999,1226200,231.483887
"2021-08-25",236.080002,239.690002,235.690002,238.470001,1016800,233.76796
"2021-08-26",238.399994,240.339996,236.639999,236.979996,1118100,232.307312
"2021-08-27",238.119995,241.729996,237.009995,240.300003,1253900,235.561874
"2021-08-30",241.089996,241.619995,237.220001,238.690002,925700,233.983627
"2021-08-31",238.690002,238.860001,235.110001,235.979996,959100,231.327042
"2021-09-01",236.009995,237.029999,231.199997,234.869995,975500,230.238937
