"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2021-02-19",61,63.689999,60.849998,63.580002,2422000,62.322773
"2021-02-22",63.68,66.910004,63.68,65.410004,2521300,64.116585
"2021-02-23",66.400002,68.269997,63.369999,68.260002,2884900,66.910233
"2021-02-24",68.290001,70.5,67.150002,68.800003,4252300,67.439568
"2021-02-25",69.25,69.519997,66.470001,66.959999,2600100,65.635933
"2021-02-26",66.010002,66.790001,63.150002,65.529999,2391900,64.234215
"2021-03-01",66.309998,67.25,65.080002,65.529999,2128400,64.234215
"2021-03-02",65.989998,66.790001,64.610001,64.730003,2509500,63.450027
"2021-03-03",65.489998,69.599998,65.370003,67.639999,2212900,66.302483
"2021-03-04",67.910004,72.32,67.639999,70.790001,3410800,69.390198
"2021-03-05",73.599998,75.699997,71.519997,75.040001,3788500,73.55616
"2021-03-08",75.040001,76.239998,73.150002,73.779999,2207300,72.321075
"2021-03-09",72.559998,74.290001,70.379997,70.5,2866300,69.105934
"2021-03-10",70.25,72.040001,69.550003,70.889999,3196400,69.488228
"2021-03-11",71.5,73.980003,71.010002,73.190002,2748600,71.742752
"2021-03-12",73.419998,73.5,72.25,72.489998,1720200,71.056587
"2021-03-15",71.970001,72.059998,70.629997,71.480003,1645600,70.066559
"2021-03-16",70.040001,70.190002,68.550003,69.010002,1959400,67.882813
"2021-03-17",69.019997,71.220001,68.800003,70.849998,2331900,69.692764
"2021-03-18",69.940002,70.269997,67.059998,67.32,2412700,66.220428
"2021-03-19",67.790001,70.050003,66.709999,68.610001,4721400,67.489357
"2021-03-22",68.730003,69.419998,67.989998,68.5,2251500,67.381142
"2021-03-23",66.660004,68.510002,66,66.959999,2728200,65.866302
"2021-03-24",68.349998,69.82,68.029999,69.080002,1955300,67.951683
"2021-03-25",67.459999,69.150002,66.199997,68.949997,2153200,67.823792
"2021-03-26",70.720001,72.400002,69.989998,72.32,1708300,71.138756
"2021-03-29",71.75,72.5,70.5,71.610001,1751000,70.440346
