"","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume","MLM.Adjusted"
"2021-09-07",374,374,367.25,369.899994,278300,368.132751
"2021-09-08",369.140015,369.380005,363.570007,368.049988,279400,366.291595
"2021-09-09",368.519989,371.700012,365.769989,367.790009,205200,366.032837
"2021-09-10",370.720001,377.279999,369.329987,369.48999,232000,367.72467
"2021-09-13",373.190002,375.600006,367.230011,368.019989,297500,366.261719
"2021-09-14",367.859985,367.859985,360.609985,361.679993,334200,359.952026
"2021-09-15",361.329987,363.100006,359.570007,361.290009,242700,359.563873
"2021-09-16",360.51001,360.720001,353.399994,354.089996,347400,352.398285
"2021-09-17",352.390015,354.920013,340.869995,342.730011,1000400,341.09259
"2021-09-20",336.109985,343.089996,335.470001,342.540009,392500,340.903503
"2021-09-21",343.850006,347.450012,340.720001,344.190002,275900,342.545593
"2021-09-22",348.040009,352.480011,346.200012,350.26001,310400,348.586578
"2021-09-23",352.660004,361.459991,351.649994,355.98999,243300,354.289215
"2021-09-24",354.48999,356.390015,349.350006,351,387100,349.323059
"2021-09-27",351.390015,358.929993,351.390015,356.220001,292500,354.518097
"2021-09-28",355.690002,361.149994,355.01001,357.399994,808900,355.692474
"2021-09-29",357.040009,360.339996,352.839996,353.799988,533200,352.10968
"2021-09-30",354.299988,354.929993,341.600006,341.679993,426400,340.047577
"2021-10-01",341.279999,354.76001,337.839996,354.01001,511400,352.318665
"2021-10-04",351.670013,356.459991,347.970001,348.839996,490100,347.17337
"2021-10-05",349.029999,350.980011,343.230011,348.109985,318100,346.446838
"2021-10-06",349.399994,357.51001,349.399994,357.309998,354800,355.602905
"2021-10-07",358.799988,366.179993,358.799988,360.609985,342000,358.887115
"2021-10-08",360.209991,362.890015,357.589996,357.799988,243700,356.090546
"2021-10-11",357.459991,359.829987,350.339996,350.48999,228100,348.81546
"2021-10-12",349.179993,353.170013,348.640015,349.170013,252600,347.501801
"2021-10-13",348.549988,351.029999,343.720001,348.970001,257800,347.302734
"2021-10-14",353.100006,363.470001,352.01001,363.26001,290200,361.524475
"2021-10-15",366.019989,368.059998,362.709991,365.769989,227000,364.022491
"2021-10-18",368.880005,375.720001,366.980011,373.869995,297600,372.083771
"2021-10-19",376.359985,377.100006,369.01001,370.559998,220900,368.789581
"2021-10-20",371.679993,382.149994,371.519989,381.799988,328800,379.975891
"2021-10-21",381.079987,381.869995,378.160004,381.690002,206700,379.866425
"2021-10-22",381.470001,384.589996,380.839996,381.329987,192400,379.508118
"2021-10-25",383.350006,395.869995,381.589996,393.790009,382600,391.90863
"2021-10-26",394.339996,394.339996,389.029999,390.820007,175900,388.95282
"2021-10-27",390.630005,393.440002,382.600006,383.200012,277000,381.369202
"2021-10-28",385.540009,395.880005,385.540009,393.630005,367600,391.74942
"2021-10-29",389.730011,395,389.730011,392.839996,331400,390.963135
"2021-11-01",394.109985,396.720001,384.589996,390.410004,486400,388.544769
"2021-11-02",388.390015,411.049988,383.209991,407.48999,756000,405.543182
"2021-11-03",413.5,413.5,406.160004,408.119995,460000,406.170166
"2021-11-04",407.98999,417.690002,403.380005,413.130005,466700,411.156219
"2021-11-05",416.679993,422.609985,410.690002,412.320007,339600,410.350098
"2021-11-08",432.51001,435.619995,416.769989,425,648700,422.969482
"2021-11-09",427.970001,428.809998,416.809998,421.970001,340100,419.95401
"2021-11-10",419.179993,421.679993,410.820007,413.23999,368400,411.265686
"2021-11-11",413.540009,417.670013,411,414,194400,412.022064
"2021-11-12",415.640015,420.149994,414.73999,419.549988,209500,417.545532
"2021-11-15",421.369995,422.380005,417.130005,418.630005,195000,416.629944
"2021-11-16",419.910004,424.089996,418.769989,421.950012,206600,419.934113
"2021-11-17",421.410004,425.01001,420.440002,423.559998,231300,421.536377
"2021-11-18",422.769989,425.179993,418.130005,420.25,291700,418.242188
"2021-11-19",421.059998,423.320007,416.549988,417.429993,179800,415.435638
"2021-11-22",419.079987,425.480011,417.170013,417.290009,259000,415.296326
"2021-11-23",417.5,422.23999,414.170013,421.410004,178800,419.396667
"2021-11-24",420.179993,424.570007,420.179993,422.959991,149400,420.93924
"2021-11-26",412.519989,416.959991,408.809998,414.920013,189700,412.937683
"2021-11-29",417.799988,421.679993,415.720001,418.339996,217100,416.341309
"2021-11-30",413.980011,416.209991,402.660004,403.51001,571000,402.16864
"2021-12-01",411,416.140015,401.200012,401.25,350900,399.916138
"2021-12-02",403.230011,416.470001,403.200012,413.910004,358300,412.534058
"2021-12-03",413.209991,417.890015,403.459991,408.369995,361100,407.012451
"2021-12-06",412.480011,421.75,410.880005,415.399994,246600,414.019073
"2021-12-07",419.350006,427.48999,419.350006,422.859985,217900,421.454285
"2021-12-08",422.799988,430.399994,421.890015,429.350006,306200,427.922729
"2021-12-09",427.420013,430.140015,425.76001,427.290009,206600,425.869568
"2021-12-10",435.170013,439.980011,433.410004,439.369995,550600,437.909393
"2021-12-13",438.380005,439,432.769989,434.929993,347700,433.484131
"2021-12-14",433,440.070007,431.399994,435.839996,364900,434.391113
"2021-12-15",437.850006,440.890015,431.209991,440.73999,278400,439.274841
"2021-12-16",442.76001,442.959991,437.790009,440.369995,257900,438.906067
"2021-12-17",441.839996,442.709991,435.529999,436.350006,710100,434.899445
"2021-12-20",427.73999,428.720001,415.730011,422.160004,381400,420.756622
"2021-12-21",425.76001,432.079987,422.369995,430.130005,279300,428.700134
"2021-12-22",429.600006,436.5,429.600006,435.709991,157900,434.261566
"2021-12-23",436.839996,441.910004,436.799988,437.059998,163300,435.607086
"2021-12-27",438.329987,438.940002,434.910004,438.589996,358800,437.131989
"2021-12-28",438.609985,441.890015,438.149994,439.459991,206100,437.999084
"2021-12-29",441.359985,443.130005,440.440002,441.720001,111700,440.251587
"2021-12-30",443.380005,445,436.380005,438,220200,436.543945
"2021-12-31",438.230011,441.890015,433.670013,440.519989,287100,439.055573
"2022-01-03",441.950012,445.73999,437.049988,439.01001,324300,437.550598
"2022-01-04",441.799988,446.459991,438.570007,441.51001,385600,440.042297
"2022-01-05",442.399994,446.26001,435.799988,437.170013,358000,435.716705
"2022-01-06",437.73999,441.600006,430.559998,437.089996,288400,435.636993
"2022-01-07",437.769989,439.630005,428.48999,429.200012,309600,427.773224
"2022-01-10",426.660004,426.660004,412.980011,416.25,586200,414.866272
"2022-01-11",415,419.76001,406.220001,419.329987,476000,417.936005
"2022-01-12",423.25,428.040009,418.609985,422.570007,335600,421.165253
