"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume","AFL.Adjusted"
"2021-07-15",52.900002,53.75,52.779999,53.59,2996200,52.272369
"2021-07-16",53.700001,53.779999,52.959999,53.119999,7477900,51.813927
"2021-07-19",52.139999,52.48,51.360001,51.709999,4665300,50.438595
"2021-07-20",51.599998,53.43,51.48,52.98,3507800,51.677368
"2021-07-21",53.59,54.43,53.299999,53.880001,2888000,52.555244
"2021-07-22",53.91,54.080002,52.959999,53.099998,2717900,51.794418
"2021-07-23",53.360001,53.759998,53.16,53.369999,2171800,52.057777
"2021-07-26",53.32,53.889999,53.169998,53.700001,1829000,52.379669
"2021-07-27",53.290001,53.970001,52.93,53.799999,2573000,52.477207
"2021-07-28",54,54.27,53.279999,53.790001,2784900,52.467453
"2021-07-29",55.650002,56.200001,54.869999,55.610001,4449000,54.242706
"2021-07-30",55.529999,55.900002,54.950001,55,3435000,53.647705
"2021-08-02",55.310001,56.110001,54.639999,54.709999,3199000,53.364834
"2021-08-03",55.169998,55.639999,54.279999,55.599998,2726500,54.232948
"2021-08-04",54.98,55.57,54.759998,54.939999,3475300,53.589176
"2021-08-05",55.5,55.98,55.169998,55.57,2106100,54.20369
"2021-08-06",56.009998,56.41,55.900002,56.240002,3162900,54.85722
"2021-08-09",56.139999,56.389999,55.599998,56.110001,2191000,54.730415
"2021-08-10",56.029999,56.959999,55.700001,56.700001,3123200,55.305904
"2021-08-11",56.830002,57.189999,56.450001,56.950001,3142700,55.549759
"2021-08-12",57.139999,57.43,56.849998,57.360001,1911600,55.94968
"2021-08-13",57.509998,57.630001,57.139999,57.259998,1681600,55.852135
"2021-08-16",57,57.639999,56.68,57.52,2482800,56.10574
"2021-08-17",56.84,57.400002,56.619999,57.110001,2408900,56.027264
"2021-08-18",56.740002,57.209999,56.34,56.369999,2550500,55.301289
"2021-08-19",55.669998,56.369999,55.509998,55.919998,2414500,54.859821
"2021-08-20",55.849998,56.5,55.5,56.360001,1796700,55.291477
"2021-08-23",56.700001,57.240002,56.099998,56.709999,2334700,55.634842
"2021-08-24",56.849998,57.029999,56.509998,56.709999,1901100,55.634842
"2021-08-25",56.84,57.549999,56.509998,57.110001,2609900,56.027264
"2021-08-26",57.209999,57.23,56.349998,56.400002,1925700,55.330723
"2021-08-27",56.59,57.32,56.389999,57.09,1667600,56.007641
"2021-08-30",57.07,57.09,56.349998,56.43,1908400,55.360149
"2021-08-31",56.34,57.040001,56.139999,56.68,3378600,55.605412
"2021-09-01",56.860001,56.860001,56.16,56.34,2359900,55.271858
"2021-09-02",56.59,56.59,55.830002,55.990002,2416800,54.928497
"2021-09-03",55.91,56.09,55.540001,55.709999,1832500,54.653801
"2021-09-07",55.700001,55.900002,55.220001,55.25,2444700,54.202522
"2021-09-08",55.110001,55.34,54.799999,55.169998,2490700,54.124039
"2021-09-09",55.139999,55.93,55.02,55.139999,2518300,54.094608
"2021-09-10",55.5,55.540001,54.650002,54.66,2126800,53.623707
"2021-09-13",55.209999,55.439999,54.82,55.23,2171600,54.182899
"2021-09-14",55.52,55.52,54.169998,54.290001,2553700,53.260723
"2021-09-15",54.380001,55.110001,54.259998,54.66,2437600,53.623707
"2021-09-16",54.669998,54.950001,54.290001,54.560001,2216100,53.525604
"2021-09-17",54.400002,54.91,53.950001,53.990002,7984600,52.966412
"2021-09-20",52.900002,53,51.279999,52.07,4414000,51.082813
"2021-09-21",52.419998,52.5,51.290001,51.349998,3548800,50.376461
"2021-09-22",52.009998,52.290001,51.700001,51.880001,4131600,50.896416
"2021-09-23",52.16,53.049999,52.16,52.389999,3059100,51.396748
"2021-09-24",52.41,53.02,52.299999,52.630001,2167300,51.632198
"2021-09-27",53.139999,53.91,52.720001,53.400002,2519800,52.387596
"2021-09-28",53.389999,53.720001,52.75,52.830002,3030900,51.828403
"2021-09-29",52.869999,53.240002,52.700001,52.740002,2210300,51.740112
