"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2021-02-16",77,77.349998,76.110001,76.110001,2445800,74.63839
"2021-02-17",75.730003,76.790001,75.370003,76.43,3398600,75.189308
"2021-02-18",76.139999,76.139999,74.419998,74.82,4440800,73.605438
"2021-02-19",75.029999,75.190002,73.389999,73.639999,4082500,72.444588
"2021-02-22",73.260002,73.970001,72.769997,73.25,3063800,72.060921
"2021-02-23",72.849998,73.43,72.07,72.879997,3310500,71.696938
"2021-02-24",72.400002,75.059998,71.559998,74.93,2922700,73.713646
"2021-02-25",74.120003,74.980003,73.190002,73.379997,2786500,72.188812
"2021-02-26",73.849998,74.339996,72.580002,73.480003,3279800,72.287193
"2021-03-01",74.110001,75.160004,73.809998,74.830002,3226900,73.615273
"2021-03-02",75.029999,75.720001,74.040001,74.949997,3068900,73.733322
"2021-03-03",74.760002,74.760002,72.779999,73.160004,3406400,71.972397
"2021-03-04",72.919998,73.949997,71.760002,72.400002,3284200,71.224724
"2021-03-05",74.510002,74.510002,71.93,73.709999,2779000,72.513458
"2021-03-08",72.879997,74.389999,72.57,72.690002,3250600,71.510017
"2021-03-09",73.690002,75.220001,73.510002,74.389999,2767400,73.182411
"2021-03-10",74.669998,76.239998,74.639999,76.019997,2636800,74.785957
"2021-03-11",76.400002,78.309998,76.220001,77.540001,3183400,76.281288
"2021-03-12",76.849998,77.839996,76.839996,77.769997,2447800,76.507545
"2021-03-15",77.279999,79.330002,77.279999,79.269997,3003700,77.983192
"2021-03-16",79.010002,79.099998,77.839996,78.059998,2497500,76.792839
"2021-03-17",77.480003,78.32,77.160004,78.029999,2415000,76.763336
"2021-03-18",77.25,77.769997,76.029999,76.400002,2890000,75.15979
"2021-03-19",75.760002,77.330002,75.400002,76.550003,5658300,75.307365
"2021-03-22",76.93,77.059998,76.220001,76.730003,4237300,75.484436
"2021-03-23",77.160004,77.620003,76.169998,76.230003,3154500,74.992554
"2021-03-24",76.709999,77.849998,76.529999,76.940002,3008600,75.691025
"2021-03-25",77.029999,77.449997,76.059998,77.099998,2935500,75.848427
"2021-03-26",77.230003,79.330002,76.940002,79.239998,2403600,77.953682
"2021-03-29",78.900002,79.110001,77.190002,78.059998,3099600,76.792839
"2021-03-30",77.730003,78.669998,77.5,78.57,2506600,77.294563
"2021-03-31",78.82,79.18,77.900002,78.120003,3573800,76.851875
"2021-04-01",78.93,79.330002,78.139999,78.879997,2430400,77.599533
"2021-04-05",79.190002,80.489998,79,80.330002,2543600,79.025993
"2021-04-06",79.239998,80.160004,79.169998,79.660004,2346400,78.366867
"2021-04-07",79.900002,80.120003,79.099998,79.209999,1750500,77.924171
"2021-04-08",79.540001,80.769997,79.309998,80.059998,3345300,78.760384
"2021-04-09",80.059998,80.650002,79.769997,80.550003,1985700,79.242432
"2021-04-12",80.029999,80.480003,79.599998,80.230003,2358500,78.927628
"2021-04-13",80.269997,80.739998,79.879997,80.440002,2371000,79.134209
"2021-04-14",80.07,80.349998,79.279999,79.459999,2276500,78.170113
"2021-04-15",80.050003,80.5,79.239998,79.769997,4530400,78.475082
"2021-04-16",80,80.849998,79.550003,80.620003,3132400,79.311287
"2021-04-19",80.529999,80.879997,80.059998,80.400002,2664600,79.094856
"2021-04-20",80.300003,80.489998,79.389999,79.610001,3087500,78.31768
"2021-04-21",79.989998,80.379997,79.190002,79.25,6537900,77.963516
"2021-04-22",78.269997,79.209999,77.480003,79.040001,4507100,77.756935
"2021-04-23",79.160004,79.419998,78.410004,78.690002,2392700,77.412621
"2021-04-26",78.699997,79.660004,78.07,79.559998,2194500,78.268486
"2021-04-27",79.470001,80.089996,79.150002,79.940002,2855000,78.642334
"2021-04-28",80.099998,80.580002,79.300003,80.18,3170500,78.878426
"2021-04-29",80.739998,81.779999,80.110001,81.360001,2249900,80.039268
"2021-04-30",81.099998,81.110001,79.959999,80.400002,2849100,79.094856
"2021-05-03",80.720001,82.57,80.410004,82.199997,4333300,80.865639
"2021-05-04",81.519997,82.199997,80.769997,81.25,3875800,79.931061
"2021-05-05",81.760002,81.889999,80.400002,81.459999,4092900,80.13765
"2021-05-06",75.220001,77.029999,72.160004,75.120003,10853300,73.900566
"2021-05-07",75.580002,75.580002,73.949997,74.82,5373900,73.605438
"2021-05-10",74.870003,75.209999,73.839996,74.010002,4507200,72.808594
"2021-05-11",73.470001,73.739998,72.029999,72.639999,6519800,71.460823
"2021-05-12",71.949997,72.370003,70.620003,70.730003,4572200,69.581833
"2021-05-13",71.300003,71.699997,70.959999,71.290001,5354000,70.132744
"2021-05-14",71.709999,71.93,70.849998,71.010002,8012600,69.857292
"2021-05-17",71.010002,71.099998,69.400002,70.639999,6510200,69.493301
"2021-05-18",70.900002,71.860001,70.339996,70.970001,4772000,69.817932
"2021-05-19",69.650002,70.800003,69.639999,70.739998,3873300,69.827812
"2021-05-20",70.690002,71.830002,70.330002,71.300003,4514600,70.380585
"2021-05-21",71.730003,72.150002,71.089996,71.239998,2473600,70.321358
"2021-05-24",71.75,71.889999,71,71.099998,3217900,70.183167
"2021-05-25",71.309998,71.400002,70.919998,71,5412000,70.08445
"2021-05-26",71.019997,71.410004,70.75,71,3862500,70.08445
"2021-05-27",71.129997,71.610001,71,71.120003,6254200,70.202911
"2021-05-28",71.550003,71.860001,70.900002,71.559998,4519800,70.637238
"2021-06-01",71.989998,72.470001,71.099998,71.190002,4704200,70.272011
