"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"2021-06-18",427.040009,427.929993,423.459991,423.5,1433500,419.98053
"2021-06-21",424.98999,436.140015,423.179993,435.549988,797300,431.930328
"2021-06-22",437.089996,437.209991,432.450012,435.730011,671200,432.108917
"2021-06-23",436.980011,439.809998,433.790009,438.459991,697700,434.816162
"2021-06-24",440.649994,444.51001,439.109985,440.730011,671700,437.067352
"2021-06-25",441.390015,444.820007,439.220001,441.709991,1649400,438.039185
"2021-06-28",442.76001,445.670013,439.01001,444.880005,822400,441.182831
"2021-06-29",445,445.600006,441.119995,442.290009,675400,439.305603
"2021-06-30",442.549988,444.589996,440.839996,442.720001,438700,439.732666
"2021-07-01",442.809998,447.869995,442.130005,447.630005,590100,444.609528
"2021-07-02",447.600006,452.420013,445.209991,451.769989,504500,448.721588
"2021-07-06",451,454.209991,448.559998,453.589996,557200,450.529327
"2021-07-07",453.51001,458.640015,452.519989,457.480011,496100,454.393097
"2021-07-08",453.640015,456.309998,450.200012,454.5,466200,451.433167
"2021-07-09",457.649994,458.119995,455.359985,455.649994,416900,452.575409
"2021-07-12",454.970001,459.329987,454.140015,458.309998,454400,455.217499
"2021-07-13",459.299988,462.769989,458.299988,460.309998,794500,457.203979
"2021-07-14",461.25,461.350006,457.459991,460.109985,586900,457.00531
"2021-07-15",457.929993,468.700012,454.76001,466.929993,824400,463.779297
"2021-07-16",468.619995,472.429993,465.700012,470.899994,771600,467.722504
"2021-07-19",467.910004,468.230011,456.149994,460.929993,866000,457.819763
"2021-07-20",462.920013,467.690002,459.820007,460.5,720800,457.3927
"2021-07-21",463.609985,463.660004,457.149994,463.480011,592300,460.3526
"2021-07-22",464.209991,465.869995,461.640015,463.700012,467100,460.571136
"2021-07-23",465.399994,472.679993,464.929993,471.220001,542100,468.040375
"2021-07-26",469.48999,472.51001,464.570007,467.309998,652700,464.156738
"2021-07-27",465.399994,468.690002,462.700012,467.5,621200,464.345459
"2021-07-28",443.98999,447.320007,432.359985,440.809998,2405600,437.835571
"2021-07-29",442,443.089996,429.779999,430.75,1381900,427.843445
"2021-07-30",429.100006,432,425.350006,425.859985,1193800,422.986389
"2021-08-02",426,430.670013,422.73999,429.579987,957500,426.681335
"2021-08-03",429.75,429.75,423.410004,425.48999,945300,422.618927
"2021-08-04",423.01001,428.170013,420.01001,426.209991,951100,423.334076
"2021-08-05",422,424.450012,409.5,415.899994,1871900,413.093658
"2021-08-06",417.369995,420.890015,414.23999,419.209991,832100,416.381317
"2021-08-09",418.279999,423.26001,415.049988,416.649994,667600,413.838562
"2021-08-10",417.01001,419.519989,414.450012,414.799988,1015700,412.001038
"2021-08-11",414.709991,414.790009,408.25,408.799988,1075000,406.041504
"2021-08-12",408.350006,410.619995,405.070007,405.73999,652800,403.002197
"2021-08-13",407.48999,411.100006,406,410.769989,486000,407.99826
"2021-08-16",409.339996,413.070007,406.660004,412.160004,588400,409.378906
"2021-08-17",410.709991,415.779999,410.589996,413.359985,721800,410.570801
"2021-08-18",412.5,414.73999,407.5,408.160004,607800,405.405853
"2021-08-19",405.679993,414.26001,405.679993,413.690002,675500,410.89856
"2021-08-20",415.070007,415.799988,411.100006,413.609985,454800,410.819061
"2021-08-23",414,416.549988,413.350006,414.470001,390200,411.67334
"2021-08-24",415.690002,415.690002,412.01001,412.339996,318000,409.557678
"2021-08-25",411,412.600006,405.839996,406.600006,547700,403.856384
"2021-08-26",406.160004,407.670013,400.950012,402.75,750000,400.032379
"2021-08-27",403.839996,407.170013,400.630005,405.76001,673200,403.022064
"2021-08-30",405.420013,409.01001,404.809998,405.51001,724100,402.773743
"2021-08-31",405.609985,410.480011,404.359985,405.420013,618900,402.684357
"2021-09-01",405.420013,406.959991,399.140015,405.600006,502700,402.863159
"2021-09-02",405.119995,416.390015,404.970001,416.160004,666100,413.351898
"2021-09-03",414.899994,417.920013,414.01001,415.559998,566800,412.75592
