"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2021-03-08",1332,1361.890015,1306.23999,1335,333600,1335
"2021-03-09",1372.900024,1433.959961,1369.969971,1427.609985,529100,1427.609985
"2021-03-10",1429.900024,1453.439941,1404.459961,1416.670044,289800,1416.670044
"2021-03-11",1439.98999,1468.430054,1436.319946,1462.060059,327400,1462.060059
"2021-03-12",1448.800049,1458.560059,1432,1453.23999,209900,1453.23999
"2021-03-15",1457,1491.380005,1449.089966,1485.609985,197500,1485.609985
"2021-03-16",1478,1511,1473.030029,1482.689941,212000,1482.689941
"2021-03-17",1470,1482.47998,1445.25,1478.599976,220800,1478.599976
"2021-03-18",1459.930054,1466,1425.449951,1429.359985,256000,1429.359985
"2021-03-19",1437.959961,1443.369995,1419.640015,1421.199951,360900,1421.199951
"2021-03-22",1437.469971,1460.339966,1428.790039,1444.329956,233800,1444.329956
"2021-03-23",1444.51001,1475,1444.51001,1451.290039,238300,1451.290039
"2021-03-24",1458.170044,1459.130005,1419.890015,1422.959961,2e+05,1422.959961
"2021-03-25",1414.550049,1436.719971,1406.800049,1431.829956,282600,1431.829956
"2021-03-26",1436.380005,1447.420044,1407.5,1445.47998,276600,1445.47998
"2021-03-29",1435,1449.560059,1416.869995,1424.609985,185000,1424.609985
"2021-03-30",1412,1427.5,1401.719971,1406.329956,214600,1406.329956
"2021-03-31",1420.97998,1440.780029,1415.26001,1420.819946,357600,1420.819946
"2021-04-01",1438.150024,1454.430054,1432.400024,1438.459961,202000,1438.459961
"2021-04-05",1455.859985,1459.98999,1441.829956,1452.089966,171300,1452.089966
"2021-04-06",1459.050049,1499,1457.050049,1487.47998,251000,1487.47998
"2021-04-07",1503.680054,1546.73999,1494.01001,1500.02002,523600,1500.02002
"2021-04-08",1514.829956,1530,1501,1524.050049,229600,1524.050049
"2021-04-09",1518.719971,1533.76001,1503.319946,1531.420044,224800,1531.420044
"2021-04-12",1555.310059,1579.52002,1529.160034,1539.5,301900,1539.5
"2021-04-13",1549.75,1559.329956,1518.209961,1537.73999,235300,1537.73999
"2021-04-14",1535.949951,1544,1510.349976,1516.660034,222700,1516.660034
"2021-04-15",1527,1542.390015,1520,1542.390015,231700,1542.390015
"2021-04-16",1550,1558.880005,1526.800049,1535.040039,187100,1535.040039
"2021-04-19",1525.810059,1560.829956,1523.349976,1550.01001,341000,1550.01001
"2021-04-20",1554.98999,1554.98999,1513,1532.089966,235900,1532.089966
"2021-04-21",1533.050049,1535.810059,1497.050049,1507.619995,509800,1507.619995
"2021-04-22",1527.73999,1538.98999,1464.069946,1480,671100,1480
