"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2021-07-29",19.48,19.530001,19.040001,19.08,6301700,18.841719
"2021-07-30",18.959999,18.959999,18.379999,18.75,6003400,18.515839
"2021-08-02",18.809999,19.33,18.27,18.280001,6985200,18.05171
"2021-08-03",17.83,18.809999,17.83,18.780001,9829400,18.545465
"2021-08-04",18.200001,18.389999,17.629999,17.75,13805100,17.52833
"2021-08-05",17.34,18.370001,17.34,18.059999,9413400,17.834457
"2021-08-06",18.5,18.700001,18.1,18.33,6047700,18.101084
"2021-08-09",17.940001,18.190001,17.549999,17.91,11899100,17.686329
"2021-08-10",18.02,19.139999,18.01,19.059999,6778600,18.821968
"2021-08-11",18.93,19.25,18.6,19.23,5712100,18.989843
"2021-08-12",19.15,19.280001,18.530001,18.92,8439900,18.683718
"2021-08-13",18.98,18.99,17.860001,17.879999,12244000,17.656704
"2021-08-16",17.49,17.530001,17.040001,17.129999,7272200,16.916069
"2021-08-17",16.879999,17.290001,16.790001,16.870001,7127600,16.659319
"2021-08-18",16.969999,17.280001,16.58,16.6,7111900,16.392691
"2021-08-19",16.16,16.52,15.55,16,11345000,15.800182
"2021-08-20",15.82,16.15,15.71,16.07,8940200,15.869308
"2021-08-23",16.66,17.379999,16.66,17.290001,11165300,17.074076
"2021-08-24",17.629999,18.110001,17.450001,17.9,8581700,17.676453
"2021-08-25",17.93,18.26,17.629999,18.129999,7324400,17.903582
"2021-08-26",18.02,18.16,17.540001,17.690001,5722400,17.469078
"2021-08-27",17.91,18.82,17.91,18.74,6669000,18.505964
"2021-08-30",19.059999,19.059999,18.459999,18.66,6182200,18.426964
"2021-08-31",18.49,19.620001,18.450001,19.48,9325300,19.236723
"2021-09-01",19.34,19.52,18.719999,19.049999,7365100,18.812092
"2021-09-02",19.26,20.059999,19.219999,19.85,7493500,19.602102
"2021-09-03",19.82,20.040001,19.49,19.67,6764400,19.424351
"2021-09-07",19.41,19.83,19.27,19.530001,8167700,19.2861
"2021-09-08",19.77,19.940001,19.02,19.040001,4783700,18.802219
"2021-09-09",18.83,19.32,18.639999,18.93,5977500,18.693592
"2021-09-10",19.209999,19.32,18.68,18.690001,4974400,18.456589
"2021-09-13",19.049999,20.16,19.049999,20.15,7708200,19.898357
"2021-09-14",20.5,20.530001,19.219999,19.35,6397500,19.108347
"2021-09-15",19.83,20.629999,19.83,20.620001,7943700,20.362488
"2021-09-16",20.629999,20.700001,20.23,20.49,5479300,20.23411
"2021-09-17",20.35,20.73,19.99,20.139999,6917600,19.888479
